City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Minatomirai,Kanagawa,Japan,220-0011,35.5,139.6,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōtemae,Ōsaka,Japan,540-0001,34.7,135.5,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,,
Zhengzhou,Henan,China,450000,34.7,113.6,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Chicago,Illinois,United States,60666,41.9,-87.6,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Ayamonte,Andalusia,Spain,21400,37.2,-7.4,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,,
Juiz de Fora,Minas Gerais,Brazil,36000,-21.7,-43.4,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Sierra Vista,Arizona,United States,85613,31.6,-110.4,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,,
Lamar,Colorado,United States,81052,38.1,-102.6,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Seattle,Washington,United States,98109,47.6,-122.3,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
Paris,Île-de-France,France,75009,48.8,2.4,Europe/Paris,Orange,,AS3215 Orange S.A.
Green Bay,Wisconsin,United States,54311,44.5,-87.9,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
Bradley Stoke,England,United Kingdom,BS32,51.5,-2.6,Europe/London,EE Limited,,
,,,,,,,,,
Grenoble,Auvergne-Rhône-Alpes,France,38000,45.2,5.7,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
Sao Cristovao,Rio de Janeiro,Brazil,,-22.9,-43.2,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
Shenzhen,Guangdong,China,,22.5,114.1,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
,,,,,,,,,
Haidian,Beijing,China,,39.9,116.3,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Madrid,Madrid,Spain,28050,40.5,-3.6,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
Barcelona,Catalonia,Spain,8005,41.4,2.2,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
Shenzhen,Guangdong,China,,22.6,114.1,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
Schiphol-Rijk,North Holland,The Netherlands,1119,52.3,4.7,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
Yokohama,Kanagawa,Japan,231-0841,35.4,139.6,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Suyeong-gu,Busan,South Korea,482,35.2,129.1,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Sierra Vista,Arizona,United States,85613,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Madison,Wisconsin,United States,53717,43.1,-89.5,America/Chicago,Wingra Technologies,,
Quanzhou,Fujian,China,,24.9,118.6,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus,Damascus Governorate,Syria,,33.5,36.3,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Anchorage,Alaska,United States,99501,61.2,-149.9,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Orlando,Florida,United States,32801,28.5,-81.4,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Caldas,Minas Gerais,Brazil,37780,-21.9,-46.4,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Caracas,Miranda,Venezuela,,10.5,-66.8,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Rho,Lombardy,Italy,20017,45.5,9.1,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Bremen,Germany,28195,53.1,8.8,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Boydton,Virginia,United States,23917,36.7,-78.4,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,,
Malang,East Java,Indonesia,,-7.9,112.6,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Frankfurt am Main,Hesse,Germany,60313,50.1,8.7,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,Beijing,China,,39.9,116.4,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Austin,Texas,United States,78741,30.2,-97.7,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Peterborough,Ontario,Canada,K9H,44.3,-78.3,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
London,England,United Kingdom,W1B,51.5,-0.1,Europe/London,TalkTalk,TalkTalk Communications Limited,
Chicago,Illinois,United States,60602,41.9,-87.6,America/Chicago,Microsoft Limited,Microsoft Limited,
Louisville,Kentucky,United States,40219,38.2,-85.7,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Chiyoda,Tokyo,Japan,100-0001,35.7,139.8,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,New York,United States,10271,40.7,-74.0,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Skellefteå,Västerbotten County,Sweden,931 55,64.7,21.0,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Atlanta,Georgia,United States,30302,33.7,-84.4,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
Concord,California,United States,94520,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,New York,United States,10123,40.7,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Vilnius,Lithuania,2007,54.7,25.3,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
Princeton,New Jersey,United States,8540,40.3,-74.7,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ashburn,Virginia,United States,20149,39.0,-77.5,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,,
Tempe,Arizona,United States,85285,33.4,-111.9,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,Auckland,New Zealand,627,-36.8,174.8,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Gangbuk-gu,Seoul,South Korea,10,37.6,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Dallas,Texas,United States,75214,32.8,-96.8,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chisinau,Chișinău Municipality,Moldova,MD-2000,47.0,28.9,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Xiaolou,Guangdong,China,,23.4,113.8,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Mumbai,Maharashtra,India,400078,19.1,72.9,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,,
Lomé,Maritime,Togo,,6.1,1.2,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,,
Silver Spring,Maryland,United States,20904,39.1,-77.0,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,,
Haikou,Hainan,China,,20.0,110.2,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Zhengzhou,Henan,China,450000,34.8,113.8,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Chiyoda,Tokyo,Japan,100-0001,35.7,139.8,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,,
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Richlands,North Carolina,United States,28574,34.9,-77.6,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Livingston,Scotland,United Kingdom,EH54,55.9,-3.5,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taipei,Taiwan,Taiwan,,25.0,121.6,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Tampere,Pirkanmaa,Finland,33900,61.5,23.8,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Dublin,Leinster,Ireland,D02,53.3,-6.3,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,New York,United States,10123,40.7,-74.0,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
Leidschendam,South Holland,The Netherlands,2263,52.1,4.4,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
San Francisco,California,United States,94107,37.7,-122.4,America/Los_Angeles,Fastly,"Fastly, Inc.",
Cincinnati,Ohio,United States,45201,39.1,-84.5,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Huechuraba,Santiago Metropolitan,Chile,8580000,-33.4,-70.6,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Sierra Vista,Arizona,United States,85613,31.6,-110.4,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
Victoria,British Columbia,Canada,V8T,48.5,-123.4,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Richmond Hill,Ontario,Canada,L4C,43.9,-79.4,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Tucson,Arizona,United States,85706,32.1,-110.9,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Dearborn,Michigan,United States,48121,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Donetsk,Ukraine,7512,48.0,37.8,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Brewton,Alabama,United States,36426,31.1,-87.1,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,São Paulo,Brazil,01000-000,-23.6,-46.6,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Springfield,Massachusetts,United States,1111,42.1,-72.5,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,District of Columbia,United States,20068,38.9,-77.0,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
London,England,United Kingdom,W1B,51.5,-0.1,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,,
Vienna,Vienna,Austria,1030,48.2,16.4,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,Tianjin,China,,39.1,117.2,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
London,England,United Kingdom,W1B,51.5,-0.1,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Chaowai,Beijing,China,,40.0,116.5,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,Beijing,China,100000,39.9,116.4,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Calgary,Alberta,Canada,T2R,51.0,-114.1,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Centreville,Virginia,United States,20120,38.8,-77.4,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,,
Cairo,Cairo Governorate,Egypt,,30.0,31.2,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Houston,Texas,United States,77056,29.7,-95.5,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,,
Rochester,New York,United States,14609,43.2,-77.6,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,,
Broadmeadows,Victoria,Australia,3047,-37.7,144.9,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,Beijing,China,100000,39.9,116.4,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
Bernardsville,New Jersey,United States,7920,40.7,-74.6,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Chennai,Tamil Nadu,India,600001,13.1,80.3,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Olympia,Washington,United States,98513,47.0,-122.7,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Konopiska,Silesia,Poland,42-274,50.7,19.0,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,,
Gresse,Mecklenburg-Vorpommern,Germany,19258,53.4,10.7,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Jinrongjie,Beijing,China,,39.9,116.4,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Concord,California,United States,94520,38.0,-122.0,America/Los_Angeles,Bank of America,"Bank of America, National Association",
Maiden,North Carolina,United States,,35.6,-81.2,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,,
Beijing,Beijing,China,100000,39.9,116.4,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
London,England,United Kingdom,W1B,51.5,-0.1,Europe/London,Bell Canada,Bell Canada,
Fairfax,Virginia,United States,22031,38.9,-77.3,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Dearborn,Michigan,United States,48121,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
Paris,Île-de-France,France,75000,48.9,2.4,Europe/Paris,TVCCONV,France Telecom services,
Calais,Hauts-de-France,France,62100,50.9,1.9,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Jinrongjie,Beijing,China,,39.9,116.4,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Eschborn,Hesse,Germany,65760,50.1,8.6,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Takasago,Saitama,Japan,330-9301,35.9,139.7,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,New York,United States,10123,40.7,-74.0,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,São Paulo,Brazil,01000-000,-23.6,-46.6,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Montpellier,Occitanie,France,34070,43.6,3.9,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Ostbevern,North Rhine-Westphalia,Germany,48346,52.0,7.8,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
Raleigh,North Carolina,United States,27668,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Moscow,Russia,125310,55.7,37.6,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
Palo Alto,California,United States,94304,37.4,-122.1,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,,
Seattle,Washington,United States,98168,47.5,-122.3,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Greenwood Village,Colorado,United States,80111,39.6,-104.9,America/Denver,Spectrum,Charter Communications Inc,
Frankfurt am Main,Hesse,Germany,60313,50.1,8.7,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Jeddah,Mecca Region,Saudi Arabia,,21.5,39.2,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Paris,Île-de-France,France,75015,48.8,2.3,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Windhoek,Khomas Region,Namibia,,-22.6,17.1,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,,
Raleigh,North Carolina,United States,27668,35.8,-78.6,America/New_York,United States Postal Service.,United States Postal Service,
Melbourne,Victoria,Australia,3058,-37.7,145.0,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Overland Park,Kansas,United States,66251,38.9,-94.7,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Chiyoda,Tokyo,Japan,100-8111,35.7,139.8,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Seattle,Washington,United States,98108,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Tokyo,Japan,151-0071,35.7,139.7,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9,-43.2,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Haidian,Beijing,China,,39.9,116.3,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ashburn,Virginia,United States,20147,39.0,-77.5,America/New_York,Verizon Business,Verizon Business,
La Crosse,Wisconsin,United States,54601,43.8,-91.3,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,,
Helsinki,Uusimaa,Finland,240,60.2,24.9,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Stuttgart,Baden-Wurttemberg,Germany,70327,48.8,9.2,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Dearborn,Michigan,United States,48121,42.3,-83.2,America/Detroit,Ford Motor Company,Ford Motor Company,
Durham,North Carolina,United States,27709,35.9,-78.9,America/New_York,IBM,IBM,
São Paulo,São Paulo,Brazil,1000,-23.6,-46.6,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
Charlotte,North Carolina,United States,28223,35.3,-80.7,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Haidian,Beijing,China,,39.9,116.3,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,São Paulo,Brazil,01000-000,-23.6,-46.6,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Frankfurt am Main,Hesse,Germany,60313,50.1,8.7,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,,
,,,,,,,,,
Hamburg,Free and Hanseatic City of Hamburg,Germany,20038,53.6,10.0,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Des Moines,Iowa,United States,50309,41.6,-93.6,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,,
Fuengirola,Andalusia,Spain,29640,36.5,-4.6,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Klaten,Central Java,Indonesia,,-7.7,110.6,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Seongnam-si,Gyeonggi-do,South Korea,13606,37.4,127.1,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Dublin,Ohio,United States,43017,40.1,-83.1,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
Sydney,New South Wales,Australia,1001,-33.9,151.2,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Montgomery,Alabama,United States,36114,32.4,-86.2,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
Mitcham,England,United Kingdom,CR4,51.4,-0.2,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Hamburg,Free and Hanseatic City of Hamburg,Germany,22085,53.6,10.0,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
London,England,United Kingdom,W1B,51.5,-0.1,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Lemont,Illinois,United States,60439,41.7,-88.0,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Seattle,Washington,United States,98194,47.6,-122.3,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Wallington,New Jersey,United States,7057,40.9,-74.1,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,New York,United States,10123,40.7,-74.0,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
Whitehall,Ohio,United States,43218,40.0,-82.9,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Minato-ku,Tokyo,Japan,104-0045,35.7,139.8,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
