Region,Country,ISP,Organization,Autonomous System,Postal Code,Latitude,Longitude,count
Baden-Wurttemberg,Germany,Robert Bosch GmbH,Robert Bosch Gesellschaft mit Beschraenkter Haftung,AS9183 Robert Bosch Gesellschaft mit Beschraenkter Haftung,70***,48.8,9.2,1
Bahia,Brazil,TIM S/A,TIM S/A,AS26615 TIM S/A,40***,-12.9,-38.5,1
Baja California,Mexico,Uninet S.A. de C.V.,"Telefonos del Noroeste, S.A. de C.V",AS8151 UNINET,22***,32.5,-117.0,1
Bangkok,Thailand,Advanced Wireless Network Company Limited,Advanced Info Service Public Company Limited,AS45458 SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,10***,13.8,100.5,1
Bangkok,Thailand,Advanced Wireless Network Company Limited,Advanced Wireless Network Company Limited,AS131445 Advance Wireless Network,10***,13.8,100.5,1
Bangkok,Thailand,KSC Commercial Internet Co. Ltd.,COMNET,AS7693 KSC Commercial Internet Co. Ltd.,10***,13.9,100.6,1
Bangkok,Thailand,NTT (Thailand) Limited 6th Floor,NTT (Thailand) Limited,AS38566 NTTCTNET,10***,13.7,100.5,1
Banská Bystrica Region,Slovakia,DataCentrum,Financial Directorate of the Slovak Republic,AS30898 DataCentrum,97****,48.7,19.1,1
Basque Country,Spain,Universidad del Pais Vasco / Euskal Herriko Unibertsitatea,Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,AS15488 Universidad del Pais Vasco - Euskal Herriko Unibertsitatea,48***,43.3,-2.9,1
Bavaria,Germany,ARCOR-IP,Arcor AG,AS3209 Vodafone GmbH,87***,47.9,10.6,1
Bavaria,Germany,Contabo GmbH,Contabo GmbH,AS51167 Contabo GmbH,90***,49.4,11.2,1
Bavaria,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,83***,48.0,12.5,1
Bavaria,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,93***,48.8,11.9,1
Bavaria,Germany,Schaeffler Technologies AG & Co. KG,Schaeffler Technologies GmbH & Co.,AS20561 Schaeffler Technologies AG & Co. KG,91***,49.6,10.9,1
Bavaria,Germany,VF-Network,Arcor AG,AS3209 Vodafone GmbH,90***,49.4,11.1,1
Beijing,China,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone,10****,39.9,116.4,1
Beijing,China,China Networks Inter-Exchange,Bjenet,AS4847 China Networks Inter-Exchange,10****,39.9,116.4,2
Beijing,China,China Telecom,"Beijing Yunlin Network Technology Co., Ltd","AS136188 NINGBO, ZHEJIANG Province, P.R.China.",10****,39.9,116.4,1
Beijing,China,China TieTong Telecommunications Corporation,China TieTong Telecommunications Corporation,AS9394 China TieTong Telecommunications Corporation,10****,39.9,116.4,2
Beijing,China,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network,10****,39.9,116.4,1
Beijing,China,Chinanet,Chinanet HN,AS4134 CHINANET-BACKBONE,10****,39.9,116.4,1
Beijing,China,"Hangzhou Alibaba Advertising Co., Ltd.",Aliyun Computing Co.,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",10****,39.9,116.4,2
Bern,Switzerland,Swiss Federation represented by FOITT,Swiss Federation represented by FOITT,AS33845 Swiss Federation represented by FOITT,30**,46.9,7.4,1
Bern,Switzerland,Swisscom (Schweiz) AG - Bluewin,Swisscom (Schweiz) AG,AS3303 Swisscom (Schweiz) AG,32**,47.0,7.3,1
Bogota D.C.,Colombia,ETB - Colombia,ETB - Colombia,AS19429 ETB - Colombia,11****,4.6,-74.1,1
Brandenburg,Germany,Stadtwerke Schwedt,Stadtwerke Schwedt GmbH,AS61028 Stadtwerke Schwedt GmbH,16***,53.1,14.3,1
Bratislava Region,Slovakia,Liberty Global B.V.,UPC Slovakia,AS6830 Liberty Global B.V.,81****,48.2,17.1,1
Bratislava Region,Slovakia,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,Slovak Academy of Sciences,AS2607 Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,84****,48.2,17.0,1
Brașov County,Romania,RCS & RDS,RCS & RDS Residential,AS8708 RCS & RDS,50****,45.7,25.6,1
Bremen,Germany,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,28***,53.1,8.8,2
Bremen,Germany,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,Potsblitz,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,27***,53.5,8.6,1
British Columbia,Canada,ABC Allen Business Communications Ltd,ABC Allen Business Communications Ltd,AS62969 ABC Allen Business Communications Ltd,V2*,53.9,-122.7,1
British Columbia,Canada,British Columbia Institute of Technology,British Columbia Institute of Technology,AS4476 British Columbia Institute of Technology,V5*,49.2,-123.0,1
British Columbia,Canada,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia,V8*,48.5,-123.4,1
British Columbia,Canada,Shaw Communications Inc.,Shaw Communications Inc,AS6327 Shaw Communications Inc.,V1*,49.9,-119.5,1
British Columbia,Canada,Shaw Communications Inc.,Shaw Communications Inc.,AS6327 Shaw Communications Inc.,V0*,50.6,-126.9,1
British Columbia,Canada,University of British Columbia,University of British Columbia,AS393249 University of British Columbia,V7*,49.1,-123.2,1
București,Romania,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si C,Politehnica University of Bucharest,AS2614 Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare,61***,44.5,26.0,1
București,Romania,Euroweb Romania,SC FSP Global SRL,AS6663 Euroweb Romania S.R.L.,23***,44.4,26.2,1
Budapest,Hungary,ELTENET,Eotvos Lorand University of Sciences,AS2012 ELTENET,10**,47.6,19.1,1
Budapest,Hungary,ISZT Nonprofit Kft,ISZT INTERNET SZOLGALTATOK Halozati Koordinacios Kozpontja Nonprofit KFT,AS12303 Council of Hungarian Internet Providers,10**,47.5,19.1,1
Budapest,Hungary,Telenor Hungary Plc,Telenor Hungary Plc.,AS213155 Yettel Hungary Ltd.,10**,47.6,19.1,1
Buenos Aires,Argentina,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,17**,-36.0,-60.0,1
Buenos Aires,Argentina,Telefonica de Argentina,Telefonica de Argentina,AS22927 Telefonica de Argentina,16**,-34.5,-58.7,1
Buenos Aires,Argentina,Universidad Nacional de Buenos Aires,Universidad Nacional de Buenos Aires,AS3449 Universidad Nacional de Buenos Aires,17**,-36.0,-60.0,1
Buenos Aires F.D.,Argentina,Telecom Argentina S.A.,Telecom Personal Bs,AS7303 Telecom Argentina S.A.,18**,-34.6,-58.4,2
Busan,South Korea,BUSAN EDUCATION RESEARCH & INFORMATION INSTITUTE,Petinet,AS9706 BUSAN EDUCATION RESEARCH & INFORMATION INSTITUTE,48***,35.1,129.0,1
Busan,South Korea,Dong-A Universirty,Donganet,AS9753 Dong-A Universirty,48*,35.2,129.1,1
Busan,South Korea,Korea Telecom,Kornet,AS4766 Korea Telecom,48*,35.2,129.1,1
Buskerud,Norway,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",35**,60.5,8.5,1
Caldas Department,Colombia,Telmex Colombia S.A.,Telmex Colombia S.A,AS10620 Telmex Colombia S.A.,17****,5.1,-75.5,1
California,United States,"8x8, Inc.","8x8, Inc","AS13896 8x8, Inc.",95***,37.2,-121.8,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",91***,34.2,-118.5,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",92***,33.9,-117.5,1
California,United States,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",92***,34.0,-117.3,1
California,United States,"AT&T Services, Inc.",AT&T Worldnet Services,"AS7018 AT&T Services, Inc.",94***,37.8,-122.4,1
California,United States,"AT&T Services, Inc.",Acc-american Motors Corporati,"AS7018 AT&T Services, Inc.",95***,37.4,-121.9,1
California,United States,"AT&T Services, Inc.",Liquid Thinking,"AS7018 AT&T Services, Inc.",94***,37.8,-122.4,1
California,United States,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,90***,34.1,-118.2,1
California,United States,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,95***,37.3,-121.9,2
California,United States,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,94***,37.6,-122.0,1
California,United States,"Amazon.com, Inc.",AWS EC2 (us-west-1),"AS16509 Amazon.com, Inc.",95***,37.3,-121.9,1
California,United States,Apple Inc.,Apple Inc,AS714 Apple Inc.,95***,37.3,-122.0,3
California,United States,"Beijing Jingdong 360 Degree E-commerce Co., Ltd.","Beijing Jingdong 360 Degree E-commerce Co., Ltd.","AS131486 Beijing Jingdong 360 Degree E-commerce Co., Ltd.",95***,37.3,-121.9,1
California,United States,California Department of Technology,California Department of Insurance,AS1226 California Department of Technology,95***,38.6,-121.5,1
California,United States,California State University,Monterey COE,"AS2152 California State University, Office of the Chancellor",93***,36.6,-121.9,1
California,United States,California State University,Moss Landing Marine Laboratory,"AS2152 California State University, Office of the Chancellor",93***,36.7,-121.8,1
California,United States,CenturyLink Communications,Sony Computer Entertainment-Network Platform/Infrastructure,"AS3561 CenturyLink Communications, LLC",94***,37.6,-122.3,1
California,United States,Charter Communications,Spectrum,AS20001 Charter Communications Inc,90***,34.1,-118.2,1
California,United States,Charter Communications,Spectrum,AS20115 Charter Communications,93***,36.1,-119.0,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, IP Services","AS33667 Comcast Cable Communications, LLC",95***,38.7,-121.3,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc","AS33667 Comcast Cable Communications, LLC",95***,38.7,-121.3,1
California,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33667 Comcast Cable Communications, LLC",95***,38.7,-121.3,1
California,United States,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33667 Comcast Cable Communications, LLC",95***,38.0,-121.3,1
California,United States,Cox Communications Inc.,Cox Communications Inc,AS22773 Cox Communications Inc.,92***,32.8,-116.9,1
California,United States,Goldstone (Deep Space Network) Facility,Goldstone (Deep Space Network) Facility,AS297 National Aeronautics and Space Administration,92***,35.3,-116.8,1
California,United States,Google LLC,Google LLC,AS396982 Google LLC,94***,37.4,-122.1,3
California,United States,HCL AMERICA INC,HCL AMERICA INC,AS36224 HCL AMERICA INC,94***,37.4,-122.0,1
California,United States,HostPapa,RackNerd LLC,AS36352 HostPapa,90***,34.1,-118.2,1
California,United States,HostRoyale Technologies Pvt Ltd,HostRoyale LLC,AS203020 HostRoyale Technologies Pvt Ltd,94***,37.8,-122.4,1
California,United States,Intercontinental Internet Data Corp,Cloud Innovation Ltd,AS35916 MULTACOM CORPORATION,90***,34.1,-118.2,1
California,United States,Microsoft Corporation,Microsoft Azure Cloud (westus),AS8075 Microsoft Corporation,94***,37.8,-122.4,2
California,United States,Northrop Grumman,TRW Space and Defense Sector,AS1906 Northrop Grumman,90***,33.8,-118.1,1
California,United States,"Salesforce.com, Inc.","Salesforce.com, Inc.","AS14340 Salesforce.com, Inc.",94***,37.8,-122.4,1
California,United States,Sprint Communications,Sprint Kansas City POP,AS1239 Sprint,92***,33.8,-117.9,1
California,United States,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",95***,37.4,-122.0,1
California,United States,University of California at Berkeley,University of California at Berkeley,AS25 University of California at Berkeley,94***,37.9,-122.3,1
California,United States,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",92***,32.8,-117.2,5
California,United States,"University of California, San Diego",Amateur Radio Digital Communications,"AS7377 University of California, San Diego",93***,36.8,-119.4,1
California,United States,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS6167 Verizon Business,92***,32.8,-117.1,1
California,United States,Verizon Business,Cellco Partnership DBA Verizon Wireless,AS6167 Verizon Business,92***,34.0,-117.4,1
California,United States,"Wayport, LLC","Wayport, Inc.",AS14654 AT&T Corp.,90***,34.1,-118.2,1
California,United States,"Zoom Video Communications, Inc","Zoom Video Communications, Inc","AS30103 Zoom Video Communications, Inc",95***,37.3,-121.9,1
Capital Region,Denmark,Telenor Denmark,Cybercity A/S,AS9158 Telenor A/S,26**,55.7,12.5,1
Capital Region,Iceland,Nova hf,Nova ehf,AS44735 Nova hf,10*,64.1,-21.8,1
Carinthia,Austria,Universitaet Klagenfurt,Universitaet Klagenfurt,AS1111 Universitaet Klagenfurt,90**,46.6,14.3,1
Castille-La Mancha,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,45***,39.9,-4.0,1
Castille-La Mancha,Spain,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,45***,40.0,-4.8,1
Catalonia,Spain,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A.",80**,41.4,2.2,1
Catalonia,Spain,Vodafone Espana S.A.U.,Vodafone Espana S.A.U,AS12430 VODAFONE ESPANA S.A.U.,80**,41.4,2.2,1
Ceará,Brazil,Secretaria Municipal De Planejamento Orcamento E G,Secretaria Municipal De Planejamento Orcamento E G,AS269175 SECRETARIA MUNICIPAL DE PLANEJAMENTO ORCAMENTO E G,60***,-3.7,-38.5,1
Central Jutland,Denmark,Stofa A/S,Energiranderstele Customer and Internal Addr,AS8273 Norlys Digital A/S,89**,56.5,10.0,1
Central Singapore,Singapore,Amazon Technologies Inc.,AWS EC2 (ap-southeast-1),"AS16509 Amazon.com, Inc.",48***,1.3,103.9,2
Central Singapore,Singapore,Microsoft Corporation,Microsoft Azure Resource Manager (southeastasia),AS8075 Microsoft Corporation,16****,1.3,103.8,1
Central Singapore,Singapore,OVH SAS,OVH Singapore PTE. LTD,AS16276 OVH SAS,69***,1.3,103.8,1
Central Singapore,Singapore,"Singapore Telecommunications Ltd, Magix Services",SingNet Pte Ltd,AS9506 Singtel Fibre Broadband,14****,1.3,103.8,1
Central Singapore,Singapore,StarHub Cable Vision Ltd,SGCABLEVISION,AS55430 Starhub Ltd,13****,1.3,103.8,1
Central Singapore,Singapore,Starhub Internet Pte Ltd,Starhub Internet Pte Ltd,AS4657 StarHub Ltd,40****,1.3,103.9,1
Central and Western District,Hong Kong,Microsoft Corporation,Microsoft Azure Cloud (eastasia),AS8075 Microsoft Corporation,0****,22.3,114.2,1
Centre-Val de Loire,France,Proxad / Free SAS,ProXad network / Free,AS12322 Free SAS,37***,47.4,0.5,1
Chelyabinsk Oblast,Russia,"JSC ""Uralsvyazinform"" Chelyabinsk",Chelyabinsk Network Informational Center,AS12389 PJSC Rostelecom,45****,55.2,61.4,1
Chiang Mai,Thailand,CAT Telecom Public Company Limited,Data Comm. Dept. National Telecom Public Company Limited,"AS9931 The Communication Authoity of Thailand, CAT",50***,18.8,99.0,1
Chiba,Japan,296 BROAD NET Com Inc,CABLENET296,AS17682 296 BROAD NET Com Inc,28******,35.7,140.2,1
Chiba,Japan,DION (KDDI CORPORATION),KDDI,AS2516 KDDI CORPORATION,26******,35.6,140.1,1
Chiba,Japan,"JCOM Co., Ltd.","JCOM Co., Ltd","AS9824 JCOM Co., Ltd.",27******,35.7,140.0,1
Chiba,Japan,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,26******,35.6,140.1,1
Chiba,Japan,Open Computer Network,Open Computer Network,AS4713 NTT Communications Corporation,27******,35.7,140.0,1
Chiba,Japan,Open Computer Network,Open Computer Network,AS4713 NTT Communications Corporation,27******,35.8,139.9,1
Chișinău Municipality,Moldova,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL,MD*****,47.0,28.9,1
Chungcheongnam-do,South Korea,CMB,CMB Chungcheong Broadcasting,AS38133 CMB,32*,36.1,127.5,1
Coahuila,Mexico,Uninet S.A. de C.V.,UNINET,AS8151 UNINET,27***,25.5,-103.4,1
Colorado,United States,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC",81***,38.1,-102.6,1
Colorado,United States,Charter Communications Inc,Spectrum,AS20001 Charter Communications Inc,80***,39.6,-104.9,1
Colorado,United States,Comcast Cable Communications,"Comcast Cable Communications Holdings, Inc","AS33652 Comcast Cable Communications, LLC",80***,39.5,-104.8,1
Colorado,United States,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7922 Comcast Cable Communications, LLC",80***,39.8,-105.0,1
Colorado,United States,"Comcast Cable Communications, LLC","Comcast Cable Communications, LLC","AS7922 Comcast Cable Communications, LLC",80***,39.8,-105.0,2
Colorado,United States,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS33652 Comcast Cable Communications, LLC",80***,39.7,-104.8,1
Colorado,United States,"Comcast Cable Communications, LLC","Comcast IP Services, L.L.C.","AS7922 Comcast Cable Communications, LLC",80***,39.8,-105.0,2
Colorado,United States,"Level 3 Communications, Inc.",Level 3,"AS3356 Level 3 Parent, LLC",80***,39.9,-105.1,1
Colorado,United States,"Level 3 Communications, Inc.","Level 3 Communications, Inc.","AS3356 Level 3 Parent, LLC",80***,39.9,-105.1,2
Colorado,United States,Massive Networks,Massive Networks,AS21777 Massive Networks,80***,39.9,-104.9,1
Colorado,United States,USDA,USDA Office of Operations,AS4152 USDA,80***,40.6,-105.1,3
Colorado,United States,"VELOCITY, A MANAGED SERVICES COMPANY",Velocity Inc,"AS62728 VELOCITY, A MANAGED SERVICES COMPANY",80***,39.1,-104.8,1
Connecticut,United States,Cablevision Systems Corp.,Optimum Online (Cablevision Systems),AS6128 Cablevision Systems Corp.,69**,41.1,-73.5,1
Connecticut,United States,Frontier Communications Solutions,LDSL-D Frontier Communications Wallingford - CT,"AS46690 Southern New England Telephone Company and SNET America, Inc.",64**,41.6,-72.7,1
Connecticut,United States,Static IP Services,590 FORD AM RD INC,AS6128 Cablevision Systems Corp.,68**,41.1,-73.4,1
