IP Address,City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
100.***.***.***,Chicago,Illinois,United States,60***,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc*","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
87.***.***.***,Ayamonte,Andalusia,Spain,21***,37.2109,-7.4017,Europe/Madrid,Orange Spai*,Jazztel triple play services,AS12479 Orange Espagne SA
249.***.***.***,,,,,,,,,,
200.***.***.***,Juiz de Fora,Minas Gerais,Brazil,36***,-21.744,-43.434,America/Sao_Paulo,V ta*,V tal,AS7738 V tal
6.***.***.***,Sierra Vista,Arizona,United States,85***,31.5552,-110.35,America/Phoenix,CONUS-YP*,USAISC,AS749 DoD Network Information Center
234.***.***.***,,,,,,,,,,
207.***.***.***,Lamar,Colorado,United States,81***,38.0833,-102.6236,America/Denver,"CenturyLink Communications, LL*","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
7.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
3.***.***.***,Seattle,Washington,United States,98***,47.6222,-122.337,America/Los_Angeles,Amazon Technologies Inc*,Amazon Technologies Inc,
90.***.***.***,Paris,Île-de-France,France,75***,48.8323,2.4075,Europe/Paris,Orang*,,AS3215 Orange S.A.
72.***.***.***,Green Bay,Wisconsin,United States,54***,44.4965,-87.9266,America/Chicago,Charter Communication*,Spectrum,AS10796 Charter Communications Inc
89.***.***.***,Bradley Stoke,England,United Kingdom,BS**,51.5485,-2.55766,Europe/London,EE Limite*,,
240.***.***.***,,,,,,,,,,
160.***.***.***,Grenoble,Auvergne-Rhône-Alpes,France,38***,45.2069,5.69253,Europe/Paris,ESRF-GRENOBL*,The ESRF,AS1942 Renater
191.***.***.***,Sao Cristovao,Rio de Janeiro,Brazil,,-22.9027,-43.2194,America/Sao_Paulo,TIM S/*,Tim Celular S.A.,AS26615 TIM S/A
36.***.***.***,Shenzhen,Guangdong,China,,22.5431,114.058,Asia/Shanghai,China Mobil*,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
235.***.***.***,,,,,,,,,,
111.***.***.***,Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. C*,North Star Information Hi.tech Ltd. Co,
62.***.***.***,Madrid,Madrid,Spain,28***,40.4506,-3.60236,Europe/Madrid,VODAFONE-NETWOR*,,AS12430 VODAFONE ESPANA S.A.U.
62.***.***.***,Barcelona,Catalonia,Spain,80**,41.3949,2.19746,Europe/Madrid,"VODAFONE ONO, S.*",Ono,"AS6739 VODAFONE ONO, S.A."
119.***.***.***,Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Hangzhou Alibaba Advertising C*,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
78.***.***.***,Schiphol-Rijk,North Holland,The Netherlands,11**,52.277,4.74713,Europe/Amsterdam,Liberty Global B.V*,Liberty Global B.V,AS6830 Liberty Global B.V.
163.***.***.***,Yokohama,Kanagawa,Japan,23******,35.4346,139.6483,Asia/Tokyo,Yokohama City Universit*,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
14.***.***.***,Suyeong-gu,Busan,South Korea,48*,35.1811,129.0928,Asia/Seoul,Korea Teleco*,Kornet,AS4766 Korea Telecom
55.***.***.***,Sierra Vista,Arizona,United States,85***,31.5552,-110.35,America/Phoenix,DoD Network Information Cente*,USAISC,AS721 DoD Network Information Center
192.***.***.***,Madison,Wisconsin,United States,53***,43.0723,-89.524,America/Chicago,Wingra Technologie*,,
110.***.***.***,Quanzhou,Fujian,China,,24.9051,118.5707,Asia/Shanghai,Chinane*,Chinanet FJ,AS4134 CHINANET-BACKBONE
188.***.***.***,Damascus,Damascus Governorate,Syria,,33.5138,36.2765,Asia/Damascus,SYRIATEL-MOBIL*,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
12.***.***.***,Anchorage,Alaska,United States,99***,61.2314,-149.881,America/Anchorage,"AT&T Services, Inc*",Alascom,"AS7018 AT&T Services, Inc."
173.***.***.***,Orlando,Florida,United States,32***,28.5436,-81.3738,America/New_York,Sprint Communication*,Sprint Orlando POP,AS1239 Sprint
138.***.***.***,Caldas,Minas Gerais,Brazil,37***,-21.8845,-46.3613,America/Sao_Paulo,Videomar Rede Nordeste S/*,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
201.***.***.***,Caracas,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,"CANTV Servicios, Venezuel*","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
2.***.***.***,Rho,Lombardy,Italy,20***,45.5189,9.086,Europe/Rome,H3*,Wind TRE S.P.A,
80.***.***.***,Bremen,Bremen,Germany,28***,53.0832,8.78828,Europe/Berlin,Deutsche Telekom A*,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
20.***.***.***,Boydton,Virginia,United States,23***,36.677696,-78.37471,America/New_York,Microsoft Corporatio*,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
226.***.***.***,,,,,,,,,,
103.***.***.***,Malang,East Java,Indonesia,,-7.93998,112.632,Asia/Jakarta,BES*,,AS135484 PT. Bentang Selaras Teknologi
30.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
179.***.***.***,Frankfurt am Main,Hesse,Germany,60***,50.1188,8.6843,Europe/Berlin,Hivelocity In*,Ipxo Limited,AS61317 Hivelocity Inc
123.***.***.***,Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,China Unicom Beijing Province Networ*,,AS4808 China Unicom Beijing Province Network
136.***.***.***,Austin,Texas,United States,78***,30.2304,-97.7243,America/Chicago,Google Fiber Inc*,Google Fiber Inc,AS16591 Google Fiber Inc.
192.***.***.***,Peterborough,Ontario,Canada,K9*,44.3221,-78.318,America/Toronto,Nexicom Inc*,Nexicom Inc.,AS11666 Nexicom Inc.
79.***.***.***,London,England,United Kingdom,W1*,51.5074,-0.127758,Europe/London,TalkTal*,TalkTalk Communications Limited,
135.***.***.***,Chicago,Illinois,United States,60***,41.8874,-87.6318,America/Chicago,Microsoft Limite*,Microsoft Limited,
63.***.***.***,Louisville,Kentucky,United States,40***,38.1966,-85.6568,America/Kentucky/Louisville,Verizon Busines*,Lumenis LTD,AS701 Verizon Business
133.***.***.***,Chiyoda,Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Ryoka System*,"Ryoka Systems, Inc.",
169.***.***.***,New York,New York,United States,10***,40.7085,-74.0106,America/New_York,JPMorgan Chase & Co*,JPMorgan Chase & Co.,
62.***.***.***,Skellefteå,Västerbotten County,Sweden,93****,64.7472,20.9529,Europe/Stockholm,Telia Company A*,Returpack-Burk Svenska AB,AS3301 Telia Company AB
166.***.***.***,Atlanta,Georgia,United States,30***,33.749,-84.388,America/New_York,AT&T Mobility LL*,Service Provider Corporation,AS20057 AT&T Mobility LLC
165.***.***.***,Concord,California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of Americ*,"Bank of America, National Association",
69.***.***.***,New York,New York,United States,10***,40.7128,-74.006,America/New_York,"AT&T Services, Inc*",AT&T Corp,"AS7018 AT&T Services, Inc."
158.***.***.***,Vilnius,Vilnius,Lithuania,20**,54.6912,25.2816,Europe/Vilnius,Kauno Technologijos Universiteta*,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
65.***.***.***,Princeton,New Jersey,United States,85**,40.3442,-74.6635,America/New_York,Verizon Communication*,Princeton Theological/Internet,AS701 Verizon Business
28.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
156.***.***.***,Ashburn,Virginia,United States,20***,39.0469,-77.4903,America/New_York,Africa on Clou*,Cloud Innovation Ltd,AS328608 Africa on Cloud
224.***.***.***,,,,,,,,,,
184.***.***.***,Tempe,Arizona,United States,85***,33.42,-111.9128,America/Phoenix,"Akamai Technologies, Inc*","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
60.***.***.***,Auckland,Auckland,New Zealand,62*,-36.8017,174.7533,Pacific/Auckland,Sky Network Television Lt*,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
121.***.***.***,Gangbuk-gu,Seoul,South Korea,10***,37.6445,127.0037,Asia/Seoul,Korea Teleco*,Kornet,AS4766 Korea Telecom
7.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
165.***.***.***,Dallas,Texas,United States,75***,32.8242,-96.7507,America/Chicago,"Haynes and Boone, L.L.P*","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
185.***.***.***,Chisinau,Chișinău Municipality,Moldova,MD*****,47.0042,28.8574,Europe/Chisinau,SC STARNET SR*,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
202.***.***.***,Xiaolou,Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-G*,Chinanet GD,
106.***.***.***,Mumbai,Maharashtra,India,40****,19.0748,72.8856,Asia/Kolkata,Bharti Airtel Limite*,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
248.***.***.***,,,,,,,,,,
102.***.***.***,Lomé,Maritime,Togo,,6.1316,1.224,Africa/Lome,GVA Cote d'Ivoire SA*,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
100.***.***.***,,,,,,,,,,
166.***.***.***,Silver Spring,Maryland,United States,20***,39.068,-76.9933,America/New_York,Verizon Busines*,Service Provider Corporation,AS6167 Verizon Business
239.***.***.***,,,,,,,,,,
220.***.***.***,Haikou,Hainan,China,,19.9952,110.242,Asia/Shanghai,Chinane*,Hainan TELECOM,AS4134 CHINANET-BACKBONE
21.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
115.***.***.***,Zhengzhou,Henan,China,45****,34.7886,113.786,Asia/Shanghai,CERNE*,,AS4538 China Education and Research Network Center
133.***.***.***,Chiyoda,Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Toyota Industries Corporatio*,Toyota Industries Corporation,
247.***.***.***,,,,,,,,,,
21.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
232.***.***.***,,,,,,,,,,
47.***.***.***,Richlands,North Carolina,United States,28***,34.8611,-77.5885,America/New_York,Charter Communication*,Spectrum,AS20115 Charter Communications
86.***.***.***,Livingston,Scotland,United Kingdom,EH**,55.8995,-3.5237,Europe/London,BT Public Internet Servic*,,AS2856 British Telecommunications PLC
202.***.***.***,Taipei,Taiwan,Taiwan,,25.0446,121.561,Asia/Taipei,Taiwan Fixed Networ*,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
141.***.***.***,Tampere,Pirkanmaa,Finland,33***,61.4857,23.7624,Europe/Helsinki,Telia Finland Oy*,Telia Finland Oyj,AS1759 Telia Finland Oyj
54.***.***.***,Dublin,Leinster,Ireland,D0*,53.3498,-6.26031,Europe/Dublin,"Amazon.com, Inc*",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
32.***.***.***,New York,New York,United States,10***,40.7128,-74.006,America/New_York,"AT&T Services, Inc*","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
188.***.***.***,Leidschendam,South Holland,The Netherlands,22**,52.0965,4.3982,Europe/Amsterdam,T-mobile Netherland*,,AS50266 Odido Netherlands B.V.
157.***.***.***,San Francisco,California,United States,94***,37.721,-122.391,America/Los_Angeles,Fastl*,"Fastly, Inc.",
143.***.***.***,Cincinnati,Ohio,United States,45***,39.1032,-84.5053,America/New_York,The Procter and Gamble Compan*,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
179.***.***.***,Huechuraba,Santiago Metropolitan,Chile,85*****,-33.3829,-70.6214,America/Santiago,Claro Chile S.A*,Claro Chile S.A,AS27995 CLARO CHILE S.A.
132.***.***.***,Sierra Vista,Arizona,United States,85***,31.5552,-110.35,America/Phoenix,DoD Network Information Cente*,USAISC,AS306 DoD Network Information Center
142.***.***.***,Victoria,British Columbia,Canada,V8*,48.4527,-123.37,America/Vancouver,Province of British Columbi*,Province of British Columbia,AS3633 Province of British Columbia
99.***.***.***,Richmond Hill,Ontario,Canada,L4*,43.8678,-79.442,America/Toronto,Rogers Communications Canada Inc*,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
166.***.***.***,Tucson,Arizona,United States,85***,32.1453,-110.9456,America/Phoenix,City of Tucso*,City of Tucson,AS13918 City of Tucson
19.***.***.***,Dearborn,Michigan,United States,48***,42.3223,-83.1763,America/Detroit,Ford Motor Compan*,Ford Motor Company,
178.***.***.***,Donetsk,Donetsk,Ukraine,75**,48.0159,37.8028,Europe/Kiev,EAST-NET Lt*,EAST.NET Ltd.,AS50780 EAST-NET Ltd
173.***.***.***,Brewton,Alabama,United States,36***,31.1294,-87.0961,America/Chicago,Mediacom Communication*,MEDIACOM,AS30036 Mediacom Communications Corp
187.***.***.***,São Paulo,São Paulo,Brazil,01*******,-23.5558,-46.6396,America/Sao_Paulo,Viv*,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
170.***.***.***,Springfield,Massachusetts,United States,11**,42.1169,-72.5476,America/New_York,Massachusetts Mutual Life Insurance Co*,Massachusetts Mutual Life Insurance Co,
29.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
99.***.***.***,Washington,District of Columbia,United States,20***,38.9072,-77.0369,America/New_York,"AT&T Services, Inc*",AT&T Internet Services,"AS7018 AT&T Services, Inc."
135.***.***.***,London,England,United Kingdom,W1*,51.5074,-0.127758,Europe/London,Microsoft Limite*,Microsoft Limited,
244.***.***.***,,,,,,,,,,
46.***.***.***,Vienna,Vienna,Austria,10**,48.1982,16.3917,Europe/Vienna,T-Mobile Austri*,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
202.***.***.***,Tianjin,Tianjin,China,,39.1488,117.1762,Asia/Shanghai,China Education and Research Network Cente*,China Education and Research Network,AS4538 China Education and Research Network Center
25.***.***.***,London,England,United Kingdom,W1*,51.5074,-0.127758,Europe/London,UK Ministry of Defenc*,UK Ministry of Defence,
220.***.***.***,Chaowai,Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTE*,ChinaNetCenter Ltd.,
180.***.***.***,Beijing,Beijing,China,10****,39.9042,116.407,Asia/Shanghai,HWCSNE*,Huawei Public Cloud Service,
40.***.***.***,Calgary,Alberta,Canada,T2*,51.0447,-114.072,America/Edmonton,Amazon Technologies In*,Amazon Technologies Inc,
23.***.***.***,Centreville,Virginia,United States,20***,38.8397,-77.4335,America/New_York,American Registry Internet Number*,American Registry Internet Numbers,
241.***.***.***,,,,,,,,,,
156.***.***.***,Cairo,Cairo Governorate,Egypt,,30.0444,31.2357,Africa/Cairo,Etisalat Mis*,Mobile,AS36992 ETISALAT MISR
157.***.***.***,Houston,Texas,United States,77***,29.7446,-95.464,America/Chicago,Apache Corporatio*,Apache Corporation,
229.***.***.***,,,,,,,,,,
192.***.***.***,Rochester,New York,United States,14***,43.1537,-77.5667,America/New_York,IC*,"ICL, Inc.",
232.***.***.***,,,,,,,,,,
146.***.***.***,Broadmeadows,Victoria,Australia,30**,-37.6763,144.93,Australia/Melbourne,Ericsson Inc*,Eric,AS158 Ericsson Inc.
221.***.***.***,Beijing,Beijing,China,10****,39.9042,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbon*,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
135.***.***.***,Bernardsville,New Jersey,United States,79**,40.6954,-74.5785,America/New_York,Avaya Inc*,Avaya Inc.,AS18676 Avaya Inc.
74.***.***.***,Chennai,Tamil Nadu,India,60****,13.081185,80.27178,Asia/Kolkata,Microsoft Corporatio*,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
162.***.***.***,Olympia,Washington,United States,98***,46.9961,-122.7381,America/Los_Angeles,Pierce Count*,Pierce County,AS33348 Pierce County
85.***.***.***,Konopiska,Silesia,Poland,42****,50.7292,19.0119,Europe/Warsaw,"IntegraDesign, Mariusz Barczy*","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
232.***.***.***,,,,,,,,,,
178.***.***.***,Gresse,Mecklenburg-Vorpommern,Germany,19***,53.4282,10.7444,Europe/Berlin,Vodafone D2 Gmb*,ARCOR-IP,AS3209 Vodafone GmbH
110.***.***.***,Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNE*,China TieTong Telecommunications Corporation,
171.***.***.***,Concord,California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of Americ*,"Bank of America, National Association",
17.***.***.***,Maiden,North Carolina,United States,,35.5756,-81.2117,America/New_York,Apple Inc*,Apple Inc,AS714 Apple Inc.
229.***.***.***,,,,,,,,,,
58.***.***.***,Beijing,Beijing,China,10****,39.9042,116.407,Asia/Shanghai,China Unicom Shenzen networ*,HengShengChang Paper,AS17623 China Unicom Shenzen network
142.***.***.***,London,England,United Kingdom,W1*,51.5074,-0.127758,Europe/London,Bell Canad*,Bell Canada,
167.***.***.***,Fairfax,Virginia,United States,22***,38.8616,-77.2663,America/New_York,Inova Health System Foundatio*,Inova Health System Foundation,AS393861 Inova Health System Foundation
19.***.***.***,Dearborn,Michigan,United States,48***,42.3223,-83.1763,America/Detroit,Ford Motor Compan*,Ford Motor Company,
92.***.***.***,Paris,Île-de-France,France,75***,48.8566,2.35222,Europe/Paris,TVCCON*,France Telecom services,
82.***.***.***,Calais,Hauts-de-France,France,62***,50.9456,1.85376,Europe/Paris,ProXad network / Free SA*,Proxad / Free SAS,AS12322 Free SAS
110.***.***.***,Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNE*,China TieTong Telecommunications Corporation,
145.***.***.***,Eschborn,Hesse,Germany,65***,50.1313,8.57003,Europe/Berlin,ARCOR-I*,Arcor AG & Co,AS3209 Vodafone GmbH
121.***.***.***,Takasago,Saitama,Japan,33******,35.8691,139.6582,Asia/Tokyo,Sony Network Communications In*,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
76.***.***.***,New York,New York,United States,10***,40.7128,-74.006,America/New_York,"AT&T Services, Inc*",AT&T Corp,"AS7018 AT&T Services, Inc."
179.***.***.***,São Paulo,São Paulo,Brazil,01*******,-23.5558,-46.6396,America/Sao_Paulo,TIM S/*,TIM S/A,AS26615 TIM S/A
81.***.***.***,Montpellier,Occitanie,France,34***,43.6107,3.8809,Europe/Paris,Societe Francaise Du Radiotelephone - SFR S*,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
195.***.***.***,Ostbevern,North Rhine-Westphalia,Germany,48***,52.0338,7.83333,Europe/Berlin,UNI-*,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
56.***.***.***,Raleigh,North Carolina,United States,27***,35.838,-78.6122,America/New_York,United States Postal Service*,United States Postal Service,
79.***.***.***,Moscow,Moscow,Russia,12****,55.7483,37.6171,Europe/Moscow,Technology & Networks C*,Technology & Networks LLC,AS30833 Technology & Networks LLC
16.***.***.***,Palo Alto,California,United States,94***,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Compan*,Hewlett Packard Enterprise Company,
255.***.***.***,,,,,,,,,,
103.***.***.***,Seattle,Washington,United States,98***,47.4941,-122.294,America/Los_Angeles,Hostwinds LLC*,Hostwinds LLC,AS54290 Hostwinds LLC.
76.***.***.***,Greenwood Village,Colorado,United States,80***,39.6029,-104.889,America/Denver,Spectru*,Charter Communications Inc,
3.***.***.***,Frankfurt am Main,Hesse,Germany,60***,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc*,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
5.***.***.***,Jeddah,Mecca Region,Saudi Arabia,,21.4849,39.192,Asia/Riyadh,Internet Broadban*,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
176.***.***.***,Paris,Île-de-France,France,75***,48.8422,2.29277,Europe/Paris,BOUYGUES Teleco*,,AS5410 Bouygues Telecom SA
197.***.***.***,Windhoek,Khomas Region,Namibia,,-22.5562,17.0759,Africa/Windhoek,Telecom Namibi*,Telecom Namibia,AS36999 Telecom Namibia
237.***.***.***,,,,,,,,,,
56.***.***.***,Raleigh,North Carolina,United States,27***,35.838,-78.6122,America/New_York,United States Postal Service*,United States Postal Service,
131.***.***.***,Melbourne,Victoria,Australia,30**,-37.744,144.9682,Australia/Melbourne,Australian Academic and Research Networ*,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
107.***.***.***,Overland Park,Kansas,United States,66***,38.9162,-94.6618,America/Chicago,Sprint Nextel Corporatio*,Sprint Nextel Corporation,
115.***.***.***,Chiyoda,Tokyo,Japan,10******,35.6916,139.768,Asia/Tokyo,ARTERIA Networks Corporatio*,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
57.***.***.***,Seattle,Washington,United States,98***,47.6229,-122.337,America/Los_Angeles,Amazon.co*,"Amazon.com, Inc",
210.***.***.***,Tokyo,Tokyo,Japan,15******,35.6837,139.6805,Asia/Tokyo,Internet Initiative Japan Inc*,Hokkaido,AS2497 Internet Initiative Japan Inc.
33.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
22.***.***.***,Whitehall,Ohio,United States,43***,39.9747,-82.8947,America/New_York,DoD Network Information Cente*,DoD Network Information Center,AS749 DoD Network Information Center
241.***.***.***,,,,,,,,,,
179.***.***.***,Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9072,-43.1883,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltd*,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
175.***.***.***,Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. C*,North Star Information Hi.tech Ltd. Co,
206.***.***.***,Ashburn,Virginia,United States,20***,39.011,-77.4711,America/New_York,Verizon Busines*,Verizon Business,
184.***.***.***,La Crosse,Wisconsin,United States,54***,43.8138,-91.2519,America/Chicago,CenturyLin*,"CenturyLink, Inc",AS19901 Brightspeed
237.***.***.***,,,,,,,,,,
77.***.***.***,Helsinki,Uusimaa,Finland,24*,60.207,24.9207,Europe/Helsinki,Cinia O*,Cinia Oy,AS20904 Cinia Oy
