IMSI,ip_diversity,device_hopping,location_variation,net_switching,subnet_diversity,is_anomaly,risk_score
1780885576,6,6,6,3,6,1,72.27
1801664802,6,6,6,3,6,1,72.27
1806108537,2,2,2,2,2,0,16.59
1807576449,4,4,4,3,4,0,47.35
1807783368,2,2,2,2,2,0,16.59
1814336975,4,4,4,3,4,0,47.35
1815808499,2,2,2,2,2,0,16.59
1820377889,2,2,2,2,2,0,16.59
1827238264,4,4,4,2,4,0,37.74
1830671985,2,2,2,2,2,0,16.59
1840766739,4,4,4,2,4,0,37.74
1846550636,4,4,4,2,4,0,37.74
1851331178,2,2,2,1,2,0,29.47
1853608780,2,2,2,2,2,0,16.59
1862104275,4,4,4,2,4,0,37.74
1862539563,2,2,2,2,2,0,16.59
1863759980,2,2,2,1,2,0,29.47
1869656130,2,2,2,2,2,0,16.59
1873477784,4,4,4,2,4,0,37.74
1877033257,2,2,2,2,2,0,16.59
1877671294,2,2,2,2,2,0,16.59
1887114860,4,4,4,2,4,0,37.74
1889345764,4,4,4,2,4,0,37.74
1892605554,2,2,2,2,2,0,16.59
1907044519,4,4,4,2,4,0,37.74
1920297637,2,2,2,2,2,0,16.59
1922270510,4,4,4,2,4,0,37.74
1926764921,4,4,4,2,4,0,37.74
1927900684,4,4,4,3,4,0,47.35
1936006082,2,2,2,2,2,0,16.59
1942380212,2,2,2,2,2,0,16.59
1951109452,4,4,4,2,4,0,37.74
1951786318,2,2,2,2,2,0,16.59
1954062789,4,4,4,3,4,0,47.35
1967068335,2,2,2,2,2,0,16.59
1972512343,2,2,2,2,2,0,16.59
1974005643,2,2,2,2,2,0,16.59
1975370063,2,2,2,1,2,0,29.47
1983331679,2,2,2,1,2,0,29.47
1986020828,4,4,4,2,4,0,37.74
1986585102,4,4,4,1,4,1,59.46
1990342134,2,2,2,2,2,0,16.59
1995321059,2,2,2,2,2,0,16.59
1996844565,6,6,6,2,6,1,84.72
2002496854,2,2,2,2,2,0,16.59
2003791769,4,4,4,2,4,0,37.74
2010912172,2,2,2,2,2,0,16.59
2011988552,8,8,8,3,8,1,96.47
2012017402,2,2,2,1,2,0,29.47
2018190232,2,2,2,1,2,0,29.47
2031556775,2,2,2,1,2,0,29.47
2032650977,2,2,2,2,2,0,16.59
2033474246,2,2,2,2,2,0,16.59
2038069586,2,2,2,2,2,0,16.59
2044820700,2,2,2,2,2,0,16.59
2046535217,4,4,4,2,4,0,37.74
2048161133,2,2,2,1,2,0,29.47
2055543840,2,2,2,2,2,0,16.59
2058920790,2,2,2,1,2,0,29.47
2069694215,2,2,2,1,2,0,29.47
2072972231,2,2,2,2,2,0,16.59
2073564757,4,4,4,2,4,0,37.74
2080201104,4,4,4,2,4,0,37.74
2090167443,2,2,2,1,2,0,29.47
2091401693,2,2,2,2,2,0,16.59
2102735810,2,2,2,2,2,0,16.59
2109222514,2,2,2,2,2,0,16.59
2115355051,2,2,2,2,2,0,16.59
2121519045,2,2,2,2,2,0,16.59
2128133094,2,2,2,1,2,0,29.47
2136008438,2,2,2,2,2,0,16.59
2140128331,4,4,4,2,4,0,37.74
2140737308,2,2,2,2,2,0,16.59
2146100498,2,2,2,2,2,0,16.59
2149679146,2,2,2,2,2,0,16.59
2155959959,4,4,4,3,4,0,47.35
2169069685,2,2,2,1,2,0,29.47
2173683850,2,2,2,1,2,0,29.47
2198990207,2,2,2,1,2,0,29.47
2201754541,2,2,2,2,2,0,16.59
2208939560,4,4,4,3,4,0,47.35
2211118909,2,2,2,1,2,0,29.47
2211386908,4,4,4,2,4,0,37.74
2213217672,6,6,6,3,6,1,72.27
2223499801,2,2,2,2,2,0,16.59
2227111757,2,2,2,2,2,0,16.59
2236449951,2,2,2,1,2,0,29.47
2241797497,4,4,4,2,4,0,37.74
2244556523,2,2,2,2,2,0,16.59
2245933441,4,4,4,2,4,0,37.74
2246968516,2,2,2,1,2,0,29.47
2248913604,2,2,2,1,2,0,29.47
2257584836,2,2,2,1,2,0,29.47
2258313237,6,6,6,3,6,1,72.27
2284766009,4,4,4,3,4,0,47.35
2289890749,2,2,2,1,2,0,29.47
2300360722,2,2,2,2,2,0,16.59
2308554436,2,2,2,2,2,0,16.59
2310265574,4,4,4,2,4,0,37.74
2312038750,2,2,2,2,2,0,16.59
2315682342,2,2,2,2,2,0,16.59
2316600767,2,2,2,2,2,0,16.59
2317781621,2,2,2,1,2,0,29.47
2322426378,4,4,4,3,4,0,47.35
2323453356,4,4,4,3,4,0,47.35
2331081854,4,4,4,2,4,0,37.74
2331256772,6,6,6,2,6,1,84.72
2332284661,2,2,2,2,2,0,16.59
2360842296,2,2,2,2,2,0,16.59
2368866088,4,4,4,2,4,0,37.74
2370087775,2,2,2,2,2,0,16.59
2371798902,2,2,2,2,2,0,16.59
2375302849,2,2,2,2,2,0,16.59
2379312697,2,2,2,1,2,0,29.47
2391761968,2,2,2,1,2,0,29.47
2392415134,2,2,2,1,2,0,29.47
2394840027,2,2,2,1,2,0,29.47
2396597826,2,2,2,2,2,0,16.59
2400000152911,1,1,1,1,1,0,1.0
2400002786499,1,1,1,1,1,0,1.0
2400009006325,1,1,1,1,1,0,1.0
2400009143529,1,1,1,1,1,0,1.0
2400015944633,1,1,1,1,1,0,1.0
2400017067949,1,1,1,1,1,0,1.0
2400018676610,1,1,1,1,1,0,1.0
2400021912416,1,1,1,1,1,0,1.0
2400022591633,1,1,1,1,1,0,1.0
2400023706093,1,1,1,1,1,0,1.0
2400024539313,1,1,1,1,1,0,1.0
2400028674160,1,1,1,1,1,0,1.0
2400030897376,1,1,1,1,1,0,1.0
2400032730324,1,1,1,1,1,0,1.0
2400034568848,1,1,1,1,1,0,1.0
2400034713171,1,1,1,1,1,0,1.0
2400036660200,1,1,1,1,1,0,1.0
2400044415663,1,1,1,1,1,0,1.0
2400045344462,1,1,1,1,1,0,1.0
2400045358597,1,1,1,1,1,0,1.0
2400046835241,1,1,1,1,1,0,1.0
2400050674817,1,1,1,1,1,0,1.0
2400051665234,1,1,1,1,1,0,1.0
2400051844989,1,1,1,1,1,0,1.0
2400053258974,1,1,1,1,1,0,1.0
2400053782868,1,1,1,1,1,0,1.0
2400054316704,1,1,1,1,1,0,1.0
2400058561547,1,1,1,1,1,0,1.0
2400062305047,1,1,1,1,1,0,1.0
2400063353310,1,1,1,1,1,0,1.0
2400065977414,1,1,1,1,1,0,1.0
2400066890417,1,1,1,1,1,0,1.0
2400072276835,1,1,1,1,1,0,1.0
2400074614337,1,1,1,1,1,0,1.0
2400074859724,1,1,1,1,1,0,1.0
2400075079752,1,1,1,1,1,0,1.0
2400080570197,1,1,1,1,1,0,1.0
2400084075882,1,1,1,1,1,0,1.0
2400088238469,1,1,1,1,1,0,1.0
2400088943830,1,1,1,1,1,0,1.0
2400092542709,1,1,1,1,1,0,1.0
2400096258857,1,1,1,1,1,0,1.0
2400098545069,1,1,1,1,1,0,1.0
2400098633166,1,1,1,1,1,0,1.0
2400102724055,1,1,1,1,1,0,1.0
2400103801219,1,1,1,1,1,0,1.0
2400107867605,1,1,1,1,1,0,1.0
2400107932265,1,1,1,1,1,0,1.0
2400108965461,1,1,1,1,1,0,1.0
2400109557538,1,1,1,1,1,0,1.0
2400111391548,1,1,1,1,1,0,1.0
2400111566311,1,1,1,1,1,0,1.0
2400115360964,1,1,1,1,1,0,1.0
2400121991499,1,1,1,1,1,0,1.0
2400123503687,1,1,1,1,1,0,1.0
2400124931645,1,1,1,1,1,0,1.0
2400127712771,1,1,1,1,1,0,1.0
2400127896951,1,1,1,1,1,0,1.0
2400130716753,1,1,1,1,1,0,1.0
2400133989309,1,1,1,1,1,0,1.0
2400144641972,1,1,1,1,1,0,1.0
2400145700401,1,1,1,1,1,0,1.0
2400146159700,1,1,1,1,1,0,1.0
2400147546926,1,1,1,1,1,0,1.0
2400150343162,1,1,1,1,1,0,1.0
2400155972056,1,1,1,1,1,0,1.0
2400164261070,1,1,1,1,1,0,1.0
2400165276136,1,1,1,1,1,0,1.0
2400168107137,1,1,1,1,1,0,1.0
2400177491928,1,1,1,1,1,0,1.0
2400180138052,1,1,1,1,1,0,1.0
2400180589359,1,1,1,1,1,0,1.0
2400180867522,1,1,1,1,1,0,1.0
2400181444248,1,1,1,1,1,0,1.0
2400181749731,1,1,1,1,1,0,1.0
2400183274031,1,1,1,1,1,0,1.0
2400184766995,1,1,1,1,1,0,1.0
2400187472913,1,1,1,1,1,0,1.0
2400188149774,1,1,1,1,1,0,1.0
2400192271662,1,1,1,1,1,0,1.0
2400193868226,1,1,1,1,1,0,1.0
2400196797209,1,1,1,1,1,0,1.0
2400203571343,1,1,1,1,1,0,1.0
2400206515720,1,1,1,1,1,0,1.0
2400212886652,1,1,1,1,1,0,1.0
2400213671603,1,1,1,1,1,0,1.0
2400215013433,1,1,1,1,1,0,1.0
2400215234841,1,1,1,1,1,0,1.0
2400218645982,1,1,1,1,1,0,1.0
2400220976465,1,1,1,1,1,0,1.0
2400221239551,1,1,1,1,1,0,1.0
2400221318960,1,1,1,1,1,0,1.0
2400222097550,1,1,1,1,1,0,1.0
2400223569725,1,1,1,1,1,0,1.0
2400227746903,1,1,1,1,1,0,1.0
2400229308485,1,1,1,1,1,0,1.0
2400230423338,1,1,1,1,1,0,1.0
2400232510715,1,1,1,1,1,0,1.0
2400232852124,1,1,1,1,1,0,1.0
2400235120945,1,1,1,1,1,0,1.0
2400235217921,1,1,1,1,1,0,1.0
2400237561904,1,1,1,1,1,0,1.0
2400238728807,1,1,1,1,1,0,1.0
2400241300788,1,1,1,1,1,0,1.0
2400244407319,1,1,1,1,1,0,1.0
2400244628826,1,1,1,1,1,0,1.0
2400248374441,1,1,1,1,1,0,1.0
2400252854613,1,1,1,1,1,0,1.0
2400256342160,1,1,1,1,1,0,1.0
2400257252045,1,1,1,1,1,0,1.0
2400258366824,1,1,1,1,1,0,1.0
2400258988108,1,1,1,1,1,0,1.0
2400261554277,1,1,1,1,1,0,1.0
2400268117758,1,1,1,1,1,0,1.0
2400268387890,1,1,1,1,1,0,1.0
2400268717584,1,1,1,1,1,0,1.0
2400277217931,1,1,1,1,1,0,1.0
2400278634876,1,1,1,1,1,0,1.0
2400281406937,1,1,1,1,1,0,1.0
2400282976722,1,1,1,1,1,0,1.0
2400284052185,1,1,1,1,1,0,1.0
2400284416169,1,1,1,1,1,0,1.0
2400285953887,1,1,1,1,1,0,1.0
2400286653581,1,1,1,1,1,0,1.0
2400287447706,1,1,1,1,1,0,1.0
2400288314914,1,1,1,1,1,0,1.0
2400290846684,1,1,1,1,1,0,1.0
2400291209765,1,1,1,1,1,0,1.0
2400291542594,1,1,1,1,1,0,1.0
2400297806782,1,1,1,1,1,0,1.0
2400300451297,1,1,1,1,1,0,1.0
2400300604519,1,1,1,1,1,0,1.0
2400302930112,1,1,1,1,1,0,1.0
2400305641395,1,1,1,1,1,0,1.0
2400305687094,1,1,1,1,1,0,1.0
2400306442121,1,1,1,1,1,0,1.0
2400308922906,1,1,1,1,1,0,1.0
2400310519681,1,1,1,1,1,0,1.0
2400315892584,1,1,1,1,1,0,1.0
2400318672075,1,1,1,1,1,0,1.0
2400326249864,1,1,1,1,1,0,1.0
2400328267354,1,1,1,1,1,0,1.0
2400336936834,1,1,1,1,1,0,1.0
2400337469833,1,1,1,1,1,0,1.0
2400340971814,1,1,1,1,1,0,1.0
2400356899108,1,1,1,1,1,0,1.0
2400357431891,1,1,1,1,1,0,1.0
2400362792463,1,1,1,1,1,0,1.0
2400363235185,1,1,1,1,1,0,1.0
2400369061550,1,1,1,1,1,0,1.0
2400369711798,1,1,1,1,1,0,1.0
2400371616088,1,1,1,1,1,0,1.0
2400373600145,1,1,1,1,1,0,1.0
2400376329403,1,1,1,1,1,0,1.0
2400377107044,1,1,1,1,1,0,1.0
2400378101032,1,1,1,1,1,0,1.0
2400378467970,1,1,1,1,1,0,1.0
2400384531980,1,1,1,1,1,0,1.0
2400386157423,1,1,1,1,1,0,1.0
2400392519994,1,1,1,1,1,0,1.0
2400393272751,1,1,1,1,1,0,1.0
2400397524508,1,1,1,1,1,0,1.0
2400397621188,1,1,1,1,1,0,1.0
2400398688635,1,1,1,1,1,0,1.0
2400398863653,1,1,1,1,1,0,1.0
