City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,User_Token
Reston,Virginia,United States,20196,38.9517,-77.3776,America/New_York,Sprint,Sprint,,4d49053a057f
Banqiao,Taipei,Taiwan,,25.0114,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd.",fed3eb17386d
,,,,,,,,,,e0b6d8778c19
Fort Collins,Colorado,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA,d7cc3d86caa9
Minatomirai,Kanagawa,Japan,220-0011,35.4643,139.6262,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation,db08961768cc
Ōtemae,Ōsaka,Japan,540-0001,34.6837,135.5236,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,d90a3eaac21b
,,,,,,,,,,7ee951b42fed
Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone,9e42ac8ccdcf
Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",57104fc4acc9
Ayamonte,Andalusia,Spain,21400,37.2109,-7.4017,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA,4e52873e3074
,,,,,,,,,,38c22ec16a65
Juiz de Fora,Minas Gerais,Brazil,36000,-21.744,-43.434,America/Sao_Paulo,V tal,V tal,AS7738 V tal,939bf84e0edb
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center,452fe5b009b5
,,,,,,,,,,bd22637757dc
Lamar,Colorado,United States,81052,38.0833,-102.6236,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC",814627b73fca
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,5e95f90a57ef
Seattle,Washington,United States,98109,47.6222,-122.337,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,,c84e2ae1acec
Paris,Île-de-France,France,75009,48.8323,2.4075,Europe/Paris,Orange,,AS3215 Orange S.A.,e168bb4e1ce5
Green Bay,Wisconsin,United States,54311,44.4965,-87.9266,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc,fca3de5cb5e7
Bradley Stoke,England,United Kingdom,BS32,51.5485,-2.55766,Europe/London,EE Limited,,,254a83a25012
,,,,,,,,,,7f26fd1f7485
Grenoble,Auvergne-Rhône-Alpes,France,38000,45.2069,5.69253,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater,3552fb59d63a
Sao Cristovao,Rio de Janeiro,Brazil,,-22.9027,-43.2194,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A,f330fd3694c9
Shenzhen,Guangdong,China,,22.5431,114.058,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",e9e13b9c7d7d
,,,,,,,,,,2dd947764e08
Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,f95aae5aaf10
Madrid,Madrid,Spain,28050,40.4506,-3.60236,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.,0121afcfce76
Barcelona,Catalonia,Spain,8005,41.3949,2.19746,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A.",abc4ca52a74e
Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",807833775609
Schiphol-Rijk,North Holland,The Netherlands,1119,52.277,4.74713,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.,0090b25c43f5
Yokohama,Kanagawa,Japan,231-0841,35.4346,139.6483,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",2f7d9b86ee0b
Suyeong-gu,Busan,South Korea,482,35.1811,129.0928,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,523811930e37
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center,255349faba4d
Madison,Wisconsin,United States,53717,43.0723,-89.524,America/Chicago,Wingra Technologies,,,c9d6a6ffef6e
Quanzhou,Fujian,China,,24.9051,118.5707,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE,baba34809d8c
Damascus,Damascus Governorate,Syria,,33.5138,36.2765,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company,8b39ab1fdba7
Anchorage,Alaska,United States,99501,61.2314,-149.881,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc.",35054d7ce094
Orlando,Florida,United States,32801,28.5436,-81.3738,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint,2e7b41de5b12
Caldas,Minas Gerais,Brazil,37780,-21.8845,-46.3613,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A,cd59384d1010
Caracas,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela",2a9bbfe07029
Rho,Lombardy,Italy,20017,45.5189,9.086,Europe/Rome,H3G,Wind TRE S.P.A,,7ac4cfeeb238
Bremen,Bremen,Germany,28195,53.0832,8.78828,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,b37387010956
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation,36f35c5c2671
,,,,,,,,,,822eb429c757
Malang,East Java,Indonesia,,-7.93998,112.632,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi,0f8f004555d8
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,535cb91f58eb
Frankfurt am Main,Hesse,Germany,60313,50.1188,8.6843,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc,9f96eac8bc0d
Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network,09ed1c7a470b
Austin,Texas,United States,78741,30.2304,-97.7243,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.,ec102d4fba03
Peterborough,Ontario,Canada,K9H,44.3221,-78.318,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.,8033d9af90ab
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,TalkTalk,TalkTalk Communications Limited,,c74fce17d237
Chicago,Illinois,United States,60602,41.8874,-87.6318,America/Chicago,Microsoft Limited,Microsoft Limited,,da29bdcfe3d6
Louisville,Kentucky,United States,40219,38.1966,-85.6568,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business,c329cb31930d
Chiyoda,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",,4a74da032b04
New York,New York,United States,10271,40.7085,-74.0106,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,,41fae30a2bab
Skellefteå,Västerbotten County,Sweden,931 55,64.7472,20.9529,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB,faa6896a3bb8
Atlanta,Georgia,United States,30302,33.749,-84.388,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC,e8facf3b1c3d
Concord,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",,645c7021ef6b
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",16d8c8150392
Vilnius,Vilnius,Lithuania,2007,54.6912,25.2816,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas,54c68a2b4882
Princeton,New Jersey,United States,8540,40.3442,-74.6635,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business,f8a0e958959e
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,f8b0e12de8dc
Ashburn,Virginia,United States,20149,39.0469,-77.4903,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud,20edf9d9934c
,,,,,,,,,,aee7cc85fedd
Tempe,Arizona,United States,85285,33.42,-111.9128,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc.",a5e112a59d97
Auckland,Auckland,New Zealand,627,-36.8017,174.7533,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd,616f898567a5
Gangbuk-gu,Seoul,South Korea,10,37.6445,127.0037,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,f2b375d21dcc
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,50c17c9f53d1
Dallas,Texas,United States,75214,32.8242,-96.7507,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P.",4d750c0a6304
Chisinau,Chișinău Municipality,Moldova,MD-2000,47.0042,28.8574,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL,9313085523cd
Xiaolou,Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,,23f89013dd6e
Mumbai,Maharashtra,India,400078,19.0748,72.8856,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service,27be62e647ad
,,,,,,,,,,828b4ed168bb
Lomé,Maritime,Togo,,6.1316,1.224,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS,0cd12b5a053d
,,,,,,,,,,34cfa1ac685f
Silver Spring,Maryland,United States,20904,39.068,-76.9933,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business,0d4b7cfedbb2
,,,,,,,,,,6823895d7516
Haikou,Hainan,China,,19.9952,110.242,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE,80fdbbfce252
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,b12714e8676b
Zhengzhou,Henan,China,450000,34.7886,113.786,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center,53b764d62d4b
Chiyoda,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,,de640dc28d97
,,,,,,,,,,4dba490c2857
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,9e54876f6502
,,,,,,,,,,eee13f840d0a
Richlands,North Carolina,United States,28574,34.8611,-77.5885,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications,0a5770533823
Livingston,Scotland,United Kingdom,EH54,55.8995,-3.5237,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC,1c58ee060ceb
Taipei,Taiwan,Taiwan,,25.0446,121.561,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider.",a28dcc18d27a
Tampere,Pirkanmaa,Finland,33900,61.4857,23.7624,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj,4e152e99881f
Dublin,Leinster,Ireland,D02,53.3498,-6.26031,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc.",61c476b8f3ac
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc.",4f96017aa94c
Leidschendam,South Holland,The Netherlands,2263,52.0965,4.3982,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.,da93bb977c03
San Francisco,California,United States,94107,37.721,-122.391,America/Los_Angeles,Fastly,"Fastly, Inc.",,9247bf767e14
Cincinnati,Ohio,United States,45201,39.1032,-84.5053,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company,e3ab32376a08
Huechuraba,Santiago Metropolitan,Chile,8580000,-33.3829,-70.6214,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.,7c9db8ab1948
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center,fc3bebbda5f4
Victoria,British Columbia,Canada,V8T,48.4527,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia,6f110c5664f9
Richmond Hill,Ontario,Canada,L4C,43.8678,-79.442,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.,15eab49479b8
Tucson,Arizona,United States,85706,32.1453,-110.9456,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson,22fbb751b098
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,cbcaa4392598
Donetsk,Donetsk,Ukraine,7512,48.0159,37.8028,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd,a7356d20a61e
Brewton,Alabama,United States,36426,31.1294,-87.0961,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp,d67b1bd08ffc
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A,bee20300974f
Springfield,Massachusetts,United States,1111,42.1169,-72.5476,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,,fd0a9c52ba9a
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,c7029d2f75cd
Washington,District of Columbia,United States,20068,38.9072,-77.0369,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc.",53fc3fee83ed
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Limited,Microsoft Limited,,680bf328bf60
,,,,,,,,,,a6badade5893
Vienna,Vienna,Austria,1030,48.1982,16.3917,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH,641f0c4b57a0
Tianjin,Tianjin,China,,39.1488,117.1762,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center,c0aa263e9cec
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,,f0eb20a53968
Chaowai,Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,,f2121c31a2d8
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,,8fa8e690ae67
Calgary,Alberta,Canada,T2R,51.0447,-114.072,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,,635cd4b58303
Centreville,Virginia,United States,20120,38.8397,-77.4335,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,,bdf458fe0d6a
,,,,,,,,,,e6302f605dc1
Cairo,Cairo Governorate,Egypt,,30.0444,31.2357,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR,347536cd75d7
Houston,Texas,United States,77056,29.7446,-95.464,America/Chicago,Apache Corporation,Apache Corporation,,0da9a3c739e7
,,,,,,,,,,e37eb3513971
Rochester,New York,United States,14609,43.1537,-77.5667,America/New_York,ICL,"ICL, Inc.",,9e910d70c79e
,,,,,,,,,,3fbe779434ad
Broadmeadows,Victoria,Australia,3047,-37.6763,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.,cce66b00dba3
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone,6b94c4a1eee5
Bernardsville,New Jersey,United States,7920,40.6954,-74.5785,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.,8815c67684b8
Chennai,Tamil Nadu,India,600001,13.081185,80.27178,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation,0a9a9e77deef
Olympia,Washington,United States,98513,46.9961,-122.7381,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County,f453cd2d0e9d
Konopiska,Silesia,Poland,42-274,50.7292,19.0119,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk",5e69264e0f8c
,,,,,,,,,,ecb15f897eae
Gresse,Mecklenburg-Vorpommern,Germany,19258,53.4282,10.7444,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH,d49e1750ac71
Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,,e5d6c83f881d
Concord,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",,815cccb127b2
Maiden,North Carolina,United States,,35.5756,-81.2117,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.,3e4a1e44ef07
,,,,,,,,,,225a89b9d9ec
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network,27efd2ffe9fb
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Bell Canada,Bell Canada,,0a441d41db95
Fairfax,Virginia,United States,22031,38.8616,-77.2663,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation,9b82b758cbfd
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,384762cd94fd
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,TVCCONV,France Telecom services,,d218c1f492fc
Calais,Hauts-de-France,France,62100,50.9456,1.85376,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS,ea0e15417970
Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,,04757bc1a3de
Eschborn,Hesse,Germany,65760,50.1313,8.57003,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH,9a58e06c4eb3
Takasago,Saitama,Japan,330-9301,35.8691,139.6582,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.,fd85a3593a4a
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",ab2d39c204f0
São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A,fe3b383f53e7
Montpellier,Occitanie,France,34070,43.6107,3.8809,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA,e238b42d163b
Ostbevern,North Rhine-Westphalia,Germany,48346,52.0338,7.83333,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH,f15c73bb6033
Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,98d5e71bd2f9
Moscow,Moscow,Russia,125310,55.7483,37.6171,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC,0473b864dede
Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,,0cfe0bd6f9b0
,,,,,,,,,,66b7f83da13f
Seattle,Washington,United States,98168,47.4941,-122.294,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.,8158658707ce
Greenwood Village,Colorado,United States,80111,39.6029,-104.889,America/Denver,Spectrum,Charter Communications Inc,,edb91c318c43
Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc.",2a03ba4d6438
Jeddah,Mecca Region,Saudi Arabia,,21.4849,39.192,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company",8291625910e5
Paris,Île-de-France,France,75015,48.8422,2.29277,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA,a7f9cbcb6d01
Windhoek,Khomas Region,Namibia,,-22.5562,17.0759,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia,6595e7829f8e
,,,,,,,,,,e29cf9f24686
Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,,6117e608cc35
Melbourne,Victoria,Australia,3058,-37.744,144.9682,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet),437764e39e80
Overland Park,Kansas,United States,66251,38.9162,-94.6618,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,,cee563e9dc16
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation,cf438f6422fc
Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",,1aaea41794bc
Tokyo,Tokyo,Japan,151-0071,35.6837,139.6805,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.,39f987d775f0
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,29f914d590c1
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,ee91fdf755d3
,,,,,,,,,,32a9cbc011ad
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9072,-43.1883,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda,1d316bb071ff
Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,,80787f9e2957
Ashburn,Virginia,United States,20147,39.011,-77.4711,America/New_York,Verizon Business,Verizon Business,,e2df28e2ddff
La Crosse,Wisconsin,United States,54601,43.8138,-91.2519,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed,4bb00c0623ef
,,,,,,,,,,9d51e7bc6e8d
