Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Kanagawa,Japan,23******,35.435,139.648,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Busan,South Korea,48*,35.181,129.093,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Arizona,United States,85***,31.555,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Wisconsin,United States,53***,43.072,-89.524,America/Chicago,Wingra Technologies,,
Fujian,China,,24.905,118.571,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus Governorate,Syria,,33.514,36.276,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Alaska,United States,99***,61.231,-149.881,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Florida,United States,32***,28.544,-81.374,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Minas Gerais,Brazil,37***,-21.884,-46.361,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Miranda,Venezuela,,10.497,-66.845,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Lombardy,Italy,20***,45.519,9.086,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Germany,28***,53.083,8.788,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Virginia,United States,23***,36.678,-78.375,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,
East Java,Indonesia,,-7.94,112.632,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Hesse,Germany,60***,50.119,8.684,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,China,,39.911,116.395,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Texas,United States,78***,30.23,-97.724,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Ontario,Canada,K9*,44.322,-78.318,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
England,United Kingdom,W1*,51.507,-0.128,Europe/London,TalkTalk,TalkTalk Communications Limited,
Illinois,United States,60***,41.887,-87.632,America/Chicago,Microsoft Limited,Microsoft Limited,
Kentucky,United States,40***,38.197,-85.657,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,United States,10***,40.708,-74.011,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Västerbotten County,Sweden,93****,64.747,20.953,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Georgia,United States,30***,33.749,-84.388,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Lithuania,20**,54.691,25.282,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
New Jersey,United States,85**,40.344,-74.664,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Virginia,United States,20***,39.047,-77.49,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,
Arizona,United States,85***,33.42,-111.913,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,New Zealand,62*,-36.802,174.753,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Seoul,South Korea,10***,37.644,127.004,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Texas,United States,75***,32.824,-96.751,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chișinău Municipality,Moldova,MD*****,47.004,28.857,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Maharashtra,India,40****,19.075,72.886,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,
Maritime,Togo,,6.132,1.224,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,
Maryland,United States,20***,39.068,-76.993,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,
Hainan,China,,19.995,110.242,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Henan,China,45****,34.789,113.786,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
North Carolina,United States,28***,34.861,-77.588,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Scotland,United Kingdom,EH**,55.9,-3.524,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taiwan,Taiwan,,25.045,121.561,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Pirkanmaa,Finland,33***,61.486,23.762,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Leinster,Ireland,D0*,53.35,-6.26,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
South Holland,The Netherlands,22**,52.096,4.398,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
California,United States,94***,37.721,-122.391,America/Los_Angeles,Fastly,"Fastly, Inc.",
Ohio,United States,45***,39.103,-84.505,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Santiago Metropolitan,Chile,85*****,-33.383,-70.621,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Arizona,United States,85***,31.555,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
British Columbia,Canada,V8*,48.453,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Ontario,Canada,L4*,43.868,-79.442,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Arizona,United States,85***,32.145,-110.946,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Ukraine,75**,48.016,37.803,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Alabama,United States,36***,31.129,-87.096,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Massachusetts,United States,11**,42.117,-72.548,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
District of Columbia,United States,20***,38.907,-77.037,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
England,United Kingdom,W1*,51.507,-0.128,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,
Vienna,Austria,10**,48.198,16.392,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,China,,39.149,117.176,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
England,United Kingdom,W1*,51.507,-0.128,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,China,10****,39.904,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Alberta,Canada,T2*,51.045,-114.072,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Virginia,United States,20***,38.84,-77.434,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,
Cairo Governorate,Egypt,,30.044,31.236,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Texas,United States,77***,29.745,-95.464,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,
New York,United States,14***,43.154,-77.567,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,
Victoria,Australia,30**,-37.676,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,China,10****,39.904,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
New Jersey,United States,79**,40.695,-74.578,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Tamil Nadu,India,60****,13.081,80.272,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Washington,United States,98***,46.996,-122.738,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Silesia,Poland,42****,50.729,19.012,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,
Mecklenburg-Vorpommern,Germany,19***,53.428,10.744,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Beijing,China,,39.914,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
North Carolina,United States,,35.576,-81.212,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,
Beijing,China,10****,39.904,116.407,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
England,United Kingdom,W1*,51.507,-0.128,Europe/London,Bell Canada,Bell Canada,
Virginia,United States,22***,38.862,-77.266,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
Île-de-France,France,75***,48.857,2.352,Europe/Paris,TVCCONV,France Telecom services,
Hauts-de-France,France,62***,50.946,1.854,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Beijing,China,,39.914,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Hesse,Germany,65***,50.131,8.57,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Saitama,Japan,33******,35.869,139.658,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Occitanie,France,34***,43.611,3.881,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
North Rhine-Westphalia,Germany,48***,52.034,7.833,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
North Carolina,United States,27***,35.838,-78.612,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Russia,12****,55.748,37.617,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
California,United States,94***,37.415,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,
Washington,United States,98***,47.494,-122.294,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Colorado,United States,80***,39.603,-104.889,America/Denver,Spectrum,Charter Communications Inc,
Hesse,Germany,60***,50.111,8.682,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Mecca Region,Saudi Arabia,,21.485,39.192,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Île-de-France,France,75***,48.842,2.293,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Khomas Region,Namibia,,-22.556,17.076,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,
North Carolina,United States,27***,35.838,-78.612,America/New_York,United States Postal Service.,United States Postal Service,
Victoria,Australia,30**,-37.744,144.968,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Kansas,United States,66***,38.916,-94.662,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Tokyo,Japan,10******,35.692,139.768,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Washington,United States,98***,47.623,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Japan,15******,35.684,139.68,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
Rio de Janeiro,Brazil,,-22.907,-43.188,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Virginia,United States,20***,39.011,-77.471,America/New_York,Verizon Business,Verizon Business,
Wisconsin,United States,54***,43.814,-91.252,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,
Uusimaa,Finland,24*,60.207,24.921,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Baden-Wurttemberg,Germany,70***,48.786,9.238,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
North Carolina,United States,27***,35.905,-78.857,America/New_York,IBM,IBM,
São Paulo,Brazil,10**,-23.628,-46.641,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
North Carolina,United States,28***,35.307,-80.731,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Hesse,Germany,60***,50.119,8.684,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,
,,,,,,,,
Free and Hanseatic City of Hamburg,Germany,20***,53.551,9.994,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Iowa,United States,50***,41.591,-93.621,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,
Andalusia,Spain,29***,36.547,-4.612,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Central Java,Indonesia,,-7.705,110.602,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Gyeonggi-do,South Korea,13***,37.364,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,40.099,-83.114,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
New South Wales,Australia,10**,-33.869,151.209,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Alabama,United States,36***,32.403,-86.238,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
England,United Kingdom,CR*,51.387,-0.16,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Free and Hanseatic City of Hamburg,Germany,22***,53.576,10.017,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
England,United Kingdom,W1*,51.507,-0.128,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Illinois,United States,60***,41.718,-87.979,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Washington,United States,98***,47.597,-122.328,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
New Jersey,United States,70**,40.854,-74.106,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,United States,10***,40.713,-74.006,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Tokyo,Japan,10******,35.663,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
Kyoto,Japan,61******,34.848,135.792,Asia/Tokyo,"Kintetsu Cable Network Co., Ltd.","Kintetsu Cable Network, Ltd","AS18081 Kintetsu Cable Network Co., Ltd."
,,,,,,,,
England,United Kingdom,HP**,51.657,-0.718,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
,,,,,,,,
Tokyo,Japan,10******,35.691,139.77,Asia/Tokyo,D-cruise,Toyota Systems Corporation,AS7687 TOYOTA DIGITAL CRUISE.INCORPORATED
California,United States,94***,37.871,-122.271,America/Los_Angeles,BARRA,BARRA,
Guangxi,China,,23.725,108.808,Asia/Shanghai,Chinanet,Chinanet GX,AS4134 CHINANET-BACKBONE
Illinois,United States,60***,41.878,-87.63,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
,,,,,,,,
Washington,United States,98***,47.606,-122.332,America/Los_Angeles,"Wayport, LLC","Wayport, Inc.",AS14654 AT&T Corp.
Missouri,United States,65***,38.567,-92.254,America/Chicago,University of Missouri - dba the Missouri Research and Education Network,Lincoln University,AS2572 University of Missouri - dba the Missouri Research and Education Network (MOREnet)
Oregon,United States,97***,45.524,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc."
Mexico City,Mexico,11**,19.4,-99.207,America/Mexico_City,UNINET,Gestión de direccionamiento UniNet,AS8151 UNINET
,,,,,,,,
Victoria,Australia,30**,-37.814,144.963,Australia/Melbourne,Uniware Managed Services Pty Ltd,Uniware Managed Services Pty Ltd,AS45601 Uniware Managed Services Pty Ltd
Tennessee,United States,37***,35.038,-85.293,America/New_York,Peace Communications LLC,Peace Communications LLC,AS6203 Peace Communications LLC
Guangdong,China,,23.379,113.763,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE
Beijing,China,,39.918,116.362,Asia/Shanghai,CNC Group CncNet,,
North Chungcheong,South Korea,28***,36.82,127.656,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Zhejiang,China,,29.878,121.552,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE
,,,,,,,,
Tokyo,Japan,13******,35.703,139.831,Asia/Tokyo,Internet Initiative Japan,Internet Initiative Japan Inc.,"AS131916 Tokyo Bay Network Co.,Ltd."
