Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Taipei,Taiwan,,25.01,121.46,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
,,,,,,,,
Colorado,United States,80***,40.56,-105.08,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
Kanagawa,Japan,22******,35.46,139.63,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
Ōsaka,Japan,54******,34.68,135.52,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
,,,,,,,,
Henan,China,45****,34.75,113.62,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
Illinois,United States,60***,41.88,-87.63,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
Andalusia,Spain,21***,37.21,-7.4,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
,,,,,,,,
Minas Gerais,Brazil,36***,-21.74,-43.43,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Arizona,United States,85***,31.56,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
,,,,,,,,
Colorado,United States,81***,38.08,-102.62,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,United States,98***,47.62,-122.34,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
Île-de-France,France,75***,48.83,2.41,Europe/Paris,Orange,,AS3215 Orange S.A.
Wisconsin,United States,54***,44.5,-87.93,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
England,United Kingdom,BS**,51.55,-2.56,Europe/London,EE Limited,,
,,,,,,,,
Auvergne-Rhône-Alpes,France,38***,45.21,5.69,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
Rio de Janeiro,Brazil,,-22.9,-43.22,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
Guangdong,China,,22.54,114.06,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
,,,,,,,,
Beijing,China,,39.9,116.33,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Madrid,Spain,28***,40.45,-3.6,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
Catalonia,Spain,80**,41.39,2.2,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
Guangdong,China,,22.56,114.06,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
North Holland,The Netherlands,11**,52.28,4.75,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
Kanagawa,Japan,23******,35.43,139.65,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
Busan,South Korea,48*,35.18,129.09,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Arizona,United States,85***,31.56,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
Wisconsin,United States,53***,43.07,-89.52,America/Chicago,Wingra Technologies,,
Fujian,China,,24.91,118.57,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
Damascus Governorate,Syria,,33.51,36.28,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
Alaska,United States,99***,61.23,-149.88,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
Florida,United States,32***,28.54,-81.37,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
Minas Gerais,Brazil,37***,-21.88,-46.36,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
Miranda,Venezuela,,10.5,-66.84,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
Lombardy,Italy,20***,45.52,9.09,Europe/Rome,H3G,Wind TRE S.P.A,
Bremen,Germany,28***,53.08,8.79,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
Virginia,United States,23***,36.68,-78.37,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
,,,,,,,,
East Java,Indonesia,,-7.94,112.63,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Hesse,Germany,60***,50.12,8.68,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
Beijing,China,,39.91,116.4,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
Texas,United States,78***,30.23,-97.72,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
Ontario,Canada,K9*,44.32,-78.32,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
England,United Kingdom,W1*,51.51,-0.13,Europe/London,TalkTalk,TalkTalk Communications Limited,
Illinois,United States,60***,41.89,-87.63,America/Chicago,Microsoft Limited,Microsoft Limited,
Kentucky,United States,40***,38.2,-85.66,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
Tokyo,Japan,10******,35.69,139.75,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
New York,United States,10***,40.71,-74.01,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
Västerbotten County,Sweden,93****,64.75,20.95,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
Georgia,United States,30***,33.75,-84.39,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
California,United States,94***,37.97,-122.03,America/Los_Angeles,Bank of America,"Bank of America, National Association",
New York,United States,10***,40.71,-74.01,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
Vilnius,Lithuania,20**,54.69,25.28,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
New Jersey,United States,85**,40.34,-74.66,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Virginia,United States,20***,39.05,-77.49,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
,,,,,,,,
Arizona,United States,85***,33.42,-111.91,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
Auckland,New Zealand,62*,-36.8,174.75,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
Seoul,South Korea,10***,37.64,127.0,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Texas,United States,75***,32.82,-96.75,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
Chișinău Municipality,Moldova,MD*****,47.0,28.86,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
Guangdong,China,,23.38,113.76,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Maharashtra,India,40****,19.07,72.89,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,
Maritime,Togo,,6.13,1.22,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,
Maryland,United States,20***,39.07,-76.99,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,
Hainan,China,,20.0,110.24,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Henan,China,45****,34.79,113.79,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Tokyo,Japan,10******,35.69,139.75,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
North Carolina,United States,28***,34.86,-77.59,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Scotland,United Kingdom,EH**,55.9,-3.52,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taiwan,Taiwan,,25.04,121.56,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Pirkanmaa,Finland,33***,61.49,23.76,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Leinster,Ireland,D0*,53.35,-6.26,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,United States,10***,40.71,-74.01,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
South Holland,The Netherlands,22**,52.1,4.4,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
California,United States,94***,37.72,-122.39,America/Los_Angeles,Fastly,"Fastly, Inc.",
Ohio,United States,45***,39.1,-84.51,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Santiago Metropolitan,Chile,85*****,-33.38,-70.62,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Arizona,United States,85***,31.56,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
British Columbia,Canada,V8*,48.45,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Ontario,Canada,L4*,43.87,-79.44,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Arizona,United States,85***,32.15,-110.95,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Michigan,United States,48***,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Ukraine,75**,48.02,37.8,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Alabama,United States,36***,31.13,-87.1,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,Brazil,01*******,-23.56,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Massachusetts,United States,11**,42.12,-72.55,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
District of Columbia,United States,20***,38.91,-77.04,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
England,United Kingdom,W1*,51.51,-0.13,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,
Vienna,Austria,10**,48.2,16.39,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,China,,39.15,117.18,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
England,United Kingdom,W1*,51.51,-0.13,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Beijing,China,,39.96,116.46,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,China,10****,39.9,116.41,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Alberta,Canada,T2*,51.04,-114.07,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Virginia,United States,20***,38.84,-77.43,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,
Cairo Governorate,Egypt,,30.04,31.24,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Texas,United States,77***,29.74,-95.46,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,
New York,United States,14***,43.15,-77.57,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,
Victoria,Australia,30**,-37.68,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,China,10****,39.9,116.41,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
New Jersey,United States,79**,40.7,-74.58,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Tamil Nadu,India,60****,13.08,80.27,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Washington,United States,98***,47.0,-122.74,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Silesia,Poland,42****,50.73,19.01,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,
Mecklenburg-Vorpommern,Germany,19***,53.43,10.74,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Beijing,China,,39.91,116.36,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
California,United States,94***,37.97,-122.03,America/Los_Angeles,Bank of America,"Bank of America, National Association",
North Carolina,United States,,35.58,-81.21,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,
Beijing,China,10****,39.9,116.41,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
England,United Kingdom,W1*,51.51,-0.13,Europe/London,Bell Canada,Bell Canada,
Virginia,United States,22***,38.86,-77.27,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Michigan,United States,48***,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
Île-de-France,France,75***,48.86,2.35,Europe/Paris,TVCCONV,France Telecom services,
Hauts-de-France,France,62***,50.95,1.85,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Beijing,China,,39.91,116.36,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Hesse,Germany,65***,50.13,8.57,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Saitama,Japan,33******,35.87,139.66,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,United States,10***,40.71,-74.01,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,Brazil,01*******,-23.56,-46.64,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Occitanie,France,34***,43.61,3.88,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
North Rhine-Westphalia,Germany,48***,52.03,7.83,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
North Carolina,United States,27***,35.84,-78.61,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Russia,12****,55.75,37.62,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
California,United States,94***,37.41,-122.15,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,
Washington,United States,98***,47.49,-122.29,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Colorado,United States,80***,39.6,-104.89,America/Denver,Spectrum,Charter Communications Inc,
Hesse,Germany,60***,50.11,8.68,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Mecca Region,Saudi Arabia,,21.48,39.19,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Île-de-France,France,75***,48.84,2.29,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Khomas Region,Namibia,,-22.56,17.08,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,
North Carolina,United States,27***,35.84,-78.61,America/New_York,United States Postal Service.,United States Postal Service,
Victoria,Australia,30**,-37.74,144.97,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Kansas,United States,66***,38.92,-94.66,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Tokyo,Japan,10******,35.69,139.77,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Washington,United States,98***,47.62,-122.34,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Japan,15******,35.68,139.68,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,
Rio de Janeiro,Brazil,,-22.91,-43.19,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Beijing,China,,39.9,116.33,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Virginia,United States,20***,39.01,-77.47,America/New_York,Verizon Business,Verizon Business,
Wisconsin,United States,54***,43.81,-91.25,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,
Uusimaa,Finland,24*,60.21,24.92,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Baden-Wurttemberg,Germany,70***,48.79,9.24,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Michigan,United States,48***,42.32,-83.18,America/Detroit,Ford Motor Company,Ford Motor Company,
North Carolina,United States,27***,35.9,-78.86,America/New_York,IBM,IBM,
São Paulo,Brazil,10**,-23.63,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
North Carolina,United States,28***,35.31,-80.73,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Beijing,China,,39.9,116.33,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,Brazil,01*******,-23.56,-46.64,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Hesse,Germany,60***,50.12,8.68,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,
,,,,,,,,
Free and Hanseatic City of Hamburg,Germany,20***,53.55,9.99,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Iowa,United States,50***,41.59,-93.62,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,
Andalusia,Spain,29***,36.55,-4.61,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Central Java,Indonesia,,-7.7,110.6,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Gyeonggi-do,South Korea,13***,37.36,127.12,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Ohio,United States,43***,40.1,-83.11,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
New South Wales,Australia,10**,-33.87,151.21,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Alabama,United States,36***,32.4,-86.24,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
England,United Kingdom,CR*,51.39,-0.16,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Free and Hanseatic City of Hamburg,Germany,22***,53.58,10.02,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
England,United Kingdom,W1*,51.51,-0.13,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Illinois,United States,60***,41.72,-87.98,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Washington,United States,98***,47.6,-122.33,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
New Jersey,United States,70**,40.85,-74.11,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,United States,10***,40.71,-74.01,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
Ohio,United States,43***,39.97,-82.89,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Tokyo,Japan,10******,35.66,139.76,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
Kyoto,Japan,61******,34.85,135.79,Asia/Tokyo,"Kintetsu Cable Network Co., Ltd.","Kintetsu Cable Network, Ltd","AS18081 Kintetsu Cable Network Co., Ltd."
,,,,,,,,
England,United Kingdom,HP**,51.66,-0.72,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
,,,,,,,,
Tokyo,Japan,10******,35.69,139.77,Asia/Tokyo,D-cruise,Toyota Systems Corporation,AS7687 TOYOTA DIGITAL CRUISE.INCORPORATED
California,United States,94***,37.87,-122.27,America/Los_Angeles,BARRA,BARRA,
Guangxi,China,,23.72,108.81,Asia/Shanghai,Chinanet,Chinanet GX,AS4134 CHINANET-BACKBONE
Illinois,United States,60***,41.88,-87.63,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
,,,,,,,,
Washington,United States,98***,47.61,-122.33,America/Los_Angeles,"Wayport, LLC","Wayport, Inc.",AS14654 AT&T Corp.
Missouri,United States,65***,38.57,-92.25,America/Chicago,University of Missouri - dba the Missouri Research and Education Network,Lincoln University,AS2572 University of Missouri - dba the Missouri Research and Education Network (MOREnet)
Oregon,United States,97***,45.52,-122.68,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc."
Mexico City,Mexico,11**,19.4,-99.21,America/Mexico_City,UNINET,Gestión de direccionamiento UniNet,AS8151 UNINET
,,,,,,,,
Victoria,Australia,30**,-37.81,144.96,Australia/Melbourne,Uniware Managed Services Pty Ltd,Uniware Managed Services Pty Ltd,AS45601 Uniware Managed Services Pty Ltd
Tennessee,United States,37***,35.04,-85.29,America/New_York,Peace Communications LLC,Peace Communications LLC,AS6203 Peace Communications LLC
Guangdong,China,,23.38,113.76,Asia/Shanghai,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE
Beijing,China,,39.92,116.36,Asia/Shanghai,CNC Group CncNet,,
North Chungcheong,South Korea,28***,36.82,127.66,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Zhejiang,China,,29.88,121.55,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE
,,,,,,,,
Tokyo,Japan,13******,35.7,139.83,Asia/Tokyo,Internet Initiative Japan,Internet Initiative Japan Inc.,"AS131916 Tokyo Bay Network Co.,Ltd."
