MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI
240,11,24011,75319770,95295586,82125824,240-11-4814,240-11-4814-22
240,20,24020,32448383,21095863,85886408,240-20-3621,240-20-3621-97
240,95,24095,23746101,97734330,43223132,240-95-5506,240-95-5506-41
240,80,24080,32599227,53440052,49276764,240-80-6925,240-80-6925-83
240,11,24011,64069715,79204468,47342819,240-11-5803,240-11-5803-90
240,20,24020,56135950,16497381,16166355,240-20-3621,240-20-3621-97
240,30,24030,97977738,22240547,22775337,240-30-9279,240-30-9279-87
240,82,24082,61367949,27870584,96110892,240-82-2824,240-82-2824-13
240,12,24012,43257324,47173969,96519508,240-12-1771,240-12-1771-24
240,4,24004,11619606,58465780,52476240,240-04-2535,240-04-2535-37
240,90,24090,82162880,92684436,30492422,240-90-9928,240-90-9928-63
240,69,24069,26031369,11699863,28416255,240-69-3045,240-69-3045-58
240,20,24020,17440911,77056519,86086168,240-20-3621,240-20-3621-97
240,36,24036,52940967,46407626,20453825,240-36-1106,240-36-1106-30
240,84,24084,72267186,59428849,89415412,240-84-9179,240-84-9179-60
240,82,24082,15892193,41067722,79760901,240-82-4598,240-82-4598-97
240,86,24086,37207628,28268622,88478184,240-86-5374,240-86-5374-99
240,30,24030,43315361,57746984,63183031,240-30-9279,240-30-9279-87
240,42,24042,44738319,20064609,12925970,240-42-1916,240-42-1916-39
240,76,24076,14650569,92423989,93104469,240-76-7912,240-76-7912-14
240,96,24096,53165014,62127652,46297263,240-96-9830,240-96-9830-43
240,90,24090,41749355,89526622,52681823,240-90-7924,240-90-7924-53
240,33,24033,92427773,37040091,27514010,240-33-1188,240-33-1188-97
240,85,24085,92370625,57892314,39962391,240-85-4733,240-85-4733-47
240,18,24018,52885071,32533467,95387542,240-18-9348,240-18-9348-73
240,4,24004,97371655,40277201,31831387,240-04-2535,240-04-2535-37
240,82,24082,17188130,23590593,54438762,240-82-3803,240-82-3803-78
240,98,24098,13454186,37776759,32928708,240-98-6514,240-98-6514-23
240,96,24096,85731895,18273096,30284415,240-96-8019,240-96-8019-84
240,93,24093,93251648,29790089,26143959,240-93-2876,240-93-2876-97
240,93,24093,11659440,93625419,88863127,240-93-2876,240-93-2876-97
240,5,24005,46965460,64086249,29307578,240-05-6168,240-05-6168-61
240,96,24096,96644900,21983878,35224301,240-96-9830,240-96-9830-43
240,82,24082,36724061,46772637,59439358,240-82-3803,240-82-3803-78
240,94,24094,39709238,96889858,40214026,240-94-5010,240-94-5010-30
240,12,24012,93698993,63304911,88448538,240-12-1771,240-12-1771-24
240,30,24030,28781020,13416548,97966375,240-30-9279,240-30-9279-87
240,82,24082,34571018,55047826,97836731,240-82-4598,240-82-4598-97
240,4,24004,65446317,17256074,30237141,240-04-2535,240-04-2535-37
240,90,24090,68211760,95025258,67634397,240-90-9928,240-90-9928-63
240,48,24048,18762675,16136213,50024028,240-48-6820,240-48-6820-36
240,11,24011,60357475,95942441,44331441,240-11-5803,240-11-5803-90
240,69,24069,93590502,91286864,28409776,240-69-5371,240-69-5371-92
240,86,24086,10367488,11711195,21945758,240-86-5374,240-86-5374-99
240,4,24004,28574987,99034004,96865529,240-04-4257,240-04-4257-93
240,36,24036,74783521,86362294,68809216,240-36-1106,240-36-1106-30
240,90,24090,68095862,98813650,43363439,240-90-7924,240-90-7924-53
240,60,24060,20580463,71618633,69618021,240-60-7216,240-60-7216-44
240,84,24084,58767001,17284695,39919562,240-84-9179,240-84-9179-60
240,94,24094,91987136,36296134,35171649,240-94-5010,240-94-5010-30
240,4,24004,87652255,33306944,27231111,240-04-4257,240-04-4257-93
240,30,24030,38147161,93774355,49000919,240-30-9279,240-30-9279-87
240,12,24012,45833216,31600382,48468887,240-12-1771,240-12-1771-24
240,12,24012,17221208,11740164,43734435,240-12-1771,240-12-1771-24
240,36,24036,88381281,44227688,10757677,240-36-3547,240-36-3547-37
240,85,24085,64145722,22340723,56896070,240-85-4733,240-85-4733-47
240,12,24012,47960665,13315946,79372824,240-12-7224,240-12-7224-22
240,69,24069,96779969,19679848,30636590,240-69-5371,240-69-5371-92
240,95,24095,18487605,88598977,16109168,240-95-5506,240-95-5506-41
240,20,24020,84292758,84500200,28974879,240-20-3621,240-20-3621-97
240,4,24004,83665549,71909967,96526748,240-04-4257,240-04-4257-93
240,73,24073,85907105,86082915,58921480,240-73-6155,240-73-6155-37
240,25,24025,36364647,45330756,94103363,240-25-2139,240-25-2139-15
240,76,24076,22153955,63255602,58837208,240-76-7912,240-76-7912-14
240,42,24042,58486337,62088975,73038607,240-42-1916,240-42-1916-39
240,94,24094,74707720,91095825,10885526,240-94-5010,240-94-5010-30
240,42,24042,13012656,42704875,15790734,240-42-1916,240-42-1916-39
240,90,24090,39442512,65132193,90643207,240-90-9928,240-90-9928-63
240,29,24029,73870080,92510102,90505645,240-29-8359,240-29-8359-85
240,29,24029,44160831,74040812,41207351,240-29-3286,240-29-3286-23
240,4,24004,66849468,85788756,59075919,240-04-2535,240-04-2535-37
240,96,24096,78228715,63762374,55424358,240-96-9830,240-96-9830-43
240,73,24073,33524492,95938445,76353000,240-73-6155,240-73-6155-37
240,82,24082,79490249,12062459,19209640,240-82-3803,240-82-3803-78
240,4,24004,78892172,44587020,82196170,240-04-2535,240-04-2535-37
240,84,24084,43320572,48559355,22483514,240-84-9179,240-84-9179-60
240,48,24048,26089818,20534423,99043272,240-48-6820,240-48-6820-36
240,82,24082,77441081,56612335,62843790,240-82-4598,240-82-4598-97
240,12,24012,34684475,76943778,66900650,240-12-1771,240-12-1771-24
240,98,24098,28048483,94644676,79391501,240-98-6514,240-98-6514-23
240,35,24035,65265613,26272220,57122567,240-35-2084,240-35-2084-37
240,12,24012,20618223,31743203,56120632,240-12-1771,240-12-1771-24
240,12,24012,22825003,18562070,73509922,240-12-7224,240-12-7224-22
240,73,24073,72705646,82555977,46562845,240-73-6155,240-73-6155-37
240,73,24073,10012394,80238316,28293937,240-73-6155,240-73-6155-37
240,11,24011,45296615,20631350,66672010,240-11-4814,240-11-4814-22
240,96,24096,81802559,12970357,34956121,240-96-8019,240-96-8019-84
240,30,24030,82905989,73102032,34374441,240-30-9279,240-30-9279-87
240,36,24036,95700705,50106013,36672234,240-36-3547,240-36-3547-37
240,49,24049,93033107,55422244,93903841,240-49-5554,240-49-5554-68
240,87,24087,35471281,86061419,35048615,240-87-9935,240-87-9935-21
240,35,24035,53042832,18501586,98354109,240-35-2084,240-35-2084-37
240,35,24035,86639957,96134450,62156850,240-35-2084,240-35-2084-37
240,18,24018,19447334,50789378,20460308,240-18-9348,240-18-9348-73
240,98,24098,77738718,55300210,98252435,240-98-6514,240-98-6514-23
240,36,24036,48182550,89961933,12188077,240-36-1106,240-36-1106-30
240,5,24005,41271945,44392465,50305910,240-05-6168,240-05-6168-61
240,4,24004,11534696,95078886,94851591,240-04-2535,240-04-2535-37
240,82,24082,55119729,21079017,73868130,240-82-6977,240-82-6977-30
240,84,24084,53407575,87311859,22025190,240-84-9179,240-84-9179-60
240,4,24004,42621391,93349536,29820881,240-04-4257,240-04-4257-93
240,11,24011,32859916,18067834,48119652,240-11-5803,240-11-5803-90
240,36,24036,71469875,85254207,12884132,240-36-3547,240-36-3547-37
240,29,24029,98171888,28422816,21783647,240-29-3286,240-29-3286-23
240,49,24049,29482024,98077934,85812116,240-49-8668,240-49-8668-77
240,36,24036,86107235,92189839,40992396,240-36-1106,240-36-1106-30
240,34,24034,37223861,37455861,18876667,240-34-3287,240-34-3287-41
240,90,24090,42980201,79619091,82191574,240-90-7924,240-90-7924-53
240,48,24048,88577462,83337520,28160554,240-48-6820,240-48-6820-36
240,48,24048,83866174,61084208,15892974,240-48-6820,240-48-6820-36
240,69,24069,10771825,91602221,76231992,240-69-5371,240-69-5371-92
240,46,24046,90971604,50056146,54440977,240-46-6635,240-46-6635-87
240,4,24004,73191967,28058430,26377680,240-04-2535,240-04-2535-37
240,20,24020,92448605,85515502,76625267,240-20-3621,240-20-3621-97
240,5,24005,19104802,51308532,50303435,240-05-6168,240-05-6168-61
240,42,24042,17519183,79937264,50177237,240-42-1916,240-42-1916-39
240,84,24084,46439766,65548633,21649801,240-84-9179,240-84-9179-60
240,82,24082,29232735,23187101,79276026,240-82-4598,240-82-4598-97
240,12,24012,48462422,47131272,81440849,240-12-1771,240-12-1771-24
240,25,24025,92310750,55464764,82555030,240-25-2139,240-25-2139-15
240,82,24082,22470997,72850928,23054418,240-82-3803,240-82-3803-78
240,94,24094,91126594,87132010,27098533,240-94-5010,240-94-5010-30
240,42,24042,86129797,55929418,83085160,240-42-1916,240-42-1916-39
240,20,24020,39207357,28645088,87949346,240-20-3621,240-20-3621-97
240,93,24093,49484797,18376603,59556257,240-93-2876,240-93-2876-97
240,73,24073,58357021,66000400,30705405,240-73-6155,240-73-6155-37
240,11,24011,34936450,67011913,91144449,240-11-5803,240-11-5803-90
240,82,24082,91882291,21871068,42914388,240-82-2824,240-82-2824-13
240,60,24060,18243352,94463223,73506531,240-60-7216,240-60-7216-44
240,83,24083,98470372,69948773,59629263,240-83-8517,240-83-8517-28
240,90,24090,72279029,63518621,73918769,240-90-7924,240-90-7924-53
240,80,24080,45847919,23190487,44271680,240-80-6925,240-80-6925-83
240,52,24052,14569008,13181023,93134088,240-52-6930,240-52-6930-38
240,4,24004,19931717,47216895,18373492,240-04-2535,240-04-2535-37
240,82,24082,19787090,19450582,86684568,240-82-6977,240-82-6977-30
240,49,24049,26267678,86134185,81847296,240-49-8668,240-49-8668-77
240,11,24011,28782825,14791343,35916466,240-11-4814,240-11-4814-22
240,95,24095,19668169,14949636,29003951,240-95-5506,240-95-5506-41
240,82,24082,55277425,63956682,53518077,240-82-4598,240-82-4598-97
240,4,24004,60483455,31173338,12097866,240-04-4257,240-04-4257-93
240,82,24082,94180238,50426348,56688115,240-82-4598,240-82-4598-97
240,86,24086,96551756,58881166,48260712,240-86-5374,240-86-5374-99
240,98,24098,24781783,53772726,40572391,240-98-6514,240-98-6514-23
240,30,24030,27074074,14307663,86325036,240-30-9279,240-30-9279-87
240,87,24087,47469681,11946674,67460000,240-87-9935,240-87-9935-21
240,33,24033,84958851,11667385,64575354,240-33-1188,240-33-1188-97
240,98,24098,14390822,49807633,67163632,240-98-6514,240-98-6514-23
240,93,24093,28576512,54953500,42028739,240-93-2876,240-93-2876-97
240,35,24035,93342668,59411699,18808386,240-35-2084,240-35-2084-37
240,36,24036,96528081,12883305,49126722,240-36-3547,240-36-3547-37
240,36,24036,16351040,29909634,57395084,240-36-3547,240-36-3547-37
240,11,24011,29856736,60051795,70187134,240-11-5803,240-11-5803-90
240,35,24035,15379569,28713077,83948598,240-35-2084,240-35-2084-37
240,4,24004,75829146,52648731,90956358,240-04-4257,240-04-4257-93
240,34,24034,28732457,88809974,90253572,240-34-3287,240-34-3287-41
240,4,24004,15668405,50532800,88545322,240-04-2535,240-04-2535-37
240,80,24080,85910136,68528124,44616300,240-80-6925,240-80-6925-83
240,96,24096,95757950,20311502,78969993,240-96-8019,240-96-8019-84
240,36,24036,39242850,30744009,77562908,240-36-3547,240-36-3547-37
240,12,24012,25917805,39844365,27275764,240-12-7224,240-12-7224-22
240,20,24020,50486214,99601933,11378737,240-20-3621,240-20-3621-97
240,93,24093,80979534,39124988,35709072,240-93-2876,240-93-2876-97
240,11,24011,79756655,28241849,76547299,240-11-5803,240-11-5803-90
240,93,24093,75987927,24115931,63199848,240-93-2876,240-93-2876-97
240,82,24082,57794571,73864322,99479873,240-82-3803,240-82-3803-78
240,34,24034,93478965,93648866,22929680,240-34-3287,240-34-3287-41
240,93,24093,14410367,33738978,84714519,240-93-2876,240-93-2876-97
240,18,24018,92804241,57347151,48176560,240-18-9348,240-18-9348-73
240,25,24025,18791292,50924657,25364077,240-25-2139,240-25-2139-15
240,85,24085,55092789,76670159,77480448,240-85-4733,240-85-4733-47
240,93,24093,19028796,86024718,81278157,240-93-2876,240-93-2876-97
240,60,24060,98691908,72719315,45961754,240-60-7216,240-60-7216-44
240,96,24096,64474404,42008703,25241574,240-96-8019,240-96-8019-84
240,29,24029,90745350,49994087,18533790,240-29-8359,240-29-8359-85
240,86,24086,29364653,24336334,33508806,240-86-5374,240-86-5374-99
240,98,24098,42168745,43954789,84185883,240-98-6514,240-98-6514-23
240,82,24082,65426729,54657219,66689004,240-82-6977,240-82-6977-30
240,30,24030,43501223,79305456,97131540,240-30-9279,240-30-9279-87
240,93,24093,94104500,40696566,21942232,240-93-2876,240-93-2876-97
240,94,24094,48649601,76326127,61281039,240-94-5010,240-94-5010-30
240,90,24090,63358890,38483372,61471888,240-90-9928,240-90-9928-63
240,55,24055,15519702,87911634,34074932,240-55-2040,240-55-2040-59
240,34,24034,52011533,68488779,32143753,240-34-1711,240-34-1711-68
240,25,24025,25098270,29871432,26596590,240-25-2139,240-25-2139-15
240,11,24011,60138147,89233891,24236463,240-11-4814,240-11-4814-22
240,25,24025,61189424,22421986,63533881,240-25-2139,240-25-2139-15
240,34,24034,62088494,73946652,46034695,240-34-1711,240-34-1711-68
240,84,24084,74103912,50318100,29945631,240-84-9179,240-84-9179-60
240,90,24090,25292162,98795539,72126560,240-90-9928,240-90-9928-63
240,90,24090,25660291,11785713,33049928,240-90-7924,240-90-7924-53
240,52,24052,94028236,82287324,35624104,240-52-6930,240-52-6930-38
240,4,24004,65792417,76532158,87666600,240-04-2535,240-04-2535-37
240,34,24034,96728786,56541891,70173215,240-34-3287,240-34-3287-41
240,20,24020,21568480,99530801,74812367,240-20-3621,240-20-3621-97
240,90,24090,92887892,40425851,26198473,240-90-9928,240-90-9928-63
240,73,24073,94547252,25845657,37566472,240-73-6155,240-73-6155-37
240,49,24049,58404738,94482060,99254152,240-49-5554,240-49-5554-68
240,46,24046,14978636,98607345,96096076,240-46-6635,240-46-6635-87
240,29,24029,50470861,21311994,14962052,240-29-8359,240-29-8359-85
240,35,24035,60060376,44863921,94153110,240-35-2084,240-35-2084-37
240,42,24042,54002874,79316990,88164250,240-42-1916,240-42-1916-39
240,36,24036,95424369,66830764,69066531,240-36-3547,240-36-3547-37
240,20,24020,86740966,48868189,15406577,240-20-3621,240-20-3621-97
240,5,24005,66045988,74582407,86914689,240-05-6168,240-05-6168-61
240,80,24080,47228655,96693449,21882280,240-80-6925,240-80-6925-83
240,36,24036,87786253,69623470,21361254,240-36-1106,240-36-1106-30
240,35,24035,22029742,30700047,51177222,240-35-2084,240-35-2084-37
240,86,24086,77702274,61680358,25445960,240-86-5374,240-86-5374-99
240,69,24069,29108179,60104178,82536595,240-69-3045,240-69-3045-58
240,36,24036,81684250,85575530,19386546,240-36-1106,240-36-1106-30
240,80,24080,91709974,73958633,10574350,240-80-6925,240-80-6925-83
240,82,24082,39732013,12655050,47733231,240-82-2824,240-82-2824-13
240,12,24012,98562013,85927914,90929605,240-12-1771,240-12-1771-24
240,84,24084,26336672,79564413,72624210,240-84-9179,240-84-9179-60
240,82,24082,18434795,94019584,93925634,240-82-4598,240-82-4598-97
240,30,24030,18145263,14475312,60653117,240-30-9279,240-30-9279-87
240,25,24025,72305089,67459379,93243271,240-25-2139,240-25-2139-15
240,96,24096,42635373,28478117,15915081,240-96-9830,240-96-9830-43
240,87,24087,17329266,66648087,56146216,240-87-9935,240-87-9935-21
240,36,24036,72617503,93741127,38606966,240-36-3547,240-36-3547-37
240,46,24046,48131375,33373562,39386305,240-46-6635,240-46-6635-87
240,34,24034,18774822,25903904,29385367,240-34-1711,240-34-1711-68
240,90,24090,20926356,73171894,99053757,240-90-9928,240-90-9928-63
240,96,24096,41458567,63136795,39339153,240-96-9830,240-96-9830-43
240,80,24080,64888712,59326617,76779099,240-80-6925,240-80-6925-83
240,25,24025,36393422,54190018,43557605,240-25-2139,240-25-2139-15
240,80,24080,84170763,72912993,71928212,240-80-6925,240-80-6925-83
240,85,24085,53765651,88779778,13119198,240-85-4733,240-85-4733-47
240,84,24084,84209891,33841913,14302906,240-84-9179,240-84-9179-60
240,20,24020,82001505,66158469,74189781,240-20-3621,240-20-3621-97
240,33,24033,80579265,54143064,86400632,240-33-1188,240-33-1188-97
240,82,24082,31197304,46745629,94299900,240-82-4598,240-82-4598-97
240,35,24035,63598753,36092407,63240727,240-35-2084,240-35-2084-37
240,29,24029,62458932,32609429,20413322,240-29-3286,240-29-3286-23
240,18,24018,42016340,36841625,22265679,240-18-9348,240-18-9348-73
240,95,24095,38693064,24211686,57858864,240-95-5506,240-95-5506-41
240,25,24025,22716400,90512805,53534095,240-25-2139,240-25-2139-15
240,96,24096,42688154,93183615,20655497,240-96-8019,240-96-8019-84
240,87,24087,37624348,82385198,17257686,240-87-9935,240-87-9935-21
240,18,24018,67208939,72689644,51803852,240-18-9348,240-18-9348-73
240,36,24036,74693042,12658997,61193233,240-36-1106,240-36-1106-30
240,88,24088,11722586,77202790,60232033,240-88-2169,240-88-2169-87
240,82,24082,43123836,42528051,74119239,240-82-4598,240-82-4598-97
240,29,24029,50563223,77195678,81565068,240-29-3286,240-29-3286-23
240,18,24018,33676181,60284858,35018189,240-18-9348,240-18-9348-73
240,55,24055,47146394,18625158,55922853,240-55-2040,240-55-2040-59
240,95,24095,59765936,56047075,52308622,240-95-5506,240-95-5506-41
240,46,24046,10419981,95640742,53242747,240-46-6635,240-46-6635-87
240,95,24095,21689007,50446284,83651529,240-95-5506,240-95-5506-41
240,94,24094,54667809,40038761,87305664,240-94-5010,240-94-5010-30
240,69,24069,10225283,51714724,18306055,240-69-5371,240-69-5371-92
240,83,24083,29578433,99301859,14609555,240-83-8517,240-83-8517-28
240,34,24034,55286423,66698597,73541573,240-34-3287,240-34-3287-41
240,11,24011,36260378,97407684,11225745,240-11-4814,240-11-4814-22
240,49,24049,75582257,50626311,90014633,240-49-5554,240-49-5554-68
240,90,24090,74987079,96516297,68204387,240-90-7924,240-90-7924-53
240,80,24080,10714575,84453495,70026580,240-80-6925,240-80-6925-83
240,25,24025,98470632,81686010,69716190,240-25-2139,240-25-2139-15
240,90,24090,93525402,66641896,19980384,240-90-9928,240-90-9928-63
240,73,24073,13477562,91014793,43218577,240-73-6155,240-73-6155-37
240,76,24076,89031028,75715496,22823236,240-76-7912,240-76-7912-14
240,5,24005,29148862,60841764,86176717,240-05-6168,240-05-6168-61
240,33,24033,20293588,42217185,22567290,240-33-1188,240-33-1188-97
240,36,24036,91764582,15684923,91520297,240-36-1106,240-36-1106-30
240,82,24082,38597227,10299883,94715069,240-82-3803,240-82-3803-78
240,84,24084,76041312,36513965,21374117,240-84-9179,240-84-9179-60
240,5,24005,10779834,58215939,36637470,240-05-6168,240-05-6168-61
240,4,24004,12839001,26928020,30876492,240-04-4257,240-04-4257-93
240,11,24011,99433358,67600736,36630469,240-11-4814,240-11-4814-22
240,60,24060,95001425,41061693,39766168,240-60-7216,240-60-7216-44
240,85,24085,91405981,23524006,67835429,240-85-4733,240-85-4733-47
240,90,24090,27513454,94497928,90776943,240-90-7924,240-90-7924-53
240,4,24004,94539000,25761044,68535809,240-04-4257,240-04-4257-93
240,76,24076,63801036,91499471,46439333,240-76-7912,240-76-7912-14
240,98,24098,95847718,29882943,47279846,240-98-6514,240-98-6514-23
240,90,24090,44358021,12098962,82127089,240-90-9928,240-90-9928-63
240,18,24018,34834040,33637158,35348349,240-18-9348,240-18-9348-73
240,84,24084,12780443,24768716,11818926,240-84-9179,240-84-9179-60
240,93,24093,82950883,45897422,94219725,240-93-2876,240-93-2876-97
240,35,24035,24782157,40134894,23654808,240-35-2084,240-35-2084-37
240,11,24011,77008305,98816127,59541440,240-11-5803,240-11-5803-90
240,34,24034,65558669,90764593,95443567,240-34-1711,240-34-1711-68
240,85,24085,58640295,84943752,73609317,240-85-4733,240-85-4733-47
240,90,24090,73998578,89715350,31229647,240-90-9928,240-90-9928-63
240,95,24095,91090807,33297540,77551168,240-95-5506,240-95-5506-41
240,36,24036,91212919,20362848,72872428,240-36-1106,240-36-1106-30
240,60,24060,51489399,35198547,84046763,240-60-7216,240-60-7216-44
240,36,24036,54468774,64665076,77589149,240-36-3547,240-36-3547-37
240,30,24030,55502589,49036097,58360842,240-30-9279,240-30-9279-87
240,96,24096,47596710,87378080,58765094,240-96-9830,240-96-9830-43
240,11,24011,21205911,65457991,77906443,240-11-4814,240-11-4814-22
240,82,24082,24645711,21518907,34195880,240-82-3803,240-82-3803-78
240,49,24049,90675244,61040965,18375220,240-49-8668,240-49-8668-77
240,49,24049,67516899,55905032,49849912,240-49-5554,240-49-5554-68
240,36,24036,77034462,52467541,25248056,240-36-1106,240-36-1106-30
240,12,24012,12173155,50526300,51200201,240-12-1771,240-12-1771-24
240,42,24042,95108432,48016951,93265522,240-42-1916,240-42-1916-39
