9,"N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)","Unemployed / NA","Unemployed / NA","*"
1900,"Agricultural And Food Science Technicians","Science","STEM","*"
1910,"Biological Technicians","Science","STEM","*"
1920,"Chemical Technicians","Science","STEM","*"
1935,"Environmental Science and Geoscience Technicians, And Nuclear Technicians","Science","STEM","*"
1970,"Other Life, Physical, And Social Science Technicians","Science","STEM","*"
1980,"Occupational Health And Safety Specialists and Technicians","Science","STEM","*"
2001,"Substance Abuse And Behavioral Disorder Counselors","Community & Social Service","Public / Social Service","*"
2002,"Educational, Guidance, And Career Counselors And Advisors","Community & Social Service","Public / Social Service","*"
2003,"Marriage And Family Therapists","Community & Social Service","Public / Social Service","*"
2004,"Mental Health Counselors","Community & Social Service","Public / Social Service","*"
2005,"Rehabilitation Counselors","Community & Social Service","Public / Social Service","*"
2006,"Counselors, All Other","Community & Social Service","Public / Social Service","*"
2011,"Child, Family, And School Social Workers","Community & Social Service","Public / Social Service","*"
2012,"Healthcare Social Workers","Community & Social Service","Public / Social Service","*"
2013,"Mental Health And Substance Abuse Social Workers","Community & Social Service","Public / Social Service","*"
2014,"Social Workers, All Other","Community & Social Service","Public / Social Service","*"
2015,"Probation Officers And Correctional Treatment Specialists","Community & Social Service","Public / Social Service","*"
2016,"Social And Human Service Assistants","Community & Social Service","Public / Social Service","*"
2025,"Other Community and Social Service Specialists","Community & Social Service","Public / Social Service","*"
2040,"Clergy","Community & Social Service","Public / Social Service","*"
2050,"Directors, Religious Activities And Education","Community & Social Service","Public / Social Service","*"
2060,"Religious Workers, All Other","Community & Social Service","Public / Social Service","*"
2100,"Lawyers, And Judges, Magistrates, And Other Judicial Workers","Legal","White Collar / Professional","*"
2105,"Judicial Law Clerks","Legal","White Collar / Professional","*"
2145,"Paralegals And Legal Assistants","Legal","White Collar / Professional","*"
2170,"Title Examiners, Abstractors, and Searchers","Legal","White Collar / Professional","*"
2180,"Legal Support Workers, All Other","Legal","White Collar / Professional","*"
2205,"Postsecondary Teachers","Education","White Collar / Professional","*"
2300,"Preschool And Kindergarten Teachers","Education","White Collar / Professional","*"
2310,"Elementary And Middle School Teachers","Education","White Collar / Professional","*"
2320,"Secondary School Teachers","Education","White Collar / Professional","*"
2330,"Special Education Teachers","Education","White Collar / Professional","*"
2350,"Tutors","Education","White Collar / Professional","*"
2360,"Other Teachers and Instructors","Education","White Collar / Professional","*"
2400,"Archivists, Curators, And Museum Technicians","Education","White Collar / Professional","*"
2435,"Librarians And Media Collections Specialists","Education","White Collar / Professional","*"
2440,"Library Technicians","Education","White Collar / Professional","*"
2545,"Teaching Assistants","Education","White Collar / Professional","*"
2555,"Other Educational Instruction and Library Workers","Education","White Collar / Professional","*"
2600,"Artists And Related Workers","Arts & Entertainment","Arts & Media","*"
2631,"Commercial And Industrial Designers","Arts & Entertainment","Arts & Media","*"
2632,"Fashion Designers","Arts & Entertainment","Arts & Media","*"
2633,"Floral Designers","Arts & Entertainment","Arts & Media","*"
2634,"Graphic Designers","Arts & Entertainment","Arts & Media","*"
2635,"Interior Designers","Arts & Entertainment","Arts & Media","*"
2636,"Merchandise Displayer And Windows Trimmers","Arts & Entertainment","Arts & Media","*"
2640,"Other Designers","Arts & Entertainment","Arts & Media","*"
2700,"Actors","Arts & Entertainment","Arts & Media","*"
2710,"Producers And Directors","Arts & Entertainment","Arts & Media","*"
2721,"Athletes and Sports Competitors","Arts & Entertainment","Arts & Media","*"
2722,"Coaches and Scouts","Arts & Entertainment","Arts & Media","*"
2723,"Umpires, Referees, And Other Sports Officials","Arts & Entertainment","Arts & Media","*"
2740,"Dancers And Choreographers","Arts & Entertainment","Arts & Media","*"
2751,"Music Directors and Composers","Arts & Entertainment","Arts & Media","*"
2752,"Musicians and Singers","Arts & Entertainment","Arts & Media","*"
2755,"Disc Jockeys, Except Radio","Arts & Entertainment","Arts & Media","*"
2770,"Entertainers And Performers, Sports and Related Workers, All Other","Arts & Entertainment","Arts & Media","*"
2805,"Broadcast Announcers And Radio Disc Jockeys","Arts & Entertainment","Arts & Media","*"
2810,"News Analysts, Reporters, And Journalists","Arts & Entertainment","Arts & Media","*"
2825,"Public Relations Specialists","Arts & Entertainment","Arts & Media","*"
2830,"Editors","Arts & Entertainment","Arts & Media","*"
2840,"Technical Writers","Arts & Entertainment","Arts & Media","*"
2850,"Writers And Authors","Arts & Entertainment","Arts & Media","*"
2861,"Interpreters and Translators","Arts & Entertainment","Arts & Media","*"
2862,"Court Reporters and Simultaneous Captioners","Arts & Entertainment","Arts & Media","*"
2865,"Media And Communication Workers, All Other","Arts & Entertainment","Arts & Media","*"
2905,"Other Media And Communication Equipment Workers","Arts & Entertainment","Arts & Media","*"
2910,"Photographers","Arts & Entertainment","Arts & Media","*"
2920,"Television, Video, And Film Camera Operators And Editors","Arts & Entertainment","Arts & Media","*"
3000,"Chiropractors","Healthcare Practitioners","Healthcare","*"
3010,"Dentists","Healthcare Practitioners","Healthcare","*"
3030,"Dietitians And Nutritionists","Healthcare Practitioners","Healthcare","*"
3040,"Optometrists","Healthcare Practitioners","Healthcare","*"
3050,"Pharmacists","Healthcare Practitioners","Healthcare","*"
3090,"Physicians","Healthcare Practitioners","Healthcare","*"
3100,"Surgeons","Healthcare Practitioners","Healthcare","*"
3110,"Physician Assistants","Healthcare Practitioners","Healthcare","*"
3120,"Podiatrists","Healthcare Practitioners","Healthcare","*"
3140,"Audiologists","Healthcare Practitioners","Healthcare","*"
3150,"Occupational Therapists","Healthcare Practitioners","Healthcare","*"
3160,"Physical Therapists","Healthcare Practitioners","Healthcare","*"
3200,"Radiation Therapists","Healthcare Practitioners","Healthcare","*"
3210,"Recreational Therapists","Healthcare Practitioners","Healthcare","*"
3220,"Respiratory Therapists","Healthcare Practitioners","Healthcare","*"
3230,"Speech-Language Pathologists","Healthcare Practitioners","Healthcare","*"
3245,"Other Therapists","Healthcare Practitioners","Healthcare","*"
3250,"Veterinarians","Healthcare Practitioners","Healthcare","*"
3255,"Registered Nurses","Healthcare Practitioners","Healthcare","*"
3256,"Nurse Anesthetists","Healthcare Practitioners","Healthcare","*"
3258,"Nurse Practitioners, And Nurse Midwives","Healthcare Practitioners","Healthcare","*"
3261,"Acupuncturists","Healthcare Practitioners","Healthcare","*"
3270,"Healthcare Diagnosing Or Treating Practitioners, All Other","Healthcare Practitioners","Healthcare","*"
3300,"Clinical Laboratory Technologists And Technicians","Healthcare Practitioners","Healthcare","*"
3310,"Dental Hygienists","Healthcare Practitioners","Healthcare","*"
3321,"Cardiovascular Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3322,"Diagnostic Medical Sonographers","Healthcare Practitioners","Healthcare","*"
3323,"Radiologic Technologists And Technicians","Healthcare Practitioners","Healthcare","*"
3324,"Magnetic Resonance Imaging Technologists","Healthcare Practitioners","Healthcare","*"
3330,"Nuclear Medicine Technologists and Medical Dosimetrists","Healthcare Practitioners","Healthcare","*"
3401,"Emergency Medical Technicians","Healthcare Practitioners","Healthcare","*"
3402,"Paramedics","Healthcare Practitioners","Healthcare","*"
3421,"Pharmacy Technicians","Healthcare Practitioners","Healthcare","*"
3422,"Psychiatric Technicians","Healthcare Practitioners","Healthcare","*"
3423,"Surgical Technologists","Healthcare Practitioners","Healthcare","*"
3424,"Veterinary Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3430,"Dietetic Technicians And Ophthalmic Medical Technicians","Healthcare Practitioners","Healthcare","*"
3500,"Licensed Practical And Licensed Vocational Nurses","Healthcare Practitioners","Healthcare","*"
3515,"Medical Records Specialists","Healthcare Practitioners","Healthcare","*"
3520,"Opticians, Dispensing","Healthcare Practitioners","Healthcare","*"
3545,"Miscellaneous Health Technologists and Technicians","Healthcare Practitioners","Healthcare","*"
3550,"Other Healthcare Practitioners and Technical Occupations","Healthcare Practitioners","Healthcare","*"
3601,"Home Health Aides","Healthcare Support","Healthcare","*"
3602,"Personal Care Aides","Healthcare Support","Healthcare","*"
3603,"Nursing Assistants","Healthcare Support","Healthcare","*"
3605,"Orderlies and Psychiatric Aides","Healthcare Support","Healthcare","*"
3610,"Occupational Therapy Assistants And Aides","Healthcare Support","Healthcare","*"
3620,"Physical Therapist Assistants And Aides","Healthcare Support","Healthcare","*"
3630,"Massage Therapists","Healthcare Support","Healthcare","*"
3640,"Dental Assistants","Healthcare Support","Healthcare","*"
3645,"Medical Assistants","Healthcare Support","Healthcare","*"
3646,"Medical Transcriptionists","Healthcare Support","Healthcare","*"
3647,"Pharmacy Aides","Healthcare Support","Healthcare","*"
3648,"Veterinary Assistants And Laboratory Animal Caretakers","Healthcare Support","Healthcare","*"
3649,"Phlebotomists","Healthcare Support","Healthcare","*"
3655,"Other Healthcare Support Workers","Healthcare Support","Healthcare","*"
3700,"First-Line Supervisors Of Correctional Officers","Protective Service","Public / Social Service","*"
3710,"First-Line Supervisors Of Police And Detectives","Protective Service","Public / Social Service","*"
3720,"First-Line Supervisors Of Firefighting And Prevention Workers","Protective Service","Public / Social Service","*"
3725,"Miscellaneous First-Line Supervisors, Protective Service Workers","Protective Service","Public / Social Service","*"
3740,"Firefighters","Protective Service","Public / Social Service","*"
3750,"Fire Inspectors","Protective Service","Public / Social Service","*"
3801,"Bailiffs","Protective Service","Public / Social Service","*"
3802,"Correctional Officers and Jailers","Protective Service","Public / Social Service","*"
3820,"Detectives And Criminal Investigators","Protective Service","Public / Social Service","*"
3840,"Fish And Game Wardens And Parking Enforcement Officers","Protective Service","Public / Social Service","*"
3870,"Police Officers","Protective Service","Public / Social Service","*"
3900,"Animal Control Workers","Protective Service","Public / Social Service","*"
3910,"Private Detectives And Investigators","Protective Service","Public / Social Service","*"
3930,"Security Guards And Gambling Surveillance Officers","Protective Service","Public / Social Service","*"
3940,"Crossing Guards And Flaggers","Protective Service","Public / Social Service","*"
3945,"Transportation Security Screeners","Protective Service","Public / Social Service","*"
3946,"School Bus Monitors","Protective Service","Public / Social Service","*"
3960,"Other Protective Service Workers","Protective Service","Public / Social Service","*"
4000,"Chefs And Head Cooks","Food Preparation","Service / Hospitality","*"
4010,"First-Line Supervisors Of Food Preparation And Serving Workers","Food Preparation","Service / Hospitality","*"
4020,"Cooks","Food Preparation","Service / Hospitality","*"
4030,"Food Preparation Workers","Food Preparation","Service / Hospitality","*"
4040,"Bartenders","Food Preparation","Service / Hospitality","*"
4055,"Fast Food And Counter Workers","Food Preparation","Service / Hospitality","*"
4110,"Waiters And Waitresses","Food Preparation","Service / Hospitality","*"
4120,"Food Servers, Nonrestaurant","Food Preparation","Service / Hospitality","*"
4130,"Dining Room And Cafeteria Attendants And Bartender Helpers","Food Preparation","Service / Hospitality","*"
4140,"Dishwashers","Food Preparation","Service / Hospitality","*"
4150,"Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","Food Preparation","Service / Hospitality","*"
4160,"Food Preparation and Serving Related Workers, All Other","Food Preparation","Service / Hospitality","*"
4200,"First-Line Supervisors Of Housekeeping And Janitorial Workers","Building & Cleaning","Service / Manual","*"
4210,"First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","Building & Cleaning","Service / Manual","*"
4220,"Janitors And Building Cleaners","Building & Cleaning","Service / Manual","*"
4230,"Maids And Housekeeping Cleaners","Building & Cleaning","Service / Manual","*"
4240,"Pest Control Workers","Building & Cleaning","Service / Manual","*"
4251,"Landscaping And Groundskeeping Workers","Building & Cleaning","Service / Manual","*"
4252,"Tree Trimmers and Pruners","Building & Cleaning","Service / Manual","*"
4255,"Other Grounds Maintenance Workers","Building & Cleaning","Service / Manual","*"
4330,"Supervisors Of Personal Care And Service Workers","Personal Care","Service / Hospitality","*"
4340,"Animal Trainers","Personal Care","Service / Hospitality","*"
4350,"Animal Caretakers","Personal Care","Service / Hospitality","*"
4400,"Gambling Services Workers","Personal Care","Service / Hospitality","*"
4420,"Ushers, Lobby Attendants, And Ticket Takers","Personal Care","Service / Hospitality","*"
4435,"Other Entertainment Attendants And Related Workers","Personal Care","Service / Hospitality","*"
4461,"Embalmers, Crematory Operators And Funeral Attendants","Personal Care","Service / Hospitality","*"
4465,"Morticians, Undertakers, And Funeral Arrangers","Personal Care","Service / Hospitality","*"
4500,"Barbers","Personal Care","Service / Hospitality","*"
4510,"Hairdressers, Hairstylists, And Cosmetologists","Personal Care","Service / Hospitality","*"
4521,"Manicurists And Pedicurists","Personal Care","Service / Hospitality","*"
4522,"Skincare Specialists","Personal Care","Service / Hospitality","*"
4525,"Other Personal Appearance Workers","Personal Care","Service / Hospitality","*"
4530,"Baggage Porters, Bellhops, And Concierges","Personal Care","Service / Hospitality","*"
4540,"Tour And Travel Guides","Personal Care","Service / Hospitality","*"
4600,"Childcare Workers","Personal Care","Service / Hospitality","*"
4621,"Exercise Trainers And Group Fitness Instructors","Personal Care","Service / Hospitality","*"
4622,"Recreation Workers","Personal Care","Service / Hospitality","*"
4640,"Residential Advisors","Personal Care","Service / Hospitality","*"
4655,"Personal Care and Service Workers, All Other","Personal Care","Service / Hospitality","*"
4700,"First-Line Supervisors Of Retail Sales Workers","Sales","Sales & Office","*"
4710,"First-Line Supervisors Of Non-Retail Sales Workers","Sales","Sales & Office","*"
4720,"Cashiers","Sales","Sales & Office","*"
4740,"Counter And Rental Clerks","Sales","Sales & Office","*"
4750,"Parts Salespersons","Sales","Sales & Office","*"
4760,"Retail Salespersons","Sales","Sales & Office","*"
4800,"Advertising Sales Agents","Sales","Sales & Office","*"
4810,"Insurance Sales Agents","Sales","Sales & Office","*"
4820,"Securities, Commodities, And Financial Services Sales Agents","Sales","Sales & Office","*"
4830,"Travel Agents","Sales","Sales & Office","*"
4840,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","Sales","Sales & Office","*"
4850,"Sales Representatives, Wholesale And Manufacturing","Sales","Sales & Office","*"
4900,"Models, Demonstrators, And Product Promoters","Sales","Sales & Office","*"
4920,"Real Estate Brokers And Sales Agents","Sales","Sales & Office","*"
4930,"Sales Engineers","Sales","Sales & Office","*"
4940,"Telemarketers","Sales","Sales & Office","*"
4950,"Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","Sales","Sales & Office","*"
4965,"Sales And Related Workers, All Other","Sales","Sales & Office","*"
5000,"First-Line Supervisors Of Office And Administrative Support Workers","Office & Administrative","Sales & Office","*"
5010,"Switchboard Operators, Including Answering Service","Office & Administrative","Sales & Office","*"
5020,"Telephone Operators","Office & Administrative","Sales & Office","*"
5040,"Communications Equipment Operators, All Other","Office & Administrative","Sales & Office","*"
5100,"Bill And Account Collectors","Office & Administrative","Sales & Office","*"
5110,"Billing And Posting Clerks","Office & Administrative","Sales & Office","*"
5120,"Bookkeeping, Accounting, And Auditing Clerks","Office & Administrative","Sales & Office","*"
5140,"Payroll And Timekeeping Clerks","Office & Administrative","Sales & Office","*"
5150,"Procurement Clerks","Office & Administrative","Sales & Office","*"
5160,"Tellers","Office & Administrative","Sales & Office","*"
5165,"Other Financial Clerks","Office & Administrative","Sales & Office","*"
5220,"Court, Municipal, And License Clerks","Office & Administrative","Sales & Office","*"
5230,"Credit Authorizers, Checkers, And Clerks","Office & Administrative","Sales & Office","*"
5240,"Customer Service Representatives","Office & Administrative","Sales & Office","*"
5250,"Eligibility Interviewers, Government Programs","Office & Administrative","Sales & Office","*"
5260,"File Clerks","Office & Administrative","Sales & Office","*"
5300,"Hotel, Motel, And Resort Desk Clerks","Office & Administrative","Sales & Office","*"
5310,"Interviewers, Except Eligibility And Loan","Office & Administrative","Sales & Office","*"
5320,"Library Assistants, Clerical","Office & Administrative","Sales & Office","*"
5330,"Loan Interviewers And Clerks","Office & Administrative","Sales & Office","*"
5340,"New Accounts Clerks","Office & Administrative","Sales & Office","*"
5350,"Correspondence Clerks And Order Clerks","Office & Administrative","Sales & Office","*"
5360,"Human Resources Assistants, Except Payroll And Timekeeping","Office & Administrative","Sales & Office","*"
5400,"Receptionists And Information Clerks","Office & Administrative","Sales & Office","*"
5410,"Reservation And Transportation Ticket Agents And Travel Clerks","Office & Administrative","Sales & Office","*"
5420,"Other Information And Records Clerks","Office & Administrative","Sales & Office","*"
5500,"Cargo And Freight Agents","Office & Administrative","Sales & Office","*"
5510,"Couriers And Messengers","Office & Administrative","Sales & Office","*"
5521,"Public Safety Telecommunicators","Office & Administrative","Sales & Office","*"
5522,"Dispatchers, Except Police, Fire, And Ambulance","Office & Administrative","Sales & Office","*"
5530,"Meter Readers, Utilities","Office & Administrative","Sales & Office","*"
5540,"Postal Service Clerks","Office & Administrative","Sales & Office","*"
5550,"Postal Service Mail Carriers","Office & Administrative","Sales & Office","*"
5560,"Postal Service Mail Sorters, Processors, And Processing Machine Operators","Office & Administrative","Sales & Office","*"
5600,"Production, Planning, And Expediting Clerks","Office & Administrative","Sales & Office","*"
5610,"Shipping, Receiving, And Inventory Clerks","Office & Administrative","Sales & Office","*"
5630,"Weighers, Measurers, Checkers, And Samplers, Recordkeeping","Office & Administrative","Sales & Office","*"
5710,"Executive Secretaries And Executive Administrative Assistants","Office & Administrative","Sales & Office","*"
5720,"Legal Secretaries and Administrative Assistants","Office & Administrative","Sales & Office","*"
5730,"Medical Secretaries and Administrative Assistants","Office & Administrative","Sales & Office","*"
5740,"Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","Office & Administrative","Sales & Office","*"
5810,"Data Entry Keyers","Office & Administrative","Sales & Office","*"
5820,"Word Processors And Typists","Office & Administrative","Sales & Office","*"
5840,"Insurance Claims And Policy Processing Clerks","Office & Administrative","Sales & Office","*"
5850,"Mail Clerks And Mail Machine Operators, Except Postal Service","Office & Administrative","Sales & Office","*"
5860,"Office Clerks, General","Office & Administrative","Sales & Office","*"
5900,"Office Machine Operators, Except Computer","Office & Administrative","Sales & Office","*"
5910,"Proofreaders And Copy Markers","Office & Administrative","Sales & Office","*"
5920,"Statistical Assistants","Office & Administrative","Sales & Office","*"
5940,"Other Office And Administrative Support Workers","Office & Administrative","Sales & Office","*"
6005,"First-Line Supervisors Of Farming, Fishing, And Forestry Workers","Farming & Forestry","Trade / Manual Labor","*"
6010,"Agricultural Inspectors","Farming & Forestry","Trade / Manual Labor","*"
6040,"Graders And Sorters, Agricultural Products","Farming & Forestry","Trade / Manual Labor","*"
6050,"Other Agricultural Workers","Farming & Forestry","Trade / Manual Labor","*"
6115,"Fishing And Hunting Workers","Farming & Forestry","Trade / Manual Labor","*"
6120,"Forest And Conservation Workers","Farming & Forestry","Trade / Manual Labor","*"
6130,"Logging Workers","Farming & Forestry","Trade / Manual Labor","*"
6200,"First-Line Supervisors Of Construction Trades And Extraction Workers","Construction","Trade / Manual Labor","*"
6210,"Boilermakers","Construction","Trade / Manual Labor","*"
6220,"Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","Construction","Trade / Manual Labor","*"
6230,"Carpenters","Construction","Trade / Manual Labor","*"
6240,"Carpet, Floor, And Tile Installers And Finishers","Construction","Trade / Manual Labor","*"
6250,"Cement Masons, Concrete Finishers, And Terrazzo Workers","Construction","Trade / Manual Labor","*"
6260,"Construction Laborers","Construction","Trade / Manual Labor","*"
6305,"Construction Equipment Operators","Construction","Trade / Manual Labor","*"
6330,"Drywall Installers, Ceiling Tile Installers, And Tapers","Construction","Trade / Manual Labor","*"
6355,"Electricians","Construction","Trade / Manual Labor","*"
6360,"Glaziers","Construction","Trade / Manual Labor","*"
6400,"Insulation Workers","Construction","Trade / Manual Labor","*"
6410,"Painters and Paperhangers","Construction","Trade / Manual Labor","*"
6441,"Pipelayers","Construction","Trade / Manual Labor","*"
6442,"Plumbers, Pipefitters, And Steamfitters","Construction","Trade / Manual Labor","*"
6460,"Plasterers And Stucco Masons","Construction","Trade / Manual Labor","*"
6515,"Roofers","Construction","Trade / Manual Labor","*"
6520,"Sheet Metal Workers","Construction","Trade / Manual Labor","*"
6530,"Structural Iron And Steel Workers","Construction","Trade / Manual Labor","*"
6540,"Solar Photovoltaic Installers","Construction","Trade / Manual Labor","*"
6600,"Helpers, Construction Trades","Construction","Trade / Manual Labor","*"
6660,"Construction And Building Inspectors","Construction","Trade / Manual Labor","*"
6700,"Elevator And Escalator Installers And Repairers","Construction","Trade / Manual Labor","*"
6710,"Fence Erectors","Construction","Trade / Manual Labor","*"
6720,"Hazardous Materials Removal Workers","Construction","Trade / Manual Labor","*"
6730,"Highway Maintenance Workers","Construction","Trade / Manual Labor","*"
6740,"Rail-Track Laying And Maintenance Equipment Operators","Construction","Trade / Manual Labor","*"
6765,"Other Construction And Related Workers","Construction","Trade / Manual Labor","*"
6800,"Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining","Extraction","Trade / Manual Labor","*"
6825,"Surface Mining Machine Operators And Earth Drillers","Extraction","Trade / Manual Labor","*"
6835,"Explosives Workers, Ordnance Handling Experts, and Blasters","Extraction","Trade / Manual Labor","*"
6850,"Underground Mining Machine Operators","Extraction","Trade / Manual Labor","*"
6950,"Other Extraction Workers","Extraction","Trade / Manual Labor","*"
7000,"First-Line Supervisors Of Mechanics, Installers, And Repairers","Maintenance & Repair","Trade / Manual Labor","*"
