index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
96,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
97,"[40, 80[",*,divorced,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
98,"[0, 40[",*,single,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
99,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
100,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
101,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
102,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
103,"[40, 80[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
104,"[40, 80[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
105,"[40, 80[",*,single,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
106,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
107,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
108,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
109,"[40, 80[",*,married,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
110,"[40, 80[",*,divorced,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
111,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
112,"[0, 40[",*,divorced,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
113,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
114,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
115,"[0, 40[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
116,"[40, 80[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
117,"[40, 80[",*,divorced,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
118,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
119,"[40, 80[",*,divorced,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
120,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
121,"[40, 80[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
122,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
123,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
124,"[0, 40[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
125,"[40, 80[",*,married,*,no,no,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
126,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
127,"[0, 40[",*,divorced,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
128,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
129,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,yes
130,"[0, 40[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
131,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
132,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
133,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
134,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
135,"[0, 40[",*,divorced,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
136,"[0, 40[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
137,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
138,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
139,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,yes
140,"[40, 80[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
141,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
142,"[0, 40[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
143,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
144,"[0, 40[",*,divorced,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
145,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
146,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
147,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
148,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
149,"[40, 80[",*,married,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
150,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
151,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
152,"[0, 40[",*,divorced,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
153,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
154,"[40, 80[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
155,"[0, 40[",*,married,*,no,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
156,"[40, 80[",*,married,*,unknown,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
157,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
158,"[40, 80[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
159,"[40, 80[",*,married,*,no,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
160,"[0, 40[",*,single,*,no,yes,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
161,"[0, 40[",*,single,*,unknown,yes,yes,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
162,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
163,"[40, 80[",*,married,*,unknown,no,no,telephone,Q2,Early-Week,*,>200,0,nonexistent,Positive (>0),93-94,Low (-45 to -35),High (>3),5100-5200,no
