Device_ID,Device_Type,LAI,RAI,Network_Type
D1096,Smartphone,240-01,240-01,3G
D1097,Smartphone,240-01,240-01,3G
D1098,Smartphone,240-01,240-01,4G
D1099,IoT Device,240-01,240-01,5G
D1100,IoT Device,240-01,240-01,5G
D1101,Smartphone,240-01,240-01,3G
D1102,IoT Device,240-01,240-01,5G
D1103,IoT Device,240-01,240-01,3G
D1104,Smartphone,240-01,240-01,5G
D1105,IoT Device,240-01,240-01,3G
D1106,Smartphone,240-01,240-01,5G
D1107,Tablet,240-01,240-01,3G
D1108,Smartphone,240-01,240-01,3G
D1109,Smartphone,240-01,240-01,3G
D1110,Tablet,240-01,240-01,3G
D1111,Tablet,240-01,240-01,5G
D1112,IoT Device,240-01,240-01,3G
D1113,Smartphone,240-01,240-01,4G
D1114,Tablet,240-01,240-01,4G
D1115,Tablet,240-01,240-01,5G
D1116,IoT Device,240-01,240-01,4G
D1117,Tablet,240-01,240-01,4G
D1118,IoT Device,240-01,240-01,5G
D1119,Smartphone,240-01,240-01,3G
D1120,Smartphone,240-01,240-01,3G
D1121,Smartphone,240-01,240-01,3G
D1122,Smartphone,240-01,240-01,5G
D1123,Smartphone,240-01,240-01,3G
D1124,Smartphone,240-01,240-01,4G
D1125,IoT Device,240-01,240-01,3G
D1126,Tablet,240-01,240-01,5G
D1127,Smartphone,240-01,240-01,4G
D1128,Tablet,240-01,240-01,4G
D1129,Smartphone,240-01,240-01,5G
D1130,Tablet,240-01,240-01,4G
D1131,Smartphone,240-01,240-01,3G
D1132,Tablet,240-01,240-01,3G
D1133,IoT Device,240-01,240-01,3G
D1134,Tablet,240-01,240-01,4G
D1135,Tablet,240-01,240-01,3G
D1136,Tablet,240-01,240-01,3G
D1137,Tablet,240-01,240-01,5G
D1138,Tablet,240-01,240-01,5G
D1139,Smartphone,240-01,240-01,4G
D1140,Smartphone,240-01,240-01,3G
D1141,Smartphone,240-01,240-01,5G
D1142,Smartphone,240-01,240-01,3G
D1143,Tablet,240-01,240-01,5G
D1144,Smartphone,240-01,240-01,4G
D1145,Tablet,240-01,240-01,5G
D1146,Smartphone,240-01,240-01,5G
D1147,Tablet,240-01,240-01,4G
D1148,Tablet,240-01,240-01,4G
D1149,Smartphone,240-01,240-01,4G
D1150,Smartphone,240-01,240-01,3G
D1151,IoT Device,240-01,240-01,5G
D1152,Tablet,240-01,240-01,3G
D1153,Tablet,240-01,240-01,4G
D1154,IoT Device,240-01,240-01,5G
D1155,IoT Device,240-01,240-01,3G
D1156,Smartphone,240-01,240-01,4G
D1157,IoT Device,240-01,240-01,3G
D1158,Tablet,240-01,240-01,3G
D1159,Smartphone,240-01,240-01,3G
D1160,Smartphone,240-01,240-01,4G
D1161,Tablet,240-01,240-01,5G
D1162,Smartphone,240-01,240-01,4G
D1163,IoT Device,240-01,240-01,5G
D1164,Smartphone,240-01,240-01,3G
D1165,Tablet,240-01,240-01,5G
D1166,IoT Device,240-01,240-01,3G
D1167,Tablet,240-01,240-01,3G
D1168,Tablet,240-01,240-01,5G
D1169,Tablet,240-01,240-01,3G
D1170,Smartphone,240-01,240-01,3G
D1171,Smartphone,240-01,240-01,5G
D1172,Tablet,240-01,240-01,4G
D1173,Smartphone,240-01,240-01,3G
D1174,IoT Device,240-01,240-01,4G
D1175,IoT Device,240-01,240-01,4G
D1176,Smartphone,240-01,240-01,3G
D1177,IoT Device,240-01,240-01,5G
D1178,Smartphone,240-01,240-01,3G
D1179,Tablet,240-01,240-01,5G
D1180,Tablet,240-01,240-01,4G
D1181,IoT Device,240-01,240-01,5G
D1182,Smartphone,240-01,240-01,3G
D1183,Smartphone,240-01,240-01,3G
D1184,IoT Device,240-01,240-01,3G
D1185,Tablet,240-01,240-01,5G
D1186,Smartphone,240-01,240-01,5G
D1187,IoT Device,240-01,240-01,3G
D1188,Smartphone,240-01,240-01,5G
D1189,Smartphone,240-01,240-01,3G
D1190,IoT Device,240-01,240-01,4G
D1191,Smartphone,240-01,240-01,4G
D1192,Tablet,240-01,240-01,3G
D1193,Tablet,240-01,240-01,5G
D1194,Tablet,240-01,240-01,5G
D1195,Tablet,240-01,240-01,5G
D1196,Smartphone,240-01,240-01,5G
D1197,IoT Device,240-01,240-01,5G
D1198,IoT Device,240-01,240-01,5G
D1199,Smartphone,240-01,240-01,5G
D1200,Smartphone,240-01,240-01,4G
D1201,Tablet,240-01,240-01,3G
D1202,IoT Device,240-01,240-01,3G
D1203,Smartphone,240-01,240-01,5G
D1204,Tablet,240-01,240-01,3G
D1205,IoT Device,240-01,240-01,3G
D1206,Smartphone,240-01,240-01,5G
D1207,IoT Device,240-01,240-01,4G
D1208,Smartphone,240-01,240-01,4G
D1209,Smartphone,240-01,240-01,3G
D1210,Smartphone,240-01,240-01,4G
D1211,IoT Device,240-01,240-01,3G
D1212,Tablet,240-01,240-01,5G
D1213,Smartphone,240-01,240-01,3G
D1214,Tablet,240-01,240-01,3G
D1215,Smartphone,240-01,240-01,3G
D1216,IoT Device,240-01,240-01,3G
D1217,IoT Device,240-01,240-01,5G
D1218,IoT Device,240-01,240-01,5G
D1219,Tablet,240-01,240-01,5G
D1220,Smartphone,240-01,240-01,5G
D1221,Tablet,240-01,240-01,3G
D1222,IoT Device,240-01,240-01,4G
D1223,IoT Device,240-01,240-01,5G
D1224,IoT Device,240-01,240-01,4G
D1225,IoT Device,240-01,240-01,3G
D1226,Tablet,240-01,240-01,3G
D1227,Smartphone,240-01,240-01,5G
D1228,IoT Device,240-01,240-01,3G
D1229,IoT Device,240-01,240-01,4G
D1230,Tablet,240-01,240-01,4G
D1231,IoT Device,240-01,240-01,4G
D1232,Tablet,240-01,240-01,3G
D1233,Smartphone,240-01,240-01,4G
D1234,IoT Device,240-01,240-01,4G
D1235,Tablet,240-01,240-01,5G
D1236,Tablet,240-01,240-01,5G
D1237,IoT Device,240-01,240-01,5G
D1238,Smartphone,240-01,240-01,5G
D1239,Smartphone,240-01,240-01,3G
D1240,Tablet,240-01,240-01,3G
D1241,Tablet,240-01,240-01,3G
D1242,IoT Device,240-01,240-01,4G
D1243,Tablet,240-01,240-01,4G
D1244,Smartphone,240-01,240-01,4G
D1245,Tablet,240-01,240-01,3G
D1246,IoT Device,240-01,240-01,5G
D1247,IoT Device,240-01,240-01,4G
D1248,Smartphone,240-01,240-01,3G
D1249,Smartphone,240-01,240-01,3G
D1250,IoT Device,240-01,240-01,5G
D1251,Smartphone,240-01,240-01,3G
D1252,Tablet,240-01,240-01,3G
D1253,Tablet,240-01,240-01,4G
D1254,IoT Device,240-01,240-01,3G
D1255,Smartphone,240-01,240-01,3G
D1256,Tablet,240-01,240-01,3G
D1257,IoT Device,240-01,240-01,5G
D1258,IoT Device,240-01,240-01,3G
D1259,IoT Device,240-01,240-01,3G
D1260,Tablet,240-01,240-01,4G
D1261,Smartphone,240-01,240-01,5G
D1262,Smartphone,240-01,240-01,5G
D1263,Tablet,240-01,240-01,5G
D1264,IoT Device,240-01,240-01,4G
D1265,Smartphone,240-01,240-01,4G
D1266,Smartphone,240-01,240-01,4G
D1267,IoT Device,240-01,240-01,5G
D1268,IoT Device,240-01,240-01,4G
D1269,IoT Device,240-01,240-01,4G
D1270,Smartphone,240-01,240-01,5G
D1271,Tablet,240-01,240-01,5G
D1272,Smartphone,240-01,240-01,4G
D1273,Smartphone,240-01,240-01,5G
D1274,Tablet,240-01,240-01,4G
D1275,IoT Device,240-01,240-01,5G
D1276,Smartphone,240-01,240-01,3G
D1277,IoT Device,240-01,240-01,5G
D1278,Tablet,240-01,240-01,4G
D1279,Tablet,240-01,240-01,5G
D1280,Smartphone,240-01,240-01,4G
D1281,Tablet,240-01,240-01,3G
D1282,Smartphone,240-01,240-01,4G
D1283,IoT Device,240-01,240-01,3G
D1284,IoT Device,240-01,240-01,5G
D1285,Tablet,240-01,240-01,3G
D1286,Smartphone,240-01,240-01,5G
D1287,Smartphone,240-01,240-01,5G
D1288,Smartphone,240-01,240-01,3G
D1289,IoT Device,240-01,240-01,5G
D1290,IoT Device,240-01,240-01,5G
D1291,Tablet,240-01,240-01,5G
D1292,Tablet,240-01,240-01,5G
D1293,Tablet,240-01,240-01,5G
D1294,IoT Device,240-01,240-01,5G
D1295,Tablet,240-01,240-01,5G
D1296,Smartphone,240-01,240-01,5G
D1297,Tablet,240-01,240-01,5G
D1298,Smartphone,240-01,240-01,5G
D1299,IoT Device,240-01,240-01,5G
D1300,Tablet,240-01,240-01,4G
D1301,IoT Device,240-01,240-01,5G
D1302,Smartphone,240-01,240-01,3G
D1303,Tablet,240-01,240-01,4G
D1304,IoT Device,240-01,240-01,5G
D1305,Smartphone,240-01,240-01,3G
D1306,IoT Device,240-01,240-01,5G
D1307,Smartphone,240-01,240-01,5G
D1308,IoT Device,240-01,240-01,5G
D1309,Smartphone,240-01,240-01,3G
D1310,IoT Device,240-01,240-01,3G
D1311,Smartphone,240-01,240-01,5G
D1312,Smartphone,240-01,240-01,4G
D1313,Tablet,240-01,240-01,4G
D1314,Smartphone,240-01,240-01,5G
D1315,Smartphone,240-01,240-01,4G
D1316,Tablet,240-01,240-01,4G
D1317,Smartphone,240-01,240-01,5G
D1318,Smartphone,240-01,240-01,5G
D1319,Smartphone,240-01,240-01,4G
D1320,Smartphone,240-01,240-01,4G
D1321,IoT Device,240-01,240-01,3G
D1322,Smartphone,240-01,240-01,5G
D1323,Tablet,240-01,240-01,4G
D1324,Smartphone,240-01,240-01,5G
D1325,Tablet,240-01,240-01,3G
D1326,IoT Device,240-01,240-01,3G
D1327,Tablet,240-01,240-01,5G
D1328,Smartphone,240-01,240-01,5G
D1329,Tablet,240-01,240-01,3G
D1330,Tablet,240-01,240-01,5G
D1331,Smartphone,240-01,240-01,5G
D1332,IoT Device,240-01,240-01,5G
D1333,IoT Device,240-01,240-01,3G
D1334,Smartphone,240-01,240-01,5G
D1335,Smartphone,240-01,240-01,5G
D1336,Tablet,240-01,240-01,4G
D1337,IoT Device,240-01,240-01,4G
D1338,IoT Device,240-01,240-01,4G
D1339,Smartphone,240-01,240-01,3G
D1340,IoT Device,240-01,240-01,3G
D1341,Smartphone,240-01,240-01,4G
D1342,IoT Device,240-01,240-01,5G
D1343,Tablet,240-01,240-01,3G
D1344,Tablet,240-01,240-01,5G
D1345,Smartphone,240-01,240-01,5G
D1346,Tablet,240-01,240-01,4G
D1347,Smartphone,240-01,240-01,4G
D1348,IoT Device,240-01,240-01,3G
D1349,IoT Device,240-01,240-01,5G
D1350,IoT Device,240-01,240-01,4G
D1351,Tablet,240-01,240-01,5G
D1352,Tablet,240-01,240-01,3G
D1353,Smartphone,240-01,240-01,5G
D1354,Tablet,240-01,240-01,3G
D1355,Smartphone,240-01,240-01,3G
D1356,Tablet,240-01,240-01,3G
D1357,IoT Device,240-01,240-01,5G
D1358,Smartphone,240-01,240-01,3G
D1359,Smartphone,240-01,240-01,3G
D1360,IoT Device,240-01,240-01,3G
D1361,Smartphone,240-01,240-01,5G
D1362,Smartphone,240-01,240-01,3G
D1363,Tablet,240-01,240-01,5G
D1364,Tablet,240-01,240-01,3G
D1365,IoT Device,240-01,240-01,5G
D1366,Smartphone,240-01,240-01,5G
D1367,Tablet,240-01,240-01,4G
D1368,Tablet,240-01,240-01,4G
D1369,Smartphone,240-01,240-01,3G
D1370,Smartphone,240-01,240-01,4G
D1371,IoT Device,240-01,240-01,3G
D1372,Smartphone,240-01,240-01,3G
D1373,Smartphone,240-01,240-01,4G
D1374,Smartphone,240-01,240-01,5G
D1375,Smartphone,240-01,240-01,3G
D1376,IoT Device,240-01,240-01,5G
D1377,Smartphone,240-01,240-01,5G
D1378,IoT Device,240-01,240-01,3G
D1379,Tablet,240-01,240-01,4G
D1380,Smartphone,240-01,240-01,5G
D1381,Tablet,240-01,240-01,4G
D1382,Tablet,240-01,240-01,5G
D1383,Tablet,240-01,240-01,5G
D1384,IoT Device,240-01,240-01,3G
D1385,IoT Device,240-01,240-01,5G
D1386,Tablet,240-01,240-01,4G
D1387,Smartphone,240-01,240-01,4G
D1388,Smartphone,240-01,240-01,4G
D1389,Tablet,240-01,240-01,4G
D1390,Tablet,240-01,240-01,3G
D1391,Tablet,240-01,240-01,5G
D1392,Tablet,240-01,240-01,4G
D1393,IoT Device,240-01,240-01,4G
D1394,Smartphone,240-01,240-01,3G
D1395,IoT Device,240-01,240-01,5G
D1396,IoT Device,240-01,240-01,3G
D1397,IoT Device,240-01,240-01,4G
D1398,IoT Device,240-01,240-01,3G
D1399,Tablet,240-01,240-01,4G
D1400,Tablet,240-01,240-01,4G
D1401,IoT Device,240-01,240-01,5G
D1402,Tablet,240-01,240-01,5G
D1403,Smartphone,240-01,240-01,5G
D1404,Tablet,240-01,240-01,5G
D1405,Tablet,240-01,240-01,4G
D1406,IoT Device,240-01,240-01,4G
D1407,Tablet,240-01,240-01,3G
D1408,IoT Device,240-01,240-01,5G
D1409,Smartphone,240-01,240-01,5G
D1410,Smartphone,240-01,240-01,4G
D1411,IoT Device,240-01,240-01,5G
D1412,Tablet,240-01,240-01,3G
D1413,Smartphone,240-01,240-01,5G
D1414,IoT Device,240-01,240-01,4G
D1415,Tablet,240-01,240-01,5G
D1416,Tablet,240-01,240-01,3G
D1417,Tablet,240-01,240-01,4G
D1418,IoT Device,240-01,240-01,3G
D1419,IoT Device,240-01,240-01,5G
D1420,Tablet,240-01,240-01,3G
D1421,IoT Device,240-01,240-01,4G
D1422,Tablet,240-01,240-01,3G
D1423,Tablet,240-01,240-01,4G
D1424,Smartphone,240-01,240-01,5G
D1425,IoT Device,240-01,240-01,5G
D1426,Tablet,240-01,240-01,3G
D1427,IoT Device,240-01,240-01,4G
D1428,Smartphone,240-01,240-01,5G
D1429,Tablet,240-01,240-01,3G
D1430,IoT Device,240-01,240-01,5G
D1431,Smartphone,240-01,240-01,5G
D1432,Tablet,240-01,240-01,5G
D1433,Smartphone,240-01,240-01,5G
D1434,IoT Device,240-01,240-01,4G
D1435,Smartphone,240-01,240-01,4G
D1436,Smartphone,240-01,240-01,5G
D1437,IoT Device,240-01,240-01,3G
D1438,Smartphone,240-01,240-01,5G
D1439,Tablet,240-01,240-01,3G
D1440,IoT Device,240-01,240-01,3G
D1441,Tablet,240-01,240-01,5G
D1442,Tablet,240-01,240-01,5G
D1443,Smartphone,240-01,240-01,3G
D1444,Tablet,240-01,240-01,5G
D1445,Tablet,240-01,240-01,3G
D1446,Tablet,240-01,240-01,5G
D1447,IoT Device,240-01,240-01,4G
D1448,IoT Device,240-01,240-01,4G
D1449,Smartphone,240-01,240-01,3G
D1450,Smartphone,240-01,240-01,5G
D1451,IoT Device,240-01,240-01,5G
D1452,Smartphone,240-01,240-01,3G
D1453,Tablet,240-01,240-01,3G
D1454,Tablet,240-01,240-01,4G
D1455,Smartphone,240-01,240-01,3G
D1456,IoT Device,240-01,240-01,5G
D1457,Tablet,240-01,240-01,5G
D1458,IoT Device,240-01,240-01,3G
D1459,Tablet,240-01,240-01,5G
D1460,Smartphone,240-01,240-01,3G
D1461,Smartphone,240-01,240-01,3G
D1462,Tablet,240-01,240-01,4G
D1463,IoT Device,240-01,240-01,5G
D1464,IoT Device,240-01,240-01,3G
D1465,Smartphone,240-01,240-01,3G
D1466,Tablet,240-01,240-01,3G
D1467,Tablet,240-01,240-01,5G
D1468,Smartphone,240-01,240-01,5G
D1469,Tablet,240-01,240-01,3G
D1470,IoT Device,240-01,240-01,3G
D1471,IoT Device,240-01,240-01,5G
D1472,IoT Device,240-01,240-01,3G
D1473,Tablet,240-01,240-01,4G
D1474,Smartphone,240-01,240-01,5G
D1475,IoT Device,240-01,240-01,4G
D1476,Smartphone,240-01,240-01,4G
D1477,Smartphone,240-01,240-01,5G
D1478,Tablet,240-01,240-01,3G
D1479,IoT Device,240-01,240-01,4G
D1480,IoT Device,240-01,240-01,3G
D1481,Smartphone,240-01,240-01,3G
D1482,Tablet,240-01,240-01,3G
D1483,Tablet,240-01,240-01,3G
D1484,Smartphone,240-01,240-01,4G
D1485,IoT Device,240-01,240-01,3G
D1486,IoT Device,240-01,240-01,5G
D1487,Smartphone,240-01,240-01,5G
D1488,Tablet,240-01,240-01,3G
D1489,IoT Device,240-01,240-01,5G
D1490,Tablet,240-01,240-01,4G
D1491,Smartphone,240-01,240-01,3G
D1492,Tablet,240-01,240-01,3G
D1493,Smartphone,240-01,240-01,4G
D1494,Tablet,240-01,240-01,4G
D1495,Smartphone,240-01,240-01,4G
D1496,IoT Device,240-01,240-01,3G
D1497,Tablet,240-01,240-01,3G
D1498,Tablet,240-01,240-01,3G
D1499,Smartphone,240-01,240-01,4G
D1500,Smartphone,240-01,240-01,5G
D1501,Tablet,240-01,240-01,3G
D1502,Smartphone,240-01,240-01,3G
D1503,Smartphone,240-01,240-01,4G
D1504,Tablet,240-01,240-01,4G
D1505,Smartphone,240-01,240-01,5G
D1506,Tablet,240-01,240-01,4G
D1507,IoT Device,240-01,240-01,5G
D1508,Tablet,240-01,240-01,5G
D1509,Tablet,240-01,240-01,5G
D1510,Smartphone,240-01,240-01,4G
D1511,Tablet,240-01,240-01,4G
D1512,Smartphone,240-01,240-01,5G
D1513,Tablet,240-01,240-01,5G
D1514,IoT Device,240-01,240-01,5G
D1515,Smartphone,240-01,240-01,5G
D1516,Tablet,240-01,240-01,3G
D1517,Tablet,240-01,240-01,5G
D1518,Smartphone,240-01,240-01,4G
D1519,Smartphone,240-01,240-01,5G
D1520,Tablet,240-01,240-01,4G
D1521,IoT Device,240-01,240-01,3G
D1522,Smartphone,240-01,240-01,3G
D1523,Tablet,240-01,240-01,3G
D1524,IoT Device,240-01,240-01,4G
D1525,Tablet,240-01,240-01,3G
D1526,Smartphone,240-01,240-01,3G
D1527,Smartphone,240-01,240-01,3G
D1528,Tablet,240-01,240-01,5G
D1529,IoT Device,240-01,240-01,3G
D1530,Smartphone,240-01,240-01,4G
D1531,IoT Device,240-01,240-01,3G
D1532,IoT Device,240-01,240-01,3G
D1533,Tablet,240-01,240-01,4G
D1534,Tablet,240-01,240-01,5G
D1535,IoT Device,240-01,240-01,4G
D1536,Smartphone,240-01,240-01,4G
D1537,Smartphone,240-01,240-01,5G
D1538,IoT Device,240-01,240-01,4G
D1539,IoT Device,240-01,240-01,5G
D1540,Tablet,240-01,240-01,3G
D1541,Smartphone,240-01,240-01,3G
D1542,Smartphone,240-01,240-01,5G
D1543,IoT Device,240-01,240-01,4G
D1544,Smartphone,240-01,240-01,3G
D1545,Smartphone,240-01,240-01,4G
D1546,IoT Device,240-01,240-01,3G
D1547,IoT Device,240-01,240-01,3G
D1548,Smartphone,240-01,240-01,5G
D1549,Smartphone,240-01,240-01,4G
D1550,Tablet,240-01,240-01,3G
D1551,Tablet,240-01,240-01,4G
D1552,Tablet,240-01,240-01,3G
D1553,Smartphone,240-01,240-01,4G
D1554,Tablet,240-01,240-01,4G
D1555,Tablet,240-01,240-01,4G
D1556,Smartphone,240-01,240-01,4G
D1557,Tablet,240-01,240-01,3G
D1558,Tablet,240-01,240-01,3G
D1559,Tablet,240-01,240-01,3G
D1560,Smartphone,240-01,240-01,5G
D1561,IoT Device,240-01,240-01,5G
D1562,Tablet,240-01,240-01,4G
D1563,IoT Device,240-01,240-01,3G
D1564,Tablet,240-01,240-01,4G
D1565,Smartphone,240-01,240-01,5G
D1566,Smartphone,240-01,240-01,4G
D1567,IoT Device,240-01,240-01,4G
D1568,Smartphone,240-01,240-01,5G
D1569,IoT Device,240-01,240-01,5G
D1570,Tablet,240-01,240-01,5G
D1571,IoT Device,240-01,240-01,3G
D1572,IoT Device,240-01,240-01,4G
D1573,Tablet,240-01,240-01,4G
D1574,IoT Device,240-01,240-01,3G
D1575,IoT Device,240-01,240-01,5G
D1576,IoT Device,240-01,240-01,5G
D1577,IoT Device,240-01,240-01,3G
D1578,IoT Device,240-01,240-01,3G
D1579,IoT Device,240-01,240-01,3G
D1580,Smartphone,240-01,240-01,5G
D1581,IoT Device,240-01,240-01,3G
D1582,IoT Device,240-01,240-01,3G
D1583,Tablet,240-01,240-01,4G
D1584,Smartphone,240-01,240-01,3G
D1585,Tablet,240-01,240-01,4G
D1586,Smartphone,240-01,240-01,4G
D1587,Smartphone,240-01,240-01,4G
D1588,IoT Device,240-01,240-01,3G
D1589,Tablet,240-01,240-01,3G
D1590,Smartphone,240-01,240-01,3G
D1591,IoT Device,240-01,240-01,4G
D1592,IoT Device,240-01,240-01,5G
D1593,Tablet,240-01,240-01,3G
D1594,IoT Device,240-01,240-01,3G
D1595,Tablet,240-01,240-01,4G
D1596,IoT Device,240-01,240-01,4G
D1597,IoT Device,240-01,240-01,4G
D1598,IoT Device,240-01,240-01,4G
D1599,Tablet,240-01,240-01,5G
D1600,IoT Device,240-01,240-01,3G
D1601,IoT Device,240-01,240-01,4G
D1602,Tablet,240-01,240-01,3G
D1603,Smartphone,240-01,240-01,5G
D1604,IoT Device,240-01,240-01,5G
D1605,IoT Device,240-01,240-01,3G
D1606,Smartphone,240-01,240-01,5G
D1607,Tablet,240-01,240-01,4G
D1608,Smartphone,240-01,240-01,4G
D1609,Tablet,240-01,240-01,4G
D1610,Tablet,240-01,240-01,5G
D1611,IoT Device,240-01,240-01,4G
D1612,IoT Device,240-01,240-01,4G
D1613,IoT Device,240-01,240-01,3G
D1614,Tablet,240-01,240-01,5G
D1615,Smartphone,240-01,240-01,5G
D1616,Smartphone,240-01,240-01,3G
D1617,Smartphone,240-01,240-01,5G
D1618,Tablet,240-01,240-01,3G
D1619,IoT Device,240-01,240-01,3G
D1620,Smartphone,240-01,240-01,4G
D1621,IoT Device,240-01,240-01,3G
D1622,Smartphone,240-01,240-01,4G
D1623,Tablet,240-01,240-01,4G
D1624,Smartphone,240-01,240-01,3G
D1625,IoT Device,240-01,240-01,4G
D1626,IoT Device,240-01,240-01,3G
D1627,Smartphone,240-01,240-01,5G
D1628,IoT Device,240-01,240-01,3G
D1629,Tablet,240-01,240-01,3G
D1630,IoT Device,240-01,240-01,5G
D1631,IoT Device,240-01,240-01,4G
D1632,Smartphone,240-01,240-01,3G
D1633,IoT Device,240-01,240-01,4G
D1634,Smartphone,240-01,240-01,3G
D1635,Tablet,240-01,240-01,3G
D1636,Tablet,240-01,240-01,3G
D1637,Tablet,240-01,240-01,5G
D1638,IoT Device,240-01,240-01,4G
D1639,Smartphone,240-01,240-01,5G
D1640,Smartphone,240-01,240-01,4G
D1641,IoT Device,240-01,240-01,3G
D1642,Smartphone,240-01,240-01,5G
D1643,Tablet,240-01,240-01,4G
D1644,IoT Device,240-01,240-01,4G
D1645,IoT Device,240-01,240-01,4G
D1646,IoT Device,240-01,240-01,5G
D1647,Smartphone,240-01,240-01,5G
D1648,Smartphone,240-01,240-01,4G
D1649,Tablet,240-01,240-01,4G
D1650,Smartphone,240-01,240-01,5G
D1651,IoT Device,240-01,240-01,4G
D1652,Tablet,240-01,240-01,3G
D1653,Tablet,240-01,240-01,4G
D1654,Smartphone,240-01,240-01,3G
D1655,Tablet,240-01,240-01,5G
D1656,IoT Device,240-01,240-01,3G
D1657,IoT Device,240-01,240-01,4G
D1658,IoT Device,240-01,240-01,4G
D1659,Tablet,240-01,240-01,5G
D1660,Tablet,240-01,240-01,5G
D1661,Smartphone,240-01,240-01,3G
D1662,Smartphone,240-01,240-01,4G
D1663,Tablet,240-01,240-01,3G
D1664,Tablet,240-01,240-01,4G
D1665,Tablet,240-01,240-01,5G
D1666,IoT Device,240-01,240-01,4G
D1667,IoT Device,240-01,240-01,3G
D1668,Smartphone,240-01,240-01,5G
D1669,Tablet,240-01,240-01,3G
D1670,Smartphone,240-01,240-01,5G
D1671,IoT Device,240-01,240-01,4G
D1672,Tablet,240-01,240-01,4G
D1673,Tablet,240-01,240-01,5G
D1674,Smartphone,240-01,240-01,5G
