Linkage_Index,City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
16,Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,SFR User Data,AS15557 Societe Francaise Du Radiotelephone - SFR SA
17,Abu Dhabi,Abu Dhabi,United Arab Emirates,,24.4539,54.3773,Asia/Dubai,Emirates Telecommunications Corporation,,AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC
18,Haddington,Scotland,United Kingdom,EH41,55.919,-2.7552,Europe/London,BorderLink Broadband Limited,,AS205847 GoFibre Holdings Limited
19,Zhengzhou,Michigan,The Netherlands,,1.115,103.975,Asia/Pontianak,PT Solnet Indonesia,,AS9422 PT SOLNET INDONESIA
20,The Bronx,New York,United States,10467,40.8731,-73.8726,America/New_York,Cablevision Systems Corp.,Purdue Pharamacy,AS54004 Optimum WiFi
21,Palo Alto,Istanbul,China,11930,19.4036,-99.2421,America/Mexico_City,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.","Mexico Red de Telecomunicaciones, S. de R.L. de C.V","AS13591 Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
22,Reston,Virginia,United States,20196,38.9517,-77.3776,America/New_York,Sprint,Sprint,
23,Banqiao,Taipei,Taiwan,,25.0114,121.462,Asia/Taipei,"Far EastTone Telecommunication Co., Ltd.","Far EasTone Telecommunication Co., Ltd.","AS9674 Far EastTone Telecommunication Co., Ltd."
24,Orland Park,Santa Catarina,United States,80526,40.5603,-105.081,America/Denver,USDA,USDA Office of Operations,AS4152 USDA
25,Minatomirai,Kanagawa,Japan,220-0011,35.4643,139.6262,Asia/Tokyo,UCOM Corp.,broadgate,AS17506 ARTERIA Networks Corporation
26,London,Tokyo,Japan,540-0001,34.6837,135.5236,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.
27,Zhengzhou,Henan,China,450000,34.7472,113.625,Asia/Shanghai,CNC Group CHINA169 Henan Province Network,,AS4837 CHINA UNICOM China169 Backbone
28,Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc."
29,Ayamonte,Andalusia,Spain,21400,37.2109,-7.4017,Europe/Madrid,Orange Spain,Jazztel triple play services,AS12479 Orange Espagne SA
30,São Paulo,Utrecht,Japan,36000,-21.744,-43.434,America/Sao_Paulo,V tal,V tal,AS7738 V tal
31,Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,CONUS-YPG,USAISC,AS749 DoD Network Information Center
32,Lamar,Colorado,United States,81052,38.0833,-102.6236,America/Denver,"CenturyLink Communications, LLC","CenturyLink Communications, LLC","AS22561 CenturyLink Communications, LLC"
33,Kuala Lumpur,Quebec,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
34,Seattle,Washington,United States,98109,47.6222,-122.337,America/Los_Angeles,Amazon Technologies Inc.,Amazon Technologies Inc,
35,Paris,Île-de-France,France,75009,48.8323,2.4075,Europe/Paris,Orange,,AS3215 Orange S.A.
36,Green Bay,Wisconsin,United States,54311,44.4965,-87.9266,America/Chicago,Charter Communications,Spectrum,AS10796 Charter Communications Inc
37,Bradley Stoke,England,United Kingdom,BS32,51.5485,-2.55766,Europe/London,EE Limited,,
38,Grenoble,Auvergne-Rhône-Alpes,France,38000,45.2069,5.69253,Europe/Paris,ESRF-GRENOBLE,The ESRF,AS1942 Renater
39,Sao Cristovao,Rio de Janeiro,Brazil,,-22.9027,-43.2194,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A
40,Shenzhen,Guangdong,China,,22.5431,114.058,Asia/Shanghai,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd."
41,Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
42,Madrid,Madrid,Spain,28050,40.4506,-3.60236,Europe/Madrid,VODAFONE-NETWORK,,AS12430 VODAFONE ESPANA S.A.U.
43,Barcelona,Catalonia,Spain,8005,41.3949,2.19746,Europe/Madrid,"VODAFONE ONO, S.A",Ono,"AS6739 VODAFONE ONO, S.A."
44,Shenzhen,Guangdong,China,,22.5559,114.0577,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
45,Tehran,England,South Korea,1119,52.277,4.74713,Europe/Amsterdam,Liberty Global B.V.,Liberty Global B.V,AS6830 Liberty Global B.V.
46,Berkeley,Arizona,Vietnam,231-0841,35.4346,139.6483,Asia/Tokyo,Yokohama City University,Yokohama City University,"AS2907 Research Organization of Information and Systems, National Institute of Informatics"
47,Suyeong-gu,Busan,South Korea,482,35.1811,129.0928,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
48,Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS721 DoD Network Information Center
49,Montreal,Beijing,United States,53717,43.0723,-89.524,America/Chicago,Wingra Technologies,,
50,São Paulo,Ohio,Finland,,24.9051,118.5707,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
51,Damascus,Damascus Governorate,Syria,,33.5138,36.2765,Asia/Damascus,SYRIATEL-MOBILE,,AS29256 Syrian Telecommunication Private Closed Joint Stock Company
52,North Battleford,Akershus,China,99501,61.2314,-149.881,America/Anchorage,"AT&T Services, Inc.",Alascom,"AS7018 AT&T Services, Inc."
53,Orlando,Florida,United States,32801,28.5436,-81.3738,America/New_York,Sprint Communications,Sprint Orlando POP,AS1239 Sprint
54,Caldas,Minas Gerais,Brazil,37780,-21.8845,-46.3613,America/Sao_Paulo,Videomar Rede Nordeste S/A,Videomar Rede Nordeste S/A,AS28270 Videomar Rede Nordeste S/A
55,Caracas,Miranda,Venezuela,,10.4966,-66.8446,America/Caracas,"CANTV Servicios, Venezuela","CANTV Servicios, Venezuela","AS8048 CANTV Servicios, Venezuela"
56,Rho,Lombardy,Italy,20017,45.5189,9.086,Europe/Rome,H3G,Wind TRE S.P.A,
57,Durham,Emilia-Romagna,United States,28195,53.0832,8.78828,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG
58,Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus2),AS8075 Microsoft Corporation
59,Malang,East Java,Indonesia,,-7.93998,112.632,Asia/Jakarta,BEST,,AS135484 PT. Bentang Selaras Teknologi
60,Newark,New Jersey,United Kingdom,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
61,Frankfurt am Main,Hesse,Germany,60313,50.1188,8.6843,Europe/Berlin,Hivelocity Inc,Ipxo Limited,AS61317 Hivelocity Inc
62,Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,China Unicom Beijing Province Network,,AS4808 China Unicom Beijing Province Network
63,Austin,Texas,United States,78741,30.2304,-97.7243,America/Chicago,Google Fiber Inc.,Google Fiber Inc,AS16591 Google Fiber Inc.
64,Epping,Tokyo,Poland,K9H,44.3221,-78.318,America/Toronto,Nexicom Inc.,Nexicom Inc.,AS11666 Nexicom Inc.
65,London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,TalkTalk,TalkTalk Communications Limited,
66,Seattle,Kansas,United Kingdom,60602,41.8874,-87.6318,America/Chicago,Microsoft Limited,Microsoft Limited,
67,Louisville,Kentucky,United States,40219,38.1966,-85.6568,America/Kentucky/Louisville,Verizon Business,Lumenis LTD,AS701 Verizon Business
68,Beijing,Stockholm County,United States,100-0001,35.694,139.754,Asia/Tokyo,Ryoka Systems,"Ryoka Systems, Inc.",
69,New York,New York,United States,10271,40.7085,-74.0106,America/New_York,JPMorgan Chase & Co.,JPMorgan Chase & Co.,
70,Mira,Machakos County,United States,931 55,64.7472,20.9529,Europe/Stockholm,Telia Company AB,Returpack-Burk Svenska AB,AS3301 Telia Company AB
71,Bhopal,Beijing,United States,30302,33.749,-84.388,America/New_York,AT&T Mobility LLC,Service Provider Corporation,AS20057 AT&T Mobility LLC
72,Doylestown,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
73,New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
74,Whitehall,Tamil Nadu,United States,2007,54.6912,25.2816,Europe/Vilnius,Kauno Technologijos Universitetas,Vilniaus universitetas,AS5479 Kauno Technologijos Universitetas
75,Princeton,New Jersey,United States,8540,40.3442,-74.6635,America/New_York,Verizon Communications,Princeton Theological/Internet,AS701 Verizon Business
76,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
77,Shenzhen,Ohio,United States,20149,39.0469,-77.4903,America/New_York,Africa on Cloud,Cloud Innovation Ltd,AS328608 Africa on Cloud
78,Tempe,Arizona,United States,85285,33.42,-111.9128,America/Phoenix,"Akamai Technologies, Inc.","Akamai Technologies, Inc.","AS16625 Akamai Technologies, Inc."
79,Beckley,Oklahoma,China,627,-36.8017,174.7533,Pacific/Auckland,Sky Network Television Ltd,Two Degrees Mobile Limited,AS140220 Sky Network Television Ltd
80,Gangbuk-gu,Seoul,South Korea,10,37.6445,127.0037,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
81,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
82,Dallas,Texas,United States,75214,32.8242,-96.7507,America/Chicago,"Haynes and Boone, L.L.P.","Haynes and Boone, L.L.P.","AS14890 Haynes and Boone, L.L.P."
83,Chisinau,Chișinău Municipality,Moldova,MD-2000,47.0042,28.8574,Europe/Chisinau,SC STARNET SRL,StarNet Solutii SRL,AS31252 StarNet Solutii SRL
84,Yokohama,California,Australia,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,
85,Moscow,Beijing,United Kingdom,400078,19.0748,72.8856,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
86,Lomé,Maritime,Togo,,6.1316,1.224,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
87,Silver Spring,Maryland,United States,20904,39.068,-76.9933,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
88,Whitehall,Tokyo,South Africa,,19.9952,110.242,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
89,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
90,Zhengzhou,Henan,China,450000,34.7886,113.786,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
91,Chiyoda,Tokyo,Japan,100-0001,35.694,139.754,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
92,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
93,Richlands,North Carolina,United States,28574,34.8611,-77.5885,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
94,Livingston,Scotland,United Kingdom,EH54,55.8995,-3.5237,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
95,Taipei,Taiwan,Taiwan,,25.0446,121.561,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
96,Tampere,Pirkanmaa,Finland,33900,61.4857,23.7624,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
97,Shanghai,Hesse,Japan,D02,53.3498,-6.26031,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
98,New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
99,Leidschendam,South Holland,The Netherlands,2263,52.0965,4.3982,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
100,Secaucus,Kanagawa,United States,94107,37.721,-122.391,America/Los_Angeles,Fastly,"Fastly, Inc.",
101,Whitehall,Gyeonggi-do,United States,45201,39.1032,-84.5053,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
102,Huechuraba,Santiago Metropolitan,Chile,8580000,-33.3829,-70.6214,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
103,Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
104,Victoria,British Columbia,Canada,V8T,48.4527,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
105,Richmond Hill,Ontario,Canada,L4C,43.8678,-79.442,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
106,New York,Ohio,United States,85706,32.1453,-110.9456,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
107,Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,
108,Donetsk,Donetsk,Ukraine,7512,48.0159,37.8028,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
109,Brewton,Alabama,United States,36426,31.1294,-87.0961,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
110,Rzeszów,Guangdong,United States,01000-000,-23.5558,-46.6396,America/Sao_Paulo,Vivo,TELEFONICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
111,Springfield,Massachusetts,United States,1111,42.1169,-72.5476,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
112,Xiaolou,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
113,Washington,District of Columbia,United States,20068,38.9072,-77.0369,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
114,London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Limited,Microsoft Limited,
115,Vienna,Vienna,Austria,1030,48.1982,16.3917,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
116,Atlanta,New South Wales,New Zealand,,39.1488,117.1762,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
117,London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
118,Chaowai,Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
119,Ancona,Colorado,China,100000,39.9042,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
120,Calgary,Alberta,Canada,T2R,51.0447,-114.072,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
121,New York,Georgia,Finland,20120,38.8397,-77.4335,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
122,La Victoria,Hesse,China,,30.0444,31.2357,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
123,Houston,Texas,United States,77056,29.7446,-95.464,America/Chicago,Apache Corporation,Apache Corporation,
124,Rochester,New York,United States,14609,43.1537,-77.5667,America/New_York,ICL,"ICL, Inc.",
125,New Delhi,Pennsylvania,United States,3047,-37.6763,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
126,Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
127,Bernardsville,New Jersey,United States,7920,40.6954,-74.5785,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
128,Chennai,Tamil Nadu,India,600001,13.081185,80.27178,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
129,New Providence,Selangor,Russia,98513,46.9961,-122.7381,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
130,Konopiska,Silesia,Poland,42-274,50.7292,19.0119,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
131,Gresse,Mecklenburg-Vorpommern,Germany,19258,53.4282,10.7444,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
132,Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
133,Concord,California,United States,94520,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
134,Maiden,North Carolina,United States,,35.5756,-81.2117,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
135,Paris,California,China,100000,39.9042,116.407,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
136,Ratchathewi,Florida,United States,W1B,51.5074,-0.127758,Europe/London,Bell Canada,Bell Canada,
137,Fairfax,Virginia,United States,22031,38.8616,-77.2663,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
138,Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,
139,Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,TVCCONV,France Telecom services,
140,Calais,Hauts-de-France,France,62100,50.9456,1.85376,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
141,Jinrongjie,Beijing,China,,39.9136,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
142,Eschborn,Hesse,Germany,65760,50.1313,8.57003,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
143,Takasago,Saitama,Japan,330-9301,35.8691,139.6582,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
144,New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
145,São Paulo,São Paulo,Brazil,01000-000,-23.5558,-46.6396,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
146,Montpellier,Occitanie,France,34070,43.6107,3.8809,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
147,Ostbevern,North Rhine-Westphalia,Germany,48346,52.0338,7.83333,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
148,Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,
149,Moscow,Moscow,Russia,125310,55.7483,37.6171,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
150,Palo Alto,California,United States,94304,37.4146,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
151,Seattle,Washington,United States,98168,47.4941,-122.294,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
152,Greenwood Village,Colorado,United States,80111,39.6029,-104.889,America/Denver,Spectrum,Charter Communications Inc,
153,Frankfurt am Main,Hesse,Germany,60313,50.1109,8.68213,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
154,Jeddah,Mecca Region,Saudi Arabia,,21.4849,39.192,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
155,Paris,Île-de-France,France,75015,48.8422,2.29277,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
156,Windhoek,Khomas Region,Namibia,,-22.5562,17.0759,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
157,Raleigh,North Carolina,United States,27668,35.838,-78.6122,America/New_York,United States Postal Service.,United States Postal Service,
158,Miami,Guangdong,Sudan,3058,-37.744,144.9682,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
159,Overland Park,Kansas,United States,66251,38.9162,-94.6618,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
160,Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
161,Seattle,Washington,United States,98108,47.6229,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
162,Tokyo,Tokyo,Japan,151-0071,35.6837,139.6805,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
163,Raleigh,New York,India,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
164,Dublin,New York,Canada,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
165,Rio de Janeiro,Rio de Janeiro,Brazil,,-22.9072,-43.1883,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
166,Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
167,Ashburn,Virginia,United States,20147,39.011,-77.4711,America/New_York,Verizon Business,Verizon Business,
168,La Crosse,Wisconsin,United States,54601,43.8138,-91.2519,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
169,Melbourne,North Carolina,Germany,240,60.207,24.9207,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
170,Stuttgart,Baden-Wurttemberg,Germany,70327,48.7863,9.23807,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
171,Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,
172,Durham,North Carolina,United States,27709,35.905,-78.8566,America/New_York,IBM,IBM,
173,São Paulo,São Paulo,Brazil,1000,-23.6283,-46.6409,America/Sao_Paulo,Vivo,TELEFONICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
174,Chicago,Cairo Governorate,Nigeria,28223,35.307,-80.7309,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
175,Pretoria,Kanagawa,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
176,Haidian,Beijing,China,,39.8997,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
177,Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
178,Porto,Sichuan,Japan,01000-000,-23.5558,-46.6396,America/Sao_Paulo,V tal,V tal,AS7738 V tal
179,London,Virginia,Canada,60313,50.1188,8.6843,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
180,Boydton,Wakayama,United States,20038,53.5511,9.99368,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
181,Des Moines,Iowa,United States,50309,41.5908,-93.6208,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
182,Fuengirola,Andalusia,Spain,29640,36.5473,-4.6121,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
183,Klaten,Central Java,Indonesia,,-7.7049,110.6019,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
184,Seongnam-si,Gyeonggi-do,South Korea,13606,37.3638,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
185,Santo Domingo,KwaZulu-Natal,Morocco,43017,40.0992,-83.1141,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
186,Chongqing,Gia Lai Province,United States,1001,-33.8688,151.209,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
187,Montgomery,Alabama,United States,36114,32.4033,-86.2383,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
188,Mitcham,England,United Kingdom,CR4,51.3873,-0.1596,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
189,Foshan,Giza,Brazil,22085,53.5755,10.0174,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
190,London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
