Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
260402201742+0200,206,01,20601,45540426,52501229,45975707,206-01-4937,206-01-4937-64,5G,Smartphone,2257
260405233601+0200,206,10,20610,30984345,45331898,28511068,206-10-5722,206-10-5722-91,5G,Smartphone,1786
260407180925-0700,310,120,310120,74283547,89562077,74971579,310-120-5469,310-120-5469-88,4G,Tablet,1160
260402063556-0800,310,480,310480,74318075,92539536,72521549,310-480-8632,310-480-8632-88,3G,Smartphone,1719
260408113856+0100,240,24,24024,28462926,28475107,12736465,240-24-7211,240-24-7211-37,5G,Smartphone,498
260402033821+0000,234,38,23438,69825265,66491862,74297878,234-38-6962,234-38-6962-87,3G,IoT Device,1962
260404134606+0100,240,05,24005,28725203,23001862,25077878,240-05-8973,240-05-8973-37,5G,Smartphone,1632
260402082345-0500,310,260,310260,94194316,76453413,97624770,310-260-2106,310-260-2106-88,5G,Smartphone,2888
260402140315-0600,310,120,310120,90640655,92528042,92205205,310-120-5469,310-120-5469-63,3G,Smartphone,662
260402054533+0100,240,24,24024,31948725,13349302,19828132,240-24-5558,240-24-5558-43,5G,Tablet,1298
260404132141-0600,310,260,310260,75288819,85436613,85600409,310-260-4950,310-260-4950-63,5G,IoT Device,1651
260402084018+0000,234,33,23433,73839462,74711846,69503260,234-33-4986,234-33-4986-57,3G,Smartphone,2148
260407010719+0000,234,10,23410,70014800,66974512,58440422,234-10-5847,234-10-5847-92,3G,Tablet,2894
260408055316+0100,234,38,23438,57965180,60248422,60923186,234-38-6962,234-38-6962-35,4G,Smartphone,756
260403144319+0000,234,10,23410,51381957,71074141,71031109,234-10-1359,234-10-1359-30,3G,Smartphone,1766
260407002749-0500,310,480,310480,80600128,87680616,96178097,310-480-8632,310-480-8632-63,3G,Smartphone,1150
260408084338+0100,206,20,20620,51177112,34201520,35606407,206-20-1474,206-20-1474-91,5G,Smartphone,1206
260405053302+0200,206,05,20605,43785648,36167083,44742864,206-05-5871,206-05-5871-91,5G,Smartphone,1320
260406204316+0000,234,33,23433,55598060,60729970,55021537,234-33-8155,234-33-8155-87,3G,Tablet,1232
260407014459-0700,310,480,310480,76747958,76614462,76782017,310-480-8632,310-480-8632-88,3G,IoT Device,1705
260407220058+0100,234,38,23438,57006280,55903780,50209275,234-38-7347,234-38-7347-35,3G,Smartphone,1408
260405143436+0200,206,10,20610,34004374,45011388,36817785,206-10-9117,206-10-9117-98,4G,Smartphone,2020
260405191853+0000,234,10,23410,64408836,64660100,67868980,234-10-5837,234-10-5837-87,3G,IoT Device,1409
260404191440-0600,310,120,310120,85786701,92920662,82138583,310-120-5469,310-120-5469-41,3G,Smartphone,855
260401185528+0100,234,15,23415,60152172,66789802,75501617,234-15-4475,234-15-4475-35,4G,Smartphone,293
260406032339+0100,206,20,20620,33143407,39516403,47089910,206-20-7730,206-20-7730-91,4G,IoT Device,2856
260407201702+0000,234,10,23410,56966898,67922774,54005730,234-10-5837,234-10-5837-27,4G,Tablet,1274
260406192701-0600,310,410,310410,85148753,78439116,65652502,310-410-3621,310-410-3621-75,5G,IoT Device,1953
260405090752+0100,240,16,24016,15613048,23121959,19199780,240-16-9270,240-16-9270-11,5G,Smartphone,2734
260403030201+0100,206,10,20610,58505905,54363930,46810956,206-10-9117,206-10-9117-91,4G,Smartphone,1814
260405033538+0000,234,10,23410,69360873,56741135,67634810,234-10-1359,234-10-1359-57,4G,Tablet,1536
260404222257+0100,206,10,20610,31722756,36011280,29813692,206-10-9117,206-10-9117-91,5G,Smartphone,551
260401180800-0800,310,120,310120,98908489,82406252,80451133,310-120-5469,310-120-5469-30,4G,Tablet,1888
260405042622+0100,206,20,20620,39936315,46813149,35610133,206-20-4826,206-20-4826-98,4G,IoT Device,2018
260404095116+0000,234,38,23438,67004908,58150900,74856257,234-38-6962,234-38-6962-27,4G,Tablet,1494
260406095255-0500,310,410,310410,99116983,82466603,99037488,310-410-8179,310-410-8179-88,5G,IoT Device,2190
260404023823+0200,206,10,20610,46445333,31410581,43678337,206-10-1042,206-10-1042-68,5G,Tablet,1187
260405140729-0800,310,260,310260,76193648,94624106,75959492,310-260-2106,310-260-2106-88,4G,IoT Device,2443
260402235947+0200,206,01,20601,44953472,31319952,54802115,206-01-4937,206-01-4937-91,5G,Smartphone,590
260405223941-0700,310,410,310410,79058392,74731749,81457727,310-410-8179,310-410-8179-41,4G,Smartphone,1914
260404234904+0100,206,10,20610,58687667,52820381,41340773,206-10-9117,206-10-9117-68,5G,Tablet,1464
260403201411+0100,206,05,20605,46627801,51831570,39611167,206-05-8025,206-05-8025-64,5G,Smartphone,661
260408102234-0700,310,120,310120,93877483,75558187,96781189,310-120-8361,310-120-8361-63,4G,Smartphone,1020
260407094318-0500,310,260,310260,84743862,74556866,67696327,310-260-6850,310-260-6850-88,4G,IoT Device,1783
260402132446+0100,206,05,20605,50447876,54660095,39543513,206-05-8253,206-05-8253-64,5G,Smartphone,203
260402163505+0100,206,10,20610,59885353,33999460,47671297,206-10-5722,206-10-5722-55,5G,Smartphone,1868
260405041802+0100,206,20,20620,59938981,46945516,42240442,206-20-1474,206-20-1474-91,5G,Smartphone,1683
260408012513+0200,206,01,20601,40369858,43136888,35479301,206-01-8342,206-01-8342-98,5G,IoT Device,2045
260407052810-0500,310,410,310410,92878610,80161224,91884804,310-410-3621,310-410-3621-88,5G,Smartphone,126
260402130814+0100,206,05,20605,53324677,35551610,27070235,206-05-8679,206-05-8679-64,5G,Smartphone,1652
260405053616+0100,206,20,20620,40172306,39344987,25064637,206-20-4826,206-20-4826-68,3G,IoT Device,1618
260405205125+0100,240,07,24007,34688540,33369766,22076311,240-07-7939,240-07-7939-99,5G,Smartphone,997
260404063845+0100,206,20,20620,38649583,35108548,44511257,206-20-7730,206-20-7730-64,4G,Tablet,2043
260408092651+0200,206,01,20601,38687132,40950546,44186856,206-01-4937,206-01-4937-40,4G,IoT Device,1874
260407184100-0700,310,120,310120,79699677,76839731,92743096,310-120-8361,310-120-8361-88,5G,IoT Device,408
260405124429+0100,240,04,24004,21431901,30407082,28796256,240-04-7537,240-04-7537-55,4G,Smartphone,2161
260402175915+0100,234,20,23420,74580871,50260640,75440806,234-20-2768,234-20-2768-35,3G,Smartphone,1662
260406182533+0100,206,01,20601,55808853,40269873,30058037,206-01-9004,206-01-9004-98,4G,Smartphone,2758
260403203657+0100,234,33,23433,71581555,73477240,60849792,234-33-8155,234-33-8155-30,4G,Tablet,994
260407034334-0700,310,120,310120,87627076,83376107,79035370,310-120-8361,310-120-8361-88,3G,Smartphone,2947
260402164830+0100,234,10,23410,54878788,62840412,68849383,234-10-5847,234-10-5847-30,4G,IoT Device,1197
260405080728+0100,240,16,24016,20652832,31966545,11795322,240-16-9270,240-16-9270-40,5G,Smartphone,1151
260402185239-0600,310,480,310480,99796695,90280916,83021038,310-480-8632,310-480-8632-88,4G,IoT Device,1256
260407081338+0200,240,01,24001,29160402,34687016,27611729,240-01-2824,240-01-2824-99,5G,Smartphone,2795
260405225228+0200,240,24,24024,18265721,12368882,13203536,240-24-5133,240-24-5133-37,5G,Smartphone,2115
260403184110+0100,234,30,23430,58728735,65220860,72585437,234-30-2140,234-30-2140-92,4G,Tablet,2503
260402103551-0700,310,120,310120,71063574,85898113,75841240,310-120-8167,310-120-8167-50,4G,Smartphone,1087
260404024625-0700,310,260,310260,76072724,75871664,75403430,310-260-1266,310-260-1266-41,5G,IoT Device,678
260404213953-0500,310,260,310260,89074437,73823139,94935115,310-260-6850,310-260-6850-63,5G,Smartphone,462
260404060040-0800,310,260,310260,82540687,77909845,85936482,310-260-6850,310-260-6850-75,4G,IoT Device,1889
260402105700+0100,234,38,23438,60355060,50284498,61967159,234-38-7108,234-38-7108-35,4G,IoT Device,237
260407222347+0100,234,30,23430,66891063,56800125,76527745,234-30-3324,234-30-3324-87,4G,Smartphone,2155
260404125254+0100,240,05,24005,24403191,21378868,13502545,240-05-7930,240-05-7930-55,5G,Smartphone,996
260405101517+0200,240,24,24024,19889787,31568736,21807212,240-24-7906,240-24-7906-37,3G,Smartphone,2994
260401202210+0100,234,38,23438,65275726,71861974,77134204,234-38-6962,234-38-6962-35,3G,Tablet,2005
260406010220-0700,310,480,310480,85961790,75445449,83106698,310-480-8632,310-480-8632-73,4G,IoT Device,2055
260406110731-0700,310,480,310480,90958936,72555925,94282371,310-480-8632,310-480-8632-63,3G,IoT Device,1790
260405133609-0800,310,410,310410,71354656,84341138,87472294,310-410-3621,310-410-3621-88,4G,Smartphone,1309
260402015633-0700,310,480,310480,94553050,94351536,89640169,310-480-8632,310-480-8632-73,4G,Tablet,2436
260407140313+0200,206,20,20620,55690687,34472903,31886821,206-20-4826,206-20-4826-98,5G,Smartphone,1711
260405224857+0200,240,02,24002,12995029,30136786,16271023,240-02-4456,240-02-4456-43,4G,Tablet,704
260407111138-0500,310,480,310480,77612546,71592427,76835151,310-480-8632,310-480-8632-73,4G,Smartphone,1431
260406001606-0700,310,120,310120,90093005,72715352,79007263,310-120-8361,310-120-8361-30,3G,Smartphone,2753
260405211635-0500,310,410,310410,80703271,94956455,95086235,310-410-3621,310-410-3621-69,4G,Smartphone,2658
260401211500+0100,206,05,20605,55040997,35795269,36171602,206-05-8253,206-05-8253-64,5G,Smartphone,1325
260405020617+0100,240,07,24007,31978657,10923797,13207997,240-07-7939,240-07-7939-55,4G,Smartphone,664
260406000924+0100,206,20,20620,33779927,39495043,27019227,206-20-7730,206-20-7730-40,5G,IoT Device,2360
260405144735+0200,240,24,24024,13142129,28908162,28376172,240-24-7211,240-24-7211-81,5G,Smartphone,2192
260404160926+0000,234,38,23438,69866338,60244684,68806704,234-38-5634,234-38-5634-87,3G,Smartphone,870
260405011849+0100,206,20,20620,45547912,44046695,28305139,206-20-4826,206-20-4826-98,5G,IoT Device,1592
260402065411-0500,310,120,310120,72249631,92728202,94722572,310-120-8361,310-120-8361-88,4G,Smartphone,2814
260406192829-0700,310,410,310410,84874727,77471919,81208273,310-410-3621,310-410-3621-41,3G,IoT Device,887
260406161026+0100,206,20,20620,39476271,35198335,35923645,206-20-1715,206-20-1715-64,3G,Tablet,1137
260405183008+0100,240,04,24004,34158497,10571286,10128280,240-04-6107,240-04-6107-20,5G,IoT Device,2984
260402080021+0000,234,38,23438,53543694,55350687,59381387,234-38-6962,234-38-6962-35,4G,Smartphone,1726
260403145237+0100,206,01,20601,47598204,43853577,30809142,206-01-9004,206-01-9004-64,5G,Smartphone,2118
260404072855+0200,206,20,20620,52455815,32652927,36406590,206-20-4826,206-20-4826-91,3G,Tablet,2151
260407014450+0100,234,20,23420,58655167,65880002,58590817,234-20-2768,234-20-2768-27,3G,IoT Device,239
260408082508+0200,240,07,24007,27765827,14694964,25716903,240-07-7939,240-07-7939-55,5G,Smartphone,1497
260403201550-0600,310,480,310480,83073186,78128331,97130949,310-480-3102,310-480-3102-51,4G,IoT Device,513
260406025415+0100,234,38,23438,69437312,73288109,64608408,234-38-6962,234-38-6962-35,5G,Tablet,2634
260407222149+0100,234,38,23438,59294930,64361729,58778996,234-38-5634,234-38-5634-16,3G,Tablet,2296
260403172315+0100,240,02,24002,38820604,20052271,26189560,240-02-4456,240-02-4456-99,4G,IoT Device,2489
260401184921+0100,234,30,23430,59673965,74860493,53207013,234-30-2140,234-30-2140-16,3G,Tablet,663
260404092955+0100,206,01,20601,40870566,42220353,37414102,206-01-8800,206-01-8800-55,5G,Smartphone,2078
260403190135-0800,310,480,310480,73713023,91310531,96928997,310-480-8632,310-480-8632-30,3G,Smartphone,2194
260404133025-0800,310,480,310480,75748789,87722748,93158215,310-480-8632,310-480-8632-49,4G,IoT Device,1034
260407135917-0700,310,480,310480,88289347,83471189,94714591,310-480-9476,310-480-9476-51,5G,Smartphone,609
260402104953+0200,240,24,24024,23155543,22068068,10413828,240-24-7211,240-24-7211-37,4G,Tablet,964
260404095044+0200,240,07,24007,25899570,15522774,14670486,240-07-7939,240-07-7939-37,5G,IoT Device,1636
260405042140+0100,240,05,24005,13615569,26266002,23762921,240-05-8973,240-05-8973-37,4G,IoT Device,1393
260407132629+0200,206,01,20601,32119678,46447951,31566370,206-01-8800,206-01-8800-64,4G,Tablet,1503
260408132422+0100,206,05,20605,39690990,41554387,44064506,206-05-5871,206-05-5871-64,4G,Tablet,2832
260406194532-0700,310,120,310120,72856122,89160847,73742496,310-120-5469,310-120-5469-49,4G,Tablet,2075
260405215504+0000,234,20,23420,76214621,64290428,55238938,234-20-2204,234-20-2204-87,3G,IoT Device,2427
260403135726+0100,206,10,20610,58475830,46881987,34201303,206-10-8451,206-10-8451-58,4G,Tablet,2669
260404031743+0100,206,20,20620,35365226,38797369,47045963,206-20-7730,206-20-7730-64,5G,IoT Device,1624
260402211606+0200,240,07,24007,27980741,20192708,27624711,240-07-5533,240-07-5533-37,5G,Smartphone,1603
260403202707+0200,240,04,24004,19071386,21574480,22049070,240-04-7537,240-04-7537-34,3G,IoT Device,565
260403072306+0100,240,07,24007,28223018,32711017,22934344,240-07-7939,240-07-7939-43,5G,Smartphone,1863
260404230759+0100,206,20,20620,54230087,53605181,50581428,206-20-1715,206-20-1715-91,4G,Smartphone,287
260402054424-0500,310,120,310120,86153199,78141733,75609396,310-120-8361,310-120-8361-88,4G,Smartphone,2299
260405135104+0100,206,10,20610,44070880,38857308,46651600,206-10-7561,206-10-7561-98,5G,IoT Device,1230
260408085300+0200,240,24,24024,39993582,22123613,20347471,240-24-2341,240-24-2341-37,4G,Smartphone,2380
260407212653-0700,310,260,310260,73947703,91150969,98873422,310-260-1266,310-260-1266-41,5G,Smartphone,1337
260408092244+0100,206,10,20610,44038796,39817034,44154083,206-10-8451,206-10-8451-91,5G,Smartphone,1377
260406071925+0200,206,01,20601,36943761,37426901,47062927,206-01-8342,206-01-8342-98,5G,Smartphone,1243
260403030432-0700,310,260,310260,89247150,84448404,91487197,310-260-4950,310-260-4950-41,5G,Smartphone,2031
260404193401+0100,234,30,23430,77113963,50806095,69882033,234-30-1502,234-30-1502-27,3G,IoT Device,184
260403130141+0100,206,20,20620,46482376,31255170,27840458,206-20-1715,206-20-1715-64,4G,Tablet,1261
260402105429+0100,234,20,23420,70800645,50689911,64303488,234-20-2323,234-20-2323-87,4G,Smartphone,2916
260404184552+0100,240,04,24004,31423665,29328423,18403786,240-04-6107,240-04-6107-55,4G,Smartphone,2308
260403100326+0200,206,01,20601,46832965,41261962,31117037,206-01-4937,206-01-4937-64,5G,Smartphone,2890
260406093111+0100,206,10,20610,59681220,44557032,47318778,206-10-5722,206-10-5722-91,4G,Tablet,1404
260402082429+0100,240,04,24004,34522346,13791840,26443831,240-04-6107,240-04-6107-11,4G,Smartphone,956
260405015046+0100,206,10,20610,42464359,43881767,25558958,206-10-7561,206-10-7561-55,4G,Tablet,908
260407045553+0100,240,16,24016,16037334,10414396,25736151,240-16-7991,240-16-7991-43,4G,Tablet,953
260407152731+0100,206,05,20605,50906129,51846976,30741147,206-05-5871,206-05-5871-64,3G,Tablet,874
260406101617-0800,310,120,310120,70751133,70433421,91611748,310-120-3414,310-120-3414-41,3G,Smartphone,2937
260408135201+0100,206,10,20610,36537569,45347698,45122762,206-10-9117,206-10-9117-42,5G,Smartphone,2875
260405134138+0100,240,04,24004,26003898,27620884,15630560,240-04-7537,240-04-7537-37,5G,Smartphone,1308
260401212011-0600,310,410,310410,91795371,82595042,78962667,310-410-8179,310-410-8179-69,3G,IoT Device,1314
260401232739+0100,234,38,23438,55526077,60684439,50074674,234-38-6962,234-38-6962-87,3G,Tablet,1038
260407193208+0000,234,30,23430,74620510,67098368,69363493,234-30-2140,234-30-2140-30,3G,Tablet,696
260406021225-0500,310,480,310480,96074947,88661548,75419500,310-480-8632,310-480-8632-63,3G,Smartphone,1260
260404202538-0600,310,260,310260,81235628,76361850,66663585,310-260-1266,310-260-1266-88,5G,IoT Device,2297
260402012713+0100,206,01,20601,43568578,47484087,36396274,206-01-9004,206-01-9004-91,4G,Smartphone,2390
260403042638+0100,234,20,23420,68242555,52488830,58103218,234-20-6120,234-20-6120-25,4G,Smartphone,415
260406094331+0000,234,10,23410,76997487,52620737,55841145,234-10-5837,234-10-5837-87,4G,Tablet,1395
260406001816+0200,240,16,24016,36592241,20551972,10320419,240-16-9270,240-16-9270-37,5G,Smartphone,1154
260408114234-0600,310,480,310480,97924970,80198604,93369995,310-480-9437,310-480-9437-41,4G,Smartphone,173
260403043349-0600,310,480,310480,72098354,84726399,68750942,310-480-9476,310-480-9476-88,3G,Smartphone,1530
260406001749+0100,206,01,20601,43038649,48080108,43007138,206-01-9004,206-01-9004-91,5G,Tablet,2558
260407021905+0200,240,24,24024,11819372,32312700,16064438,240-24-5558,240-24-5558-37,4G,Smartphone,1046
260404182144+0100,240,08,24008,12720029,12772690,16389502,240-08-8144,240-08-8144-37,4G,Smartphone,416
260405042932+0100,234,30,23430,55096430,55110763,71730866,234-30-2140,234-30-2140-87,4G,Tablet,802
260407045708+0000,234,38,23438,59726459,73346720,70951066,234-38-5634,234-38-5634-87,4G,Smartphone,1647
260406163939+0200,206,01,20601,53866458,36603279,49679516,206-01-4937,206-01-4937-91,3G,Smartphone,2323
260405214257-0500,310,410,310410,84479259,86025348,85362060,310-410-3621,310-410-3621-63,5G,Smartphone,270
260406013229+0100,240,02,24002,18200913,14100123,28430246,240-02-4456,240-02-4456-99,4G,Smartphone,1023
260402034722-0500,310,410,310410,86378455,82284520,79065998,310-410-3621,310-410-3621-63,4G,Smartphone,918
260407081328+0100,240,01,24001,10972425,34249381,22069841,240-01-2824,240-01-2824-55,5G,Smartphone,2038
260402103309+0000,234,33,23433,51728553,64230857,60617090,234-33-8155,234-33-8155-35,3G,Smartphone,1471
260403071130+0000,234,20,23420,58451506,62854539,53452268,234-20-2768,234-20-2768-35,4G,Smartphone,596
260405201806+0200,206,10,20610,31499671,52144488,42198337,206-10-8905,206-10-8905-91,4G,Smartphone,2477
260407175325+0100,206,10,20610,36024726,41505438,46550843,206-10-7561,206-10-7561-91,3G,Tablet,2486
260402142509+0200,240,16,24016,15079486,34896270,16093977,240-16-7991,240-16-7991-43,5G,Tablet,325
260404161200+0100,206,20,20620,59447252,39868856,28015703,206-20-4826,206-20-4826-98,3G,Smartphone,1810
260406193101+0200,206,01,20601,55022212,33207290,29472785,206-01-9004,206-01-9004-64,4G,Smartphone,1715
260402202403+0100,240,05,24005,21794280,11041540,18582625,240-05-7930,240-05-7930-37,5G,Smartphone,373
260401230958+0200,206,20,20620,51975984,46242914,51271556,206-20-4826,206-20-4826-91,3G,IoT Device,2336
260402213008+0000,234,10,23410,73262394,69215713,58157130,234-10-7484,234-10-7484-87,3G,Smartphone,2860
260406002944+0200,206,05,20605,31946756,50572670,54906929,206-05-5871,206-05-5871-64,4G,Smartphone,1654
260401161931+0100,240,01,24001,10478331,15657287,17986047,240-01-2824,240-01-2824-99,5G,Tablet,1300
260406094139-0800,310,410,310410,80988201,90850006,91697793,310-410-1510,310-410-1510-88,5G,IoT Device,1156
260403003523-0500,310,480,310480,97911497,85424626,90318707,310-480-3102,310-480-3102-88,5G,IoT Device,2987
260405164116-0600,310,260,310260,87064770,87794416,95286976,310-260-6850,310-260-6850-63,4G,Smartphone,2824
260406203620+0100,234,38,23438,67721564,55921994,64169987,234-38-7347,234-38-7347-25,3G,Smartphone,2127
260407202511+0200,206,01,20601,42559557,53447928,54425137,206-01-3939,206-01-3939-59,4G,Tablet,1279
260403014000+0100,234,15,23415,52818610,61311109,76345456,234-15-7078,234-15-7078-27,3G,Tablet,2397
260408105655+0100,206,05,20605,54014662,36837628,39128902,206-05-8253,206-05-8253-40,3G,IoT Device,2173
260403205315+0200,240,16,24016,12560723,34735258,16468076,240-16-9270,240-16-9270-43,4G,Tablet,2306
260405160654+0100,234,38,23438,63242987,50674081,51831622,234-38-6962,234-38-6962-27,3G,Tablet,2638
260407075252+0100,234,10,23410,55358068,65424319,58920867,234-10-5837,234-10-5837-35,3G,Smartphone,2982
260405052337+0200,240,08,24008,26542120,13806535,28605028,240-08-8144,240-08-8144-55,5G,Smartphone,2726
260405233341+0000,234,38,23438,62837323,63512245,53506623,234-38-6962,234-38-6962-57,4G,IoT Device,453
260401223805+0100,234,38,23438,77587265,64282128,59846592,234-38-7108,234-38-7108-35,3G,Smartphone,403
260404003041+0100,206,10,20610,31461258,34611921,45301127,206-10-8905,206-10-8905-71,3G,Smartphone,1344
260402005803+0100,234,15,23415,58840294,63677350,52557840,234-15-4475,234-15-4475-35,3G,Tablet,1045
260406125013+0200,240,24,24024,12155992,13946195,26368778,240-24-5133,240-24-5133-55,5G,Tablet,2274
260408045057+0100,240,05,24005,20573420,32865415,12330510,240-05-8973,240-05-8973-37,4G,Smartphone,257
260401164440+0100,206,01,20601,47976641,45371222,48361588,206-01-8342,206-01-8342-83,5G,Tablet,1945
260406121255+0200,240,05,24005,22448245,11612556,16868711,240-05-4111,240-05-4111-55,5G,Smartphone,523
260408080130-0500,310,120,310120,95048259,75262666,89785454,310-120-5469,310-120-5469-75,4G,Smartphone,175
260407112936-0700,310,260,310260,98172988,77377053,85775711,310-260-4950,310-260-4950-83,5G,IoT Device,1665
260403165948+0000,234,20,23420,75490281,64921627,63465181,234-20-2323,234-20-2323-87,4G,IoT Device,2028
260406135048+0100,240,08,24008,11041331,12449339,11326750,240-08-1027,240-08-1027-53,5G,Smartphone,1029
260408055951+0100,240,16,24016,14745786,28032712,14074660,240-16-9270,240-16-9270-37,4G,Tablet,2181
260404234406-0500,310,480,310480,72852573,84916704,69568891,310-480-3981,310-480-3981-88,4G,Smartphone,2716
260404132440+0200,240,24,24024,17817916,25340149,12860388,240-24-2341,240-24-2341-55,5G,Smartphone,1693
260404212311+0200,206,20,20620,34433777,36921666,27910408,206-20-4826,206-20-4826-68,5G,Smartphone,907
260407005700+0200,240,08,24008,25151533,13470284,15507059,240-08-5173,240-08-5173-43,5G,Tablet,2265
260406102658-0700,310,480,310480,75140243,79354975,84216137,310-480-3102,310-480-3102-88,4G,Smartphone,857
260405201619-0800,310,260,310260,82626791,90659923,81208777,310-260-6850,310-260-6850-73,3G,IoT Device,1406
260404232027+0100,206,05,20605,36645892,39739093,46405516,206-05-5871,206-05-5871-98,3G,Smartphone,2082
260405011205+0100,206,10,20610,47532822,35317316,45733244,206-10-3434,206-10-3434-83,5G,Smartphone,1802
260405104206+0100,206,05,20605,35923271,32495397,51686501,206-05-8025,206-05-8025-91,4G,IoT Device,1744
260404230210+0000,234,30,23430,51129292,55143241,53486231,234-30-2140,234-30-2140-80,3G,IoT Device,2449
260404075132+0100,234,33,23433,78490914,68146664,71447789,234-33-8138,234-33-8138-87,4G,Tablet,2946
260405182141+0100,240,02,24002,13794944,34192171,15656461,240-02-6155,240-02-6155-37,5G,Smartphone,2846
260401233349+0100,234,20,23420,52062876,50289243,64850700,234-20-2768,234-20-2768-35,3G,Smartphone,701
260408002755+0100,206,01,20601,55292853,53869348,29630099,206-01-9004,206-01-9004-64,5G,Tablet,2468
260404000847-0600,310,410,310410,88784420,84686201,70533002,310-410-3621,310-410-3621-63,5G,Smartphone,1001
260406102031+0200,240,16,24016,35114063,23625733,12257050,240-16-7991,240-16-7991-55,5G,Smartphone,2914
