Timestamp,MCC,MNC,PLMN,TMSI,LMSI,TLLI,LAI,RAI,Network_Type,Device_Type,Linkage_Index
260406132208+0100,206,10,20610,56956166,54373807,48150066,206-10-****,206-10-****-**,4G,Tablet,2322
260405185135+0100,234,33,23433,54250143,72549592,63511429,234-33-****,234-33-****-**,4G,Smartphone,2157
260407184457+0200,240,16,24016,12729388,22899455,19463992,240-16-****,240-16-****-**,4G,Smartphone,1778
260407203238+0200,240,04,24004,32702393,14451171,10163261,240-04-****,240-04-****-**,3G,Smartphone,716
260404033620-0800,310,410,310410,83307937,81553082,81459041,310-410-****,310-410-****-**,5G,Smartphone,2582
260403150033-0700,310,480,310480,76500770,90130660,72735097,310-480-****,310-480-****-**,4G,Smartphone,2684
260317114623+0100,206,10,20610,36141954,42526073,48267869,206-10-****,206-10-****-**,4G,Smartphone,24
260408102926+0000,234,38,23438,67000502,71494800,59576536,234-38-****,234-38-****-**,4G,Smartphone,357
260408090911+0100,234,30,23430,69679433,69149744,62173385,234-30-****,234-30-****-**,3G,Smartphone,2664
260404085857-0800,310,410,310410,85942101,78008865,92046688,310-410-****,310-410-****-**,4G,IoT Device,1703
260403064041-0800,310,410,310410,72060716,88199699,69195724,310-410-****,310-410-****-**,4G,Smartphone,1301
260402222234+0100,206,20,20620,42760934,32566058,36291113,206-20-****,206-20-****-**,5G,IoT Device,2941
260402223348+0100,206,10,20610,46558887,51467847,48692086,206-10-****,206-10-****-**,5G,Smartphone,968
260405021635+0100,206,20,20620,41456561,41968914,27969839,206-20-****,206-20-****-**,5G,Tablet,1817
260403063736+0200,206,10,20610,32472794,34657097,42663568,206-10-****,206-10-****-**,5G,Tablet,2605
260402052000+0200,240,08,24008,38576641,31589032,11728866,240-08-****,240-08-****-**,4G,Smartphone,2158
260405161001+0100,234,33,23433,70078039,54774351,65383287,234-33-****,234-33-****-**,4G,IoT Device,1865
260406134311-0700,310,120,310120,83464882,71624661,87189149,310-120-****,310-120-****-**,5G,IoT Device,628
260402000320+0100,206,05,20605,50284019,51362437,50248101,206-05-****,206-05-****-**,3G,IoT Device,1039
260408071912+0100,234,38,23438,57222566,74077966,63900424,234-38-****,234-38-****-**,4G,IoT Device,1108
260406051703+0000,234,15,23415,61177538,60345270,56072047,234-15-****,234-15-****-**,3G,IoT Device,2772
260403055634+0100,234,33,23433,51225195,59329205,70672462,234-33-****,234-33-****-**,3G,IoT Device,818
260407053758+0200,240,01,24001,29510027,18354948,15189769,240-01-****,240-01-****-**,3G,Smartphone,1643
260403015726+0100,240,01,24001,14894093,14259047,17678076,240-01-****,240-01-****-**,5G,IoT Device,1153
260402145808+0100,234,38,23438,62091507,50358539,62097709,234-38-****,234-38-****-**,3G,Smartphone,2366
260402183919+0100,240,16,24016,30732995,11247632,21285879,240-16-****,240-16-****-**,5G,Smartphone,1710
260407195956+0100,234,10,23410,75365911,71284602,72490294,234-10-****,234-10-****-**,3G,Tablet,365
260324062435+0200,206,20,20620,50731110,51398620,47372576,206-20-****,206-20-****-**,5G,Tablet,14
260406234058+0000,234,33,23433,54030054,66673740,77444271,234-33-****,234-33-****-**,5G,IoT Device,1427
260406032400+0200,206,05,20605,37778402,51035159,37268590,206-05-****,206-05-****-**,4G,Smartphone,1208
260406082859+0000,234,30,23430,56584994,73174377,71050439,234-30-****,234-30-****-**,4G,Tablet,2463
260404114911+0000,234,20,23420,71118838,63561966,56986719,234-20-****,234-20-****-**,5G,Tablet,1992
260405151544+0200,206,05,20605,51114736,51797959,39765487,206-05-****,206-05-****-**,4G,IoT Device,311
260402055158+0100,234,33,23433,75660344,53626766,66941640,234-33-****,234-33-****-**,4G,Tablet,2318
260408070003-0800,310,410,310410,72500872,91658505,99624546,310-410-****,310-410-****-**,4G,Smartphone,848
260402054048-0600,310,260,310260,90073417,82269828,77822175,310-260-****,310-260-****-**,4G,Smartphone,2069
260404063700+0200,206,05,20605,51205271,35560532,53258497,206-05-****,206-05-****-**,3G,Smartphone,1133
260406161954+0000,234,38,23438,51526290,60992759,75475986,234-38-****,234-38-****-**,4G,Smartphone,1080
260402203326+0200,206,01,20601,44529433,42334734,45066594,206-01-****,206-01-****-**,5G,Tablet,1932
260403010323+0200,206,10,20610,30269409,33331909,35425569,206-10-****,206-10-****-**,5G,Smartphone,1447
260407225426+0100,234,33,23433,75636612,63089138,55291737,234-33-****,234-33-****-**,4G,Tablet,666
260403084235-0800,310,260,310260,90288243,79977997,95031476,310-260-****,310-260-****-**,5G,Tablet,1658
260402201742+0200,206,01,20601,45540426,52501229,45975707,206-01-****,206-01-****-**,5G,Smartphone,2257
260406194446+0200,240,05,24005,16911389,16781048,19776129,240-05-****,240-05-****-**,3G,IoT Device,925
260405233601+0200,206,10,20610,30984345,45331898,28511068,206-10-****,206-10-****-**,5G,Smartphone,1786
260401194325-0500,310,260,310260,88550827,87117617,96808485,310-260-****,310-260-****-**,4G,Tablet,1196
260407180925-0700,310,120,310120,74283547,89562077,74971579,310-120-****,310-120-****-**,4G,Tablet,1160
260402063556-0800,310,480,310480,74318075,92539536,72521549,310-480-****,310-480-****-**,3G,Smartphone,1719
260408113856+0100,240,24,24024,28462926,28475107,12736465,240-24-****,240-24-****-**,5G,Smartphone,498
260403042617-0600,310,480,310480,92991601,89453702,81824584,310-480-****,310-480-****-**,3G,IoT Device,1073
260403020628+0000,234,10,23410,63448326,55384297,52271853,234-10-****,234-10-****-**,4G,Smartphone,2958
260402033821+0000,234,38,23438,69825265,66491862,74297878,234-38-****,234-38-****-**,3G,IoT Device,1962
260405105822+0200,206,10,20610,44109463,34360202,43925652,206-10-****,206-10-****-**,4G,Smartphone,1104
260404102936+0100,234,15,23415,59334624,66474304,53562504,234-15-****,234-15-****-**,3G,Tablet,1177
260401165734+0000,234,20,23420,75375871,68160064,53229562,234-20-****,234-20-****-**,5G,Tablet,2974
260407040013+0100,240,02,24002,32431005,22446906,25160198,240-02-****,240-02-****-**,5G,Tablet,1860
260404134606+0100,240,05,24005,28725203,23001862,25077878,240-05-****,240-05-****-**,5G,Smartphone,1632
260402082345-0500,310,260,310260,94194316,76453413,97624770,310-260-****,310-260-****-**,5G,Smartphone,2888
260405220308+0100,240,07,24007,35460109,31531200,21533065,240-07-****,240-07-****-**,5G,Tablet,1051
260406165554-0700,310,260,310260,97432930,71611217,71455651,310-260-****,310-260-****-**,5G,IoT Device,2111
260321163555-0500,310,120,310120,77810200,75356119,71719901,310-120-****,310-120-****-**,3G,Smartphone,40
260402230826-0500,310,120,310120,87519573,70842153,98515289,310-120-****,310-120-****-**,4G,Smartphone,2446
260402140315-0600,310,120,310120,90640655,92528042,92205205,310-120-****,310-120-****-**,3G,Smartphone,662
260404223311+0100,240,01,24001,12275628,23046766,20655561,240-01-****,240-01-****-**,5G,IoT Device,2798
260405002650-0600,310,410,310410,70595060,71240692,74626843,310-410-****,310-410-****-**,5G,Smartphone,2588
260405152003+0100,240,04,24004,15359562,20939025,19440578,240-04-****,240-04-****-**,5G,IoT Device,1432
260402054533+0100,240,24,24024,31948725,13349302,19828132,240-24-****,240-24-****-**,5G,Tablet,1298
260404132141-0600,310,260,310260,75288819,85436613,85600409,310-260-****,310-260-****-**,5G,IoT Device,1651
260408034948+0200,206,05,20605,51050290,45616600,35564182,206-05-****,206-05-****-**,5G,IoT Device,1845
260404083239+0000,234,20,23420,79434465,63091063,66252993,234-20-****,234-20-****-**,4G,Smartphone,2184
260402084018+0000,234,33,23433,73839462,74711846,69503260,234-33-****,234-33-****-**,3G,Smartphone,2148
260403204436+0100,240,01,24001,34057829,12664623,22982241,240-01-****,240-01-****-**,4G,Smartphone,356
260401213350+0100,234,38,23438,59783640,59783371,55829794,234-38-****,234-38-****-**,4G,Tablet,1213
260408131005-0700,310,120,310120,81157460,85326278,88701994,310-120-****,310-120-****-**,4G,IoT Device,1457
260402050741+0100,234,15,23415,52753240,68422977,62267180,234-15-****,234-15-****-**,4G,IoT Device,2485
260407010719+0000,234,10,23410,70014800,66974512,58440422,234-10-****,234-10-****-**,3G,Tablet,2894
260408055316+0100,234,38,23438,57965180,60248422,60923186,234-38-****,234-38-****-**,4G,Smartphone,756
260403144319+0000,234,10,23410,51381957,71074141,71031109,234-10-****,234-10-****-**,3G,Smartphone,1766
260407061154-0800,310,410,310410,71989708,94129566,89276093,310-410-****,310-410-****-**,4G,Smartphone,2349
260404222922+0200,206,20,20620,39831827,44408984,53035277,206-20-****,206-20-****-**,4G,Tablet,2074
260405104740+0100,240,24,24024,39124464,19766151,18802003,240-24-****,240-24-****-**,5G,Smartphone,929
260402162624+0200,206,20,20620,54974860,43297991,31412843,206-20-****,206-20-****-**,4G,Smartphone,1924
260407002749-0500,310,480,310480,80600128,87680616,96178097,310-480-****,310-480-****-**,3G,Smartphone,1150
260407144821-0800,310,410,310410,82389064,88417528,68565313,310-410-****,310-410-****-**,3G,Tablet,118
260404163454+0000,234,30,23430,53036589,64930246,50428128,234-30-****,234-30-****-**,3G,Tablet,881
260408084338+0100,206,20,20620,51177112,34201520,35606407,206-20-****,206-20-****-**,5G,Smartphone,1206
260405053302+0200,206,05,20605,43785648,36167083,44742864,206-05-****,206-05-****-**,5G,Smartphone,1320
260406204316+0000,234,33,23433,55598060,60729970,55021537,234-33-****,234-33-****-**,3G,Tablet,1232
260402124829+0200,206,01,20601,45764417,37325738,27043318,206-01-****,206-01-****-**,5G,IoT Device,862
260407014459-0700,310,480,310480,76747958,76614462,76782017,310-480-****,310-480-****-**,3G,IoT Device,1705
260407220058+0100,234,38,23438,57006280,55903780,50209275,234-38-****,234-38-****-**,3G,Smartphone,1408
260405143436+0200,206,10,20610,34004374,45011388,36817785,206-10-****,206-10-****-**,4G,Smartphone,2020
260405191853+0000,234,10,23410,64408836,64660100,67868980,234-10-****,234-10-****-**,3G,IoT Device,1409
260404191440-0600,310,120,310120,85786701,92920662,82138583,310-120-****,310-120-****-**,3G,Smartphone,855
260401185528+0100,234,15,23415,60152172,66789802,75501617,234-15-****,234-15-****-**,4G,Smartphone,293
260319073436+0100,206,01,20601,46763208,51410490,44928976,206-01-****,206-01-****-**,5G,Smartphone,31
260403044213+0200,206,20,20620,45426719,50977606,44290385,206-20-****,206-20-****-**,5G,Smartphone,1757
260406164839+0100,234,10,23410,78092341,67603043,69492076,234-10-****,234-10-****-**,3G,Tablet,2909
260406032339+0100,206,20,20620,33143407,39516403,47089910,206-20-****,206-20-****-**,4G,IoT Device,2856
260405135604+0100,234,33,23433,57896584,64774130,52472795,234-33-****,234-33-****-**,4G,Smartphone,2569
260407201702+0000,234,10,23410,56966898,67922774,54005730,234-10-****,234-10-****-**,4G,Tablet,1274
260406192701-0600,310,410,310410,85148753,78439116,65652502,310-410-****,310-410-****-**,5G,IoT Device,1953
260405090752+0100,240,16,24016,15613048,23121959,19199780,240-16-****,240-16-****-**,5G,Smartphone,2734
260403030201+0100,206,10,20610,58505905,54363930,46810956,206-10-****,206-10-****-**,4G,Smartphone,1814
260406113345+0000,234,15,23415,51510881,53397870,65668038,234-15-****,234-15-****-**,4G,Tablet,2139
260405213212+0200,206,01,20601,43486990,46118398,25547410,206-01-****,206-01-****-**,5G,Smartphone,2736
260405084118+0100,206,20,20620,46573676,39264382,27480735,206-20-****,206-20-****-**,5G,Smartphone,2963
260405033538+0000,234,10,23410,69360873,56741135,67634810,234-10-****,234-10-****-**,4G,Tablet,1536
260404222257+0100,206,10,20610,31722756,36011280,29813692,206-10-****,206-10-****-**,5G,Smartphone,551
260403005445-0500,310,480,310480,92082784,79373454,94635298,310-480-****,310-480-****-**,3G,IoT Device,2256
260405090847+0000,234,10,23410,65524086,54787199,69053540,234-10-****,234-10-****-**,4G,Smartphone,1747
260407035422+0100,206,05,20605,35530587,31834476,51955592,206-05-****,206-05-****-**,4G,Tablet,236
260401180800-0800,310,120,310120,98908489,82406252,80451133,310-120-****,310-120-****-**,4G,Tablet,1888
260405121850-0800,310,260,310260,83790825,75972886,81519187,310-260-****,310-260-****-**,4G,IoT Device,1973
260403054804+0100,206,20,20620,37799217,48428506,43507674,206-20-****,206-20-****-**,5G,Smartphone,2802
260407111619-0600,310,260,310260,98811615,93238005,78987382,310-260-****,310-260-****-**,3G,Smartphone,603
260405042622+0100,206,20,20620,39936315,46813149,35610133,206-20-****,206-20-****-**,4G,IoT Device,2018
260403201128+0100,234,20,23420,56058783,53999837,67115820,234-20-****,234-20-****-**,3G,Tablet,2059
260404095116+0000,234,38,23438,67004908,58150900,74856257,234-38-****,234-38-****-**,4G,Tablet,1494
260402174658+0100,240,07,24007,36846978,21720536,22102837,240-07-****,240-07-****-**,4G,Tablet,2333
260408060927+0000,234,15,23415,63584766,61010461,51503291,234-15-****,234-15-****-**,3G,Smartphone,741
260405213056-0500,310,410,310410,90133763,84444337,98882946,310-410-****,310-410-****-**,3G,Tablet,903
260406163012+0200,206,05,20605,40418015,51844173,35059158,206-05-****,206-05-****-**,5G,IoT Device,1220
260406095255-0500,310,410,310410,99116983,82466603,99037488,310-410-****,310-410-****-**,5G,IoT Device,2190
260406023818+0000,234,15,23415,55310311,70549213,75871015,234-15-****,234-15-****-**,3G,IoT Device,2948
260406164344-0600,310,260,310260,86132497,83409554,67504260,310-260-****,310-260-****-**,4G,Smartphone,876
260404023823+0200,206,10,20610,46445333,31410581,43678337,206-10-****,206-10-****-**,5G,Tablet,1187
260406182219+0100,234,20,23420,63707528,61811986,75208804,234-20-****,234-20-****-**,3G,Tablet,308
260408005724+0100,234,15,23415,79584638,61440431,55751293,234-15-****,234-15-****-**,3G,Tablet,2017
260401202913+0200,240,04,24004,30601290,31586846,13565148,240-04-****,240-04-****-**,5G,IoT Device,125
260405140729-0800,310,260,310260,76193648,94624106,75959492,310-260-****,310-260-****-**,4G,IoT Device,2443
260402235947+0200,206,01,20601,44953472,31319952,54802115,206-01-****,206-01-****-**,5G,Smartphone,590
260406182251+0200,240,07,24007,22383081,20712403,10173152,240-07-****,240-07-****-**,4G,Smartphone,1580
260405121216-0700,310,410,310410,79685743,75659793,91204417,310-410-****,310-410-****-**,4G,Tablet,1670
260408104130+0200,206,10,20610,31022807,54152232,28629972,206-10-****,206-10-****-**,5G,Tablet,458
260405223941-0700,310,410,310410,79058392,74731749,81457727,310-410-****,310-410-****-**,4G,Smartphone,1914
260405125930+0100,206,01,20601,33194827,44016359,45156229,206-01-****,206-01-****-**,3G,Smartphone,2379
260404234904+0100,206,10,20610,58687667,52820381,41340773,206-10-****,206-10-****-**,5G,Tablet,1464
260403201411+0100,206,05,20605,46627801,51831570,39611167,206-05-****,206-05-****-**,5G,Smartphone,661
260402130421+0100,206,01,20601,37160582,41371417,26550443,206-01-****,206-01-****-**,5G,Smartphone,2240
260408102234-0700,310,120,310120,93877483,75558187,96781189,310-120-****,310-120-****-**,4G,Smartphone,1020
260406100529+0100,206,01,20601,57609849,36584832,27966908,206-01-****,206-01-****-**,3G,IoT Device,1768
260401230311+0200,206,05,20605,45187284,46463879,49656300,206-05-****,206-05-****-**,4G,Smartphone,258
260407094318-0500,310,260,310260,84743862,74556866,67696327,310-260-****,310-260-****-**,4G,IoT Device,1783
260404012559+0100,206,10,20610,52840121,54845890,50598401,206-10-****,206-10-****-**,4G,IoT Device,1428
260401195940-0600,310,260,310260,73638791,76296317,78701468,310-260-****,310-260-****-**,4G,Smartphone,2367
260318125347+0200,240,24,24024,10149318,33647003,17207361,240-24-****,240-24-****-**,4G,Tablet,23
260401221336+0100,206,10,20610,39905000,33042645,27924471,206-10-****,206-10-****-**,3G,Smartphone,755
260407232909+0100,206,10,20610,41009955,52192644,40850996,206-10-****,206-10-****-**,4G,Smartphone,815
260406173122+0100,234,38,23438,64208930,69234260,60770861,234-38-****,234-38-****-**,3G,Tablet,1312
260402132446+0100,206,05,20605,50447876,54660095,39543513,206-05-****,206-05-****-**,5G,Smartphone,203
260402163505+0100,206,10,20610,59885353,33999460,47671297,206-10-****,206-10-****-**,5G,Smartphone,1868
260405041802+0100,206,20,20620,59938981,46945516,42240442,206-20-****,206-20-****-**,5G,Smartphone,1683
260404105702-0800,310,410,310410,87813324,81631664,98607925,310-410-****,310-410-****-**,4G,IoT Device,571
260406045404-0700,310,120,310120,77632583,90225917,68477586,310-120-****,310-120-****-**,5G,Smartphone,1969
260403020704+0100,234,38,23438,61729780,52975379,71686675,234-38-****,234-38-****-**,4G,Tablet,1221
260408012513+0200,206,01,20601,40369858,43136888,35479301,206-01-****,206-01-****-**,5G,IoT Device,2045
260407052810-0500,310,410,310410,92878610,80161224,91884804,310-410-****,310-410-****-**,5G,Smartphone,126
260407170956+0200,206,01,20601,47248415,41891657,42374406,206-01-****,206-01-****-**,5G,Smartphone,2685
260402130814+0100,206,05,20605,53324677,35551610,27070235,206-05-****,206-05-****-**,5G,Smartphone,1652
260405081518+0000,234,15,23415,56847897,57317965,74539211,234-15-****,234-15-****-**,4G,Smartphone,1655
260404120326+0000,234,15,23415,69260173,64124035,75593247,234-15-****,234-15-****-**,3G,Tablet,2395
260404083031-0600,310,260,310260,73957176,81883376,81172199,310-260-****,310-260-****-**,4G,Smartphone,2882
260405053616+0100,206,20,20620,40172306,39344987,25064637,206-20-****,206-20-****-**,3G,IoT Device,1618
260405205125+0100,240,07,24007,34688540,33369766,22076311,240-07-****,240-07-****-**,5G,Smartphone,997
260404063845+0100,206,20,20620,38649583,35108548,44511257,206-20-****,206-20-****-**,4G,Tablet,2043
260402212724-0700,310,120,310120,70617364,87217299,97889247,310-120-****,310-120-****-**,4G,Tablet,1225
260403083411+0100,240,24,24024,37388078,16036563,15338823,240-24-****,240-24-****-**,5G,Smartphone,1545
260404233101+0100,206,05,20605,56526279,43158934,39049722,206-05-****,206-05-****-**,4G,Tablet,1555
260404232841+0000,234,38,23438,74967912,64764570,72313291,234-38-****,234-38-****-**,4G,Smartphone,646
260404063724+0100,206,20,20620,39258327,48966053,53930729,206-20-****,206-20-****-**,5G,IoT Device,1194
260404234609+0200,240,04,24004,33623364,12908317,20317894,240-04-****,240-04-****-**,5G,Smartphone,2501
260405153633-0600,310,410,310410,98677503,85503206,84647190,310-410-****,310-410-****-**,4G,Smartphone,2791
260405081429+0100,234,20,23420,78692298,64320446,53395702,234-20-****,234-20-****-**,3G,IoT Device,1985
260407063030-0700,310,120,310120,73345555,94352131,72328899,310-120-****,310-120-****-**,4G,Smartphone,2565
260408092651+0200,206,01,20601,38687132,40950546,44186856,206-01-****,206-01-****-**,4G,IoT Device,1874
260403202521+0000,234,33,23433,72209049,68080172,58010167,234-33-****,234-33-****-**,4G,Smartphone,1917
260404060508+0200,206,05,20605,56120124,52056120,29310624,206-05-****,206-05-****-**,4G,Smartphone,1399
260401232415+0100,206,05,20605,31876095,35581490,33665755,206-05-****,206-05-****-**,4G,Smartphone,75
260407184100-0700,310,120,310120,79699677,76839731,92743096,310-120-****,310-120-****-**,5G,IoT Device,408
260404011444-0500,310,120,310120,80682500,72135170,87608609,310-120-****,310-120-****-**,4G,Smartphone,1114
260402023851+0100,206,01,20601,50311425,31421971,27081843,206-01-****,206-01-****-**,5G,Smartphone,2966
