Device_ID,Device_Type,LAI,RAI,Network_Type
D1138,Smartphone,240-08-5952,240-08-5952-78,4G
D1139,Smartphone,240-84-3479,240-84-3479-68,3G
D1140,IoT Device,240-32-2123,240-32-2123-32,3G
D1141,Tablet,240-82-2606,240-82-2606-41,3G
D1142,Tablet,240-34-7919,240-34-7919-19,5G
D1143,Smartphone,240-51-2750,240-51-2750-87,3G
D1144,IoT Device,240-69-3130,240-69-3130-12,3G
D1145,Tablet,240-14-8213,240-14-8213-90,5G
D1146,Smartphone,240-91-5154,240-91-5154-32,4G
D1147,Smartphone,240-56-5683,240-56-5683-60,4G
D1148,Smartphone,240-02-1806,240-02-1806-82,3G
D1149,Tablet,240-45-8705,240-45-8705-45,5G
D1150,Tablet,240-59-7039,240-59-7039-14,5G
D1151,Tablet,240-06-7110,240-06-7110-44,5G
D1152,IoT Device,240-88-9976,240-88-9976-92,5G
D1153,IoT Device,240-26-7133,240-26-7133-73,5G
D1154,IoT Device,240-80-1126,240-80-1126-15,3G
D1155,IoT Device,240-50-8566,240-50-8566-51,5G
D1156,Smartphone,240-11-1981,240-11-1981-93,3G
D1157,Smartphone,240-02-6133,240-02-6133-24,4G
D1158,Smartphone,240-90-4306,240-90-4306-77,4G
D1159,Smartphone,240-66-6973,240-66-6973-70,4G
D1160,Tablet,240-29-9282,240-29-9282-66,5G
D1161,Tablet,240-63-4078,240-63-4078-53,4G
D1162,Smartphone,240-31-1134,240-31-1134-27,3G
D1163,Smartphone,240-17-4780,240-17-4780-17,4G
D1164,Smartphone,240-56-1341,240-56-1341-81,3G
D1165,Smartphone,240-23-6213,240-23-6213-33,4G
D1166,IoT Device,240-22-5805,240-22-5805-48,4G
D1167,Tablet,240-23-6321,240-23-6321-66,4G
D1168,Smartphone,240-90-1982,240-90-1982-40,3G
D1169,IoT Device,240-82-8621,240-82-8621-18,5G
D1170,Smartphone,240-27-4383,240-27-4383-95,4G
D1171,Tablet,240-59-9432,240-59-9432-39,5G
D1172,Smartphone,240-37-8810,240-37-8810-15,5G
D1173,Tablet,240-32-5997,240-32-5997-71,4G
D1174,Smartphone,240-41-5679,240-41-5679-40,4G
D1175,IoT Device,240-35-3914,240-35-3914-81,4G
D1176,Smartphone,240-47-4254,240-47-4254-69,4G
D1177,Smartphone,240-82-4865,240-82-4865-51,4G
D1178,IoT Device,240-52-5582,240-52-5582-89,4G
D1179,Tablet,240-62-3275,240-62-3275-22,3G
D1180,Tablet,240-59-7657,240-59-7657-55,5G
D1181,Tablet,240-48-7641,240-48-7641-90,5G
D1182,Smartphone,240-38-2720,240-38-2720-34,3G
D1183,Tablet,240-22-4098,240-22-4098-12,4G
D1184,Tablet,240-77-4781,240-77-4781-62,4G
D1185,Smartphone,240-48-8818,240-48-8818-20,5G
D1186,IoT Device,240-20-3026,240-20-3026-25,3G
D1187,Smartphone,240-25-2006,240-25-2006-68,3G
D1188,IoT Device,240-63-7355,240-63-7355-79,5G
D1189,Tablet,240-37-6326,240-37-6326-59,4G
D1190,IoT Device,240-10-3971,240-10-3971-30,4G
D1191,Smartphone,240-36-3709,240-36-3709-80,4G
D1192,Smartphone,240-16-3035,240-16-3035-87,3G
D1193,Smartphone,240-25-6472,240-25-6472-96,4G
D1194,Tablet,240-64-6720,240-64-6720-26,4G
D1195,IoT Device,240-44-8677,240-44-8677-40,5G
D1196,IoT Device,240-73-4230,240-73-4230-71,4G
D1197,IoT Device,240-60-8029,240-60-8029-73,5G
D1198,Tablet,240-38-1566,240-38-1566-44,3G
D1199,Smartphone,240-30-5087,240-30-5087-80,4G
D1200,Smartphone,240-03-1342,240-03-1342-90,3G
D1201,Smartphone,240-20-6398,240-20-6398-77,4G
D1202,Tablet,240-12-8967,240-12-8967-17,5G
D1203,Tablet,240-02-2921,240-02-2921-81,3G
D1204,IoT Device,240-58-8763,240-58-8763-53,5G
D1205,Smartphone,240-54-6471,240-54-6471-37,4G
D1206,Tablet,240-02-5259,240-02-5259-71,4G
D1207,Tablet,240-40-4876,240-40-4876-24,4G
D1208,IoT Device,240-73-7359,240-73-7359-76,5G
D1209,Tablet,240-50-1457,240-50-1457-20,3G
D1210,IoT Device,240-15-1062,240-15-1062-20,3G
D1211,Tablet,240-26-5202,240-26-5202-49,4G
D1212,Tablet,240-84-8205,240-84-8205-60,5G
D1213,Tablet,240-82-8549,240-82-8549-86,5G
D1214,IoT Device,240-14-9058,240-14-9058-71,5G
D1215,Tablet,240-16-4524,240-16-4524-19,4G
D1216,IoT Device,240-62-6645,240-62-6645-96,4G
D1217,Tablet,240-61-5732,240-61-5732-39,4G
D1218,Smartphone,240-46-2966,240-46-2966-48,3G
D1219,Tablet,240-88-5330,240-88-5330-24,4G
D1220,IoT Device,240-83-2388,240-83-2388-84,3G
D1221,Smartphone,240-11-9562,240-11-9562-47,5G
D1222,Smartphone,240-28-9773,240-28-9773-48,5G
D1223,Tablet,240-59-9834,240-59-9834-63,5G
D1224,Tablet,240-15-4453,240-15-4453-59,4G
D1225,Tablet,240-15-3815,240-15-3815-31,4G
D1226,Smartphone,240-66-9611,240-66-9611-70,5G
D1227,Tablet,240-21-6237,240-21-6237-79,4G
D1228,IoT Device,240-40-9524,240-40-9524-66,5G
D1229,Tablet,240-12-5285,240-12-5285-92,4G
D1230,IoT Device,240-73-1023,240-73-1023-12,3G
D1231,Smartphone,240-60-5224,240-60-5224-22,4G
D1232,Tablet,240-13-1064,240-13-1064-72,3G
D1233,Tablet,240-16-6034,240-16-6034-55,4G
D1234,Smartphone,240-25-3927,240-25-3927-85,4G
D1235,IoT Device,240-62-2017,240-62-2017-66,3G
D1236,Tablet,240-76-6584,240-76-6584-44,4G
D1237,Tablet,240-17-6246,240-17-6246-69,4G
D1238,IoT Device,240-59-4606,240-59-4606-12,4G
D1239,IoT Device,240-47-4692,240-47-4692-42,4G
D1240,Tablet,240-05-8417,240-05-8417-68,5G
D1241,Tablet,240-77-7789,240-77-7789-22,5G
D1242,Smartphone,240-69-2328,240-69-2328-17,3G
D1243,IoT Device,240-49-2137,240-49-2137-10,3G
D1244,Tablet,240-26-3888,240-26-3888-75,4G
D1245,Tablet,240-20-6720,240-20-6720-23,4G
D1246,Tablet,240-15-9429,240-15-9429-60,5G
D1247,Tablet,240-22-6888,240-22-6888-32,4G
D1248,Smartphone,240-79-6618,240-79-6618-31,4G
D1249,Smartphone,240-07-3073,240-07-3073-27,3G
D1250,IoT Device,240-77-6491,240-77-6491-95,4G
D1251,Tablet,240-69-8712,240-69-8712-79,5G
D1252,Tablet,240-86-7148,240-86-7148-79,5G
D1253,IoT Device,240-95-3060,240-95-3060-34,3G
D1254,IoT Device,240-09-6927,240-09-6927-45,4G
D1255,Smartphone,240-01-3677,240-01-3677-95,4G
D1256,Smartphone,240-50-3590,240-50-3590-29,4G
D1257,Tablet,240-71-8741,240-71-8741-85,5G
D1258,Tablet,240-85-8580,240-85-8580-30,5G
D1259,Tablet,240-74-1563,240-74-1563-14,3G
D1260,Smartphone,240-13-7313,240-13-7313-50,5G
D1261,Smartphone,240-10-1882,240-10-1882-62,3G
D1262,IoT Device,240-71-9178,240-71-9178-89,5G
D1263,Smartphone,240-09-2647,240-09-2647-94,3G
D1264,Tablet,240-77-6783,240-77-6783-26,4G
D1265,Smartphone,240-17-8914,240-17-8914-65,5G
D1266,Smartphone,240-14-8730,240-14-8730-67,5G
D1267,Smartphone,240-84-2559,240-84-2559-26,3G
D1268,Tablet,240-43-8708,240-43-8708-58,5G
D1269,Tablet,240-65-7165,240-65-7165-82,5G
D1270,Smartphone,240-09-3095,240-09-3095-16,3G
D1271,Smartphone,240-46-9026,240-46-9026-18,5G
D1272,IoT Device,240-18-3243,240-18-3243-54,3G
D1273,Smartphone,240-27-2397,240-27-2397-64,3G
D1274,IoT Device,240-67-9116,240-67-9116-10,5G
D1275,Smartphone,240-41-6181,240-41-6181-48,4G
D1276,Tablet,240-14-8556,240-14-8556-97,5G
D1277,IoT Device,240-67-1559,240-67-1559-87,3G
D1278,IoT Device,240-28-7311,240-28-7311-91,5G
D1279,IoT Device,240-77-5240,240-77-5240-71,4G
D1280,Tablet,240-67-2037,240-67-2037-45,3G
D1281,Tablet,240-66-9850,240-66-9850-26,5G
D1282,Smartphone,240-25-6755,240-25-6755-47,4G
D1283,Tablet,240-34-5777,240-34-5777-66,4G
D1284,Smartphone,240-42-3039,240-42-3039-31,3G
D1285,IoT Device,240-66-6502,240-66-6502-68,4G
D1286,Smartphone,240-41-7712,240-41-7712-95,5G
D1287,Smartphone,240-85-3650,240-85-3650-44,4G
D1288,IoT Device,240-45-4564,240-45-4564-59,4G
D1289,IoT Device,240-49-5827,240-49-5827-15,4G
D1290,Smartphone,240-88-9441,240-88-9441-27,5G
D1291,Tablet,240-68-5004,240-68-5004-91,4G
D1292,IoT Device,240-10-3630,240-10-3630-83,4G
D1293,Smartphone,240-49-7369,240-49-7369-19,5G
D1294,Tablet,240-61-9366,240-61-9366-80,5G
D1295,Smartphone,240-13-1437,240-13-1437-90,3G
D1296,Tablet,240-37-1772,240-37-1772-13,3G
D1297,Smartphone,240-67-2637,240-67-2637-78,3G
D1298,IoT Device,240-45-7617,240-45-7617-89,5G
D1299,IoT Device,240-77-4285,240-77-4285-16,4G
D1300,Smartphone,240-08-9956,240-08-9956-18,5G
D1301,Smartphone,240-35-8266,240-35-8266-29,5G
D1302,Smartphone,240-85-7930,240-85-7930-69,5G
D1303,Tablet,240-40-3108,240-40-3108-55,3G
D1304,Tablet,240-36-2178,240-36-2178-15,3G
D1305,Tablet,240-75-8007,240-75-8007-89,5G
D1306,IoT Device,240-70-4782,240-70-4782-31,4G
D1307,IoT Device,240-52-7787,240-52-7787-27,5G
D1308,IoT Device,240-75-8175,240-75-8175-34,5G
D1309,IoT Device,240-77-9875,240-77-9875-53,5G
D1310,IoT Device,240-70-2167,240-70-2167-34,3G
D1311,IoT Device,240-93-9502,240-93-9502-28,5G
D1312,Tablet,240-41-1632,240-41-1632-52,3G
D1313,Smartphone,240-47-9776,240-47-9776-10,5G
D1314,Tablet,240-38-1815,240-38-1815-23,3G
D1315,Tablet,240-41-1682,240-41-1682-24,3G
D1316,Tablet,240-98-7180,240-98-7180-14,5G
D1317,IoT Device,240-84-3808,240-84-3808-27,4G
D1318,Tablet,240-86-5144,240-86-5144-50,4G
D1319,Tablet,240-05-2483,240-05-2483-26,3G
D1320,IoT Device,240-37-6738,240-37-6738-95,4G
D1321,IoT Device,240-14-8780,240-14-8780-93,5G
D1322,Smartphone,240-90-1975,240-90-1975-33,3G
D1323,IoT Device,240-60-2163,240-60-2163-50,3G
D1324,IoT Device,240-77-9769,240-77-9769-26,5G
D1325,Smartphone,240-13-8690,240-13-8690-89,5G
D1326,Smartphone,240-47-1258,240-47-1258-23,3G
D1327,Tablet,240-44-9222,240-44-9222-45,5G
D1328,Smartphone,240-24-6308,240-24-6308-15,4G
D1329,Tablet,240-18-3963,240-18-3963-30,4G
D1330,IoT Device,240-72-5423,240-72-5423-30,4G
D1331,Smartphone,240-74-4601,240-74-4601-59,4G
D1332,Smartphone,240-81-2374,240-81-2374-96,3G
D1333,IoT Device,240-67-9516,240-67-9516-41,5G
D1334,IoT Device,240-95-5293,240-95-5293-49,4G
D1335,IoT Device,240-80-5496,240-80-5496-50,4G
D1336,Smartphone,240-45-4288,240-45-4288-19,4G
D1337,Tablet,240-23-7041,240-23-7041-20,5G
D1338,IoT Device,240-45-5457,240-45-5457-90,4G
D1339,Smartphone,240-41-1888,240-41-1888-65,3G
D1340,Tablet,240-70-4670,240-70-4670-42,4G
D1341,Smartphone,240-66-5976,240-66-5976-24,4G
D1342,IoT Device,240-53-6297,240-53-6297-43,4G
D1343,Smartphone,240-35-2350,240-35-2350-97,3G
D1344,Smartphone,240-33-4524,240-33-4524-86,4G
D1345,Smartphone,240-12-7781,240-12-7781-24,5G
D1346,IoT Device,240-99-1757,240-99-1757-58,3G
D1347,Tablet,240-03-8602,240-03-8602-41,5G
D1348,Tablet,240-93-3412,240-93-3412-69,3G
D1349,Tablet,240-18-9601,240-18-9601-25,5G
D1350,Tablet,240-51-8681,240-51-8681-33,5G
D1351,IoT Device,240-63-9812,240-63-9812-19,5G
D1352,Tablet,240-79-5231,240-79-5231-42,4G
D1353,IoT Device,240-33-1161,240-33-1161-46,3G
D1354,Smartphone,240-70-8930,240-70-8930-24,5G
D1355,IoT Device,240-68-6062,240-68-6062-21,4G
D1356,Tablet,240-95-1445,240-95-1445-88,3G
D1357,IoT Device,240-27-1738,240-27-1738-22,3G
D1358,IoT Device,240-48-8342,240-48-8342-96,5G
D1359,IoT Device,240-82-6485,240-82-6485-11,4G
D1360,IoT Device,240-19-5276,240-19-5276-23,4G
D1361,Tablet,240-79-7365,240-79-7365-39,5G
D1362,Smartphone,240-54-1252,240-54-1252-86,3G
D1363,IoT Device,240-35-6068,240-35-6068-79,4G
D1364,Tablet,240-42-3078,240-42-3078-45,3G
D1365,IoT Device,240-71-5732,240-71-5732-62,4G
D1366,Smartphone,240-33-9626,240-33-9626-19,5G
D1367,IoT Device,240-99-5269,240-99-5269-64,4G
D1368,Smartphone,240-09-8717,240-09-8717-90,5G
D1369,Tablet,240-24-4490,240-24-4490-54,4G
D1370,Smartphone,240-23-2484,240-23-2484-69,3G
D1371,Smartphone,240-12-2039,240-12-2039-82,3G
D1372,IoT Device,240-93-3321,240-93-3321-40,3G
D1373,Tablet,240-95-9619,240-95-9619-72,5G
D1374,IoT Device,240-71-8927,240-71-8927-78,5G
D1375,Tablet,240-83-7542,240-83-7542-19,5G
D1376,Smartphone,240-03-8351,240-03-8351-72,5G
D1377,Smartphone,240-13-7064,240-13-7064-60,5G
D1378,IoT Device,240-17-6125,240-17-6125-10,4G
D1379,IoT Device,240-45-3569,240-45-3569-85,4G
D1380,Smartphone,240-82-9960,240-82-9960-63,5G
D1381,Tablet,240-19-6698,240-19-6698-92,4G
D1382,Smartphone,240-70-7013,240-70-7013-49,5G
D1383,Smartphone,240-19-3873,240-19-3873-35,4G
D1384,Tablet,240-01-5130,240-01-5130-69,4G
D1385,IoT Device,240-45-7909,240-45-7909-29,5G
D1386,IoT Device,240-34-1694,240-34-1694-74,3G
D1387,Smartphone,240-91-1152,240-91-1152-99,3G
D1388,Tablet,240-82-7383,240-82-7383-95,5G
D1389,Tablet,240-41-3022,240-41-3022-70,3G
D1390,Tablet,240-70-6914,240-70-6914-76,4G
D1391,IoT Device,240-93-6653,240-93-6653-89,4G
D1392,IoT Device,240-69-3169,240-69-3169-77,3G
D1393,Tablet,240-04-5192,240-04-5192-29,4G
D1394,IoT Device,240-95-1248,240-95-1248-44,3G
D1395,IoT Device,240-69-1006,240-69-1006-13,3G
D1396,Smartphone,240-14-5548,240-14-5548-23,4G
D1397,Tablet,240-39-2347,240-39-2347-77,3G
D1398,IoT Device,240-53-1090,240-53-1090-60,3G
D1399,Tablet,240-69-7625,240-69-7625-10,5G
D1400,Smartphone,240-99-7145,240-99-7145-15,5G
D1401,Tablet,240-74-8880,240-74-8880-36,5G
D1402,Smartphone,240-99-7788,240-99-7788-60,5G
D1403,Tablet,240-13-4480,240-13-4480-54,4G
D1404,IoT Device,240-75-3845,240-75-3845-99,4G
D1405,IoT Device,240-19-8109,240-19-8109-98,5G
D1406,Tablet,240-34-6773,240-34-6773-99,4G
D1407,Smartphone,240-40-2727,240-40-2727-39,3G
D1408,Smartphone,240-19-8118,240-19-8118-15,5G
D1409,Tablet,240-84-5733,240-84-5733-97,4G
D1410,Tablet,240-88-4196,240-88-4196-33,4G
D1411,IoT Device,240-94-2711,240-94-2711-46,3G
D1412,IoT Device,240-86-3172,240-86-3172-78,3G
D1413,Tablet,240-09-2614,240-09-2614-41,3G
D1414,Smartphone,240-95-4038,240-95-4038-61,4G
D1415,Smartphone,240-33-7151,240-33-7151-18,5G
D1416,IoT Device,240-47-1913,240-47-1913-79,3G
D1417,Smartphone,240-39-9176,240-39-9176-62,5G
D1418,IoT Device,240-74-9263,240-74-9263-62,5G
D1419,Smartphone,240-84-3987,240-84-3987-82,4G
D1420,Smartphone,240-19-8645,240-19-8645-83,5G
D1421,Tablet,240-29-9832,240-29-9832-57,5G
D1422,Smartphone,240-70-1568,240-70-1568-68,3G
D1423,Smartphone,240-48-4650,240-48-4650-49,4G
D1424,Smartphone,240-33-7504,240-33-7504-81,5G
D1425,Tablet,240-60-2445,240-60-2445-61,3G
D1426,IoT Device,240-38-8070,240-38-8070-74,5G
D1427,Tablet,240-18-2174,240-18-2174-10,3G
D1428,IoT Device,240-44-4797,240-44-4797-52,4G
D1429,Tablet,240-62-9726,240-62-9726-28,5G
D1430,Tablet,240-05-4216,240-05-4216-56,4G
D1431,Tablet,240-17-3818,240-17-3818-90,4G
D1432,Smartphone,240-87-7973,240-87-7973-86,5G
D1433,Smartphone,240-44-2396,240-44-2396-68,3G
D1434,Tablet,240-46-8448,240-46-8448-40,5G
D1435,Smartphone,240-02-6990,240-02-6990-36,4G
D1436,Tablet,240-82-2569,240-82-2569-33,3G
D1437,Tablet,240-86-5816,240-86-5816-65,4G
D1438,Tablet,240-75-6635,240-75-6635-53,4G
D1439,Tablet,240-05-2294,240-05-2294-64,3G
D1440,IoT Device,240-66-6550,240-66-6550-51,4G
D1441,Smartphone,240-92-2911,240-92-2911-99,3G
D1442,IoT Device,240-05-1773,240-05-1773-38,3G
D1443,IoT Device,240-16-2667,240-16-2667-94,3G
D1444,Smartphone,240-59-2526,240-59-2526-98,3G
D1445,IoT Device,240-17-8095,240-17-8095-34,5G
D1446,IoT Device,240-42-3638,240-42-3638-25,4G
D1447,Smartphone,240-80-9599,240-80-9599-19,5G
D1448,IoT Device,240-32-3999,240-32-3999-62,4G
D1449,Smartphone,240-69-3122,240-69-3122-19,3G
D1450,IoT Device,240-94-9803,240-94-9803-36,5G
D1451,IoT Device,240-91-1284,240-91-1284-18,3G
D1452,IoT Device,240-65-5050,240-65-5050-21,4G
D1453,Smartphone,240-65-9146,240-65-9146-45,5G
D1454,Tablet,240-60-5958,240-60-5958-39,4G
D1455,Smartphone,240-75-3771,240-75-3771-17,4G
D1456,Smartphone,240-10-3781,240-10-3781-35,4G
D1457,Smartphone,240-37-7736,240-37-7736-15,5G
D1458,IoT Device,240-32-4771,240-32-4771-15,4G
D1459,Smartphone,240-13-9562,240-13-9562-98,5G
D1460,IoT Device,240-80-3854,240-80-3854-10,4G
D1461,Tablet,240-55-5481,240-55-5481-38,4G
D1462,IoT Device,240-39-7069,240-39-7069-19,5G
D1463,Smartphone,240-83-4977,240-83-4977-31,4G
D1464,Tablet,240-93-6489,240-93-6489-29,4G
D1465,Smartphone,240-63-9747,240-63-9747-43,5G
D1466,Smartphone,240-53-4430,240-53-4430-69,4G
D1467,Tablet,240-75-3768,240-75-3768-43,4G
D1468,IoT Device,240-63-5860,240-63-5860-47,4G
D1469,IoT Device,240-86-4628,240-86-4628-82,4G
D1470,Smartphone,240-39-4668,240-39-4668-15,4G
D1471,Smartphone,240-05-3743,240-05-3743-66,4G
D1472,Tablet,240-17-4653,240-17-4653-14,4G
D1473,IoT Device,240-75-1531,240-75-1531-59,3G
D1474,Tablet,240-37-3798,240-37-3798-44,4G
D1475,Tablet,240-58-7537,240-58-7537-95,5G
D1476,IoT Device,240-39-5044,240-39-5044-22,4G
D1477,IoT Device,240-22-5036,240-22-5036-94,4G
D1478,IoT Device,240-94-5194,240-94-5194-65,4G
D1479,Tablet,240-24-9111,240-24-9111-20,5G
D1480,IoT Device,240-21-6545,240-21-6545-60,4G
D1481,Smartphone,240-64-8784,240-64-8784-95,5G
D1482,IoT Device,240-07-2990,240-07-2990-30,3G
D1483,Smartphone,240-01-3144,240-01-3144-15,3G
D1484,Tablet,240-45-4491,240-45-4491-40,4G
D1485,Smartphone,240-05-7196,240-05-7196-83,5G
