City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System
Xiaolou,Guangdong,China,,23.379,113.763,Asia/Shanghai,CHINANET-GD,Chinanet GD,
Mumbai,Maharashtra,India,40****,19.075,72.886,Asia/Kolkata,Bharti Airtel Limited,Bharti Airtel Limited,AS45609 Bharti Airtel Ltd. AS for GPRS Service
,,,,,,,,,
Lomé,Maritime,Togo,,6.132,1.224,Africa/Lome,GVA Cote d'Ivoire SAS,GVA Togo,AS36924 GVA Cote d'Ivoire SAS
,,,,,,,,,
Silver Spring,Maryland,United States,20***,39.068,-76.993,America/New_York,Verizon Business,Service Provider Corporation,AS6167 Verizon Business
,,,,,,,,,
Haikou,Hainan,China,,19.995,110.242,Asia/Shanghai,Chinanet,Hainan TELECOM,AS4134 CHINANET-BACKBONE
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Zhengzhou,Henan,China,45****,34.789,113.786,Asia/Shanghai,CERNET,,AS4538 China Education and Research Network Center
Chiyoda,Tokyo,Japan,10******,35.694,139.754,Asia/Tokyo,Toyota Industries Corporation,Toyota Industries Corporation,
,,,,,,,,,
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Richlands,North Carolina,United States,28***,34.861,-77.588,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
Livingston,Scotland,United Kingdom,EH**,55.9,-3.524,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Taipei,Taiwan,Taiwan,,25.045,121.561,Asia/Taipei,Taiwan Fixed Network,Taiwan Telecommunication Network Services Co. Ltd.,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider."
Tampere,Pirkanmaa,Finland,33***,61.486,23.762,Europe/Helsinki,Telia Finland Oyj,Telia Finland Oyj,AS1759 Telia Finland Oyj
Dublin,Leinster,Ireland,D0*,53.35,-6.26,Europe/Dublin,"Amazon.com, Inc.",AWS EC2 (eu-west-1),"AS16509 Amazon.com, Inc."
New York,New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.","AT&T Global Network Services, LLC","AS7018 AT&T Services, Inc."
Leidschendam,South Holland,The Netherlands,22**,52.096,4.398,Europe/Amsterdam,T-mobile Netherlands,,AS50266 Odido Netherlands B.V.
San Francisco,California,United States,94***,37.721,-122.391,America/Los_Angeles,Fastly,"Fastly, Inc.",
Cincinnati,Ohio,United States,45***,39.103,-84.505,America/New_York,The Procter and Gamble Company,The Procter and Gamble Company,AS11003 The Procter and Gamble Company
Huechuraba,Santiago Metropolitan,Chile,85*****,-33.383,-70.621,America/Santiago,Claro Chile S.A.,Claro Chile S.A,AS27995 CLARO CHILE S.A.
Sierra Vista,Arizona,United States,85***,31.555,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS306 DoD Network Information Center
Victoria,British Columbia,Canada,V8*,48.453,-123.37,America/Vancouver,Province of British Columbia,Province of British Columbia,AS3633 Province of British Columbia
Richmond Hill,Ontario,Canada,L4*,43.868,-79.442,America/Toronto,Rogers Communications Canada Inc.,Rogers Cable Inc. HNSN,AS812 Rogers Communications Canada Inc.
Tucson,Arizona,United States,85***,32.145,-110.946,America/Phoenix,City of Tucson,City of Tucson,AS13918 City of Tucson
Dearborn,Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
Donetsk,Donetsk,Ukraine,75**,48.016,37.803,Europe/Kiev,EAST-NET Ltd,EAST.NET Ltd.,AS50780 EAST-NET Ltd
Brewton,Alabama,United States,36***,31.129,-87.096,America/Chicago,Mediacom Communications,MEDIACOM,AS30036 Mediacom Communications Corp
São Paulo,São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A
Springfield,Massachusetts,United States,11**,42.117,-72.548,America/New_York,Massachusetts Mutual Life Insurance Co.,Massachusetts Mutual Life Insurance Co,
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Washington,District of Columbia,United States,20***,38.907,-77.037,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc."
London,England,United Kingdom,W1*,51.507,-0.128,Europe/London,Microsoft Limited,Microsoft Limited,
,,,,,,,,,
Vienna,Vienna,Austria,10**,48.198,16.392,Europe/Vienna,T-Mobile Austria,T-Mobile Austria GmbH,AS8412 T-Mobile Austria GmbH
Tianjin,Tianjin,China,,39.149,117.176,Asia/Shanghai,China Education and Research Network Center,China Education and Research Network,AS4538 China Education and Research Network Center
London,England,United Kingdom,W1*,51.507,-0.128,Europe/London,UK Ministry of Defence,UK Ministry of Defence,
Chaowai,Beijing,China,,39.959,116.455,Asia/Shanghai,CHINANETCENTER,ChinaNetCenter Ltd.,
Beijing,Beijing,China,10****,39.904,116.407,Asia/Shanghai,HWCSNET,Huawei Public Cloud Service,
Calgary,Alberta,Canada,T2*,51.045,-114.072,America/Edmonton,Amazon Technologies Inc,Amazon Technologies Inc,
Centreville,Virginia,United States,20***,38.84,-77.434,America/New_York,American Registry Internet Numbers,American Registry Internet Numbers,
,,,,,,,,,
Cairo,Cairo Governorate,Egypt,,30.044,31.236,Africa/Cairo,Etisalat Misr,Mobile,AS36992 ETISALAT MISR
Houston,Texas,United States,77***,29.745,-95.464,America/Chicago,Apache Corporation,Apache Corporation,
,,,,,,,,,
Rochester,New York,United States,14***,43.154,-77.567,America/New_York,ICL,"ICL, Inc.",
,,,,,,,,,
Broadmeadows,Victoria,Australia,30**,-37.676,144.93,Australia/Melbourne,Ericsson Inc.,Eric,AS158 Ericsson Inc.
Beijing,Beijing,China,10****,39.904,116.407,Asia/Shanghai,CHINA UNICOM China169 Backbone,Jnsib Ibar,AS4837 CHINA UNICOM China169 Backbone
Bernardsville,New Jersey,United States,79**,40.695,-74.578,America/New_York,Avaya Inc.,Avaya Inc.,AS18676 Avaya Inc.
Chennai,Tamil Nadu,India,60****,13.081,80.272,Asia/Kolkata,Microsoft Corporation,Microsoft Azure Cloud (southindia),AS8075 Microsoft Corporation
Olympia,Washington,United States,98***,46.996,-122.738,America/Los_Angeles,Pierce County,Pierce County,AS33348 Pierce County
Konopiska,Silesia,Poland,42****,50.729,19.012,Europe/Warsaw,"IntegraDesign, Mariusz Barczyk","IntegraDesign, Mariusz Barczyk","AS61154 IntegraDesign, Mariusz Barczyk"
,,,,,,,,,
Gresse,Mecklenburg-Vorpommern,Germany,19***,53.428,10.744,Europe/Berlin,Vodafone D2 GmbH,ARCOR-IP,AS3209 Vodafone GmbH
Jinrongjie,Beijing,China,,39.914,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Concord,California,United States,94***,37.974,-122.033,America/Los_Angeles,Bank of America,"Bank of America, National Association",
Maiden,North Carolina,United States,,35.576,-81.212,America/New_York,Apple Inc.,Apple Inc,AS714 Apple Inc.
,,,,,,,,,
Beijing,Beijing,China,10****,39.904,116.407,Asia/Shanghai,China Unicom Shenzen network,HengShengChang Paper,AS17623 China Unicom Shenzen network
London,England,United Kingdom,W1*,51.507,-0.128,Europe/London,Bell Canada,Bell Canada,
Fairfax,Virginia,United States,22***,38.862,-77.266,America/New_York,Inova Health System Foundation,Inova Health System Foundation,AS393861 Inova Health System Foundation
Dearborn,Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
Paris,Île-de-France,France,75***,48.857,2.352,Europe/Paris,TVCCONV,France Telecom services,
Calais,Hauts-de-France,France,62***,50.946,1.854,Europe/Paris,ProXad network / Free SAS,Proxad / Free SAS,AS12322 Free SAS
Jinrongjie,Beijing,China,,39.914,116.363,Asia/Shanghai,CTTNET,China TieTong Telecommunications Corporation,
Eschborn,Hesse,Germany,65***,50.131,8.57,Europe/Berlin,ARCOR-IP,Arcor AG & Co,AS3209 Vodafone GmbH
Takasago,Saitama,Japan,33******,35.869,139.658,Asia/Tokyo,Sony Network Communications Inc,Sony Network Communications Inc.,AS2527 Sony Network Communications Inc.
New York,New York,United States,10***,40.713,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc."
São Paulo,São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,TIM S/A,TIM S/A,AS26615 TIM S/A
Montpellier,Occitanie,France,34***,43.611,3.881,Europe/Paris,Societe Francaise Du Radiotelephone - SFR SA,,AS15557 Societe Francaise Du Radiotelephone - SFR SA
Ostbevern,North Rhine-Westphalia,Germany,48***,52.034,7.833,Europe/Berlin,UNI-X,BEWATEC Kommunikationstechnik GmbH,AS12371 Avency GmbH
Raleigh,North Carolina,United States,27***,35.838,-78.612,America/New_York,United States Postal Service.,United States Postal Service,
Moscow,Moscow,Russia,12****,55.748,37.617,Europe/Moscow,Technology & Networks Co,Technology & Networks LLC,AS30833 Technology & Networks LLC
Palo Alto,California,United States,94***,37.415,-122.146,America/Los_Angeles,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,
,,,,,,,,,
Seattle,Washington,United States,98***,47.494,-122.294,America/Los_Angeles,Hostwinds LLC.,Hostwinds LLC,AS54290 Hostwinds LLC.
Greenwood Village,Colorado,United States,80***,39.603,-104.889,America/Denver,Spectrum,Charter Communications Inc,
Frankfurt am Main,Hesse,Germany,60***,50.111,8.682,Europe/Berlin,Amazon Technologies Inc.,AWS EC2 (eu-central-1),"AS16509 Amazon.com, Inc."
Jeddah,Mecca Region,Saudi Arabia,,21.485,39.192,Asia/Riyadh,Internet Broadband,Mobily Broadband SA,"AS35819 Etihad Etisalat, a joint stock company"
Paris,Île-de-France,France,75***,48.842,2.293,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
Windhoek,Khomas Region,Namibia,,-22.556,17.076,Africa/Windhoek,Telecom Namibia,Telecom Namibia,AS36999 Telecom Namibia
,,,,,,,,,
Raleigh,North Carolina,United States,27***,35.838,-78.612,America/New_York,United States Postal Service.,United States Postal Service,
Melbourne,Victoria,Australia,30**,-37.744,144.968,Australia/Melbourne,Australian Academic and Research Network,Royal Melbourne Institute of Technology (RMIT University),AS7575 Australian Academic and Research Network (AARNet)
Overland Park,Kansas,United States,66***,38.916,-94.662,America/Chicago,Sprint Nextel Corporation,Sprint Nextel Corporation,
Chiyoda,Tokyo,Japan,10******,35.692,139.768,Asia/Tokyo,ARTERIA Networks Corporation,ARTERIA Networks Corp.,AS17506 ARTERIA Networks Corporation
Seattle,Washington,United States,98***,47.623,-122.337,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Tokyo,Tokyo,Japan,15******,35.684,139.68,Asia/Tokyo,Internet Initiative Japan Inc.,Hokkaido,AS2497 Internet Initiative Japan Inc.
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
,,,,,,,,,
Rio de Janeiro,Rio de Janeiro,Brazil,,-22.907,-43.188,America/Sao_Paulo,Claro NXT Telecomunicacoes Ltda,Claro NXT Telecomunicacoes Ltda,AS28573 Claro NXT Telecomunicacoes Ltda
Haidian,Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Ashburn,Virginia,United States,20***,39.011,-77.471,America/New_York,Verizon Business,Verizon Business,
La Crosse,Wisconsin,United States,54***,43.814,-91.252,America/Chicago,CenturyLink,"CenturyLink, Inc",AS19901 Brightspeed
,,,,,,,,,
Helsinki,Uusimaa,Finland,24*,60.207,24.921,Europe/Helsinki,Cinia Oy,Cinia Oy,AS20904 Cinia Oy
Stuttgart,Baden-Wurttemberg,Germany,70***,48.786,9.238,Europe/Berlin,Mercedes-Benz Group AG,Daimler AG,AS31399 Mercedes-Benz Group AG
Dearborn,Michigan,United States,48***,42.322,-83.176,America/Detroit,Ford Motor Company,Ford Motor Company,
Durham,North Carolina,United States,27***,35.905,-78.857,America/New_York,IBM,IBM,
São Paulo,São Paulo,Brazil,10**,-23.628,-46.641,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
Charlotte,North Carolina,United States,28***,35.307,-80.731,America/New_York,University of North Carolina at Charlotte,University of North Carolina at Charlotte,AS53384 University of North Carolina at Charlotte
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Haidian,Beijing,China,,39.9,116.334,Asia/Shanghai,North Star Information Hi.tech Ltd. Co,North Star Information Hi.tech Ltd. Co,
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
São Paulo,São Paulo,Brazil,01*******,-23.556,-46.64,America/Sao_Paulo,V tal,V tal,AS7738 V tal
Frankfurt am Main,Hesse,Germany,60***,50.119,8.684,Europe/Berlin,COLT Technology Services Group Limited,COLT Telecom,AS8220 COLT Technology Services Group Limited
,,,,,,,,,
,,,,,,,,,
Hamburg,Free and Hanseatic City of Hamburg,Germany,20***,53.551,9.994,Europe/Berlin,TNG Stadtnetz GmbH,Ftth Wedelnet Com,AS13101 TNG Stadtnetz GmbH
Des Moines,Iowa,United States,50***,41.591,-93.621,America/Chicago,Microsoft Corporation,Microsoft Azure Cloud (centralus),AS8075 Microsoft Corporation
,,,,,,,,,
Fuengirola,Andalusia,Spain,29***,36.547,-4.612,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.
Klaten,Central Java,Indonesia,,-7.705,110.602,Asia/Jakarta,PT. INDOSAT Tbk,IOH B2B,AS4761 INDOSAT Internet Network Provider
Seongnam-si,Gyeonggi-do,South Korea,13***,37.364,127.122,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
Dublin,Ohio,United States,43***,40.099,-83.114,America/New_York,"Amazon.com, Inc.",AWS EC2 (us-east-2),"AS16509 Amazon.com, Inc."
Sydney,New South Wales,Australia,10**,-33.869,151.209,Australia/Sydney,Telstra Internet,,AS1221 Telstra Corporation Ltd
Montgomery,Alabama,United States,36***,32.403,-86.238,America/Chicago,DoD Network Information Center,Air Force Systems Networking,AS721 DoD Network Information Center
Mitcham,England,United Kingdom,CR*,51.387,-0.16,Europe/London,BT Public Internet Service,,AS2856 British Telecommunications PLC
Hamburg,Free and Hanseatic City of Hamburg,Germany,22***,53.576,10.017,Europe/Berlin,Telefonica Deutschland GmbH,Telefonica Deutschland GmbH,AS6805 Telefonica Germany GmbH & Co.OHG
London,England,United Kingdom,W1*,51.507,-0.128,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,
Lemont,Illinois,United States,60***,41.718,-87.979,America/Chicago,Argonne National Laboratory,Argonne National Laboratory,AS683 Argonne National Laboratory
Seattle,Washington,United States,98***,47.597,-122.328,America/Los_Angeles,Amazon.com,"Amazon.com, Inc",
Wallington,New Jersey,United States,70**,40.854,-74.106,America/New_York,Static IP Services,Darlingt ON Swim,AS6128 Cablevision Systems Corp.
New York,New York,United States,10***,40.713,-74.006,America/New_York,CenturyLink,"CenturyLink, Inc","AS209 CenturyLink Communications, LLC"
Whitehall,Ohio,United States,43***,39.975,-82.895,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center
Minato-ku,Tokyo,Japan,10******,35.663,139.761,Asia/Tokyo,Softbank BB Corp.,Japan nation-wide Network of SOFTBANK BB CORP,AS17676 SoftBank Corp.
