Device_ID,Device_Type,Network_Type,PLMN,LAI,Avg_Latency_ms,Connection_Drop_Rate_Pct,Linkage_Index
D1040,Smartphone,5G,20605,206-05-4241,16,0.46,155
D1041,IoT Device,5G,20610,206-10-3369,28,0.44,193
D1042,Smartphone,5G,310480,310-480-1496,20,0.11,1880
D1043,Smartphone,4G,24024,240-24-3749,61,0.65,2785
D1044,Smartphone,4G,310120,310-120-2821,59,0.3,882
D1045,IoT Device,5G,24004,240-04-9479,14,0.13,2697
D1046,Tablet,5G,20610,206-10-9117,27,0.27,2911
D1047,Smartphone,3G,24016,240-16-8956,144,1.79,2174
D1048,Tablet,4G,23433,234-33-8354,67,0.66,2423
D1049,Smartphone,3G,23410,234-10-3240,98,3.49,1512
D1050,Smartphone,5G,24016,240-16-7883,14,0.26,1075
D1051,Smartphone,3G,23433,234-33-2868,81,2.77,1354
D1052,Smartphone,5G,24005,240-05-5333,13,0.08,494
D1053,Smartphone,5G,24002,240-02-7482,15,0.4,334
D1054,Tablet,4G,23433,234-33-8138,57,0.93,1746
D1055,IoT Device,3G,23430,234-30-3578,119,1.64,858
D1056,Smartphone,3G,23415,234-15-9408,129,2.09,2822
D1057,Smartphone,3G,23430,234-30-3549,140,3.08,1640
D1058,Smartphone,5G,24001,240-01-5374,10,0.34,2246
D1059,Smartphone,5G,24001,240-01-2824,13,0.34,1222
D1060,Smartphone,5G,20601,206-01-4937,27,0.38,619
D1061,Smartphone,4G,20605,206-05-8253,51,0.26,829
D1062,Tablet,3G,23410,234-10-5847,125,0.97,851
D1063,Tablet,5G,20620,206-20-4826,10,0.48,2767
D1064,Tablet,4G,23410,234-10-5689,46,1.46,2557
D1065,Smartphone,5G,24008,240-08-5173,15,0.26,1490
D1066,Tablet,5G,310480,310-480-9476,13,0.44,2420
D1067,IoT Device,3G,310120,310-120-8167,108,3.03,1761
D1068,Tablet,4G,310480,310-480-5949,62,0.95,1916
D1069,Smartphone,3G,24024,240-24-5762,89,1.62,71
D1070,Tablet,5G,310410,310-410-1424,15,0.27,2203
D1071,Smartphone,4G,20605,206-05-1977,63,1.39,2057
D1072,Tablet,5G,310410,310-410-5264,29,0.17,1728
D1073,IoT Device,3G,23415,234-15-7866,72,0.84,346
D1074,Smartphone,5G,24016,240-16-8140,21,0.44,385
D1075,Smartphone,4G,20620,206-20-8749,49,0.44,1234
D1076,IoT Device,3G,23410,234-10-2592,100,3.13,2286
D1077,Tablet,5G,23430,234-30-2140,12,0.05,1170
D1078,Smartphone,4G,20610,206-10-9117,61,1.24,2260
D1079,Tablet,3G,23438,234-38-3463,138,2.8,1356
D1080,Smartphone,3G,310260,310-260-1266,86,2.48,1462
D1081,Tablet,4G,20601,206-01-9004,65,0.33,1372
D1082,Tablet,4G,20610,206-10-8905,63,1.32,2322
D1083,Smartphone,4G,23433,234-33-8138,57,1.45,2157
D1084,Smartphone,4G,24016,240-16-3977,64,1.16,1778
D1085,Smartphone,3G,24004,240-04-4681,95,2.64,716
D1086,Smartphone,5G,310410,310-410-3223,22,0.5,2582
D1087,Smartphone,4G,310480,310-480-3697,53,0.71,2684
D1088,Smartphone,4G,20610,206-10-2667,63,0.73,24
D1089,Smartphone,4G,23438,234-38-3317,45,0.41,357
D1090,Smartphone,3G,23430,234-30-1502,113,0.56,2664
D1091,IoT Device,4G,310410,310-410-5757,65,0.42,1703
D1092,Smartphone,4G,310410,310-410-1510,44,0.11,1301
D1093,IoT Device,5G,20620,206-20-4826,30,0.04,2941
D1094,Smartphone,5G,20610,206-10-7807,12,0.45,968
D1095,Tablet,5G,20620,206-20-4826,20,0.04,1817
D1096,Tablet,5G,20610,206-10-3522,17,0.15,2605
D1097,Smartphone,4G,24008,240-08-4443,61,0.4,2158
D1098,IoT Device,4G,23433,234-33-2734,38,1.11,1865
D1099,IoT Device,5G,310120,310-120-4906,28,0.29,628
D1100,IoT Device,3G,20605,206-05-2330,101,2.85,1039
D1101,IoT Device,4G,23438,234-38-5128,56,0.37,1108
D1102,IoT Device,3G,23415,234-15-7866,82,2.48,2772
D1103,IoT Device,3G,23433,234-33-4871,115,1.77,818
D1104,Smartphone,3G,24001,240-01-2824,129,3.09,1643
D1105,IoT Device,5G,24001,240-01-3547,11,0.34,1153
D1106,Smartphone,3G,23438,234-38-3527,82,0.68,2366
D1107,Smartphone,5G,24016,240-16-7275,20,0.4,1710
D1108,Tablet,3G,23410,234-10-5497,83,1.25,365
D1109,Tablet,5G,20620,206-20-5216,16,0.27,14
D1110,IoT Device,5G,23433,234-33-8199,14,0.22,1427
D1111,Smartphone,4G,20605,206-05-8253,47,0.75,1208
D1112,Tablet,4G,23430,234-30-1502,34,0.72,2463
D1113,Tablet,5G,23420,234-20-4485,27,0.06,1992
D1114,IoT Device,4G,20605,206-05-1534,64,1.27,311
D1115,Tablet,4G,23433,234-33-2479,35,1.4,2318
D1116,Smartphone,4G,310410,310-410-8273,45,0.33,848
D1117,Smartphone,4G,310260,310-260-9897,61,0.77,2069
D1118,Smartphone,3G,20605,206-05-1986,121,3.21,1133
D1119,Smartphone,4G,23438,234-38-7108,40,0.63,1080
D1120,Tablet,5G,20601,206-01-8933,22,0.14,1932
D1121,Smartphone,5G,20610,206-10-5479,24,0.15,1447
D1122,Tablet,4G,23433,234-33-6456,65,1.03,666
D1123,Tablet,5G,310260,310-260-8272,25,0.09,1658
D1124,Smartphone,5G,20601,206-01-4937,19,0.12,2257
D1125,IoT Device,3G,24005,240-05-4346,77,2.24,925
D1126,Smartphone,5G,20610,206-10-5722,27,0.04,1786
D1127,Tablet,4G,310260,310-260-6170,50,0.18,1196
D1128,Tablet,4G,310120,310-120-5469,67,0.77,1160
D1129,Smartphone,3G,310480,310-480-8632,137,0.97,1719
D1130,Smartphone,5G,24024,240-24-7211,26,0.05,498
D1131,IoT Device,3G,310480,310-480-5061,93,0.71,1073
D1132,Smartphone,4G,23410,234-10-5210,34,1.05,2958
D1133,IoT Device,3G,23438,234-38-6962,100,1.71,1962
D1134,Smartphone,4G,20610,206-10-2143,66,0.44,1104
D1135,Tablet,3G,23415,234-15-3076,146,0.62,1177
D1136,Tablet,5G,23420,234-20-3972,12,0.22,2974
D1137,Tablet,5G,24002,240-02-5342,28,0.29,1860
D1138,Smartphone,5G,24005,240-05-8973,20,0.47,1632
D1139,Smartphone,5G,310260,310-260-2106,16,0.34,2888
D1140,Tablet,5G,24007,240-07-9379,20,0.13,1051
D1141,IoT Device,5G,310260,310-260-8055,22,0.07,2111
D1142,Smartphone,3G,310120,310-120-5583,108,1.87,40
D1143,Smartphone,4G,310120,310-120-9991,34,0.11,2446
D1144,Smartphone,3G,310120,310-120-5469,149,3.5,662
D1145,IoT Device,5G,24001,240-01-6925,13,0.05,2798
D1146,Smartphone,5G,310410,310-410-1570,16,0.26,2588
D1147,IoT Device,5G,24004,240-04-5562,14,0.47,1432
D1148,Tablet,5G,24024,240-24-5558,12,0.44,1298
D1149,IoT Device,5G,310260,310-260-4950,21,0.15,1651
D1150,IoT Device,5G,20605,206-05-5102,24,0.42,1845
D1151,Smartphone,4G,23420,234-20-6553,49,0.96,2184
D1152,Smartphone,3G,23433,234-33-4986,137,0.52,2148
D1153,Smartphone,4G,24001,240-01-8428,65,0.52,356
D1154,Tablet,4G,23438,234-38-6072,36,1.41,1213
D1155,IoT Device,4G,310120,310-120-6221,38,0.47,1457
D1156,IoT Device,4G,23415,234-15-1536,36,1.14,2485
D1157,Tablet,3G,23410,234-10-5847,89,1.32,2894
D1158,Smartphone,4G,23438,234-38-6962,68,0.39,756
D1159,Smartphone,3G,23410,234-10-1359,113,1.11,1766
D1160,Smartphone,4G,310410,310-410-1570,70,1.29,2349
D1161,Tablet,4G,20620,206-20-8486,62,0.78,2074
D1162,Smartphone,5G,24024,240-24-9031,11,0.06,929
D1163,Smartphone,4G,20620,206-20-9955,57,1.26,1924
D1164,Smartphone,3G,310480,310-480-8632,75,0.51,1150
D1165,Tablet,3G,310410,310-410-9047,86,2.41,118
D1166,Tablet,3G,23430,234-30-3549,103,0.98,881
D1167,Smartphone,5G,20620,206-20-1474,24,0.28,1206
D1168,Smartphone,5G,20605,206-05-5871,23,0.28,1320
D1169,Tablet,3G,23433,234-33-8155,84,0.73,1232
D1170,IoT Device,5G,20601,206-01-8753,14,0.28,862
D1171,IoT Device,3G,310480,310-480-8632,117,2.25,1705
D1172,Smartphone,3G,23438,234-38-7347,88,1.79,1408
D1173,Smartphone,4G,20610,206-10-9117,32,0.53,2020
D1174,IoT Device,3G,23410,234-10-5837,75,3.2,1409
D1175,Smartphone,3G,310120,310-120-5469,96,2.55,855
D1176,Smartphone,4G,23415,234-15-4475,36,0.6,293
D1177,Smartphone,5G,20601,206-01-3293,27,0.44,31
D1178,Smartphone,5G,20620,206-20-3785,23,0.49,1757
D1179,Tablet,3G,23410,234-10-3153,89,3.28,2909
D1180,IoT Device,4G,20620,206-20-7730,45,1.31,2856
D1181,Smartphone,4G,23433,234-33-9307,41,1.33,2569
D1182,Tablet,4G,23410,234-10-5837,31,0.35,1274
D1183,IoT Device,5G,310410,310-410-3621,20,0.39,1953
D1184,Smartphone,5G,24016,240-16-9270,23,0.4,2734
D1185,Smartphone,4G,20610,206-10-9117,45,0.47,1814
D1186,Tablet,4G,23415,234-15-3129,36,0.64,2139
D1187,Smartphone,5G,20601,206-01-1841,11,0.43,2736
D1188,Smartphone,5G,20620,206-20-1919,17,0.11,2963
D1189,Tablet,4G,23410,234-10-1359,59,0.59,1536
D1190,Smartphone,5G,20610,206-10-9117,17,0.12,551
D1191,IoT Device,3G,310480,310-480-6644,94,1.7,2256
D1192,Smartphone,4G,23410,234-10-5295,47,1.31,1747
D1193,Tablet,4G,20605,206-05-4457,47,0.59,236
D1194,Tablet,4G,310120,310-120-5469,62,0.66,1888
D1195,IoT Device,4G,310260,310-260-9945,64,0.56,1973
D1196,Smartphone,5G,20620,206-20-8555,10,0.07,2802
D1197,Smartphone,3G,310260,310-260-7029,103,1.04,603
D1198,IoT Device,4G,20620,206-20-4826,46,0.15,2018
D1199,Tablet,3G,23420,234-20-7566,146,1.8,2059
D1200,Tablet,4G,23438,234-38-6962,50,0.71,1494
D1201,Tablet,4G,24007,240-07-1685,62,0.26,2333
D1202,Smartphone,3G,23415,234-15-9017,143,1.07,741
D1203,Tablet,3G,310410,310-410-1530,75,2.63,903
D1204,IoT Device,5G,20605,206-05-2169,10,0.26,1220
D1205,IoT Device,5G,310410,310-410-8179,27,0.35,2190
D1206,IoT Device,3G,23415,234-15-8504,95,1.59,2948
D1207,Smartphone,4G,310260,310-260-5498,34,1.43,876
D1208,Tablet,5G,20610,206-10-1042,20,0.32,1187
D1209,Tablet,3G,23420,234-20-7929,85,2.66,308
D1210,Tablet,3G,23415,234-15-4817,108,2.02,2017
D1211,IoT Device,5G,24004,240-04-8177,23,0.17,125
D1212,IoT Device,4G,310260,310-260-2106,48,0.88,2443
D1213,Smartphone,5G,20601,206-01-4937,16,0.22,590
D1214,Smartphone,4G,24007,240-07-1590,54,1.05,1580
D1215,Tablet,4G,310410,310-410-4878,41,0.96,1670
D1216,Tablet,5G,20610,206-10-1018,19,0.21,458
D1217,Smartphone,4G,310410,310-410-8179,30,0.53,1914
D1218,Smartphone,3G,20601,206-01-9041,96,1.79,2379
D1219,Tablet,5G,20610,206-10-9117,28,0.31,1464
D1220,Smartphone,5G,20605,206-05-8025,20,0.24,661
D1221,Smartphone,5G,20601,206-01-6912,24,0.34,2240
D1222,Smartphone,4G,310120,310-120-8361,62,0.76,1020
D1223,IoT Device,3G,20601,206-01-5952,91,2.48,1768
D1224,Smartphone,4G,20605,206-05-3973,48,0.82,258
D1225,IoT Device,4G,310260,310-260-6850,70,0.97,1783
D1226,IoT Device,4G,20610,206-10-7284,35,1.25,1428
D1227,Smartphone,4G,310260,310-260-9151,45,1.04,2367
D1228,Tablet,4G,24024,240-24-6225,44,1.23,23
D1229,Smartphone,3G,20610,206-10-9998,88,0.57,755
D1230,Smartphone,4G,20610,206-10-9889,45,1.48,815
D1231,Tablet,3G,23438,234-38-2388,148,3.05,1312
D1232,Smartphone,5G,20605,206-05-8253,12,0.23,203
D1233,Smartphone,5G,20610,206-10-5722,30,0.29,1868
D1234,Smartphone,5G,20620,206-20-1474,22,0.25,1683
D1235,IoT Device,4G,310410,310-410-7730,45,0.31,571
D1236,Smartphone,5G,310120,310-120-6727,10,0.45,1969
D1237,Tablet,4G,23438,234-38-8170,36,1.19,1221
D1238,IoT Device,5G,20601,206-01-8342,17,0.1,2045
D1239,Smartphone,5G,310410,310-410-3621,26,0.24,126
D1240,Smartphone,5G,20601,206-01-6912,27,0.13,2685
D1241,Smartphone,5G,20605,206-05-8679,13,0.23,1652
D1242,Smartphone,4G,23415,234-15-7523,59,1.03,1655
D1243,Tablet,3G,23415,234-15-4538,141,2.29,2395
D1244,Smartphone,4G,310260,310-260-6554,58,0.96,2882
D1245,IoT Device,3G,20620,206-20-4826,134,1.78,1618
D1246,Smartphone,5G,24007,240-07-7939,27,0.23,997
D1247,Tablet,4G,20620,206-20-7730,40,1.14,2043
D1248,Tablet,4G,310120,310-120-3273,60,0.73,1225
D1249,Smartphone,5G,24024,240-24-8532,17,0.42,1545
D1250,Tablet,4G,20605,206-05-2166,47,1.17,1555
D1251,Smartphone,4G,23438,234-38-9749,63,0.78,646
D1252,IoT Device,5G,20620,206-20-3950,17,0.14,1194
D1253,Smartphone,5G,24004,240-04-2049,12,0.36,2501
D1254,Smartphone,4G,310410,310-410-3513,45,0.48,2791
D1255,IoT Device,3G,23420,234-20-7779,110,3.18,1985
D1256,Smartphone,4G,310120,310-120-4068,35,0.29,2565
D1257,IoT Device,4G,20601,206-01-4937,44,0.64,1874
D1258,Smartphone,4G,23433,234-33-1616,39,1.09,1917
D1259,Smartphone,4G,20605,206-05-7594,34,0.68,1399
D1260,Smartphone,4G,20605,206-05-9430,51,0.86,75
D1261,IoT Device,5G,310120,310-120-8361,23,0.04,408
D1262,Smartphone,4G,310120,310-120-9647,56,0.65,1114
D1263,Smartphone,5G,20601,206-01-6912,28,0.47,2966
D1264,Smartphone,4G,24004,240-04-7537,31,1.3,2161
D1265,IoT Device,5G,23433,234-33-6752,28,0.2,734
D1266,Smartphone,4G,20620,206-20-8555,30,1.42,2849
D1267,Tablet,3G,310410,310-410-3828,108,2.76,2179
D1268,Tablet,4G,20610,206-10-9889,56,0.85,2216
D1269,Smartphone,5G,24001,240-01-3045,27,0.4,2631
D1270,Smartphone,4G,310410,310-410-8372,44,0.78,713
D1271,Smartphone,3G,23420,234-20-2768,104,1.81,1662
D1272,Smartphone,4G,23410,234-10-9138,31,0.64,2027
D1273,Smartphone,5G,310260,310-260-2293,22,0.36,1660
D1274,IoT Device,4G,20610,206-10-9327,59,1.39,2288
D1275,Smartphone,3G,24007,240-07-6425,149,2.1,2189
D1276,Smartphone,4G,20601,206-01-9004,55,0.93,2758
D1277,Smartphone,4G,20610,206-10-1601,31,0.22,1071
D1278,Tablet,4G,310260,310-260-6776,57,0.29,2282
D1279,IoT Device,4G,310120,310-120-1627,59,0.35,355
D1280,Tablet,3G,23415,234-15-9408,103,1.64,471
D1281,Smartphone,3G,310410,310-410-5566,97,1.86,2903
D1282,Tablet,4G,23433,234-33-8155,51,1.17,994
D1283,Smartphone,5G,310480,310-480-6228,22,0.15,437
D1284,Smartphone,3G,310120,310-120-8361,123,1.26,2947
D1285,Smartphone,3G,23433,234-33-8601,80,1.91,1913
D1286,IoT Device,5G,310260,310-260-9937,27,0.04,342
D1287,IoT Device,4G,23410,234-10-5847,52,0.41,1197
D1288,IoT Device,4G,310480,310-480-6531,34,1.19,196
D1289,Smartphone,5G,24016,240-16-9270,30,0.03,1151
D1290,Smartphone,5G,24016,240-16-8479,10,0.48,59
D1291,Smartphone,3G,23430,234-30-6655,95,3.02,2386
D1292,IoT Device,4G,310410,310-410-7012,69,0.31,1641
D1293,Smartphone,4G,24024,240-24-4673,38,0.76,133
D1294,IoT Device,4G,310480,310-480-8632,37,0.89,1256
D1295,Smartphone,5G,24001,240-01-2824,16,0.24,2795
D1296,Tablet,3G,23420,234-20-8900,102,2.8,1912
D1297,Tablet,5G,24024,240-24-9548,15,0.31,2680
D1298,Tablet,5G,20620,206-20-1251,13,0.39,100
D1299,Smartphone,5G,24024,240-24-5133,15,0.48,2115
D1300,Tablet,4G,23430,234-30-2140,36,0.91,2503
D1301,Smartphone,4G,310120,310-120-8167,49,0.91,1087
D1302,IoT Device,5G,310260,310-260-1266,22,0.2,678
D1303,Smartphone,5G,310260,310-260-6850,16,0.05,462
D1304,Smartphone,3G,24002,240-02-7543,150,1.23,779
D1305,Tablet,3G,24016,240-16-4613,108,3.05,886
D1306,Smartphone,5G,24024,240-24-2245,29,0.4,2642
D1307,IoT Device,4G,310260,310-260-6850,66,1.2,1889
D1308,IoT Device,3G,23415,234-15-4629,114,2.1,2041
D1309,Smartphone,5G,23410,234-10-7242,21,0.04,2398
D1310,Smartphone,5G,310120,310-120-2337,30,0.18,1884
D1311,Smartphone,5G,20605,206-05-3634,23,0.41,340
D1312,Tablet,4G,310260,310-260-3986,36,0.71,493
D1313,Smartphone,5G,24008,240-08-9375,21,0.32,1451
D1314,Smartphone,4G,20620,206-20-3258,59,1.09,25
D1315,Smartphone,4G,23433,234-33-8245,57,0.35,1164
D1316,IoT Device,4G,310480,310-480-3526,63,1.45,933
D1317,IoT Device,5G,310120,310-120-7934,18,0.31,1513
D1318,IoT Device,5G,20605,206-05-1977,27,0.39,1324
D1319,Smartphone,4G,23415,234-15-2801,59,0.71,2405
D1320,IoT Device,4G,23420,234-20-5176,67,0.48,1806
D1321,IoT Device,4G,23438,234-38-7108,45,1.26,237
D1322,Smartphone,4G,310120,310-120-4678,35,0.49,366
D1323,Smartphone,4G,310480,310-480-6644,58,0.44,300
D1324,Smartphone,4G,23420,234-20-8048,59,0.9,672
D1325,Tablet,5G,20620,206-20-9702,22,0.17,988
D1326,Smartphone,4G,20605,206-05-9276,61,1.29,67
D1327,Tablet,5G,24001,240-01-2674,15,0.25,1620
D1328,Smartphone,5G,24005,240-05-5616,21,0.4,2883
D1329,Smartphone,4G,310480,310-480-3507,51,0.49,286
D1330,Smartphone,4G,23430,234-30-3324,68,1.08,2155
D1331,Smartphone,4G,23438,234-38-7333,47,0.88,2224
D1332,Smartphone,3G,310120,310-120-1461,136,3.34,2515
D1333,Smartphone,5G,24005,240-05-7930,12,0.13,996
D1334,Tablet,5G,23420,234-20-7779,23,0.25,1163
D1335,Smartphone,5G,24001,240-01-7227,17,0.35,246
D1336,Smartphone,5G,20610,206-10-2442,30,0.36,2749
D1337,Smartphone,3G,20620,206-20-8269,127,2.88,235
D1338,Smartphone,3G,24024,240-24-7906,81,1.38,2994
D1339,Tablet,3G,23438,234-38-6962,121,2.58,2005
D1340,Tablet,3G,23410,234-10-2902,109,2.49,2820
D1341,IoT Device,4G,310480,310-480-8632,53,0.76,2055
D1342,IoT Device,3G,310480,310-480-8632,137,1.53,1790
D1343,Smartphone,4G,310410,310-410-3621,65,0.56,1309
D1344,Smartphone,3G,23433,234-33-8172,128,1.31,2930
D1345,Smartphone,5G,24002,240-02-1949,18,0.12,1276
D1346,Smartphone,5G,310410,310-410-3785,16,0.16,53
D1347,Tablet,5G,24001,240-01-2139,27,0.48,1923
D1348,Tablet,4G,310480,310-480-8632,41,0.37,2436
D1349,Smartphone,5G,24005,240-05-9504,25,0.15,60
D1350,Smartphone,5G,310260,310-260-2293,28,0.49,2991
D1351,Smartphone,5G,20620,206-20-8213,26,0.3,658
D1352,Smartphone,5G,20620,206-20-4826,13,0.42,1711
D1353,Tablet,4G,24002,240-02-4456,48,0.42,704
D1354,IoT Device,5G,310480,310-480-6669,15,0.16,2159
D1355,Smartphone,4G,20605,206-05-8381,64,0.28,885
D1356,Smartphone,5G,20610,206-10-7357,11,0.49,69
D1357,Smartphone,4G,310480,310-480-8632,65,0.51,1431
D1358,Smartphone,5G,24001,240-01-5012,14,0.32,800
D1359,Smartphone,3G,310120,310-120-8361,132,0.81,2753
D1360,Smartphone,4G,310410,310-410-3621,30,0.9,2658
D1361,Smartphone,5G,20605,206-05-8253,25,0.24,1325
D1362,Smartphone,5G,20601,206-01-9595,20,0.1,2324
D1363,IoT Device,4G,23433,234-33-6562,33,0.45,1185
D1364,Smartphone,4G,24007,240-07-7939,60,0.26,664
D1365,Smartphone,3G,23420,234-20-9984,78,1.7,727
D1366,IoT Device,5G,20620,206-20-7730,12,0.29,2360
D1367,IoT Device,4G,310410,310-410-7708,33,0.31,2585
D1368,Smartphone,5G,24024,240-24-7211,28,0.48,2192
D1369,Tablet,5G,24024,240-24-9817,12,0.5,2272
D1370,Smartphone,5G,24008,240-08-8238,13,0.28,2932
D1371,Smartphone,3G,23438,234-38-5634,123,2.32,870
D1372,Tablet,5G,20610,206-10-5157,29,0.12,79
D1373,Smartphone,3G,20605,206-05-3634,136,1.64,1958
D1374,IoT Device,5G,20620,206-20-4826,24,0.16,1592
D1375,Smartphone,4G,310120,310-120-8361,67,1.49,2814
D1376,IoT Device,3G,310410,310-410-3621,109,2.21,887
D1377,Smartphone,5G,24008,240-08-4997,11,0.31,1386
D1378,Tablet,3G,20620,206-20-1715,82,3.34,1137
D1379,Smartphone,5G,24008,240-08-4680,16,0.32,1613
D1380,IoT Device,5G,24004,240-04-6107,18,0.33,2984
D1381,Tablet,5G,20605,206-05-8141,15,0.13,538
D1382,Smartphone,4G,23438,234-38-6962,65,0.21,1726
D1383,Smartphone,5G,20601,206-01-9004,10,0.21,2118
D1384,Smartphone,3G,23420,234-20-6432,146,1.91,72
D1385,IoT Device,4G,23420,234-20-8075,32,0.42,170
D1386,IoT Device,5G,24016,240-16-8305,19,0.35,973
D1387,Tablet,3G,20620,206-20-4826,128,0.71,2151
D1388,Tablet,4G,20610,206-10-9431,44,1.39,2400
D1389,Smartphone,5G,24001,240-01-5554,30,0.3,2922
D1390,IoT Device,3G,23415,234-15-4559,95,1.78,2130
D1391,IoT Device,3G,23420,234-20-2768,139,1.17,239
D1392,Smartphone,5G,24007,240-07-7939,14,0.46,1497
D1393,IoT Device,4G,310480,310-480-3102,39,0.2,513
D1394,Smartphone,3G,24024,240-24-8102,91,2.88,2527
D1395,Smartphone,5G,20620,206-20-9229,29,0.38,1625
D1396,Tablet,5G,23438,234-38-6962,28,0.46,2634
D1397,Tablet,4G,20610,206-10-7622,58,0.27,1984
D1398,Tablet,5G,20605,206-05-2496,19,0.35,2645
D1399,Smartphone,5G,24005,240-05-5861,18,0.26,129
D1400,Tablet,4G,20620,206-20-5906,61,0.71,2233
D1401,Smartphone,5G,24024,240-24-6280,29,0.03,525
D1402,Tablet,5G,24007,240-07-1722,23,0.37,409
D1403,Smartphone,4G,23438,234-38-9749,68,0.45,1061
D1404,Tablet,3G,23438,234-38-5634,81,1.19,2296
D1405,Tablet,5G,24016,240-16-8564,28,0.3,2562
D1406,IoT Device,4G,24002,240-02-4456,31,1.5,2489
D1407,Tablet,4G,23438,234-38-1715,47,0.91,654
D1408,Tablet,3G,23430,234-30-2140,92,1.91,663
D1409,Smartphone,5G,20601,206-01-8800,30,0.23,2078
D1410,Smartphone,3G,24016,240-16-6502,105,1.04,245
D1411,Smartphone,5G,20620,206-20-3529,28,0.22,930
D1412,Smartphone,3G,310480,310-480-8632,132,3.41,2194
D1413,Tablet,4G,20605,206-05-8438,60,0.59,500
D1414,Smartphone,5G,20620,206-20-6873,20,0.17,204
D1415,IoT Device,4G,310480,310-480-8632,36,1.3,1034
D1416,IoT Device,3G,310120,310-120-2816,112,1.73,2587
D1417,IoT Device,5G,20620,206-20-1588,25,0.15,1195
D1418,IoT Device,3G,23415,234-15-4868,121,2.94,1397
D1419,Tablet,4G,20620,206-20-2293,65,0.15,2253
D1420,Smartphone,5G,20601,206-01-2070,12,0.16,209
D1421,Smartphone,5G,310480,310-480-9476,20,0.07,609
D1422,IoT Device,4G,310410,310-410-3598,55,1.31,92
D1423,Tablet,4G,24024,240-24-7211,30,1.02,964
D1424,Smartphone,5G,20601,206-01-9041,27,0.24,1216
D1425,Smartphone,4G,24004,240-04-9479,33,0.36,361
D1426,IoT Device,5G,310260,310-260-6952,21,0.32,2940
D1427,Smartphone,5G,24024,240-24-1420,25,0.32,2294
D1428,Tablet,3G,23410,234-10-1788,76,1.11,44
D1429,Tablet,5G,24008,240-08-9486,27,0.07,211
D1430,Smartphone,4G,20605,206-05-5335,48,0.71,961
D1431,IoT Device,5G,24007,240-07-7939,25,0.07,1636
D1432,IoT Device,4G,310480,310-480-3007,70,0.95,683
D1433,Smartphone,3G,23415,234-15-8344,100,2.63,1700
D1434,IoT Device,3G,310480,310-480-5745,109,2.15,197
D1435,Smartphone,4G,310410,310-410-7272,65,0.67,1203
D1436,Smartphone,4G,23433,234-33-8565,44,1.49,2334
D1437,Smartphone,3G,20601,206-01-4777,84,1.88,2666
D1438,IoT Device,4G,24005,240-05-8973,37,1.01,1393
D1439,IoT Device,3G,23433,234-33-9214,89,2.0,2561
D1440,Tablet,4G,24007,240-07-3647,48,0.81,1822
