Timestamp,MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
260314,234,33,23433,234-33,234-33-1530-87,3G,Tablet
260225,240,4,24004,240-04,240-04-8292-21,5G,IoT Device
260303,310,480,310480,310-480,310-480-2208-26,5G,Tablet
260227,240,4,24004,240-04,240-04-3804-94,5G,IoT Device
260303,234,20,23420,234-20,234-20-6231-54,5G,Smartphone
260304,310,120,310120,310-120,310-120-7442-74,4G,Smartphone
260302,310,120,310120,310-120,310-120-3108-22,4G,IoT Device
260307,310,480,310480,310-480,310-480-1272-57,4G,Smartphone
260317,310,120,310120,310-120,310-120-3262-76,4G,Smartphone
260226,234,33,23433,234-33,234-33-9899-58,5G,Smartphone
260304,310,260,310260,310-260,310-260-1084-80,5G,Smartphone
260301,206,10,20610,206-10,206-10-4159-24,4G,Tablet
260304,240,8,24008,240-08,240-08-4871-17,5G,Smartphone
260321,240,5,24005,240-05,240-05-9792-29,4G,Tablet
260226,240,24,24024,240-24,240-24-1519-46,5G,Tablet
260326,234,38,23438,234-38,234-38-2848-14,4G,Tablet
260302,206,10,20610,206-10,206-10-5508-17,5G,Smartphone
260323,206,5,20605,206-05,206-05-6411-92,3G,Smartphone
260308,234,30,23430,234-30,234-30-8639-78,4G,Smartphone
260324,234,30,23430,234-30,234-30-9037-68,3G,IoT Device
260309,310,120,310120,310-120,310-120-9673-45,4G,Smartphone
260301,240,4,24004,240-04,240-04-2354-73,5G,Smartphone
260314,234,38,23438,234-38,234-38-3292-98,4G,Tablet
260226,240,7,24007,240-07,240-07-3526-58,5G,Smartphone
260226,240,16,24016,240-16,240-16-7353-20,5G,Smartphone
260227,234,30,23430,234-30,234-30-6443-89,3G,IoT Device
260309,240,5,24005,240-05,240-05-8183-47,5G,Smartphone
260314,310,480,310480,310-480,310-480-2735-11,3G,Smartphone
260309,240,24,24024,240-24,240-24-6225-18,4G,Tablet
260325,206,1,20601,206-01,206-01-2667-78,4G,Smartphone
260304,206,20,20620,206-20,206-20-3258-83,4G,Smartphone
260310,206,1,20601,206-01,206-01-5503-38,5G,Smartphone
260225,234,15,23415,234-15,234-15-3281-36,4G,IoT Device
260227,310,480,310480,310-480,310-480-2237-91,5G,IoT Device
260301,240,2,24002,240-02,240-02-8529-12,4G,Tablet
260323,310,120,310120,310-120,310-120-6629-25,5G,Smartphone
260310,240,4,24004,240-04,240-04-3017-85,5G,Smartphone
260315,240,8,24008,240-08,240-08-6185-26,4G,Tablet
260317,206,10,20610,206-10,206-10-7401-85,5G,Tablet
260325,240,8,24008,240-08,240-08-8034-44,5G,Smartphone
260323,310,410,310410,310-410,310-410-5067-63,5G,Smartphone
260305,206,5,20605,206-05,206-05-1104-62,3G,Smartphone
260303,240,4,24004,240-04,240-04-4879-47,4G,Smartphone
260312,240,8,24008,240-08,240-08-3430-21,5G,IoT Device
260227,240,24,24024,240-24,240-24-3110-21,5G,Tablet
260226,310,120,310120,310-120,310-120-5583-59,3G,Smartphone
260316,206,10,20610,206-10,206-10-9743-17,5G,IoT Device
260313,310,410,310410,310-410,310-410-4300-26,4G,Smartphone
260228,310,410,310410,310-410,310-410-3086-32,4G,IoT Device
260313,234,38,23438,234-38,234-38-1020-16,3G,Tablet
260309,310,480,310480,310-480,310-480-3703-87,5G,Smartphone
260324,206,1,20601,206-01,206-01-8758-24,4G,Smartphone
260324,310,480,310480,310-480,310-480-4860-70,4G,Smartphone
260317,234,10,23410,234-10,234-10-9561-63,3G,Smartphone
260326,206,20,20620,206-20,206-20-5400-57,3G,Tablet
260323,240,5,24005,240-05,240-05-4288-17,4G,Smartphone
260323,206,5,20605,206-05,206-05-5408-93,4G,Smartphone
260320,234,38,23438,234-38,234-38-2771-71,3G,IoT Device
260305,234,15,23415,234-15,234-15-3967-47,3G,Smartphone
260308,234,10,23410,234-10,234-10-3470-27,5G,Smartphone
260303,206,1,20601,206-01,206-01-6279-77,4G,Tablet
260307,206,5,20605,206-05,206-05-4460-12,5G,Smartphone
260303,206,1,20601,206-01,206-01-9381-89,3G,Smartphone
260306,240,5,24005,240-05,240-05-8483-47,4G,Smartphone
260307,206,5,20605,206-05,206-05-1960-30,3G,IoT Device
260325,240,5,24005,240-05,240-05-8895-54,5G,Smartphone
260302,310,120,310120,310-120,310-120-9148-93,3G,Smartphone
260226,234,38,23438,234-38,234-38-2741-15,5G,Tablet
260318,310,260,310260,310-260,310-260-3103-23,4G,Tablet
260308,234,20,23420,234-20,234-20-8870-84,4G,Tablet
260226,206,5,20605,206-05,206-05-9370-99,4G,Tablet
260308,234,15,23415,234-15,234-15-5178-10,3G,Tablet
260315,234,20,23420,234-20,234-20-5809-37,5G,Tablet
260318,240,4,24004,240-04,240-04-9814-78,3G,Smartphone
260317,240,2,24002,240-02,240-02-1745-99,5G,Smartphone
260313,310,410,310410,310-410,310-410-4441-54,4G,IoT Device
260317,206,20,20620,206-20,206-20-8383-52,5G,Smartphone
260309,206,10,20610,206-10,206-10-2252-19,5G,Tablet
260305,206,20,20620,206-20,206-20-3608-32,5G,Smartphone
260311,310,120,310120,310-120,310-120-9465-42,4G,IoT Device
260312,310,260,310260,310-260,310-260-7732-12,4G,Smartphone
260316,234,38,23438,234-38,234-38-6614-68,4G,Smartphone
260227,240,5,24005,240-05,240-05-8899-58,4G,Tablet
260317,234,33,23433,234-33,234-33-7939-82,3G,Smartphone
260301,240,16,24016,240-16,240-16-1086-21,5G,Smartphone
260315,206,10,20610,206-10,206-10-4919-93,3G,Smartphone
260309,240,8,24008,240-08,240-08-2917-75,5G,Tablet
260318,234,33,23433,234-33,234-33-3924-70,3G,Smartphone
260304,234,15,23415,234-15,234-15-9374-45,3G,IoT Device
260323,234,33,23433,234-33,234-33-6621-56,3G,Tablet
260320,310,410,310410,310-410,310-410-1781-60,3G,Smartphone
260226,240,7,24007,240-07,240-07-8598-90,5G,Tablet
260310,240,4,24004,240-04,240-04-7505-23,3G,IoT Device
260325,310,260,310260,310-260,310-260-8480-90,4G,IoT Device
260321,234,10,23410,234-10,234-10-9981-57,3G,IoT Device
260319,310,410,310410,310-410,310-410-1317-29,3G,Tablet
260319,206,20,20620,206-20,206-20-1206-25,5G,Tablet
260320,240,7,24007,240-07,240-07-2960-60,5G,Smartphone
260305,234,20,23420,234-20,234-20-1646-72,4G,Tablet
260304,206,1,20601,206-01,206-01-9830-59,4G,Tablet
260301,206,1,20601,206-01,206-01-4419-93,4G,IoT Device
260318,310,410,310410,310-410,310-410-8515-99,4G,IoT Device
260307,240,7,24007,240-07,240-07-1267-76,4G,Tablet
260303,206,10,20610,206-10,206-10-8905-32,4G,IoT Device
260322,206,20,20620,206-20,206-20-8300-86,5G,Smartphone
260311,206,1,20601,206-01,206-01-5362-65,4G,IoT Device
260319,234,20,23420,234-20,234-20-2823-49,3G,Smartphone
260313,234,10,23410,234-10,234-10-5792-93,3G,IoT Device
260311,240,16,24016,240-16,240-16-1482-81,5G,Smartphone
260225,206,1,20601,206-01,206-01-9732-25,4G,Tablet
260318,310,260,310260,310-260,310-260-7348-72,4G,Smartphone
260326,240,24,24024,240-24,240-24-1694-41,5G,Smartphone
260314,234,10,23410,234-10,234-10-3930-68,4G,Tablet
260316,310,410,310410,310-410,310-410-8311-46,4G,Smartphone
260302,240,4,24004,240-04,240-04-1902-93,4G,Smartphone
260303,240,24,24024,240-24,240-24-3204-25,5G,Smartphone
260305,310,260,310260,310-260,310-260-5759-34,3G,Smartphone
260304,234,38,23438,234-38,234-38-8849-70,4G,Tablet
260319,206,10,20610,206-10,206-10-6152-14,4G,Smartphone
260303,206,1,20601,206-01,206-01-8526-59,5G,Smartphone
260319,240,8,24008,240-08,240-08-6218-44,4G,Tablet
260322,240,4,24004,240-04,240-04-2522-99,5G,Smartphone
260228,240,2,24002,240-02,240-02-5949-78,5G,Smartphone
260311,234,10,23410,234-10,234-10-2781-97,4G,IoT Device
260302,310,410,310410,310-410,310-410-2022-57,5G,IoT Device
260320,206,1,20601,206-01,206-01-1257-28,5G,Smartphone
260228,234,10,23410,234-10,234-10-8917-57,3G,Tablet
260314,234,15,23415,234-15,234-15-1578-98,5G,Tablet
260308,206,10,20610,206-10,206-10-3873-43,5G,Smartphone
260314,310,480,310480,310-480,310-480-5302-28,4G,Smartphone
260228,240,16,24016,240-16,240-16-2600-77,4G,Smartphone
260320,234,10,23410,234-10,234-10-5543-17,3G,Smartphone
260307,310,120,310120,310-120,310-120-1619-95,4G,Smartphone
260227,206,1,20601,206-01,206-01-7294-94,4G,Tablet
260322,310,260,310260,310-260,310-260-2180-14,4G,Smartphone
260310,234,10,23410,234-10,234-10-3841-52,3G,Smartphone
260318,310,260,310260,310-260,310-260-3859-88,4G,Tablet
260315,240,8,24008,240-08,240-08-5670-36,5G,Smartphone
260311,206,20,20620,206-20,206-20-8936-16,5G,Smartphone
260306,206,1,20601,206-01,206-01-7745-76,4G,IoT Device
260305,240,16,24016,240-16,240-16-4571-26,4G,Smartphone
260314,234,33,23433,234-33,234-33-6963-16,3G,Smartphone
260225,240,7,24007,240-07,240-07-8405-89,4G,Smartphone
260311,234,10,23410,234-10,234-10-1361-39,4G,Tablet
260307,234,15,23415,234-15,234-15-3514-30,3G,Smartphone
260313,234,30,23430,234-30,234-30-5748-83,4G,IoT Device
260227,240,5,24005,240-05,240-05-9035-50,5G,Smartphone
260313,234,33,23433,234-33,234-33-6495-18,5G,Tablet
260316,310,410,310410,310-410,310-410-7834-32,4G,IoT Device
260227,234,30,23430,234-30,234-30-6832-16,3G,Tablet
260306,206,1,20601,206-01,206-01-7837-68,5G,Smartphone
260313,310,260,310260,310-260,310-260-2766-14,5G,Tablet
260307,240,5,24005,240-05,240-05-4138-46,4G,Tablet
260304,240,8,24008,240-08,240-08-9088-24,4G,Smartphone
260306,206,1,20601,206-01,206-01-4815-64,5G,Smartphone
260302,234,20,23420,234-20,234-20-2578-19,4G,Tablet
260318,310,260,310260,310-260,310-260-6119-59,4G,Smartphone
260326,310,480,310480,310-480,310-480-6654-55,4G,Smartphone
260303,240,2,24002,240-02,240-02-4373-53,5G,Tablet
260318,310,410,310410,310-410,310-410-2256-93,5G,Tablet
260326,310,260,310260,310-260,310-260-3465-97,5G,IoT Device
260316,234,38,23438,234-38,234-38-3883-92,5G,IoT Device
260323,310,480,310480,310-480,310-480-4571-28,3G,Smartphone
260311,234,33,23433,234-33,234-33-4872-66,3G,IoT Device
260304,234,38,23438,234-38,234-38-1448-16,4G,Smartphone
260321,310,260,310260,310-260,310-260-1339-12,5G,Tablet
260314,310,260,310260,310-260,310-260-8066-36,4G,IoT Device
260301,240,5,24005,240-05,240-05-8715-55,5G,IoT Device
260227,240,24,24024,240-24,240-24-5603-56,5G,Smartphone
260315,310,480,310480,310-480,310-480-2843-28,3G,Smartphone
260320,310,480,310480,310-480,310-480-5412-86,4G,Smartphone
260306,240,24,24024,240-24,240-24-8083-49,5G,Smartphone
260306,310,410,310410,310-410,310-410-8671-65,3G,IoT Device
260325,206,20,20620,206-20,206-20-1741-20,4G,Tablet
260305,234,20,23420,234-20,234-20-2435-26,3G,Smartphone
260302,310,410,310410,310-410,310-410-1129-23,4G,IoT Device
260309,310,120,310120,310-120,310-120-3643-46,4G,Smartphone
260305,234,15,23415,234-15,234-15-1770-12,3G,Smartphone
260318,240,2,24002,240-02,240-02-3736-90,4G,Smartphone
260324,206,5,20605,206-05,206-05-3260-64,4G,Smartphone
260309,234,20,23420,234-20,234-20-9647-88,5G,Tablet
260324,234,20,23420,234-20,234-20-7926-74,3G,Smartphone
260226,206,20,20620,206-20,206-20-2605-28,5G,Tablet
260310,310,120,310120,310-120,310-120-4483-68,4G,IoT Device
260318,206,1,20601,206-01,206-01-3004-80,4G,IoT Device
260310,310,120,310120,310-120,310-120-3713-13,4G,IoT Device
260319,240,1,24001,240-01,240-01-6569-65,4G,Smartphone
260227,234,30,23430,234-30,234-30-2981-16,3G,IoT Device
260327,240,4,24004,240-04,240-04-7116-79,5G,Tablet
260314,240,7,24007,240-07,240-07-8077-36,5G,IoT Device
260311,240,16,24016,240-16,240-16-6864-59,4G,Tablet
260302,310,260,310260,310-260,310-260-3875-18,4G,IoT Device
260326,240,16,24016,240-16,240-16-9723-67,4G,Smartphone
260307,206,20,20620,206-20,206-20-2567-90,4G,Smartphone
260306,310,410,310410,310-410,310-410-1425-68,4G,Tablet
260316,206,10,20610,206-10,206-10-6618-47,4G,Smartphone
260310,240,5,24005,240-05,240-05-1060-91,4G,Smartphone
260228,234,20,23420,234-20,234-20-5029-32,3G,Smartphone
260316,206,5,20605,206-05,206-05-9773-47,5G,Smartphone
260226,240,5,24005,240-05,240-05-4325-67,5G,Smartphone
260315,234,10,23410,234-10,234-10-3942-66,3G,Tablet
260305,234,30,23430,234-30,234-30-1194-70,4G,IoT Device
260310,310,410,310410,310-410,310-410-4694-63,4G,IoT Device
260225,206,5,20605,206-05,206-05-1525-98,5G,Smartphone
260318,310,260,310260,310-260,310-260-6084-85,4G,IoT Device
260313,310,260,310260,310-260,310-260-2565-60,4G,Smartphone
260310,310,120,310120,310-120,310-120-5105-24,4G,Smartphone
260312,240,24,24024,240-24,240-24-1782-91,5G,Smartphone
260309,234,33,23433,234-33,234-33-4105-89,3G,Tablet
260304,206,1,20601,206-01,206-01-6314-90,5G,Tablet
260302,310,260,310260,310-260,310-260-3484-58,4G,Smartphone
260323,206,5,20605,206-05,206-05-4345-26,3G,Smartphone
260307,310,480,310480,310-480,310-480-1324-58,4G,Smartphone
260321,310,480,310480,310-480,310-480-9020-49,4G,Tablet
260322,240,2,24002,240-02,240-02-7297-60,5G,IoT Device
260323,310,480,310480,310-480,310-480-3795-32,4G,IoT Device
260307,310,120,310120,310-120,310-120-1155-17,4G,IoT Device
260310,310,260,310260,310-260,310-260-1420-87,3G,Tablet
260326,240,24,24024,240-24,240-24-2426-48,5G,IoT Device
260304,240,16,24016,240-16,240-16-7252-93,5G,Smartphone
260306,206,20,20620,206-20,206-20-1150-78,5G,Smartphone
260308,310,410,310410,310-410,310-410-3608-12,4G,Smartphone
260311,234,38,23438,234-38,234-38-3418-58,5G,Tablet
260323,310,120,310120,310-120,310-120-2966-24,3G,Smartphone
260228,240,5,24005,240-05,240-05-2922-33,5G,Smartphone
260318,310,480,310480,310-480,310-480-6127-76,5G,IoT Device
260227,310,410,310410,310-410,310-410-7968-98,3G,Smartphone
260307,206,1,20601,206-01,206-01-2604-58,5G,Smartphone
260322,240,4,24004,240-04,240-04-3337-58,5G,Smartphone
260325,310,480,310480,310-480,310-480-9334-27,4G,Tablet
260323,234,20,23420,234-20,234-20-5092-79,5G,IoT Device
260304,310,120,310120,310-120,310-120-2660-65,4G,Smartphone
260327,240,7,24007,240-07,240-07-1659-27,4G,Tablet
260326,310,410,310410,310-410,310-410-5623-72,3G,Smartphone
260310,240,16,24016,240-16,240-16-7673-77,4G,Smartphone
260226,310,410,310410,310-410,310-410-9049-56,4G,Smartphone
260307,234,15,23415,234-15,234-15-9741-29,3G,Smartphone
260313,310,480,310480,310-480,310-480-5448-36,3G,Smartphone
260302,240,8,24008,240-08,240-08-6317-20,5G,Tablet
260315,206,5,20605,206-05,206-05-8109-57,3G,Smartphone
260304,240,16,24016,240-16,240-16-1339-24,5G,Tablet
260304,240,2,24002,240-02,240-02-9923-47,4G,Tablet
260324,206,10,20610,206-10,206-10-3971-96,4G,IoT Device
260227,234,30,23430,234-30,234-30-8885-98,5G,Tablet
260316,240,8,24008,240-08,240-08-6912-27,4G,Smartphone
260310,206,20,20620,206-20,206-20-3295-77,5G,Smartphone
260322,206,1,20601,206-01,206-01-4586-60,4G,Tablet
260314,234,33,23433,234-33,234-33-4305-91,5G,Smartphone
260225,310,120,310120,310-120,310-120-5753-30,3G,Smartphone
260305,234,30,23430,234-30,234-30-2541-68,3G,IoT Device
260324,234,38,23438,234-38,234-38-7769-74,3G,IoT Device
260320,310,120,310120,310-120,310-120-6198-53,5G,Smartphone
260303,234,10,23410,234-10,234-10-5887-67,5G,Tablet
260317,234,15,23415,234-15,234-15-8514-28,3G,Smartphone
260315,240,24,24024,240-24,240-24-7783-62,4G,Tablet
260306,240,1,24001,240-01,240-01-5749-63,4G,Tablet
260319,234,33,23433,234-33,234-33-8045-40,4G,Smartphone
260306,206,1,20601,206-01,206-01-7265-13,5G,Smartphone
260301,234,30,23430,234-30,234-30-2649-72,4G,Tablet
260313,240,5,24005,240-05,240-05-6978-24,5G,Smartphone
260304,310,480,310480,310-480,310-480-5451-50,4G,Tablet
260326,234,20,23420,234-20,234-20-3003-11,3G,Smartphone
260321,240,16,24016,240-16,240-16-2953-25,5G,Smartphone
260301,234,33,23433,234-33,234-33-1771-60,3G,IoT Device
260326,310,260,310260,310-260,310-260-3257-84,4G,Smartphone
260227,310,260,310260,310-260,310-260-8989-23,4G,IoT Device
260313,206,20,20620,206-20,206-20-4064-44,3G,Tablet
260314,310,120,310120,310-120,310-120-1817-92,4G,Smartphone
260228,310,260,310260,310-260,310-260-3789-50,4G,Smartphone
260315,206,1,20601,206-01,206-01-5990-52,4G,Tablet
260324,240,16,24016,240-16,240-16-2768-45,5G,Smartphone
260316,234,20,23420,234-20,234-20-8976-46,3G,Smartphone
260316,206,20,20620,206-20,206-20-6810-41,5G,Tablet
260325,206,10,20610,206-10,206-10-9254-97,5G,Smartphone
260228,240,1,24001,240-01,240-01-5426-93,4G,Smartphone
260308,240,5,24005,240-05,240-05-2697-70,3G,Smartphone
260314,310,410,310410,310-410,310-410-7409-59,4G,Smartphone
260316,240,4,24004,240-04,240-04-6764-93,5G,Smartphone
260325,310,410,310410,310-410,310-410-4793-40,3G,IoT Device
260303,206,20,20620,206-20,206-20-9659-34,3G,Smartphone
260322,240,4,24004,240-04,240-04-9474-48,4G,Smartphone
260313,240,16,24016,240-16,240-16-5274-35,4G,Tablet
260226,310,260,310260,310-260,310-260-1351-17,3G,IoT Device
260325,206,1,20601,206-01,206-01-1244-41,5G,Smartphone
260316,234,38,23438,234-38,234-38-9870-74,3G,Smartphone
260226,234,30,23430,234-30,234-30-1308-58,3G,Smartphone
260320,234,30,23430,234-30,234-30-8656-40,3G,Smartphone
260314,234,38,23438,234-38,234-38-4569-62,3G,IoT Device
260306,240,7,24007,240-07,240-07-1264-96,5G,Tablet
260305,310,120,310120,310-120,310-120-3626-57,3G,IoT Device
260313,310,410,310410,310-410,310-410-4195-83,4G,Smartphone
260316,234,20,23420,234-20,234-20-6142-25,3G,Tablet
260307,206,1,20601,206-01,206-01-6518-53,5G,Tablet
260225,234,20,23420,234-20,234-20-1791-82,4G,Tablet
260319,240,7,24007,240-07,240-07-3310-22,4G,Tablet
260311,240,2,24002,240-02,240-02-4644-19,4G,Smartphone
260310,206,20,20620,206-20,206-20-2102-72,5G,Smartphone
260318,206,1,20601,206-01,206-01-3886-69,5G,Tablet
260310,234,20,23420,234-20,234-20-8334-62,3G,IoT Device
260327,234,15,23415,234-15,234-15-5074-11,3G,Smartphone
260317,310,410,310410,310-410,310-410-6303-64,4G,Smartphone
260227,310,480,310480,310-480,310-480-7059-71,4G,Tablet
260227,240,5,24005,240-05,240-05-9007-79,5G,IoT Device
260308,310,410,310410,310-410,310-410-2926-65,5G,IoT Device
260310,240,7,24007,240-07,240-07-4074-35,5G,Smartphone
260320,206,5,20605,206-05,206-05-5307-82,3G,Tablet
260309,234,33,23433,234-33,234-33-2921-40,4G,Smartphone
260307,206,10,20610,206-10,206-10-3932-11,4G,Smartphone
260318,240,8,24008,240-08,240-08-1472-88,5G,Smartphone
260317,234,15,23415,234-15,234-15-8264-15,3G,Smartphone
260317,240,7,24007,240-07,240-07-4130-26,4G,Smartphone
260322,206,10,20610,206-10,206-10-5729-36,4G,IoT Device
260319,234,38,23438,234-38,234-38-2641-33,5G,Smartphone
260313,240,4,24004,240-04,240-04-5924-86,5G,IoT Device
260317,234,30,23430,234-30,234-30-3610-54,3G,Tablet
260323,240,2,24002,240-02,240-02-4769-27,5G,Smartphone
260315,310,120,310120,310-120,310-120-8964-93,5G,Smartphone
260301,240,7,24007,240-07,240-07-1652-25,5G,Smartphone
260307,206,20,20620,206-20,206-20-8063-45,4G,Smartphone
260319,206,10,20610,206-10,206-10-8748-37,5G,Smartphone
260322,310,410,310410,310-410,310-410-9871-59,4G,Tablet
260315,240,4,24004,240-04,240-04-6761-82,5G,IoT Device
260225,240,16,24016,240-16,240-16-4688-61,5G,Smartphone
260324,234,15,23415,234-15,234-15-8731-97,3G,Smartphone
260323,234,15,23415,234-15,234-15-8572-18,3G,Smartphone
260227,240,8,24008,240-08,240-08-7764-94,4G,IoT Device
260227,234,33,23433,234-33,234-33-5992-70,4G,Tablet
260309,310,260,310260,310-260,310-260-9605-71,3G,IoT Device
260306,240,5,24005,240-05,240-05-5009-42,5G,Smartphone
260323,206,1,20601,206-01,206-01-8240-20,4G,Smartphone
260317,206,10,20610,206-10,206-10-9242-49,5G,Smartphone
260311,206,10,20610,206-10,206-10-3562-34,5G,Tablet
260303,206,10,20610,206-10,206-10-1319-35,4G,Tablet
260309,310,120,310120,310-120,310-120-1919-91,4G,Tablet
260312,234,38,23438,234-38,234-38-4519-33,3G,Smartphone
260308,240,2,24002,240-02,240-02-2840-78,4G,Smartphone
260303,310,410,310410,310-410,310-410-4651-84,4G,Smartphone
260320,206,1,20601,206-01,206-01-3249-66,3G,IoT Device
260225,234,20,23420,234-20,234-20-9335-24,5G,Smartphone
260228,240,5,24005,240-05,240-05-5801-57,5G,Tablet
260312,206,1,20601,206-01,206-01-1244-54,5G,Smartphone
260227,206,1,20601,206-01,206-01-2553-61,4G,Tablet
260310,240,24,24024,240-24,240-24-6634-34,5G,Tablet
260322,206,5,20605,206-05,206-05-8494-24,3G,Tablet
260318,206,5,20605,206-05,206-05-2640-97,4G,Tablet
260309,310,260,310260,310-260,310-260-8879-30,5G,IoT Device
260321,206,10,20610,206-10,206-10-3045-79,5G,Smartphone
260227,234,38,23438,234-38,234-38-9320-52,3G,IoT Device
260310,206,20,20620,206-20,206-20-7451-15,4G,Tablet
260308,206,10,20610,206-10,206-10-7575-54,5G,Smartphone
260303,234,33,23433,234-33,234-33-9818-32,3G,Tablet
260312,206,5,20605,206-05,206-05-8214-92,5G,Smartphone
260324,206,5,20605,206-05,206-05-9819-84,3G,IoT Device
260304,206,10,20610,206-10,206-10-2071-45,5G,IoT Device
260302,310,260,310260,310-260,310-260-5076-86,5G,IoT Device
260302,240,24,24024,240-24,240-24-2540-77,4G,Tablet
260311,234,30,23430,234-30,234-30-3908-74,3G,IoT Device
260317,206,20,20620,206-20,206-20-4085-61,3G,Smartphone
260323,310,410,310410,310-410,310-410-9152-46,5G,IoT Device
260310,206,10,20610,206-10,206-10-2195-36,4G,Smartphone
260320,310,480,310480,310-480,310-480-5556-34,5G,Smartphone
260312,310,260,310260,310-260,310-260-9490-14,4G,Smartphone
260226,310,260,310260,310-260,310-260-5780-74,3G,Smartphone
260227,240,1,24001,240-01,240-01-1957-59,5G,Smartphone
260315,310,260,310260,310-260,310-260-7030-12,4G,Smartphone
260314,310,410,310410,310-410,310-410-6028-37,4G,Smartphone
260310,310,260,310260,310-260,310-260-8973-50,4G,IoT Device
260306,206,20,20620,206-20,206-20-2940-78,5G,Smartphone
260325,234,15,23415,234-15,234-15-3210-89,3G,Smartphone
260326,234,20,23420,234-20,234-20-8505-94,3G,Tablet
260226,240,2,24002,240-02,240-02-1376-26,5G,Smartphone
260312,310,260,310260,310-260,310-260-1819-20,4G,Tablet
260308,310,480,310480,310-480,310-480-9301-91,4G,Smartphone
260320,234,20,23420,234-20,234-20-9013-50,4G,Tablet
260320,206,1,20601,206-01,206-01-7410-70,3G,Smartphone
260306,310,410,310410,310-410,310-410-3598-53,4G,IoT Device
260305,206,5,20605,206-05,206-05-4883-41,4G,Smartphone
260307,206,10,20610,206-10,206-10-8941-50,5G,Smartphone
260324,206,10,20610,206-10,206-10-2765-45,4G,Smartphone
260228,240,4,24004,240-04,240-04-9137-18,5G,Smartphone
260306,240,5,24005,240-05,240-05-8842-15,3G,Tablet
260321,206,5,20605,206-05,206-05-3494-78,3G,Tablet
260316,240,5,24005,240-05,240-05-5892-98,5G,Tablet
260225,240,1,24001,240-01,240-01-1511-89,3G,Smartphone
260307,310,120,310120,310-120,310-120-2844-21,4G,Smartphone
260303,234,15,23415,234-15,234-15-8339-10,5G,Smartphone
260305,234,38,23438,234-38,234-38-9102-96,4G,Smartphone
260316,240,7,24007,240-07,240-07-3698-39,5G,Tablet
