MCC,MNC,PLMN,LAI,RAI,Network_Type
240,85,24085,240-85-8932,240-85-8932,5G
240,45,24045,240-45-2700,240-45-2700,3G
240,32,24032,240-32-8803,240-32-8803,5G
240,57,24057,240-57-3684,240-57-3684,4G
240,6,24006,240-06-2306,240-06-2306,3G
240,36,24036,240-36-4963,240-36-4963,4G
240,22,24022,240-22-7391,240-22-7391,5G
240,92,24092,240-92-9749,240-92-9749,5G
240,22,24022,240-22-6620,240-22-6620,4G
240,11,24011,240-11-4695,240-11-4695,4G
240,37,24037,240-37-8568,240-37-8568,5G
240,5,24005,240-05-5674,240-05-5674,4G
240,43,24043,240-43-3093,240-43-3093,3G
240,74,24074,240-74-2111,240-74-2111,3G
240,92,24092,240-92-8115,240-92-8115,5G
240,71,24071,240-71-8941,240-71-8941,5G
240,7,24007,240-07-6072,240-07-6072,4G
240,76,24076,240-76-2201,240-76-2201,3G
240,80,24080,240-80-9442,240-80-9442,5G
240,87,24087,240-87-2425,240-87-2425,3G
240,77,24077,240-77-3644,240-77-3644,4G
240,66,24066,240-66-3987,240-66-3987,4G
240,80,24080,240-80-9141,240-80-9141,5G
240,21,24021,240-21-3743,240-21-3743,4G
240,68,24068,240-68-3070,240-68-3070,3G
240,12,24012,240-12-9599,240-12-9599,5G
240,80,24080,240-80-2144,240-80-2144,3G
240,7,24007,240-07-9805,240-07-9805,5G
240,6,24006,240-06-9861,240-06-9861,5G
240,67,24067,240-67-7881,240-67-7881,5G
240,88,24088,240-88-6485,240-88-6485,4G
240,21,24021,240-21-6069,240-21-6069,4G
240,44,24044,240-44-2555,240-44-2555,3G
240,95,24095,240-95-7648,240-95-7648,5G
240,69,24069,240-69-8814,240-69-8814,5G
240,66,24066,240-66-7367,240-66-7367,5G
240,41,24041,240-41-5731,240-41-5731,4G
240,78,24078,240-78-1735,240-78-1735,3G
240,7,24007,240-07-6535,240-07-6535,4G
240,68,24068,240-68-8081,240-68-8081,5G
240,35,24035,240-35-6561,240-35-6561,4G
240,95,24095,240-95-5543,240-95-5543,4G
240,57,24057,240-57-1623,240-57-1623,3G
240,88,24088,240-88-3405,240-88-3405,3G
240,97,24097,240-97-2701,240-97-2701,3G
240,39,24039,240-39-9868,240-39-9868,5G
240,6,24006,240-06-5014,240-06-5014,4G
240,44,24044,240-44-2585,240-44-2585,3G
240,76,24076,240-76-1314,240-76-1314,3G
240,53,24053,240-53-8782,240-53-8782,5G
240,12,24012,240-12-1219,240-12-1219,3G
240,40,24040,240-40-5394,240-40-5394,4G
240,18,24018,240-18-7192,240-18-7192,5G
240,25,24025,240-25-6485,240-25-6485,4G
240,32,24032,240-32-5254,240-32-5254,4G
240,77,24077,240-77-5321,240-77-5321,4G
240,7,24007,240-07-5538,240-07-5538,4G
240,84,24084,240-84-5635,240-84-5635,4G
240,74,24074,240-74-2436,240-74-2436,3G
240,65,24065,240-65-8743,240-65-8743,5G
240,35,24035,240-35-2086,240-35-2086,3G
240,39,24039,240-39-1680,240-39-1680,3G
240,51,24051,240-51-8322,240-51-8322,5G
240,63,24063,240-63-2540,240-63-2540,3G
240,8,24008,240-08-5952,240-08-5952,4G
240,84,24084,240-84-3479,240-84-3479,3G
240,32,24032,240-32-2123,240-32-2123,3G
240,82,24082,240-82-2606,240-82-2606,3G
240,34,24034,240-34-7919,240-34-7919,5G
240,51,24051,240-51-2750,240-51-2750,3G
240,69,24069,240-69-3130,240-69-3130,3G
240,14,24014,240-14-8213,240-14-8213,5G
240,91,24091,240-91-5154,240-91-5154,4G
240,56,24056,240-56-5683,240-56-5683,4G
240,2,24002,240-02-1806,240-02-1806,3G
240,45,24045,240-45-8705,240-45-8705,5G
240,59,24059,240-59-7039,240-59-7039,5G
240,6,24006,240-06-7110,240-06-7110,5G
240,88,24088,240-88-9976,240-88-9976,5G
240,26,24026,240-26-7133,240-26-7133,5G
240,80,24080,240-80-1126,240-80-1126,3G
240,50,24050,240-50-8566,240-50-8566,5G
240,11,24011,240-11-1981,240-11-1981,3G
240,2,24002,240-02-6133,240-02-6133,4G
240,90,24090,240-90-4306,240-90-4306,4G
240,66,24066,240-66-6973,240-66-6973,4G
240,29,24029,240-29-9282,240-29-9282,5G
240,63,24063,240-63-4078,240-63-4078,4G
240,31,24031,240-31-1134,240-31-1134,3G
240,17,24017,240-17-4780,240-17-4780,4G
240,56,24056,240-56-1341,240-56-1341,3G
240,23,24023,240-23-6213,240-23-6213,4G
240,22,24022,240-22-5805,240-22-5805,4G
240,23,24023,240-23-6321,240-23-6321,4G
240,90,24090,240-90-1982,240-90-1982,3G
240,82,24082,240-82-8621,240-82-8621,5G
240,27,24027,240-27-4383,240-27-4383,4G
240,59,24059,240-59-9432,240-59-9432,5G
240,37,24037,240-37-8810,240-37-8810,5G
240,32,24032,240-32-5997,240-32-5997,4G
240,41,24041,240-41-5679,240-41-5679,4G
240,35,24035,240-35-3914,240-35-3914,4G
240,47,24047,240-47-4254,240-47-4254,4G
240,82,24082,240-82-4865,240-82-4865,4G
240,52,24052,240-52-5582,240-52-5582,4G
240,62,24062,240-62-3275,240-62-3275,3G
240,59,24059,240-59-7657,240-59-7657,5G
240,48,24048,240-48-7641,240-48-7641,5G
240,38,24038,240-38-2720,240-38-2720,3G
240,22,24022,240-22-4098,240-22-4098,4G
240,77,24077,240-77-4781,240-77-4781,4G
240,48,24048,240-48-8818,240-48-8818,5G
240,20,24020,240-20-3026,240-20-3026,3G
240,25,24025,240-25-2006,240-25-2006,3G
240,63,24063,240-63-7355,240-63-7355,5G
240,37,24037,240-37-6326,240-37-6326,4G
240,10,24010,240-10-3971,240-10-3971,4G
240,36,24036,240-36-3709,240-36-3709,4G
240,16,24016,240-16-3035,240-16-3035,3G
240,25,24025,240-25-6472,240-25-6472,4G
240,64,24064,240-64-6720,240-64-6720,4G
240,44,24044,240-44-8677,240-44-8677,5G
240,73,24073,240-73-4230,240-73-4230,4G
240,60,24060,240-60-8029,240-60-8029,5G
240,38,24038,240-38-1566,240-38-1566,3G
240,30,24030,240-30-5087,240-30-5087,4G
240,3,24003,240-03-1342,240-03-1342,3G
240,20,24020,240-20-6398,240-20-6398,4G
240,12,24012,240-12-8967,240-12-8967,5G
240,2,24002,240-02-2921,240-02-2921,3G
240,58,24058,240-58-8763,240-58-8763,5G
240,54,24054,240-54-6471,240-54-6471,4G
240,2,24002,240-02-5259,240-02-5259,4G
240,40,24040,240-40-4876,240-40-4876,4G
240,73,24073,240-73-7359,240-73-7359,5G
240,50,24050,240-50-1457,240-50-1457,3G
240,15,24015,240-15-1062,240-15-1062,3G
240,26,24026,240-26-5202,240-26-5202,4G
240,84,24084,240-84-8205,240-84-8205,5G
240,82,24082,240-82-8549,240-82-8549,5G
240,14,24014,240-14-9058,240-14-9058,5G
240,16,24016,240-16-4524,240-16-4524,4G
240,62,24062,240-62-6645,240-62-6645,4G
240,61,24061,240-61-5732,240-61-5732,4G
240,46,24046,240-46-2966,240-46-2966,3G
240,88,24088,240-88-5330,240-88-5330,4G
240,83,24083,240-83-2388,240-83-2388,3G
240,11,24011,240-11-9562,240-11-9562,5G
240,28,24028,240-28-9773,240-28-9773,5G
240,59,24059,240-59-9834,240-59-9834,5G
240,15,24015,240-15-4453,240-15-4453,4G
240,15,24015,240-15-3815,240-15-3815,4G
240,66,24066,240-66-9611,240-66-9611,5G
240,21,24021,240-21-6237,240-21-6237,4G
240,40,24040,240-40-9524,240-40-9524,5G
240,12,24012,240-12-5285,240-12-5285,4G
240,73,24073,240-73-1023,240-73-1023,3G
240,60,24060,240-60-5224,240-60-5224,4G
240,13,24013,240-13-1064,240-13-1064,3G
240,16,24016,240-16-6034,240-16-6034,4G
240,25,24025,240-25-3927,240-25-3927,4G
240,62,24062,240-62-2017,240-62-2017,3G
240,76,24076,240-76-6584,240-76-6584,4G
240,17,24017,240-17-6246,240-17-6246,4G
240,59,24059,240-59-4606,240-59-4606,4G
240,47,24047,240-47-4692,240-47-4692,4G
240,5,24005,240-05-8417,240-05-8417,5G
240,77,24077,240-77-7789,240-77-7789,5G
240,69,24069,240-69-2328,240-69-2328,3G
240,49,24049,240-49-2137,240-49-2137,3G
240,26,24026,240-26-3888,240-26-3888,4G
240,20,24020,240-20-6720,240-20-6720,4G
240,15,24015,240-15-9429,240-15-9429,5G
240,22,24022,240-22-6888,240-22-6888,4G
240,79,24079,240-79-6618,240-79-6618,4G
240,7,24007,240-07-3073,240-07-3073,3G
240,77,24077,240-77-6491,240-77-6491,4G
240,69,24069,240-69-8712,240-69-8712,5G
240,86,24086,240-86-7148,240-86-7148,5G
240,95,24095,240-95-3060,240-95-3060,3G
240,9,24009,240-09-6927,240-09-6927,4G
240,1,24001,240-01-3677,240-01-3677,4G
240,50,24050,240-50-3590,240-50-3590,4G
240,71,24071,240-71-8741,240-71-8741,5G
240,85,24085,240-85-8580,240-85-8580,5G
240,74,24074,240-74-1563,240-74-1563,3G
240,13,24013,240-13-7313,240-13-7313,5G
240,10,24010,240-10-1882,240-10-1882,3G
240,71,24071,240-71-9178,240-71-9178,5G
240,9,24009,240-09-2647,240-09-2647,3G
240,77,24077,240-77-6783,240-77-6783,4G
240,17,24017,240-17-8914,240-17-8914,5G
240,14,24014,240-14-8730,240-14-8730,5G
240,84,24084,240-84-2559,240-84-2559,3G
240,43,24043,240-43-8708,240-43-8708,5G
240,65,24065,240-65-7165,240-65-7165,5G
240,9,24009,240-09-3095,240-09-3095,3G
240,46,24046,240-46-9026,240-46-9026,5G
240,18,24018,240-18-3243,240-18-3243,3G
240,27,24027,240-27-2397,240-27-2397,3G
240,67,24067,240-67-9116,240-67-9116,5G
240,41,24041,240-41-6181,240-41-6181,4G
240,14,24014,240-14-8556,240-14-8556,5G
240,67,24067,240-67-1559,240-67-1559,3G
240,28,24028,240-28-7311,240-28-7311,5G
240,77,24077,240-77-5240,240-77-5240,4G
240,67,24067,240-67-2037,240-67-2037,3G
240,66,24066,240-66-9850,240-66-9850,5G
240,25,24025,240-25-6755,240-25-6755,4G
240,34,24034,240-34-5777,240-34-5777,4G
240,42,24042,240-42-3039,240-42-3039,3G
240,66,24066,240-66-6502,240-66-6502,4G
240,41,24041,240-41-7712,240-41-7712,5G
240,85,24085,240-85-3650,240-85-3650,4G
240,45,24045,240-45-4564,240-45-4564,4G
240,49,24049,240-49-5827,240-49-5827,4G
240,88,24088,240-88-9441,240-88-9441,5G
240,68,24068,240-68-5004,240-68-5004,4G
240,10,24010,240-10-3630,240-10-3630,4G
240,49,24049,240-49-7369,240-49-7369,5G
240,61,24061,240-61-9366,240-61-9366,5G
240,13,24013,240-13-1437,240-13-1437,3G
240,37,24037,240-37-1772,240-37-1772,3G
240,67,24067,240-67-2637,240-67-2637,3G
240,45,24045,240-45-7617,240-45-7617,5G
240,77,24077,240-77-4285,240-77-4285,4G
240,8,24008,240-08-9956,240-08-9956,5G
240,35,24035,240-35-8266,240-35-8266,5G
240,85,24085,240-85-7930,240-85-7930,5G
240,40,24040,240-40-3108,240-40-3108,3G
240,36,24036,240-36-2178,240-36-2178,3G
240,75,24075,240-75-8007,240-75-8007,5G
240,70,24070,240-70-4782,240-70-4782,4G
240,52,24052,240-52-7787,240-52-7787,5G
240,75,24075,240-75-8175,240-75-8175,5G
240,77,24077,240-77-9875,240-77-9875,5G
240,70,24070,240-70-2167,240-70-2167,3G
240,93,24093,240-93-9502,240-93-9502,5G
240,41,24041,240-41-1632,240-41-1632,3G
240,47,24047,240-47-9776,240-47-9776,5G
240,38,24038,240-38-1815,240-38-1815,3G
240,41,24041,240-41-1682,240-41-1682,3G
240,98,24098,240-98-7180,240-98-7180,5G
240,84,24084,240-84-3808,240-84-3808,4G
240,86,24086,240-86-5144,240-86-5144,4G
240,5,24005,240-05-2483,240-05-2483,3G
240,37,24037,240-37-6738,240-37-6738,4G
240,14,24014,240-14-8780,240-14-8780,5G
240,90,24090,240-90-1975,240-90-1975,3G
240,60,24060,240-60-2163,240-60-2163,3G
240,77,24077,240-77-9769,240-77-9769,5G
240,13,24013,240-13-8690,240-13-8690,5G
240,47,24047,240-47-1258,240-47-1258,3G
240,44,24044,240-44-9222,240-44-9222,5G
240,24,24024,240-24-6308,240-24-6308,4G
240,18,24018,240-18-3963,240-18-3963,4G
240,72,24072,240-72-5423,240-72-5423,4G
240,74,24074,240-74-4601,240-74-4601,4G
240,81,24081,240-81-2374,240-81-2374,3G
240,67,24067,240-67-9516,240-67-9516,5G
240,95,24095,240-95-5293,240-95-5293,4G
240,80,24080,240-80-5496,240-80-5496,4G
240,45,24045,240-45-4288,240-45-4288,4G
240,23,24023,240-23-7041,240-23-7041,5G
240,45,24045,240-45-5457,240-45-5457,4G
240,41,24041,240-41-1888,240-41-1888,3G
240,70,24070,240-70-4670,240-70-4670,4G
240,66,24066,240-66-5976,240-66-5976,4G
240,53,24053,240-53-6297,240-53-6297,4G
240,35,24035,240-35-2350,240-35-2350,3G
240,33,24033,240-33-4524,240-33-4524,4G
240,12,24012,240-12-7781,240-12-7781,5G
240,99,24099,240-99-1757,240-99-1757,3G
240,3,24003,240-03-8602,240-03-8602,5G
240,93,24093,240-93-3412,240-93-3412,3G
240,18,24018,240-18-9601,240-18-9601,5G
240,51,24051,240-51-8681,240-51-8681,5G
240,63,24063,240-63-9812,240-63-9812,5G
240,79,24079,240-79-5231,240-79-5231,4G
240,33,24033,240-33-1161,240-33-1161,3G
240,70,24070,240-70-8930,240-70-8930,5G
240,68,24068,240-68-6062,240-68-6062,4G
240,95,24095,240-95-1445,240-95-1445,3G
240,27,24027,240-27-1738,240-27-1738,3G
240,48,24048,240-48-8342,240-48-8342,5G
240,82,24082,240-82-6485,240-82-6485,4G
240,19,24019,240-19-5276,240-19-5276,4G
240,79,24079,240-79-7365,240-79-7365,5G
240,54,24054,240-54-1252,240-54-1252,3G
240,35,24035,240-35-6068,240-35-6068,4G
240,42,24042,240-42-3078,240-42-3078,3G
240,71,24071,240-71-5732,240-71-5732,4G
240,33,24033,240-33-9626,240-33-9626,5G
240,99,24099,240-99-5269,240-99-5269,4G
240,9,24009,240-09-8717,240-09-8717,5G
240,24,24024,240-24-4490,240-24-4490,4G
240,23,24023,240-23-2484,240-23-2484,3G
240,12,24012,240-12-2039,240-12-2039,3G
240,93,24093,240-93-3321,240-93-3321,3G
240,95,24095,240-95-9619,240-95-9619,5G
240,71,24071,240-71-8927,240-71-8927,5G
240,83,24083,240-83-7542,240-83-7542,5G
240,3,24003,240-03-8351,240-03-8351,5G
240,13,24013,240-13-7064,240-13-7064,5G
240,17,24017,240-17-6125,240-17-6125,4G
240,45,24045,240-45-3569,240-45-3569,4G
240,82,24082,240-82-9960,240-82-9960,5G
240,19,24019,240-19-6698,240-19-6698,4G
240,70,24070,240-70-7013,240-70-7013,5G
240,19,24019,240-19-3873,240-19-3873,4G
240,1,24001,240-01-5130,240-01-5130,4G
240,45,24045,240-45-7909,240-45-7909,5G
240,34,24034,240-34-1694,240-34-1694,3G
240,91,24091,240-91-1152,240-91-1152,3G
240,82,24082,240-82-7383,240-82-7383,5G
240,41,24041,240-41-3022,240-41-3022,3G
240,70,24070,240-70-6914,240-70-6914,4G
240,93,24093,240-93-6653,240-93-6653,4G
240,69,24069,240-69-3169,240-69-3169,3G
240,4,24004,240-04-5192,240-04-5192,4G
240,95,24095,240-95-1248,240-95-1248,3G
240,69,24069,240-69-1006,240-69-1006,3G
240,14,24014,240-14-5548,240-14-5548,4G
240,39,24039,240-39-2347,240-39-2347,3G
240,53,24053,240-53-1090,240-53-1090,3G
240,69,24069,240-69-7625,240-69-7625,5G
240,99,24099,240-99-7145,240-99-7145,5G
240,74,24074,240-74-8880,240-74-8880,5G
240,99,24099,240-99-7788,240-99-7788,5G
240,13,24013,240-13-4480,240-13-4480,4G
240,75,24075,240-75-3845,240-75-3845,4G
240,19,24019,240-19-8109,240-19-8109,5G
240,34,24034,240-34-6773,240-34-6773,4G
240,40,24040,240-40-2727,240-40-2727,3G
240,19,24019,240-19-8118,240-19-8118,5G
240,84,24084,240-84-5733,240-84-5733,4G
240,88,24088,240-88-4196,240-88-4196,4G
240,94,24094,240-94-2711,240-94-2711,3G
240,86,24086,240-86-3172,240-86-3172,3G
240,9,24009,240-09-2614,240-09-2614,3G
240,95,24095,240-95-4038,240-95-4038,4G
240,33,24033,240-33-7151,240-33-7151,5G
240,47,24047,240-47-1913,240-47-1913,3G
240,39,24039,240-39-9176,240-39-9176,5G
240,74,24074,240-74-9263,240-74-9263,5G
240,84,24084,240-84-3987,240-84-3987,4G
240,19,24019,240-19-8645,240-19-8645,5G
240,29,24029,240-29-9832,240-29-9832,5G
240,70,24070,240-70-1568,240-70-1568,3G
240,48,24048,240-48-4650,240-48-4650,4G
240,33,24033,240-33-7504,240-33-7504,5G
240,60,24060,240-60-2445,240-60-2445,3G
240,38,24038,240-38-8070,240-38-8070,5G
240,18,24018,240-18-2174,240-18-2174,3G
240,44,24044,240-44-4797,240-44-4797,4G
240,62,24062,240-62-9726,240-62-9726,5G
240,5,24005,240-05-4216,240-05-4216,4G
240,17,24017,240-17-3818,240-17-3818,4G
240,87,24087,240-87-7973,240-87-7973,5G
240,44,24044,240-44-2396,240-44-2396,3G
240,46,24046,240-46-8448,240-46-8448,5G
240,2,24002,240-02-6990,240-02-6990,4G
240,82,24082,240-82-2569,240-82-2569,3G
240,86,24086,240-86-5816,240-86-5816,4G
240,75,24075,240-75-6635,240-75-6635,4G
240,5,24005,240-05-2294,240-05-2294,3G
240,66,24066,240-66-6550,240-66-6550,4G
240,92,24092,240-92-2911,240-92-2911,3G
240,5,24005,240-05-1773,240-05-1773,3G
240,16,24016,240-16-2667,240-16-2667,3G
240,59,24059,240-59-2526,240-59-2526,3G
240,17,24017,240-17-8095,240-17-8095,5G
240,42,24042,240-42-3638,240-42-3638,4G
240,80,24080,240-80-9599,240-80-9599,5G
240,32,24032,240-32-3999,240-32-3999,4G
240,69,24069,240-69-3122,240-69-3122,3G
240,94,24094,240-94-9803,240-94-9803,5G
240,91,24091,240-91-1284,240-91-1284,3G
240,65,24065,240-65-5050,240-65-5050,4G
240,65,24065,240-65-9146,240-65-9146,5G
240,60,24060,240-60-5958,240-60-5958,4G
240,75,24075,240-75-3771,240-75-3771,4G
240,10,24010,240-10-3781,240-10-3781,4G
240,37,24037,240-37-7736,240-37-7736,5G
240,32,24032,240-32-4771,240-32-4771,4G
240,13,24013,240-13-9562,240-13-9562,5G
240,80,24080,240-80-3854,240-80-3854,4G
240,55,24055,240-55-5481,240-55-5481,4G
240,39,24039,240-39-7069,240-39-7069,5G
240,83,24083,240-83-4977,240-83-4977,4G
240,93,24093,240-93-6489,240-93-6489,4G
240,63,24063,240-63-9747,240-63-9747,5G
240,53,24053,240-53-4430,240-53-4430,4G
240,75,24075,240-75-3768,240-75-3768,4G
240,63,24063,240-63-5860,240-63-5860,4G
240,86,24086,240-86-4628,240-86-4628,4G
240,39,24039,240-39-4668,240-39-4668,4G
240,5,24005,240-05-3743,240-05-3743,4G
240,17,24017,240-17-4653,240-17-4653,4G
240,75,24075,240-75-1531,240-75-1531,3G
240,37,24037,240-37-3798,240-37-3798,4G
240,58,24058,240-58-7537,240-58-7537,5G
240,39,24039,240-39-5044,240-39-5044,4G
240,22,24022,240-22-5036,240-22-5036,4G
240,94,24094,240-94-5194,240-94-5194,4G
240,24,24024,240-24-9111,240-24-9111,5G
240,21,24021,240-21-6545,240-21-6545,4G
240,64,24064,240-64-8784,240-64-8784,5G
240,7,24007,240-07-2990,240-07-2990,3G
240,1,24001,240-01-3144,240-01-3144,3G
240,45,24045,240-45-4491,240-45-4491,4G
240,5,24005,240-05-7196,240-05-7196,5G
240,98,24098,240-98-5312,240-98-5312,4G
240,26,24026,240-26-1281,240-26-1281,3G
240,88,24088,240-88-3563,240-88-3563,4G
240,96,24096,240-96-2898,240-96-2898,3G
240,93,24093,240-93-1952,240-93-1952,3G
240,24,24024,240-24-5881,240-24-5881,4G
240,22,24022,240-22-3504,240-22-3504,4G
240,28,24028,240-28-5738,240-28-5738,4G
240,79,24079,240-79-5114,240-79-5114,4G
240,53,24053,240-53-4581,240-53-4581,4G
240,54,24054,240-54-5859,240-54-5859,4G
240,54,24054,240-54-5134,240-54-5134,4G
240,78,24078,240-78-4102,240-78-4102,4G
240,57,24057,240-57-1472,240-57-1472,3G
240,94,24094,240-94-6910,240-94-6910,4G
240,28,24028,240-28-9474,240-28-9474,5G
240,88,24088,240-88-8088,240-88-8088,5G
240,52,24052,240-52-1381,240-52-1381,3G
240,70,24070,240-70-7407,240-70-7407,5G
240,4,24004,240-04-5811,240-04-5811,4G
240,91,24091,240-91-6804,240-91-6804,4G
240,4,24004,240-04-5788,240-04-5788,4G
240,14,24014,240-14-8244,240-14-8244,5G
240,26,24026,240-26-9240,240-26-9240,5G
240,52,24052,240-52-8528,240-52-8528,5G
240,3,24003,240-03-8297,240-03-8297,5G
240,32,24032,240-32-8795,240-32-8795,5G
240,14,24014,240-14-9265,240-14-9265,5G
240,72,24072,240-72-6642,240-72-6642,4G
240,30,24030,240-30-2470,240-30-2470,3G
240,80,24080,240-80-3626,240-80-3626,4G
240,9,24009,240-09-7549,240-09-7549,5G
240,48,24048,240-48-6267,240-48-6267,4G
240,97,24097,240-97-2860,240-97-2860,3G
240,26,24026,240-26-7201,240-26-7201,5G
240,51,24051,240-51-3598,240-51-3598,4G
240,56,24056,240-56-7140,240-56-7140,5G
240,62,24062,240-62-5400,240-62-5400,4G
240,31,24031,240-31-6435,240-31-6435,4G
240,92,24092,240-92-2710,240-92-2710,3G
240,35,24035,240-35-4392,240-35-4392,4G
240,34,24034,240-34-5833,240-34-5833,4G
240,64,24064,240-64-5134,240-64-5134,4G
240,70,24070,240-70-3749,240-70-3749,4G
240,64,24064,240-64-7488,240-64-7488,5G
240,17,24017,240-17-9999,240-17-9999,5G
240,39,24039,240-39-6189,240-39-6189,4G
240,77,24077,240-77-2339,240-77-2339,3G
240,84,24084,240-84-2152,240-84-2152,3G
240,24,24024,240-24-3619,240-24-3619,4G
240,42,24042,240-42-6874,240-42-6874,4G
240,65,24065,240-65-3175,240-65-3175,3G
240,64,24064,240-64-9221,240-64-9221,5G
240,66,24066,240-66-6217,240-66-6217,4G
240,64,24064,240-64-3239,240-64-3239,3G
240,42,24042,240-42-1342,240-42-1342,3G
240,7,24007,240-07-6238,240-07-6238,4G
240,29,24029,240-29-9749,240-29-9749,5G
240,41,24041,240-41-5688,240-41-5688,4G
240,98,24098,240-98-4529,240-98-4529,4G
240,28,24028,240-28-6087,240-28-6087,4G
240,69,24069,240-69-7096,240-69-7096,5G
240,62,24062,240-62-9261,240-62-9261,5G
240,35,24035,240-35-7429,240-35-7429,5G
240,92,24092,240-92-8659,240-92-8659,5G
240,72,24072,240-72-1032,240-72-1032,3G
240,48,24048,240-48-3280,240-48-3280,3G
240,86,24086,240-86-8878,240-86-8878,5G
240,93,24093,240-93-2427,240-93-2427,3G
240,74,24074,240-74-6678,240-74-6678,4G
240,99,24099,240-99-1901,240-99-1901,3G
240,1,24001,240-01-9173,240-01-9173,5G
240,11,24011,240-11-4390,240-11-4390,4G
240,13,24013,240-13-4462,240-13-4462,4G
240,5,24005,240-05-5373,240-05-5373,4G
240,7,24007,240-07-8641,240-07-8641,5G
240,65,24065,240-65-7432,240-65-7432,5G
240,22,24022,240-22-8152,240-22-8152,5G
240,95,24095,240-95-1383,240-95-1383,3G
240,73,24073,240-73-1492,240-73-1492,3G
240,62,24062,240-62-2912,240-62-2912,3G
240,60,24060,240-60-7348,240-60-7348,5G
240,21,24021,240-21-6299,240-21-6299,4G
240,65,24065,240-65-8937,240-65-8937,5G
240,39,24039,240-39-6993,240-39-6993,4G
240,17,24017,240-17-5846,240-17-5846,4G
240,95,24095,240-95-7335,240-95-7335,5G
240,23,24023,240-23-4468,240-23-4468,4G
240,62,24062,240-62-7428,240-62-7428,5G
240,25,24025,240-25-7187,240-25-7187,5G
240,26,24026,240-26-4506,240-26-4506,4G
240,67,24067,240-67-8610,240-67-8610,5G
240,74,24074,240-74-5771,240-74-5771,4G
240,32,24032,240-32-1340,240-32-1340,3G
240,37,24037,240-37-3933,240-37-3933,4G
