index,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
46,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
47,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
48,*,*,*,*,0,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
49,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
50,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
51,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
52,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
53,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
54,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
55,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
56,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
57,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
58,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
59,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
60,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
61,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
62,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
63,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
64,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
65,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
66,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
67,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
68,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
69,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
70,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
71,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
72,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
73,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
74,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
75,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
76,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
77,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
78,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
79,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
80,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
82,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
83,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
84,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
85,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
86,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
87,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Not Employed/Unknown,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
88,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
89,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Enrolled
90,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
91,*,*,*,*,1,Secondary/Basic,"""*""",International,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
92,*,*,*,*,1,Secondary/Basic,"""*""",International,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
93,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
94,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
96,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
97,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
98,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
99,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
100,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
101,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
102,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
103,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
104,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
105,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
106,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Dropout
107,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
108,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
109,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Enrolled
110,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
111,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
112,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
113,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
114,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
115,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
116,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
117,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
118,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
119,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
120,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
121,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
122,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
