Timestamp,MCC,MNC,PLMN,LAI,RAI,Network_Type,Device_Type
260310025928+0200,240,4,24005,240-04-XXXX,240-04-XXXX,3G,Smartphone
260326054310+0100,240,2,310260,240-02-XXXX,240-02-XXXX,3G,Tablet
260323044401+0200,206,1,20601,206-01-XXXX,206-01-XXXX,5G,Smartphone
260301160016+0200,240,24,310480,240-05-XXXX,240-24-XXXX,4G,Smartphone
260315011201+0200,206,5,20605,206-05-XXXX,206-05-XXXX,5G,Tablet
260324225440+0200,240,7,24007,234-10-XXXX,240-07-XXXX,5G,Smartphone
260304062157-0800,310,410,23410,234-20-XXXX,310-260-XXXX,3G,Smartphone
260227153750+0100,240,1,24001,310-120-XXXX,240-01-XXXX,3G,Smartphone
260326100632+0100,234,38,23438,234-38-XXXX,234-38-XXXX,3G,IoT Device
260228222407+0100,206,20,20620,310-120-XXXX,206-20-XXXX,4G,Tablet
260305004803+0200,240,2,24002,240-02-XXXX,310-260-XXXX,5G,Smartphone
260326001805-0500,310,120,20601,240-01-XXXX,234-20-XXXX,4G,Smartphone
260318111700-0600,310,120,24007,206-10-XXXX,310-120-XXXX,4G,Tablet
260310052332-0500,310,410,24024,240-16-XXXX,310-410-XXXX,5G,IoT Device
260304122708+0200,240,4,310120,240-04-XXXX,240-04-XXXX,5G,Smartphone
260314173233+0100,234,33,23433,240-16-XXXX,206-01-XXXX,4G,Tablet
260225070815+0200,240,4,24004,240-04-XXXX,310-410-XXXX,5G,Smartphone
260303224754-0800,310,480,310480,310-480-XXXX,206-20-XXXX,3G,Tablet
260227045839+0100,240,4,20620,240-04-XXXX,240-04-XXXX,5G,IoT Device
260303121238+0000,234,20,23420,234-20-XXXX,234-20-XXXX,4G,Tablet
260304085505-0500,310,120,310120,310-120-XXXX,240-16-XXXX,5G,Smartphone
260302190319-0700,310,120,20601,240-01-XXXX,310-120-XXXX,4G,Tablet
260307170316-0700,310,480,310480,240-08-XXXX,310-480-XXXX,3G,Smartphone
260317064657-0800,310,120,310120,240-16-XXXX,310-120-XXXX,4G,Smartphone
260226213605+0000,234,33,310480,234-33-XXXX,234-20-XXXX,5G,Smartphone
260304125934-0500,310,260,24004,310-260-XXXX,206-20-XXXX,5G,Smartphone
260301065329+0200,206,10,20610,206-20-XXXX,206-10-XXXX,4G,Tablet
260304134915+0200,240,8,24008,240-08-XXXX,240-24-XXXX,4G,IoT Device
260321074410+0100,240,5,23420,240-05-XXXX,240-05-XXXX,4G,Tablet
260226142301+0100,240,24,24024,240-05-XXXX,240-24-XXXX,5G,Tablet
260326033815+0000,234,38,310260,310-480-XXXX,234-38-XXXX,3G,Smartphone
260302014215+0200,206,10,20610,206-10-XXXX,206-10-XXXX,5G,Smartphone
260323003030+0200,206,5,20605,240-24-XXXX,206-05-XXXX,5G,Smartphone
260308104915+0100,234,30,23430,206-05-XXXX,234-20-XXXX,3G,IoT Device
260324210311+0100,234,30,23430,234-10-XXXX,234-30-XXXX,3G,Smartphone
260309183132-0500,310,120,310260,240-04-XXXX,310-120-XXXX,5G,Smartphone
260301172450+0100,240,4,24004,240-04-XXXX,240-04-XXXX,4G,Smartphone
260314105812+0100,234,38,24007,234-38-XXXX,234-38-XXXX,3G,Tablet
260226190709+0100,240,7,24024,310-260-XXXX,240-04-XXXX,4G,Smartphone
260226185448+0200,240,16,20610,240-16-XXXX,310-480-XXXX,5G,IoT Device
260227031744+0000,234,30,310260,310-120-XXXX,206-10-XXXX,3G,IoT Device
260309044043+0200,240,5,24005,206-20-XXXX,234-38-XXXX,4G,Smartphone
260314104655-0700,310,480,23438,310-480-XXXX,234-15-XXXX,3G,Smartphone
260309154807+0200,240,24,24007,234-33-XXXX,240-24-XXXX,4G,Tablet
260325025655+0200,206,1,20601,206-01-XXXX,206-01-XXXX,5G,Smartphone
260304054850+0200,206,20,20620,206-20-XXXX,240-01-XXXX,4G,Smartphone
260310190943+0200,206,1,20601,234-20-XXXX,234-38-XXXX,4G,Smartphone
260225084002+0100,234,15,24005,234-15-XXXX,234-15-XXXX,4G,IoT Device
260227064228-0800,310,480,20610,310-480-XXXX,310-480-XXXX,4G,IoT Device
260301011944+0100,240,2,20620,310-410-XXXX,240-08-XXXX,5G,Tablet
260323110205-0500,310,120,310480,234-20-XXXX,310-120-XXXX,5G,Smartphone
260310052711+0100,240,4,24004,240-04-XXXX,234-30-XXXX,5G,Smartphone
260315102205+0100,240,8,24008,206-01-XXXX,240-08-XXXX,4G,Smartphone
260317024918+0100,206,10,20610,206-10-XXXX,206-10-XXXX,4G,Tablet
260325055923+0100,240,8,23433,240-02-XXXX,234-33-XXXX,4G,Smartphone
260323183312-0600,310,410,24007,240-04-XXXX,240-24-XXXX,5G,Smartphone
260305060303+0100,206,5,310260,206-05-XXXX,206-05-XXXX,4G,Smartphone
260303043301+0200,240,4,20620,240-04-XXXX,240-04-XXXX,4G,Smartphone
260312055117+0100,240,8,24016,206-05-XXXX,240-08-XXXX,5G,Smartphone
260227202454+0100,240,24,24024,206-10-XXXX,240-24-XXXX,3G,Smartphone
260226094209-0500,310,120,310410,310-120-XXXX,310-120-XXXX,4G,Smartphone
260316044054+0100,206,10,24002,206-10-XXXX,206-10-XXXX,4G,Tablet
260313151012-0500,310,410,310410,310-120-XXXX,206-10-XXXX,4G,Smartphone
260228103034-0700,310,410,310410,206-01-XXXX,310-410-XXXX,4G,IoT Device
260313104707+0000,234,38,23438,234-33-XXXX,234-38-XXXX,3G,Smartphone
260309232424-0500,310,480,310260,310-480-XXXX,310-480-XXXX,5G,Smartphone
260324011337+0200,206,1,20601,206-01-XXXX,240-16-XXXX,5G,Smartphone
260324011109-0800,310,480,310480,310-480-XXXX,310-480-XXXX,5G,Smartphone
260317020908+0100,234,10,23410,206-01-XXXX,234-10-XXXX,3G,Smartphone
260326070722+0100,206,20,20620,206-20-XXXX,234-20-XXXX,3G,Tablet
260323002834+0100,240,5,23415,240-05-XXXX,240-01-XXXX,5G,Smartphone
260323123447+0100,206,5,20605,310-260-XXXX,206-05-XXXX,3G,Smartphone
260320131642+0100,234,38,23438,234-38-XXXX,234-38-XXXX,3G,Smartphone
260305020337+0100,234,15,23415,206-20-XXXX,234-15-XXXX,4G,Smartphone
260308132325+0100,234,10,24016,240-01-XXXX,310-410-XXXX,5G,Smartphone
260303180645+0200,206,1,310120,206-01-XXXX,310-480-XXXX,4G,Tablet
260307134251+0100,206,5,24002,206-05-XXXX,206-05-XXXX,5G,Tablet
260303182754+0200,206,1,20601,234-38-XXXX,206-01-XXXX,3G,Smartphone
260306221831+0200,240,5,24005,234-15-XXXX,234-30-XXXX,4G,Smartphone
260307144707+0100,206,5,20605,234-20-XXXX,206-05-XXXX,5G,Smartphone
260325061239+0200,240,5,20601,240-05-XXXX,240-16-XXXX,5G,Smartphone
260302103144-0700,310,120,310120,310-120-XXXX,310-120-XXXX,3G,Smartphone
260226053019+0100,234,38,23438,234-38-XXXX,234-38-XXXX,5G,Smartphone
260318223045-0600,310,260,310260,240-24-XXXX,310-260-XXXX,4G,Tablet
260308151803+0000,234,20,20610,234-20-XXXX,310-410-XXXX,4G,Tablet
260226095506+0200,206,5,23420,206-05-XXXX,206-05-XXXX,3G,Tablet
260308001159+0000,234,15,23438,234-15-XXXX,206-10-XXXX,4G,Smartphone
260315183755+0100,234,20,23420,206-01-XXXX,234-20-XXXX,4G,Tablet
260318161100+0100,240,4,24002,240-08-XXXX,240-04-XXXX,3G,Smartphone
260317020723+0100,240,2,24002,234-33-XXXX,206-05-XXXX,5G,Smartphone
260313170814-0500,310,410,310410,240-08-XXXX,310-410-XXXX,3G,IoT Device
260317093745+0200,206,20,20620,206-20-XXXX,206-20-XXXX,5G,Smartphone
260309062003+0100,206,10,24005,310-410-XXXX,206-10-XXXX,4G,Tablet
260305163217+0100,206,20,310260,206-20-XXXX,206-20-XXXX,4G,Smartphone
260311004506-0700,310,120,310120,310-120-XXXX,206-01-XXXX,5G,Tablet
260312100019-0600,310,260,310260,310-260-XXXX,240-24-XXXX,4G,Smartphone
260316201958+0000,234,38,23438,310-480-XXXX,234-38-XXXX,4G,Smartphone
260227211156+0200,240,5,20601,240-16-XXXX,240-05-XXXX,4G,Tablet
260317062223+0100,234,33,23433,234-33-XXXX,310-120-XXXX,3G,Smartphone
260301120318+0100,240,16,23430,240-16-XXXX,240-16-XXXX,3G,Smartphone
260315100439+0100,206,10,310260,206-10-XXXX,206-10-XXXX,4G,Smartphone
260309122128+0200,240,8,24005,310-480-XXXX,240-08-XXXX,5G,IoT Device
260318151009+0000,234,33,23410,240-04-XXXX,234-33-XXXX,3G,Smartphone
260304093744+0100,234,15,23415,310-480-XXXX,234-15-XXXX,5G,IoT Device
260323204031+0100,234,33,310410,234-33-XXXX,234-33-XXXX,5G,Tablet
260320102522-0700,310,410,310260,310-410-XXXX,310-410-XXXX,4G,IoT Device
260226140703+0200,240,7,20610,240-07-XXXX,240-07-XXXX,5G,Smartphone
260310183646+0100,240,4,24004,240-02-XXXX,240-04-XXXX,3G,IoT Device
260325135919-0600,310,260,310410,206-05-XXXX,310-260-XXXX,3G,Smartphone
260321235812+0000,234,10,24007,234-10-XXXX,240-24-XXXX,3G,IoT Device
260319092331-0600,310,410,310410,240-02-XXXX,240-16-XXXX,5G,Smartphone
260319151422+0200,206,20,20620,206-20-XXXX,206-20-XXXX,5G,Tablet
260320012046+0100,240,7,20605,240-07-XXXX,240-07-XXXX,3G,Smartphone
260305074013+0000,234,20,23420,206-10-XXXX,310-120-XXXX,3G,Tablet
260304024744+0200,206,1,24007,234-15-XXXX,206-01-XXXX,4G,Smartphone
260301053522+0100,206,1,23438,310-410-XXXX,206-01-XXXX,4G,IoT Device
260318063455-0500,310,410,310410,310-410-XXXX,310-410-XXXX,3G,IoT Device
260307001141+0100,240,7,24007,240-07-XXXX,234-38-XXXX,4G,Tablet
260303065251+0100,206,10,20610,240-04-XXXX,206-10-XXXX,5G,IoT Device
260322184826+0100,206,20,20620,206-20-XXXX,206-20-XXXX,5G,Smartphone
260311092308+0100,206,1,20601,206-01-XXXX,234-20-XXXX,4G,Smartphone
260319162744+0000,234,20,310480,234-20-XXXX,234-20-XXXX,3G,Smartphone
260313052844+0000,234,10,23420,234-10-XXXX,234-10-XXXX,4G,IoT Device
260311172907+0200,240,16,23433,240-16-XXXX,240-16-XXXX,5G,IoT Device
260225225129+0200,206,1,23430,206-01-XXXX,234-10-XXXX,4G,Smartphone
260318192215-0700,310,260,310260,310-260-XXXX,310-260-XXXX,3G,Smartphone
260326120448+0200,240,24,24024,240-24-XXXX,240-24-XXXX,4G,Smartphone
260314200723+0100,234,10,310120,234-10-XXXX,234-30-XXXX,4G,Smartphone
260316084424-0700,310,410,310410,310-410-XXXX,310-410-XXXX,5G,Smartphone
260302124818+0100,240,4,310260,240-04-XXXX,240-04-XXXX,5G,Tablet
260303102120+0200,240,24,23420,240-01-XXXX,240-24-XXXX,4G,Smartphone
260305101818-0600,310,260,310260,310-260-XXXX,310-260-XXXX,4G,Smartphone
260304153544+0100,234,38,24005,234-38-XXXX,234-38-XXXX,3G,Tablet
260319131527+0100,206,10,24007,206-20-XXXX,206-10-XXXX,4G,IoT Device
260303192400+0100,206,1,20601,206-01-XXXX,206-01-XXXX,4G,Smartphone
260319170029+0100,240,8,24008,240-07-XXXX,240-08-XXXX,5G,Tablet
260322061218+0200,240,4,23415,240-04-XXXX,206-10-XXXX,5G,Smartphone
260228205021+0200,240,2,20601,240-02-XXXX,240-02-XXXX,5G,IoT Device
260311004705+0100,234,10,23410,310-480-XXXX,234-10-XXXX,5G,Tablet
260302024606-0600,310,410,23415,240-04-XXXX,310-260-XXXX,5G,IoT Device
260320095813+0100,206,1,310480,206-20-XXXX,234-30-XXXX,4G,Tablet
260228074728+0000,234,10,24016,234-10-XXXX,206-20-XXXX,3G,Tablet
260314083202+0100,234,15,23415,234-15-XXXX,310-120-XXXX,5G,Tablet
260308233305+0200,206,10,23438,234-20-XXXX,206-10-XXXX,4G,Smartphone
260314201614-0800,310,480,23415,310-410-XXXX,310-480-XXXX,5G,Smartphone
260228031945+0100,240,16,24016,310-120-XXXX,240-16-XXXX,4G,Smartphone
260320231437+0000,234,10,23410,240-04-XXXX,234-10-XXXX,3G,Smartphone
260307115649-0600,310,120,310120,234-10-XXXX,310-120-XXXX,5G,Smartphone
260227033632+0100,206,1,310120,240-08-XXXX,206-01-XXXX,4G,Tablet
260322133917-0600,310,260,24002,310-260-XXXX,310-260-XXXX,4G,Smartphone
260310020549+0000,234,10,23410,310-480-XXXX,206-20-XXXX,5G,Smartphone
260318071321-0800,310,260,310260,310-260-XXXX,310-120-XXXX,4G,Tablet
260315132501+0100,240,8,24005,240-24-XXXX,240-08-XXXX,5G,Smartphone
260311004009+0100,206,20,20620,206-20-XXXX,206-05-XXXX,3G,Smartphone
260306180110+0100,206,1,20601,206-01-XXXX,206-01-XXXX,4G,IoT Device
260305104719+0100,240,16,24016,234-33-XXXX,240-16-XXXX,4G,Smartphone
260314041507+0000,234,33,23433,234-33-XXXX,234-33-XXXX,3G,Smartphone
260225223727+0200,240,7,24007,234-10-XXXX,240-07-XXXX,3G,IoT Device
260311165946+0000,234,10,24004,206-01-XXXX,234-10-XXXX,4G,IoT Device
260307070015+0000,234,15,23415,310-260-XXXX,234-15-XXXX,3G,Smartphone
260313180747+0100,234,30,23433,234-30-XXXX,234-30-XXXX,3G,IoT Device
260227153605+0200,240,5,24002,240-05-XXXX,240-05-XXXX,5G,Smartphone
260313174113+0100,234,33,23433,234-33-XXXX,234-33-XXXX,5G,Tablet
260316110037-0500,310,410,310410,310-410-XXXX,310-410-XXXX,5G,IoT Device
260227205731+0100,234,30,23438,234-30-XXXX,234-30-XXXX,4G,Tablet
260306062543+0100,206,1,20601,240-08-XXXX,206-01-XXXX,4G,Smartphone
260313162738-0500,310,260,310260,310-260-XXXX,310-260-XXXX,5G,Tablet
260307151549+0100,240,5,24005,240-05-XXXX,240-05-XXXX,4G,Tablet
260304145815+0100,240,8,23420,240-08-XXXX,240-08-XXXX,4G,Smartphone
260306130917+0200,206,1,23438,310-480-XXXX,206-10-XXXX,4G,Smartphone
260302195211+0000,234,20,310260,240-02-XXXX,206-20-XXXX,3G,Tablet
260318193941-0800,310,260,310410,206-10-XXXX,310-260-XXXX,5G,Smartphone
260326115540-0500,310,480,310480,234-10-XXXX,310-480-XXXX,5G,Smartphone
260303214453+0200,240,2,24002,240-02-XXXX,240-02-XXXX,5G,Tablet
260318074400-0600,310,410,20601,310-410-XXXX,310-410-XXXX,3G,Tablet
260326072709-0600,310,260,310260,310-260-XXXX,310-260-XXXX,3G,IoT Device
260316051335+0100,234,38,23410,234-38-XXXX,234-38-XXXX,5G,IoT Device
260323061906-0600,310,480,310480,240-08-XXXX,240-01-XXXX,3G,Smartphone
260311103804+0000,234,33,23433,234-20-XXXX,234-38-XXXX,5G,Smartphone
260304154440+0100,234,38,23415,240-05-XXXX,310-410-XXXX,4G,Smartphone
260321175300-0800,310,260,310480,310-260-XXXX,310-260-XXXX,5G,Tablet
260314092455-0800,310,260,310410,310-260-XXXX,310-260-XXXX,4G,IoT Device
260301132257+0200,240,5,310410,240-05-XXXX,240-05-XXXX,5G,IoT Device
260227151725+0100,240,24,24024,206-20-XXXX,240-24-XXXX,4G,Smartphone
260315063032-0800,310,480,20605,234-33-XXXX,310-480-XXXX,3G,Tablet
260320082734-0800,310,480,24005,310-480-XXXX,310-480-XXXX,5G,Smartphone
260306000316+0200,240,24,24024,240-24-XXXX,310-480-XXXX,5G,Smartphone
260306055002-0500,310,410,24001,206-20-XXXX,310-410-XXXX,3G,IoT Device
260325121330+0100,206,20,20620,206-20-XXXX,206-20-XXXX,4G,Tablet
260305003019+0100,234,20,23420,234-20-XXXX,234-20-XXXX,5G,Smartphone
260302070621-0500,310,410,310410,310-410-XXXX,310-410-XXXX,4G,IoT Device
260309080534-0800,310,120,310120,234-10-XXXX,234-10-XXXX,4G,Smartphone
260305194001+0000,234,15,23420,234-33-XXXX,234-15-XXXX,3G,Smartphone
260318040640+0100,240,2,23415,310-480-XXXX,240-02-XXXX,4G,Smartphone
260324191034+0200,206,5,20605,240-01-XXXX,206-05-XXXX,4G,Tablet
260309200337+0000,234,20,23420,234-15-XXXX,206-05-XXXX,3G,Tablet
260324080059+0000,234,20,23420,310-120-XXXX,234-20-XXXX,3G,Smartphone
260226205358+0200,206,20,20620,206-20-XXXX,206-20-XXXX,4G,Smartphone
260310060902-0600,310,120,310410,310-120-XXXX,206-05-XXXX,5G,Smartphone
260318014606+0200,206,1,20601,206-01-XXXX,206-01-XXXX,4G,IoT Device
260310050847-0700,310,120,24005,206-01-XXXX,206-05-XXXX,4G,Tablet
260319024928+0200,240,1,24016,240-01-XXXX,240-16-XXXX,5G,IoT Device
260227194256+0100,234,30,310410,234-30-XXXX,240-05-XXXX,5G,IoT Device
260327013908+0100,240,4,24004,240-04-XXXX,234-15-XXXX,5G,Tablet
260314085129+0100,240,7,310410,240-07-XXXX,240-07-XXXX,4G,Tablet
260311044315+0200,240,16,24016,206-20-XXXX,206-10-XXXX,4G,Tablet
260302123756-0600,310,260,310260,240-08-XXXX,310-260-XXXX,4G,Smartphone
260326034048+0200,240,16,310260,240-16-XXXX,240-16-XXXX,5G,Smartphone
260307015632+0100,206,20,20620,206-20-XXXX,310-260-XXXX,4G,IoT Device
260306232508-0500,310,410,20620,234-10-XXXX,310-410-XXXX,5G,Tablet
260316230113+0200,206,10,20610,240-01-XXXX,206-10-XXXX,3G,Smartphone
260310172605+0200,240,5,24016,240-05-XXXX,206-05-XXXX,5G,Smartphone
260228132525+0000,234,20,24002,234-33-XXXX,234-20-XXXX,3G,Tablet
260316192832+0100,206,5,20605,206-10-XXXX,206-05-XXXX,5G,IoT Device
260226165913+0100,240,5,24016,240-05-XXXX,240-05-XXXX,5G,Smartphone
260315201516+0100,234,10,23410,240-07-XXXX,234-10-XXXX,3G,Tablet
260305021426+0100,234,30,23430,234-30-XXXX,234-30-XXXX,4G,IoT Device
260310052413-0700,310,410,310410,310-410-XXXX,310-410-XXXX,3G,IoT Device
260225224446+0100,206,5,20605,206-05-XXXX,206-05-XXXX,3G,Smartphone
260318090014-0800,310,260,310120,206-20-XXXX,310-260-XXXX,4G,IoT Device
260313153452-0800,310,260,310260,206-10-XXXX,310-260-XXXX,5G,Smartphone
260310221209-0500,310,120,310260,310-120-XXXX,310-120-XXXX,5G,Smartphone
260312004726+0100,240,24,24024,240-24-XXXX,310-480-XXXX,4G,Smartphone
260309130647+0100,234,33,23433,234-33-XXXX,234-10-XXXX,5G,Tablet
260304092647+0200,206,1,310480,310-480-XXXX,206-01-XXXX,4G,Tablet
260302191159-0700,310,260,310260,206-01-XXXX,310-260-XXXX,4G,Smartphone
260323000334+0100,206,5,20605,234-33-XXXX,206-05-XXXX,3G,Smartphone
260307064013-0600,310,480,23420,310-480-XXXX,310-480-XXXX,4G,Smartphone
260321164521-0700,310,480,310480,310-120-XXXX,234-38-XXXX,4G,Tablet
260322045634+0100,240,2,20610,240-02-XXXX,240-02-XXXX,4G,Tablet
260323005652-0700,310,480,310260,310-480-XXXX,310-480-XXXX,4G,Smartphone
260307102658-0800,310,120,310120,234-15-XXXX,310-120-XXXX,4G,Tablet
260310174830-0800,310,260,20601,240-01-XXXX,310-260-XXXX,5G,Tablet
260326120704+0100,240,24,24024,240-02-XXXX,240-24-XXXX,4G,IoT Device
260304020730+0200,240,16,24016,206-05-XXXX,240-16-XXXX,4G,Smartphone
260306150250+0100,206,20,20620,206-20-XXXX,206-20-XXXX,5G,Smartphone
260308155613-0800,310,410,310410,310-410-XXXX,310-410-XXXX,4G,IoT Device
260311223548+0000,234,38,23438,310-480-XXXX,310-480-XXXX,5G,Tablet
260323040840-0700,310,120,310120,310-120-XXXX,310-120-XXXX,3G,Smartphone
260228014509+0100,240,5,24005,240-05-XXXX,240-05-XXXX,4G,Smartphone
260318180711-0600,310,480,20620,206-10-XXXX,310-480-XXXX,4G,IoT Device
260227075011-0500,310,410,310410,206-05-XXXX,310-410-XXXX,5G,Smartphone
260307054327+0200,206,1,20620,234-10-XXXX,206-01-XXXX,5G,Smartphone
260322151352+0100,240,4,20620,234-15-XXXX,240-04-XXXX,5G,Smartphone
260325165626-0500,310,480,310480,310-480-XXXX,310-480-XXXX,4G,Tablet
260323060433+0000,234,20,23420,240-16-XXXX,234-20-XXXX,4G,IoT Device
260304025941-0700,310,120,310120,310-120-XXXX,310-120-XXXX,4G,Tablet
260327000624+0100,240,7,310260,240-16-XXXX,240-07-XXXX,3G,Tablet
260326102148-0800,310,410,310480,240-05-XXXX,310-410-XXXX,5G,Smartphone
260310092431+0100,240,16,24016,240-16-XXXX,240-16-XXXX,4G,Smartphone
260226110425-0600,310,410,310410,310-410-XXXX,234-33-XXXX,5G,Smartphone
260307200313+0100,234,15,23415,240-07-XXXX,234-15-XXXX,4G,Smartphone
260313002400-0800,310,480,310480,310-480-XXXX,310-480-XXXX,3G,IoT Device
260302042054+0200,240,8,24008,240-08-XXXX,240-07-XXXX,5G,Tablet
260315160906+0200,206,5,20605,206-05-XXXX,206-05-XXXX,3G,Smartphone
260304010809+0200,240,16,24016,240-02-XXXX,240-16-XXXX,5G,IoT Device
260304174743+0100,240,2,24002,234-38-XXXX,240-02-XXXX,3G,Tablet
260324024951+0200,206,10,23430,206-10-XXXX,206-10-XXXX,4G,IoT Device
260227070827+0100,234,30,23430,234-30-XXXX,234-30-XXXX,3G,Tablet
260316055946+0100,240,8,20601,240-08-XXXX,240-08-XXXX,5G,Smartphone
260310185255+0100,206,20,20620,240-02-XXXX,206-20-XXXX,4G,Smartphone
260322162142+0200,206,1,20601,240-04-XXXX,206-01-XXXX,4G,Tablet
260314054440+0000,234,33,23433,240-24-XXXX,234-33-XXXX,4G,Smartphone
260225174524-0800,310,120,23430,240-24-XXXX,310-120-XXXX,3G,Smartphone
260305073510+0000,234,30,20610,310-260-XXXX,234-30-XXXX,5G,IoT Device
260324093616+0000,234,38,310410,206-20-XXXX,310-480-XXXX,3G,IoT Device
260320082937-0700,310,120,24008,310-120-XXXX,310-120-XXXX,4G,Smartphone
260303153836+0100,234,10,24016,310-120-XXXX,234-10-XXXX,5G,IoT Device
260317095702+0000,234,15,310410,240-01-XXXX,234-20-XXXX,4G,Smartphone
260315221756+0200,240,24,24024,234-30-XXXX,206-20-XXXX,4G,Tablet
260306082331+0200,240,1,23438,310-120-XXXX,240-01-XXXX,4G,Tablet
260319011533+0000,234,33,20620,240-08-XXXX,310-480-XXXX,3G,Smartphone
260306211152+0100,206,1,310480,310-260-XXXX,206-01-XXXX,5G,Smartphone
260301010655+0000,234,30,20610,234-30-XXXX,234-30-XXXX,4G,Smartphone
260313001026+0100,240,5,24005,206-20-XXXX,240-05-XXXX,5G,Smartphone
260304185843-0800,310,480,310480,234-33-XXXX,310-480-XXXX,5G,Tablet
260326022836+0000,234,20,24004,234-20-XXXX,206-20-XXXX,5G,Smartphone
260321050027+0200,240,16,24016,206-10-XXXX,240-16-XXXX,5G,Tablet
260301071819+0100,234,33,20605,234-33-XXXX,240-05-XXXX,4G,Tablet
260326022340-0700,310,260,310260,310-260-XXXX,310-260-XXXX,4G,Smartphone
260227185842-0800,310,260,310120,310-260-XXXX,206-05-XXXX,3G,IoT Device
260313041732+0100,206,20,20620,310-480-XXXX,206-20-XXXX,3G,Tablet
260314145036-0800,310,120,310120,310-120-XXXX,310-120-XXXX,4G,Smartphone
260228075810-0700,310,260,20605,310-260-XXXX,310-260-XXXX,4G,IoT Device
260315160202+0100,206,1,20601,206-01-XXXX,206-01-XXXX,5G,Smartphone
260324125640+0100,240,16,24016,240-16-XXXX,240-16-XXXX,5G,Smartphone
260316032703+0000,234,20,23415,234-20-XXXX,234-20-XXXX,5G,Smartphone
260316132445+0100,206,20,20620,234-33-XXXX,206-01-XXXX,5G,Tablet
260325111606+0200,206,10,20610,206-10-XXXX,206-10-XXXX,5G,Smartphone
260228133401+0100,240,1,20605,240-01-XXXX,240-08-XXXX,4G,Tablet
260308174706+0100,240,5,310480,240-05-XXXX,240-05-XXXX,3G,Smartphone
260314165043-0700,310,410,20610,310-410-XXXX,234-15-XXXX,4G,Smartphone
260316173014+0100,240,4,24004,234-15-XXXX,240-04-XXXX,3G,Smartphone
260325060442-0800,310,410,310410,310-410-XXXX,310-410-XXXX,5G,IoT Device
260303142340+0100,206,20,310410,240-04-XXXX,206-20-XXXX,4G,Smartphone
260322175303+0100,240,4,24004,310-480-XXXX,240-07-XXXX,5G,Smartphone
260313095832+0200,240,16,24016,240-16-XXXX,310-120-XXXX,4G,Tablet
260226213322-0700,310,260,310480,310-260-XXXX,310-480-XXXX,4G,IoT Device
